name
"COOP Jednota GA, spotr. druzstvo"
"Gomolova Marcela, Mgr."
"KERKO - Kamenina, a.s."
Tibor Stefanik - NOBA - SMOKER
MEDEKO CAST s.r.o.
"Stein, s.r.o."
"Jancik Jaroslav, Ing."
DUHA - FOND
AEROLAND s.r.o.
"GLOBE METAL & FINANCE, a.s."
"Meszaros Gabriel, Mgr."
"Jurik Jan, Ing."
SLOVDRINK spol. s r.o.
"Hrabovsky Martin, Ing."
"DOMUS BENE - DOM DOBRA, o.z."
"Ziman Stefan, Ing."
Novy Radovan
Aura Management s. r. o.
"Gallo Jan, Ing."
Perger Dusan
BURUNDI SK s. r. o.
"UNIMED, spol. s r.o."
"AJCOR SLOVAKIA, spol. s r.o."
"Kovar Oldrich, Ing."
"Bratislavske tlaciarne, akciova spo"
"MODRANY Slovakia, a. s."
"SAKRET Slovakia, k.s."
"Misiak Caltikova Andrea, Ing."
Dzurnak Boris
"MINT, s.r.o."
"ASSYX, spol. s r.o."
INEX spol. s r.o.
"Hroziencikova Maria, Ing."
"Begonja Jozefina, Mgr."
EUROTRADE TRUCK s.r.o.
"Polnovyroba KRASNA LUKA, s.r.o."
Transparency Intern.Slovensko
"BOFOAM, SPOLOCNOST S RUCENIM"
"Kasana Andrej, Ing."
Jakubove Sona
VENAT A S
Kabashi Lulzim
"Svatek Ladislav, Ing."
"TRI VODY, s.r.o."
"Chvostal Frantisek, Ing."
"Urbanova Alexandra, Mgr."
EKOLEKAREN ZL s. r .o.
AGROPODNIK SLAMOZ spol. s r.o.
"Antos Dusan, Ing."
Vdovjakova Eva
"Kochmanova Nadezda, RNDr."
"Austen Richard, Ing."
TIP travel a.s.
Slovensky polovnicky zvaz
"Juhas Ivan, Ing."
"Energo commerce, s. r. o."
"Filistein Roman, Mgr."
"Adamec Jan, Ing."
"Radio VIVA, a.s. v konkurze"
Homola Martin
"FOOD POINT, s.r.o."
AGC Trencin s.r.o.
Kaleta Heribert
Mediterran Slovakia s.r.o.
"Krampl Igor, Ing."
"Bulik Vladimir, Ing."
"Vysoky Robert, Ing."
Cako Abdulbesir
"Lampert Vojtech, Ing."
Medzinarodny vysehradsky fond
"K+R SPEKTRUM, s.r.o."
DAMON - TRADE s.r.o.
"Orsag Marian, Ing."
Yenisey s.r.o.
"KK - INVEST, s.r.o."
"Skokan Rudolf, Bc."
"TECHNOPOL, a.s."
"Weiss Robert, Ing."
"Dravecky Frantisek, Ing."
"Blizniak Peter, Ing."
CZ ECAV  Dubravka
Mestsky Futbalovy Klub Kosice a.s.
"AUTO TAURIS, S.R.O."
Kapuscinsky Robert
"Poor Juraj, Ing."
"MCSyncro Bratislava, s.r.o."
Ing. Tibor Varga - VITAFLORA
"Tynus Jozef, Ing."
LOGISTICA s.r.o.
"Trnik Milan, MUDr."
IMPULS Trnavka s.r.o.
Horvat Otto
Krajcik Emil
"Kotlar Jan, RNDr."
"Gerberova Vlasta, Ing."
"Petrus Tibor, Ing."
"POPPER Development, s.r.o."
BONYR s. r. o.
Kankulova Judita
EZAT
"Holko Igor, Ing."
"Pittner Jozef, Ing."
"Krssak Milos, Ing."
IB Trading s.r.o.
"SKS - S, s.r.o."
"Stano Michal, Mgr."
"Beljajev Alexej, Ing."
01 Marketing House s.r.o.
JELL J.I. spol. s r.o.
"Skerlik Julian, Ing."
"DS - PPH, s.r.o."
Rezesova Eva
"Tetra Pak, a.s."
KOCHMAN INFORMATION SYSTEMS &
"LIMEX OMEGA, s.r.o."
"FACTOFIN, a. s."
Silhar Jozef
"Kralovenska Elena, Mgr."
"LINEA Slovensko, spol. s r.o."
RAPID Slovakia s.r.o.
"Horvath Ivan Miklos, Dr."
"Bernard Sylvain, Ing."
AlcaNivy a. s.
Firkova Lubov
CRESCO REAL ESTATE a. s.
"STAMART INVEST, s.r.o."
Kazda Mario
SINTRA spol. s r.o.
"Grman Alexander, Ing."
EQ Engineers Slovakia
"HOCK, s.r.o."
"KN Invest, s.r.o."
"Lestachova Eva, Ing."
"Zelem Patrik, Ing."
"Benovic Igor, Ing."
Pastirik Jan
"Belopotocka Gabriela, Ing."
CK PRESSBURG KUPELNA s.r.o.
"TATRAMAT - ohrievace vody, s.r.o."
"PARADISO Slovakia, s.r.o."
"Cibulka Martin, Ing."
"IDEAL - MONT , spol. s r.o."
Mlyn Trencan spol. s r.o.
other_assets_other_liabilities_SVK
"Cesnek Viktor, Ing., CSc."
"NOVINT, s.r.o."
"COAGRO - DUNAJSKY KLATOV, A.S."
Dzanajova Darina
"Siska Karol, Ing., PhD."
