name,industry
PRIMALL SHPK,CONSUMER DISCRETIONARY
ADI GAZ 2014 SHPK,CONSUMER DISCRETIONARY
VELLEZERIT HYSA SHPK,INDUSTRIALS
LANDWAYS INTERNATIONAL SHPK,CONSUMER DISCRETIONARY
GROUP BRAKA,ENERGY
TYRES GROUP ALBANIA SHPK,CONSUMER STAPLES
TIRANA INTERNATIONAL SCHOOL,CONSUMER DISCRETIONARY
ILIR,ENERGY
EUROLAT SHPK,CONSUMER STAPLES
CRYSTAL SHPK,CONSUMER STAPLES
RAMETAL SHPK,MATERIALS
ALBA-EUREKA SHPK,REAL ESTATE
ZGALEM K.G SHPK,INDUSTRIALS
PRO -FAST SHPK,CONSUMER STAPLES
T-MEDSS SHPK,INDUSTRIALS
INVESTAR SHPK,INDUSTRIALS
ARKO-2001 SHPK,REAL ESTATE
CONCORD INVESTMENT SHPK,REAL ESTATE
SPOT COMMUNICATIONS SHPK,CONSUMER DISCRETIONARY
ALBA-TRANS SHPK,INDUSTRIALS
EDG NATURAL GAS SHPK,ENERGY
HILTI ALBANIA SHPK,INDUSTRIALS
O.E.S DISTRIMED SHPK,HEALTH CARE
KLERVIBRIS SHPK,MATERIALS
GROUP ANAIS,CONSUMER DISCRETIONARY
MERCURI SHPK,CONSUMER STAPLES
RINOVA_X GROUP SHPK,CONSUMER STAPLES
TEQJA INTERNATIONAL SHA,MATERIALS
AGRANA-STUDEN ALBANIA,CONSUMER STAPLES
TRANZIT SHPK,FINANCIALS
EAST MEDITERRANEAN SHA,ENERGY
STAR AIRWAYS ALBANIA SHPK,NOT RELEVANT
CLASSIC SHPK,CONSUMER DISCRETIONARY
KASTRIOTI & PETROL SHPK,CONSUMER DISCRETIONARY
QAFSHTAMA SHPK,CONSUMER STAPLES
"""B.B INTERNACIONAL GROUP"" SHPK",CONSUMER STAPLES
AS CONSTRUCTION SHPK,INDUSTRIALS
WOODROW WILSON INTERNATIONAL,CONSUMER DISCRETIONARY
EUROPETROL DURRES ALBANIA SHA,INDUSTRIALS
PWT WASSER-UND ABWASSERTECHNIK DEGE,INDUSTRIALS
BRANDNET SHPK,CONSUMER DISCRETIONARY
SE-TUR SHPK,REAL ESTATE
RFZ BUILDING SHPK,INDUSTRIALS
PROGEEN SHPK,REAL ESTATE
GROUP ITE GRUP SHPK,INDUSTRIALS
Group Gjoka ,INDUSTRIALS
ABC NEWS SHA,COMMUNICATIONS
COLOR BODY SHPK,INDUSTRIALS
Cargotec Albania,CONSUMER DISCRETIONARY
DISTILERIA DURRES 2010 SHPK,CONSUMER STAPLES
M.C. INERTE SHPK,INDUSTRIALS
BUJARI-PETROL SHPK,CONSUMER DISCRETIONARY
TIRANA LOGISTIC PARK SHPK,CONSUMER DISCRETIONARY
ALBANIAN FERRY TERMINAL OPERATOR,INDUSTRIALS
MEKTRIN TRUCKS SHA,CONSUMER DISCRETIONARY
AV GAS DISTRIBUTION SHA,INDUSTRIALS
ALBANIA PETROLEUM INVESTMENT,ENERGY
MESSER ALBAGAZ SHPK,ENERGY
