industry,separate_beginning,frequency
COMMUNICATIONS,<NONE>,82
CONSUMER DISCRETIONARY,<NONE>,568
CONSUMER DISCRETIONARY,AUTO,10
CONSUMER DISCRETIONARY,GROUP,24
CONSUMER DISCRETIONARY,Group,10
CONSUMER DISCRETIONARY,TIRANA,10
CONSUMER STAPLES,<NONE>,360
CONSUMER STAPLES,EURO,10
CONSUMER STAPLES,GROUP,14
ENERGY,<NONE>,144
ENERGY,GROUP,10
FINANCIALS,<NONE>,24
HEALTH CARE,<NONE>,78
INDUSTRIALS,<NONE>,612
INDUSTRIALS,GROUP,22
INDUSTRIALS,VEGA,10
INFORMATION TECHNOLOGY,<NONE>,42
MATERIALS,<NONE>,196
NOT RELEVANT,<NONE>,94
REAL ESTATE,<NONE>,68
UTILITIES,<NONE>,88
industry,<NONE>,1
