industry,separate_ending,frequency
COMMUNICATIONS,<NONE>,318
COMMUNICATIONS,AG,24
COMMUNICATIONS,Austria,12
COMMUNICATIONS,Betrieb,12
COMMUNICATIONS,Gesellschaft,12
COMMUNICATIONS,Gm,12
COMMUNICATIONS,Gmb,12
COMMUNICATIONS,GmbH,330
COMMUNICATIONS,KG,54
COMMUNICATIONS,m.b.,12
COMMUNICATIONS,m.b.H,12
CONSUMER DISCRETIONARY,<NONE>,1650
CONSUMER DISCRETIONARY,&,36
CONSUMER DISCRETIONARY,AG,168
CONSUMER DISCRETIONARY,Aktiengesellsch,12
CONSUMER DISCRETIONARY,Aktiengesellschaft,36
CONSUMER DISCRETIONARY,Au,12
CONSUMER DISCRETIONARY,Austria,42
CONSUMER DISCRETIONARY,Beteiligungs,12
CONSUMER DISCRETIONARY,Betr,12
CONSUMER DISCRETIONARY,Co,36
CONSUMER DISCRETIONARY,Co.,12
CONSUMER DISCRETIONARY,G,30
CONSUMER DISCRETIONARY,GMBH,144
CONSUMER DISCRETIONARY,Ges.m.b.,18
CONSUMER DISCRETIONARY,Ges.m.b.H.,66
CONSUMER DISCRETIONARY,Gesell,12
CONSUMER DISCRETIONARY,Gesells,18
CONSUMER DISCRETIONARY,Gesellsch,18
CONSUMER DISCRETIONARY,Gesellscha,30
CONSUMER DISCRETIONARY,Gesellschaf,24
CONSUMER DISCRETIONARY,Gesellschaft,72
CONSUMER DISCRETIONARY,GesmbH,30
CONSUMER DISCRETIONARY,Gm,42
CONSUMER DISCRETIONARY,Gmb,18
CONSUMER DISCRETIONARY,GmbH,3312
CONSUMER DISCRETIONARY,GmbH.,18
CONSUMER DISCRETIONARY,HandelsGmbH,12
CONSUMER DISCRETIONARY,HandelsgmbH,18
CONSUMER DISCRETIONARY,Holding,30
CONSUMER DISCRETIONARY,Innsbruck,12
CONSUMER DISCRETIONARY,K,24
CONSUMER DISCRETIONARY,KG,318
CONSUMER DISCRETIONARY,KG.,24
CONSUMER DISCRETIONARY,Kaiser,12
CONSUMER DISCRETIONARY,Liegenschaftsverwaltung,12
CONSUMER DISCRETIONARY,O,12
CONSUMER DISCRETIONARY,Pichler,12
CONSUMER DISCRETIONARY,Privatstiftung,12
CONSUMER DISCRETIONARY,Salzburg,12
CONSUMER DISCRETIONARY,Schuh,12
CONSUMER DISCRETIONARY,Werbeagentur,12
CONSUMER DISCRETIONARY,e,12
CONSUMER DISCRETIONARY,e.U.,36
CONSUMER DISCRETIONARY,gmbh,18
CONSUMER DISCRETIONARY,m,30
CONSUMER DISCRETIONARY,m.b,24
CONSUMER DISCRETIONARY,m.b.,12
CONSUMER DISCRETIONARY,m.b.H,42
CONSUMER DISCRETIONARY,m.b.H.,174
CONSUMER DISCRETIONARY,mbH,42
CONSUMER DISCRETIONARY,und,18
CONSUMER STAPLES,<NONE>,1068
CONSUMER STAPLES,AG,96
CONSUMER STAPLES,AGRANA,12
CONSUMER STAPLES,Aktiengesellschaft,12
CONSUMER STAPLES,Austria,12
CONSUMER STAPLES,Co,18
CONSUMER STAPLES,G,18
CONSUMER STAPLES,GMBH,66
CONSUMER STAPLES,Ge,12
CONSUMER STAPLES,Ges.m.b.H.,18
CONSUMER STAPLES,Gesellschaf,12
CONSUMER STAPLES,Gesellschaft,18
CONSUMER STAPLES,Gm,24
CONSUMER STAPLES,Gmb,24
CONSUMER STAPLES,GmbH,1374
CONSUMER STAPLES,Holding,24
CONSUMER STAPLES,K,12
CONSUMER STAPLES,KG,138
CONSUMER STAPLES,OG,12
CONSUMER STAPLES,e.U.,12
CONSUMER STAPLES,eGen,60
CONSUMER STAPLES,gmbh,12
CONSUMER STAPLES,m.,36
CONSUMER STAPLES,m.b.H.,90
ENERGY,<NONE>,84
ENERGY,AG,24
ENERGY,GmbH,120
ENERGY,m.b.H.,12
FINANCIALS,<NONE>,672
FINANCIALS,AG,18
FINANCIALS,Co,18
FINANCIALS,Europe,12
FINANCIALS,G,30
FINANCIALS,GMBH,12
FINANCIALS,Ges,12
FINANCIALS,Gesel,12
FINANCIALS,Gesells,24
FINANCIALS,Gm,36
FINANCIALS,Gmb,12
FINANCIALS,GmbH,498
FINANCIALS,KG,18
FINANCIALS,Leasing,12
FINANCIALS,Liqu.,18
FINANCIALS,Privatstiftung,90
FINANCIALS,Proje,12
FINANCIALS,Raiffeisen,12
FINANCIALS,Raiffeisen-Immobilien-,30
FINANCIALS,Raiffeisen-Immobilien-Leasi,12
FINANCIALS,Raiffeisen-Immobilien-Leasin,42
FINANCIALS,Raiffeisen-Immobilien-Leasing,66
FINANCIALS,Tir,12
FINANCIALS,eGen,12
FINANCIALS,gmbh,12
FINANCIALS,m.b.H.,24
FINANCIALS,mbH,18
FINANCIALS,und,12
HEALTH CARE,<NONE>,774
HEALTH CARE,AG,54
HEALTH CARE,Beteiligungsgesellschaft,12
HEALTH CARE,Betrieb,12
HEALTH CARE,GMBH,12
HEALTH CARE,Gesellschaft,12
HEALTH CARE,GesmbH,18
HEALTH CARE,GmbH,636
HEALTH CARE,GmbH.,12
HEALTH CARE,KG,30
HEALTH CARE,Pharma,12
HEALTH CARE,Privatstiftung,12
HEALTH CARE,R,12
HEALTH CARE,Wien,12
HEALTH CARE,gemeinnützige,12
HEALTH CARE,mbH,12
HEALTH CARE,un,12
HEALTH CARE,und,18
INDUSTRIALS,<NONE>,3690
INDUSTRIALS,&,42
INDUSTRIALS,-,12
INDUSTRIALS,A,30
INDUSTRIALS,AG,264
INDUSTRIALS,Aktiengesellsc,12
INDUSTRIALS,Aktiengesellschaft,18
INDUSTRIALS,Austria,48
INDUSTRIALS,Bau,12
INDUSTRIALS,Baugesell,12
INDUSTRIALS,Baugesellschaft,12
INDUSTRIALS,Beteiligungs,12
INDUSTRIALS,C,24
INDUSTRIALS,Center,12
INDUSTRIALS,Co,18
INDUSTRIALS,Co.,12
INDUSTRIALS,Co.KG,18
INDUSTRIALS,Co.KG.,18
INDUSTRIALS,CoKG,24
INDUSTRIALS,D,12
INDUSTRIALS,D.O.O.,24
INDUSTRIALS,Eastern,12
INDUSTRIALS,G,72
INDUSTRIALS,GM,30
INDUSTRIALS,GMBH,336
INDUSTRIALS,Ge,12
INDUSTRIALS,Ges,18
INDUSTRIALS,Ges.m.,12
INDUSTRIALS,Ges.m.b,12
INDUSTRIALS,Ges.m.b.H.,138
INDUSTRIALS,Ges.mbH,18
INDUSTRIALS,Gese,18
INDUSTRIALS,Gesel,18
INDUSTRIALS,Gesell,24
INDUSTRIALS,Gesells,12
INDUSTRIALS,Gesellsc,30
INDUSTRIALS,Gesellsch,30
INDUSTRIALS,Gesellscha,12
INDUSTRIALS,Gesellschaf,54
INDUSTRIALS,Gesellschaft,96
INDUSTRIALS,GesmbH,90
INDUSTRIALS,GesmbH.,12
INDUSTRIALS,Gm,108
INDUSTRIALS,Gmb,120
INDUSTRIALS,GmbH,7194
INDUSTRIALS,GmbH.,30
INDUSTRIALS,Graf,12
INDUSTRIALS,HOLDING,18
INDUSTRIALS,Handels,12
INDUSTRIALS,HandelsGmbH,12
INDUSTRIALS,Holding,126
INDUSTRIALS,In,12
INDUSTRIALS,Industrieholding,18
INDUSTRIALS,Industries,12
INDUSTRIALS,KG,420
INDUSTRIALS,KG.,30
INDUSTRIALS,Limited,18
INDUSTRIALS,Liqu.,24
INDUSTRIALS,Logistics,12
INDUSTRIALS,M.B.H.,12
INDUSTRIALS,Management,24
INDUSTRIALS,Niederösterreich,18
INDUSTRIALS,O,42
INDUSTRIALS,OG,24
INDUSTRIALS,Oberösterreich,12
INDUSTRIALS,Palfinger,12
INDUSTRIALS,Privatstiftung,42
INDUSTRIALS,Pölten,12
INDUSTRIALS,R,12
INDUSTRIALS,Recycling,18
INDUSTRIALS,Rhomberg,12
INDUSTRIALS,SE,18
INDUSTRIALS,Salzburg,12
INDUSTRIALS,Saubermacher,12
INDUSTRIALS,Service,18
INDUSTRIALS,Stage,12
INDUSTRIALS,Steiermark,12
INDUSTRIALS,Theurer,12
INDUSTRIALS,Tiefb,12
INDUSTRIALS,Wien,18
INDUSTRIALS,Wirtscha,12
INDUSTRIALS,Wirtschaft,18
INDUSTRIALS,Wirtschaftsprüf,18
INDUSTRIALS,besch,12
INDUSTRIALS,e.U.,12
INDUSTRIALS,gmbh,36
INDUSTRIALS,kg,12
INDUSTRIALS,m,36
INDUSTRIALS,m.,36
INDUSTRIALS,m.b,30
INDUSTRIALS,m.b.,78
INDUSTRIALS,m.b.H,36
INDUSTRIALS,m.b.H.,540
INDUSTRIALS,mbH,54
INDUSTRIALS,u,18
INDUSTRIALS,un,12
INDUSTRIALS,und,54
INDUSTRIALS,Österreich,18
INFORMATION TECHNOLOGY,<NONE>,456
INFORMATION TECHNOLOGY,AG,78
INFORMATION TECHNOLOGY,Aktiengesellschaft,12
INFORMATION TECHNOLOGY,G,12
INFORMATION TECHNOLOGY,GMBH,18
INFORMATION TECHNOLOGY,GesmbH,12
INFORMATION TECHNOLOGY,Gm,12
INFORMATION TECHNOLOGY,Gmb,12
INFORMATION TECHNOLOGY,GmbH,870
INFORMATION TECHNOLOGY,Informatik,12
INFORMATION TECHNOLOGY,KG,18
MATERIALS,<NONE>,1002
MATERIALS,&,18
MATERIALS,A,12
MATERIALS,AG,132
MATERIALS,Aktiengesellschaft,30
MATERIALS,Austria,12
MATERIALS,Co.KG,24
MATERIALS,Corporation,12
MATERIALS,Egger,12
MATERIALS,Europe,12
MATERIALS,G,18
MATERIALS,GMBH,72
MATERIALS,Ges.m.b.H.,42
MATERIALS,Gesellscha,18
MATERIALS,GesmbH,18
MATERIALS,Gm,18
MATERIALS,Gmb,12
MATERIALS,GmbH,1518
MATERIALS,GmbH.,12
MATERIALS,Holding,18
MATERIALS,Holzindustrie,12
MATERIALS,KG,66
MATERIALS,Karton,12
MATERIALS,MBH,12
MATERIALS,OG,18
MATERIALS,Plastics,12
MATERIALS,gmbh,12
MATERIALS,m.,18
MATERIALS,m.b,18
MATERIALS,m.b.,18
MATERIALS,m.b.H,12
MATERIALS,m.b.H.,36
MATERIALS,s.r.o.,12
MATERIALS,voestalpine,12
NOT RELEVANT,<NONE>,1962
NOT RELEVANT,&,18
NOT RELEVANT,AG,96
NOT RELEVANT,Austria,12
NOT RELEVANT,C,12
NOT RELEVANT,Co,12
NOT RELEVANT,Erwin,12
NOT RELEVANT,G,30
NOT RELEVANT,GM,12
NOT RELEVANT,GMBH,108
NOT RELEVANT,Ges.m.b.H.,54
NOT RELEVANT,Gesellscha,12
NOT RELEVANT,Gesellschaf,12
NOT RELEVANT,GesmbH,24
NOT RELEVANT,Gm,30
NOT RELEVANT,Gmb,30
NOT RELEVANT,GmbH,1206
NOT RELEVANT,GmbH.,12
NOT RELEVANT,Graz,12
NOT RELEVANT,Handelsgesellschaft,12
NOT RELEVANT,Heinrich,12
NOT RELEVANT,Holding,12
NOT RELEVANT,II,12
NOT RELEVANT,KG,120
NOT RELEVANT,Karl,12
NOT RELEVANT,Kft.,12
NOT RELEVANT,MBH,12
NOT RELEVANT,OG,12
NOT RELEVANT,Privatstiftung,48
NOT RELEVANT,U,12
NOT RELEVANT,Walter,12
NOT RELEVANT,Wien,12
NOT RELEVANT,m,18
NOT RELEVANT,m.b,12
NOT RELEVANT,m.b.H,12
NOT RELEVANT,m.b.H.,108
NOT RELEVANT,mbH,18
NOT RELEVANT,und,18
NOT RELEVANT,Österreich,12
REAL ESTATE,<NONE>,1236
REAL ESTATE,&,12
REAL ESTATE,AG,108
REAL ESTATE,Bau-,12
REAL ESTATE,"Bau-,",12
REAL ESTATE,Be,12
REAL ESTATE,Friedenswerk,12
REAL ESTATE,G,30
REAL ESTATE,GMBH,24
REAL ESTATE,Gemeinn.,24
REAL ESTATE,Gemeinnützige,42
REAL ESTATE,Georg,12
REAL ESTATE,Gesellsch,12
REAL ESTATE,GesmbH,12
REAL ESTATE,Gm,12
REAL ESTATE,Gmb,18
REAL ESTATE,GmbH,1344
REAL ESTATE,Handels-und,12
REAL ESTATE,Holdi,12
REAL ESTATE,Holding,18
REAL ESTATE,Immobilien,18
REAL ESTATE,Immobilien-,18
REAL ESTATE,K,12
REAL ESTATE,KG,48
REAL ESTATE,OG,12
REAL ESTATE,Parking,12
REAL ESTATE,Privatstiftung,30
REAL ESTATE,Raiffeisen-Immobilien-Leas,12
REAL ESTATE,Raiffeisen-Immobilien-Leasin,24
REAL ESTATE,Raiffeisen-Immobilien-Leasing,12
REAL ESTATE,Raiffeisen-Leasing,12
REAL ESTATE,Siedlungs-,24
REAL ESTATE,Siedlungsgen.,24
REAL ESTATE,Siedlungswerk,12
REAL ESTATE,WG.,12
REAL ESTATE,Wohn-,18
REAL ESTATE,Wohnungs-,18
REAL ESTATE,f.,12
REAL ESTATE,gemeinnützige,12
REAL ESTATE,m.b.H.,42
REAL ESTATE,u.,18
REAL ESTATE,un,12
REAL ESTATE,und,60
UTILITIES,<NONE>,360
UTILITIES,AG,90
UTILITIES,G,12
UTILITIES,GMBH,60
UTILITIES,Gmb,18
UTILITIES,GmbH,444
UTILITIES,KG,24
UTILITIES,Wels,12
UTILITIES,m.b.H.,12
industry,<NONE>,5
