name,industry,frequency
"""KORLEA"" D.O.O.",UTILITIES,4
1 MAJ DOO KOZARSKA,CONSUMER DISCRETIONARY,4
10 JULI BOSANSKA KRUPA,UTILITIES,4
2 OKTOBAR DD,NOT RELEVANT,4
21 MAJ DOO BANJA,MATERIALS,4
2C CON CAT DOO,INDUSTRIALS,4
3 EM GROUP DOO GORNJI VAKUF USKOPLJ,MATERIALS,4
3 N AG ZA NEK POSL MEN KONS VL SIRB,FINANCIALS,4
365 BTL DOO BANJA,COMMUNICATIONS,4
4 APRIL DOO BALATUN,CONSUMER DISCRETIONARY,4
4M DOO LJESKOVAC,INDUSTRIALS,4
4TH DIMENSION DOO,INFORMATION TECHNOLOGY,4
58 DOO,NOT RELEVANT,4
5TH DIMENSION DOO,INFORMATION TECHNOLOGY,4
9 SEPTEMBAR DD,INDUSTRIALS,4
96 DOO,CONSUMER DISCRETIONARY,4
A & D DOO,INDUSTRIALS,4
A COMPUTERS DOO,CONSUMER DISCRETIONARY,4
A D S KOMERC DOO,CONSUMER STAPLES,4
A L GRIZELJ DOO,CONSUMER DISCRETIONARY,4
A SPV DOO,REAL ESTATE,4
A.C.I. DOO,CONSUMER DISCRETIONARY,4
A2B EXPRESS DELIVERY DOO,INDUSTRIALS,4
A3,INDUSTRIALS,4
A3 DOO SIROKI,INDUSTRIALS,4
AAA 1 RENT DOO,INDUSTRIALS,8
AB LINE DOO,CONSUMER DISCRETIONARY,4
AB TECHNICS DOO,INDUSTRIALS,4
ABB DOO ZAGREB PREDSTAVNISTVO ZA BI,CONSUMER DISCRETIONARY,4
ABBVIE DOO,HEALTH CARE,4
ABC 1968 DOO,CONSUMER DISCRETIONARY,4
ABC SOFTWARE DOO PODRUZNICA,INFORMATION TECHNOLOGY,4
ABC TECH,INFORMATION TECHNOLOGY,4
ABI BS DOO,INDUSTRIALS,4
ABI DOO SUHACA NOVI,CONSUMER DISCRETIONARY,4
ABI TRANS DOO NOVI,INDUSTRIALS,4
ABIS DOO MASLOVARE KOTOR,MATERIALS,4
ABONOS DOO BUZIM,INDUSTRIALS,4
AC FOOD DOO VELIKA,CONSUMER STAPLES,4
AC QUATTRO RENT DOO,INDUSTRIALS,4
ACMA BOSANSKA,INDUSTRIALS,4
ACMA DOO BOSANSKA,INDUSTRIALS,4
ACMA GROUP DOO BOSANSKA,INDUSTRIALS,4
ACMBH,INDUSTRIALS,4
ACO DOO,INDUSTRIALS,4
ACS AUTO CENTAR SKOLJIC DOO,CONSUMER DISCRETIONARY,4
ACTIVIJA DOO ZEPCE,CONSUMER STAPLES,4
ACTROS D.O.O.,INDUSTRIALS,4
AD,INDUSTRIALS,8
AD PRIJEDOR,UTILITIES,4
ADAZAL DOO,CONSUMER DISCRETIONARY,4
ADEM,CONSUMER STAPLES,4
ADLER UDRUZENJE ZA PROMO BOKSA I BO,NOT RELEVANT,4
ADNA COMMERC DOO,NOT RELEVANT,4
ADONIS PZU APOTEKA LUKAVAC,CONSUMER STAPLES,4
ADRIA HISHTIL RASADNIK,CONSUMER STAPLES,4
ADRIA NET,COMMUNICATIONS,4
ADUNA HUT DD,CONSUMER DISCRETIONARY,4
AECOM,INDUSTRIALS,4
AERO EXCLUSIVE DOO,CONSUMER DISCRETIONARY,4
AES TRANS DOO,INDUSTRIALS,4
AFA RACING DOO,CONSUMER DISCRETIONARY,4
AFIP DD,FINANCIALS,4
AFTER DOO GRACANICA,INFORMATION TECHNOLOGY,4
AG PODRUZNICA,INDUSTRIALS,4
AG POSLOVNA JEDINICA BANJA,INDUSTRIALS,4
AGENCIJA LI BUS DOO LIVN,INDUSTRIALS,4
AGILE CAPITAL MENAGEMENT DOO GRACAN,INDUSTRIALS,4
AGRA DOO,INDUSTRIALS,4
AGRAGOLD DOO,CONSUMER STAPLES,4
AGRAMSERVIS DOO,CONSUMER DISCRETIONARY,4
AGREGATI I BETONI PUT DOO,MATERIALS,4
AGREKS,CONSUMER STAPLES,4
AGREKS DOO DONJI ZABAR,CONSUMER STAPLES,4
AGRICOM DOO,CONSUMER STAPLES,4
AGRINATURA,CONSUMER STAPLES,4
AGRIPET DOO,CONSUMER DISCRETIONARY,4
AGRO CENTAR SJEMENARNA DOO,NOT RELEVANT,4
AGRO DANIJEL DOO,INDUSTRIALS,4
AGROCENTAR LIJEVCE DOO,MATERIALS,4
AGROCOOP D O O,INDUSTRIALS,4
AGRODAR P O,CONSUMER STAPLES,4
AGROEKONOMIK DOO,CONSUMER STAPLES,4
AGROFLORA DOO KOZARSKA DUBICA,MATERIALS,4
AGROGOSTUSA DOO SIROKI,NOT RELEVANT,4
AGROIMPEX NOVA DOO BANJA,CONSUMER STAPLES,4
AGROKOR ZAGREB DOO,NOT RELEVANT,4
AGROKRAJINA AD BANJA,NOT RELEVANT,4
AGROMARKET DOO,INDUSTRIALS,4
AGROMEHANIKA KOMERC DOO,CONSUMER DISCRETIONARY,4
AGROMIX DOO,CONSUMER STAPLES,4
AGROMIX TRANSPORTI DOO,INDUSTRIALS,4
AGROSEMBERIJA POSL ZADRUZNI SAVEZ,NOT RELEVANT,4
AGROSIDEKS DOO,NOT RELEVANT,4
AGROSTOK,CONSUMER STAPLES,4
AGROTEHNIKA DOO,INDUSTRIALS,4
AGROUNIJA,CONSUMER STAPLES,4
AGROVOCE DOO,CONSUMER STAPLES,4
AHSUN SIROVINACOMERC DOO ILIJAS,INDUSTRIALS,4
AIDA COMMERCE DOO,INDUSTRIALS,4
AIESEC LC,NOT RELEVANT,4
AJDARED DOO,CONSUMER STAPLES,4
AKADEMIJA 387 DOO,CONSUMER DISCRETIONARY,4
AKADEMIJA LIKOVNIH UMJETNOSTI,CONSUMER DISCRETIONARY,4
AKADEMIJA NAUKA I UMJETNOSTI BIH,INDUSTRIALS,4
AKOVA IMPEX DOO,CONSUMER STAPLES,4
AKTON TELEKOMUNIKACIJSKI INZINJE DO,COMMUNICATIONS,4
AKVAMONTMERC DOO ISTOCNO,INDUSTRIALS,4
ALARM GROSS DOO,REAL ESTATE,4
ALAS KAMEN DOO,MATERIALS,4
ALBA METALI RS DOO,INDUSTRIALS,4
ALBA ZENICA DOO,INDUSTRIALS,4
ALBEX GROUPE DOO,INDUSTRIALS,4
ALBEX GROUPE SIROVINA KOZA KRZNO DO,CONSUMER DISCRETIONARY,4
ALBO DOO BANJA,CONSUMER DISCRETIONARY,4
ALCON PHARMACEUTICALS BH,INDUSTRIALS,4
ALCOOP DOO,CONSUMER DISCRETIONARY,4
ALDA,INFORMATION TECHNOLOGY,4
ALDI UDRUZE ZA LOKAL RAZVO INICIJAT,NOT RELEVANT,4
ALEA DR KANDIC ZDRAVSTVENA USTANOVA,HEALTH CARE,4
ALEKSA DOO,CONSUMER STAPLES,4
ALEKSA DOO BIJELJINA PJ BR,CONSUMER STAPLES,4
ALEKSA DOO BIJELJINA PJ KIOS,CONSUMER STAPLES,4
ALEKSA DOO PJ BR 16 BIJELJI,CONSUMER STAPLES,4
ALEKSA DOO PJ BR 17 BIJELJIN,CONSUMER STAPLES,4
