industry,separate_ending,frequency
COMMUNICATIONS,<NONE>,148
COMMUNICATIONS,DOO,28
COMMUNICATIONS,LUKA,24
COMMUNICATIONS,MOSTAR,12
COMMUNICATIONS,SARAJEVO,112
CONSUMER DISCRETIONARY,<NONE>,668
CONSUMER DISCRETIONARY,BANJA,12
CONSUMER DISCRETIONARY,BANJALUKA,52
CONSUMER DISCRETIONARY,BIH,24
CONSUMER DISCRETIONARY,BIHAC,84
CONSUMER DISCRETIONARY,BIJELJINA,80
CONSUMER DISCRETIONARY,BRCKO,68
CONSUMER DISCRETIONARY,BRIJEG,60
CONSUMER DISCRETIONARY,BUGOJNO,12
CONSUMER DISCRETIONARY,BUZIM,12
CONSUMER DISCRETIONARY,CAPLJINA,28
CONSUMER DISCRETIONARY,CAZIN,52
CONSUMER DISCRETIONARY,CITLUK,20
CONSUMER DISCRETIONARY,D.O.O.,12
CONSUMER DISCRETIONARY,DERVENTA,20
CONSUMER DISCRETIONARY,DISTRIKT,12
CONSUMER DISCRETIONARY,DOBOJ,20
CONSUMER DISCRETIONARY,DOO,188
CONSUMER DISCRETIONARY,DUBICA,12
CONSUMER DISCRETIONARY,FOJNICA,12
CONSUMER DISCRETIONARY,GRACANICA,60
CONSUMER DISCRETIONARY,GRAD,12
CONSUMER DISCRETIONARY,GRADACAC,32
CONSUMER DISCRETIONARY,GRADISKA,20
CONSUMER DISCRETIONARY,GRUDE,28
CONSUMER DISCRETIONARY,KAKANJ,16
CONSUMER DISCRETIONARY,KISELJAK,36
CONSUMER DISCRETIONARY,KLADUSA,36
CONSUMER DISCRETIONARY,KRUPA,12
CONSUMER DISCRETIONARY,LAKTASI,44
CONSUMER DISCRETIONARY,LJUBUSKI,56
CONSUMER DISCRETIONARY,LUKA,176
CONSUMER DISCRETIONARY,LUKAVAC,16
CONSUMER DISCRETIONARY,MEEVIC,12
CONSUMER DISCRETIONARY,MODRICA,12
CONSUMER DISCRETIONARY,MOST,20
CONSUMER DISCRETIONARY,MOSTAR,128
CONSUMER DISCRETIONARY,ORASJE,16
CONSUMER DISCRETIONARY,POSUSJE,36
CONSUMER DISCRETIONARY,PRIJEDOR,12
CONSUMER DISCRETIONARY,S,12
CONSUMER DISCRETIONARY,SA,20
CONSUMER DISCRETIONARY,SARAJ,20
CONSUMER DISCRETIONARY,SARAJEVO,772
CONSUMER DISCRETIONARY,SARAJEVU,12
CONSUMER DISCRETIONARY,SREBRENIK,24
CONSUMER DISCRETIONARY,TESANJ,88
CONSUMER DISCRETIONARY,TRAVNIK,20
CONSUMER DISCRETIONARY,TREBINJE,12
CONSUMER DISCRETIONARY,TUZLA,60
CONSUMER DISCRETIONARY,UDRUZENJE,12
CONSUMER DISCRETIONARY,VISOKO,40
CONSUMER DISCRETIONARY,VITEZ,52
CONSUMER DISCRETIONARY,ZENICA,48
CONSUMER DISCRETIONARY,ZEPCE,36
CONSUMER DISCRETIONARY,ZIVINICE,32
CONSUMER DISCRETIONARY,ZVORNIK,16
CONSUMER STAPLES,<NONE>,508
CONSUMER STAPLES,B,16
CONSUMER STAPLES,BANJALUKA,28
CONSUMER STAPLES,BIHAC,48
CONSUMER STAPLES,BIJELJINA,44
CONSUMER STAPLES,BILECA,12
CONSUMER STAPLES,BRCKO,48
CONSUMER STAPLES,BRIJEG,36
CONSUMER STAPLES,BROD,12
CONSUMER STAPLES,BUGOJNO,16
CONSUMER STAPLES,CAPLJINA,28
CONSUMER STAPLES,CAZIN,16
CONSUMER STAPLES,CITLUK,36
CONSUMER STAPLES,DD,12
CONSUMER STAPLES,DOBOJ,12
CONSUMER STAPLES,DOO,112
CONSUMER STAPLES,GRACANICA,12
CONSUMER STAPLES,GRAD,16
CONSUMER STAPLES,GRADACAC,12
CONSUMER STAPLES,GRADISKA,28
CONSUMER STAPLES,GRUDE,16
CONSUMER STAPLES,IBRAHIMPAIC,12
CONSUMER STAPLES,KAKANJ,20
CONSUMER STAPLES,KISELJAK,16
CONSUMER STAPLES,KLADUSA,20
CONSUMER STAPLES,KUPRES,12
CONSUMER STAPLES,LAKTASI,60
CONSUMER STAPLES,LIVNO,12
CONSUMER STAPLES,LJUBUSKI,16
CONSUMER STAPLES,LUKA,64
CONSUMER STAPLES,MOSTAR,32
CONSUMER STAPLES,ORASJE,12
CONSUMER STAPLES,PALE,12
CONSUMER STAPLES,POSUSJE,12
CONSUMER STAPLES,PRIJEDOR,20
CONSUMER STAPLES,PRNJAVOR,28
CONSUMER STAPLES,SAMAC,12
CONSUMER STAPLES,SARAJEVO,348
CONSUMER STAPLES,SREBRENIK,12
CONSUMER STAPLES,TESANJ,24
CONSUMER STAPLES,TESLIC,20
CONSUMER STAPLES,TOMISLAVGRAD,24
CONSUMER STAPLES,TRAVNIK,20
CONSUMER STAPLES,TREBINJE,20
CONSUMER STAPLES,TUZLA,48
CONSUMER STAPLES,VISOKO,16
CONSUMER STAPLES,VITEZ,16
CONSUMER STAPLES,ZENICA,32
CONSUMER STAPLES,ZVORNIK,20
