name,industry
STARÝ TIMBER S.R.O.,MATERIALS
SUBGROUP WORMELEN CONSOLIDATED,CONSUMER DISCRETIONARY
"NORBERT SCHALLER, spol. s r.o.",NOT RELEVANT
NOVACHEM S.R.O. V LIKVIDACI,CONSUMER DISCRETIONARY
LAUPAR CONSULTING s.r.o. ,REAL ESTATE
"AZU ASSET, A.S.",INDUSTRIALS
SKIING S R O,CONSUMER DISCRETIONARY
"LITES, A.S., V LIKVIDACI",CONSUMER STAPLES
H H ENERGY S R O,MATERIALS
NAY CZ S R O,CONSUMER DISCRETIONARY
CANKOVA MILUSKA,NOT RELEVANT
SV Terronska 659,REAL ESTATE
"NOVATISK, a.s.",INDUSTRIALS
STICHAUER JIRI,NOT RELEVANT
TYLEX LETOVICE A.S.,CONSUMER DISCRETIONARY
MSV STUDENKA s.r.o.,NOT RELEVANT
PSYCHIATRICKÁ NEMOCNICE KOSMONOSY,HEALTH CARE
EMAIL SERVICE S R O,INDUSTRIALS
Rostislav Hanys,INDUSTRIALS
ZELTWANGER AMT S R O,INDUSTRIALS
"SVJ Drevnicka 4126, Zlin",REAL ESTATE
SV pro dum A.Hrdlicky 1637,REAL ESTATE
BAWAG LEASING FLEET S R O,INDUSTRIALS
ERB invest s.r.o.,MATERIALS
SV Strelecky vrch 672 a 673,REAL ESTATE
KURTA CZ s.r.o.,CONSUMER DISCRETIONARY
SPOLCHEMIE ZEBRA A S,MATERIALS
SELGEN A S,CONSUMER STAPLES
SVJ Kastanek,REAL ESTATE
SCHINDLER SPOL S R O,CONSUMER DISCRETIONARY
SV Jezkova 10,REAL ESTATE
"VOLARIK CAPITAL, A.S.",INDUSTRIALS
GARLAND DISTRIBUTOR S R O,CONSUMER DISCRETIONARY
"SVJ Lidicka 239, Horsovsky Tyn",REAL ESTATE
SBD Turnov,REAL ESTATE
PRILLINGER SPOL S R O,INDUSTRIALS
SVJ Za stadionem 2339-2346,REAL ESTATE
SUBGROUP VEOLIA CR CONSOLIDATED,UTILITIES
"SVJ Studentska 2472,2473",REAL ESTATE
SUBGROUP ALLWYN GROUP CONSOLIDATED,CONSUMER DISCRETIONARY
ABNER A S,INDUSTRIALS
SVJ pro dum Machova 1656-1658,REAL ESTATE
"BD Stankova 10a, Brno",REAL ESTATE
"FRUTA PODIVÍN, A.S.",CONSUMER STAPLES
KECLOVA LENKA,NOT RELEVANT
"SVJ Budovatelu 679-681, Chodov",REAL ESTATE
K2 s.r.o.,INDUSTRIALS
