name,industry,frequency
"""AZIS"" - MINING SERVICE, O.SL.",ENERGY,7
"""HANA"" Sidl. svobody",REAL ESTATE,7
"""HP-PELZER K. S.""",NOT RELEVANT,7
"""PARÍZ"" PRAHA,",NOT RELEVANT,7
"""WORLD INVEST""",REAL ESTATE,7
& B REALITY,NOT RELEVANT,7
& FOREST,MATERIALS,7
& H STAVEBNINY,NOT RELEVANT,7
"& H,",CONSUMER DISCRETIONARY,7
"& K SERVIS, spol. s",CONSUMER STAPLES,7
& KOV,INDUSTRIALS,7
"& M H O L D I N G,",INDUSTRIALS,7
& M SPOL. S,NOT RELEVANT,7
& R CARGO,INDUSTRIALS,7
& T Plus,INFORMATION TECHNOLOGY,7
& V,NOT RELEVANT,7
+ Fuchs,INDUSTRIALS,7
+ Fuchs Manufacturing,INDUSTRIALS,7
"+ M Logistics, spol. s",INDUSTRIALS,7
+ M PROPERTY,INDUSTRIALS,7
"+ M Partner, spol. s",INDUSTRIALS,7
"+ M SERVIS, SPOL. S",INDUSTRIALS,7
- BIO,CONSUMER STAPLES,7
- DISK,INDUSTRIALS,7
- DOMACI PECE BRUNTAL,HEALTH CARE,7
- DOMACI PECE CHE,HEALTH CARE,7
- DOMACI PECE FRY,HEALTH CARE,7
- DOMACI PECE MOST,HEALTH CARE,7
- DOMACI PECE ODRY,HEALTH CARE,7
- DOMACI PECE SUMPERK,HEALTH CARE,7
- DOMACI PECE VESELI,HEALTH CARE,7
- DOMACI PECE ZLIN,HEALTH CARE,7
- DOMACI PECE ZNO,HEALTH CARE,7
- DOM¿C¿ P¿CE 03,HEALTH CARE,7
- DOMÁCÍ PÉCE,HEALTH CARE,7
- DOMÁCÍ PÉCE 02,HEALTH CARE,7
- DOMÁCÍ PÉCE PRAHA,HEALTH CARE,7
- DOMÁCÍ PÉCE SVITAVSK,HEALTH CARE,7
- GRYF S.R.O. V,INDUSTRIALS,7
"- KOVO MLADA BOLESLAV,",NOT RELEVANT,7
"- KOVO, SPOL.S",MATERIALS,7
"- KUCHYNE SPOL. S R.O., V",CONSUMER DISCRETIONARY,7
- KVETINY,CONSUMER STAPLES,7
- MENU EXPRESS,CONSUMER STAPLES,7
- MET SPOL. S,NOT RELEVANT,7
- Mobility Czech Republic,INDUSTRIALS,7
- PROJEKT,INDUSTRIALS,7
"- TRANS,",INDUSTRIALS,7
"- Výzkum a vývoj,",INDUSTRIALS,7
- WOODPLASTIC,INDUSTRIALS,7
04 SPOL S R,CONSUMER DISCRETIONARY,7
1 LIBERECKA BEZPECNOSTNI S R,INDUSTRIALS,7
"1. maje 1357, R.p.Radhostem",REAL ESTATE,7
"1. maje 147,",REAL ESTATE,7
"1. maje 819-820,",REAL ESTATE,7
"1.maje 159,",REAL ESTATE,7
"1.maje 161,",REAL ESTATE,7
"1.maje 162,",REAL ESTATE,7
"1.maje 167,",REAL ESTATE,7
"1.maje 168,",REAL ESTATE,7
"1.maje 170,",REAL ESTATE,7
"1.maje 172,",REAL ESTATE,7
"1.maje 173,",REAL ESTATE,7
"1.maje 38,",REAL ESTATE,7
"1.maje 637-638,",REAL ESTATE,7
100MEGA DISTRIBUTION S R,INFORMATION TECHNOLOGY,7
1072,REAL ESTATE,7
1074 Jilemnice,REAL ESTATE,7
109,REAL ESTATE,7
"1158-1160,",REAL ESTATE,7
1180/195 v Chocni,REAL ESTATE,7
"1190, Broumov-Bylnice",REAL ESTATE,7
"1196, Druzba, Broumov",REAL ESTATE,7
"1279,Ostrov",REAL ESTATE,7
1483,REAL ESTATE,7
"153, Loucna pod Klinovcem",REAL ESTATE,7
1547-1548 v Roznove p.,REAL ESTATE,7
156 a 157 v Cerne za,REAL ESTATE,7
1658 v Roznove,REAL ESTATE,7
167-168 Libocany,REAL ESTATE,7
"167-169,Pribram",REAL ESTATE,7
"17. listopadu 2664,",REAL ESTATE,7
"17. listopadu 51-55,",REAL ESTATE,7
17. listopadu 679-683,REAL ESTATE,7
"17. listopadu 902/13,Opava",REAL ESTATE,7
17.listopadu,REAL ESTATE,7
17.listopadu 4793-94,REAL ESTATE,7
170 a 171 v Cerne za,REAL ESTATE,7
1735 v Roznove,REAL ESTATE,7
"1780, Gorkeho,",REAL ESTATE,7
1838,REAL ESTATE,7
"1887,",REAL ESTATE,7
"189, Praha",REAL ESTATE,7
193/IV,REAL ESTATE,7
"1958 - 1961, Praha",REAL ESTATE,7
1965 - Poruba,REAL ESTATE,7
"1969, Dvur",REAL ESTATE,7
1CSC A,MATERIALS,7
2,COMMUNICATIONS,7
2 ALFA S R,INDUSTRIALS,7
2 JCP,INDUSTRIALS,7
2000 S R,CONSUMER STAPLES,7
"2019, Dvur Kralove",REAL ESTATE,7
2021 REAL ESTATE S R,INDUSTRIALS,7
2025,CONSUMER DISCRETIONARY,7
"2037-2038,",REAL ESTATE,7
21,CONSUMER STAPLES,7
257 ve Strazi,REAL ESTATE,7
"2579-2581,",REAL ESTATE,7
2584 a 2585 v Moste,REAL ESTATE,7
"26. dubna 21,Cheb",REAL ESTATE,7
"278-280, Praha 5 - Radlice",REAL ESTATE,7
28. rijna 1761,REAL ESTATE,7
