industry,separate_beginning,frequency
COMMUNICATIONS,<NONE>,609
COMMUNICATIONS,ARANEA,14
COMMUNICATIONS,BARRANDOV,14
COMMUNICATIONS,CESKA,14
COMMUNICATIONS,CETIN,14
COMMUNICATIONS,COM,14
COMMUNICATIONS,CZECH,21
COMMUNICATIONS,Carduelis,14
COMMUNICATIONS,DRFG,14
COMMUNICATIONS,Group,35
COMMUNICATIONS,HEUREKA,14
COMMUNICATIONS,MIBA,14
COMMUNICATIONS,O2,21
COMMUNICATIONS,PFX,21
COMMUNICATIONS,PPF,21
COMMUNICATIONS,SUBGROUP,49
COMMUNICATIONS,SUNTEL,14
COMMUNICATIONS,TELLY,14
CONSUMER DISCRETIONARY,<NONE>,6223
CONSUMER DISCRETIONARY,A,21
CONSUMER DISCRETIONARY,ADAST,14
CONSUMER DISCRETIONARY,ADVANTAGE,14
CONSUMER DISCRETIONARY,ALENSA,14
CONSUMER DISCRETIONARY,ALFA,14
CONSUMER DISCRETIONARY,ALLWYN,21
CONSUMER DISCRETIONARY,APEX,21
CONSUMER DISCRETIONARY,AR,21
CONSUMER DISCRETIONARY,AREAL,14
CONSUMER DISCRETIONARY,AUFEER,14
CONSUMER DISCRETIONARY,AUTO,238
CONSUMER DISCRETIONARY,AUTOCENTRUM,21
CONSUMER DISCRETIONARY,AUTOMOTIVE,14
CONSUMER DISCRETIONARY,AV,14
CONSUMER DISCRETIONARY,Auto,14
CONSUMER DISCRETIONARY,BENTELER,21
CONSUMER DISCRETIONARY,BOHEMIA,21
CONSUMER DISCRETIONARY,BONVER,14
CONSUMER DISCRETIONARY,C,14
CONSUMER DISCRETIONARY,CANIS,14
CONSUMER DISCRETIONARY,CARTEC,14
CONSUMER DISCRETIONARY,CIE,21
CONSUMER DISCRETIONARY,COLEGIUM,14
CONSUMER DISCRETIONARY,COMAC,14
CONSUMER DISCRETIONARY,CZECH,42
CONSUMER DISCRETIONARY,Continental,14
CONSUMER DISCRETIONARY,DAJBYCH,14
CONSUMER DISCRETIONARY,DAS,14
CONSUMER DISCRETIONARY,DEKOM,28
CONSUMER DISCRETIONARY,EIFFEL,14
CONSUMER DISCRETIONARY,F,21
CONSUMER DISCRETIONARY,FLIDR,14
CONSUMER DISCRETIONARY,FORTUNA,14
CONSUMER DISCRETIONARY,FTMO,28
CONSUMER DISCRETIONARY,Faurecia,49
CONSUMER DISCRETIONARY,G,14
CONSUMER DISCRETIONARY,GASTRO,14
CONSUMER DISCRETIONARY,GORENJE,14
CONSUMER DISCRETIONARY,GROUP,21
CONSUMER DISCRETIONARY,GRUPO,21
CONSUMER DISCRETIONARY,GUMOTEX,21
CONSUMER DISCRETIONARY,Group,287
CONSUMER DISCRETIONARY,HAJDIK,14
CONSUMER DISCRETIONARY,HALA,14
CONSUMER DISCRETIONARY,HANON,21
CONSUMER DISCRETIONARY,HM,21
CONSUMER DISCRETIONARY,HOTEL,14
CONSUMER DISCRETIONARY,HYUNDAI,35
CONSUMER DISCRETIONARY,IC,14
CONSUMER DISCRETIONARY,INEXAD,14
