industry,separate_ending,frequency
COMMUNICATIONS,<NONE>,147
COMMUNICATIONS,A.S.,14
COMMUNICATIONS,B.V.,14
COMMUNICATIONS,CONS,14
COMMUNICATIONS,CONSOLIDATED,21
COMMUNICATIONS,O,266
COMMUNICATIONS,S,224
COMMUNICATIONS,S.R.O.,49
COMMUNICATIONS,V,28
COMMUNICATIONS,a.s.,28
COMMUNICATIONS,s.r.o.,140
CONSUMER DISCRETIONARY,<NONE>,1001
CONSUMER DISCRETIONARY,A,14
CONSUMER DISCRETIONARY,A.S.,294
CONSUMER DISCRETIONARY,Automotive,14
CONSUMER DISCRETIONARY,CONSOLI,21
CONSUMER DISCRETIONARY,CONSOLIDAT,14
CONSUMER DISCRETIONARY,CONSOLIDATED,259
CONSUMER DISCRETIONARY,CZ,21
CONSUMER DISCRETIONARY,CZE,14
CONSUMER DISCRETIONARY,GROUP,35
CONSUMER DISCRETIONARY,L,14
CONSUMER DISCRETIONARY,LIKVI,14
CONSUMER DISCRETIONARY,LIKVIDAC,14
CONSUMER DISCRETIONARY,LIKVIDACI,147
CONSUMER DISCRETIONARY,Ladislav,14
CONSUMER DISCRETIONARY,O,3619
CONSUMER DISCRETIONARY,O.,14
CONSUMER DISCRETIONARY,R,21
CONSUMER DISCRETIONARY,R.O.,77
CONSUMER DISCRETIONARY,REPUBLIC,14
CONSUMER DISCRETIONARY,S,1323
CONSUMER DISCRETIONARY,S.R.,14
CONSUMER DISCRETIONARY,S.R.O.,490
CONSUMER DISCRETIONARY,SE,28
CONSUMER DISCRETIONARY,SLOZKA,14
CONSUMER DISCRETIONARY,SPOL.S.R.O.,14
CONSUMER DISCRETIONARY,SPOLECNOST,21
CONSUMER DISCRETIONARY,Tomas,14
CONSUMER DISCRETIONARY,UNIVERZITA,14
CONSUMER DISCRETIONARY,a.s.,210
CONSUMER DISCRETIONARY,o.,35
CONSUMER DISCRETIONARY,r.o.,126
CONSUMER DISCRETIONARY,s.r,14
CONSUMER DISCRETIONARY,s.r.,14
CONSUMER DISCRETIONARY,s.r.o,63
CONSUMER DISCRETIONARY,s.r.o.,1036
CONSUMER STAPLES,<NONE>,665
CONSUMER STAPLES,A,14
CONSUMER STAPLES,A.S.,161
CONSUMER STAPLES,CONSO,14
CONSUMER STAPLES,CONSOLIDA,14
CONSUMER STAPLES,CONSOLIDAT,21
CONSUMER STAPLES,CONSOLIDATE,14
CONSUMER STAPLES,CONSOLIDATED,147
CONSUMER STAPLES,DRUZSTVO,14
CONSUMER STAPLES,LIKVIDACI,63
CONSUMER STAPLES,O,1680
CONSUMER STAPLES,O.,14
CONSUMER STAPLES,R,14
CONSUMER STAPLES,R.O.,56
CONSUMER STAPLES,S,1176
CONSUMER STAPLES,S.R.O.,259
CONSUMER STAPLES,SE,77
CONSUMER STAPLES,SPOL,14
CONSUMER STAPLES,a.s.,147
CONSUMER STAPLES,druzstvo,14
CONSUMER STAPLES,o.,21
CONSUMER STAPLES,r.o.,49
CONSUMER STAPLES,s.r.o.,483
ENERGY,<NONE>,63
ENERGY,A.S.,21
ENERGY,CONSOLIDATED,14
ENERGY,LIKVIDACI,35
ENERGY,O,175
ENERGY,S,91
ENERGY,S.R.O.,21
ENERGY,r.o.,14
ENERGY,s.r.o.,35
FINANCIALS,<NONE>,238
FINANCIALS,A.S.,35
