name,industry
Parfümerie AKZENTE GmbH,CONSUMER DISCRETIONARY
AMG Invest GmbH,MATERIALS
ZENTIS FRUCHTWELT GMBH & CO. KG,CONSUMER STAPLES
Asklepios Kliniken GmbH & Co.,HEALTH CARE
FAULHABER MOTORS ROMANIA SRL,INDUSTRIALS
Reutter GmbH,CONSUMER DISCRETIONARY
TESLA BLATNA A S,INDUSTRIALS
EMS SHIPPING&TRADING GMBH,INDUSTRIALS
Circet Kabel Service GmbH,COMMUNICATIONS
Meinhardt Städtereinigung GmbH & Co,INDUSTRIALS
Group ALSO,INFORMATION TECHNOLOGY
Group Schwarz,CONSUMER STAPLES
Novem Car Interior Design,CONSUMER DISCRETIONARY
SYNLAB Corporate Assistance,HEALTH CARE
eBay Classifieds Holding BV,CONSUMER DISCRETIONARY
SUNTEL GERMANY GMBH,COMMUNICATIONS
Group Klesch,ENERGY
everdrop GmbH,CONSUMER STAPLES
GREP Fünf S.a r.l.,REAL ESTATE
Felmo GmbH,HEALTH CARE
Group Aceso,HEALTH CARE
SCHLOTE AUTOMOTIVE CZECH S R O,CONSUMER DISCRETIONARY
Group DAW,MATERIALS
Group Bode,INDUSTRIALS
Group Deutsche Telekom,COMMUNICATIONS
GROUP AVAG,CONSUMER DISCRETIONARY
Heraeus Holding GmbH,MATERIALS
Kartonpack Alsfeld GmbH,NOT RELEVANT
Wacker Pensionskasse der,MATERIALS
Spreerecycling GmbH & Co KG,MATERIALS
Group Delton,INDUSTRIALS
Bahag Baus Handelsgesellschaft AG,CONSUMER DISCRETIONARY
Hauptgenossenschaft Nord AG Kiel,CONSUMER STAPLES
Horst Müller Beteiligungs-GmbH & Co,CONSUMER STAPLES
Paulaner Brauerei GmbH & Co. KG,CONSUMER STAPLES
Hermes Fulfilment GmbH,INDUSTRIALS
EUROPTEN Deutschland GmbH,INDUSTRIALS
Group Ortwin Goldbeck,INDUSTRIALS
Group Sixt,INDUSTRIALS
SCHMIEDETECHNIK SUDDEUTSCHLAND GMBH,INDUSTRIALS
Alpla-Werke Lehner GmbH & Co KG,MATERIALS
OBO Bettermann Hungary Ipari és Ker,INDUSTRIALS
Group Azurit,HEALTH CARE
SPL Tele Germany GmbH,COMMUNICATIONS
CERATIZIT Besigheim GmbH,MATERIALS
Heinrich Huhn GmbH + Co.KG,CONSUMER DISCRETIONARY
KONICA MINOLTA BUSINESS EUROPE GMBH,NOT RELEVANT
Fattal Hotel Heidelberg GmbH,CONSUMER DISCRETIONARY
Healthcare Immobilien Datteln,HEALTH CARE
SEFE Securing Energy for Europe Gmb,INDUSTRIALS
Group FORTAS AG,CONSUMER DISCRETIONARY
