name,industry,frequency
"""ebm-papst Hungary"" Motorgyártó és",INDUSTRIALS,3
- Zentral-Aktiengesellschaft,CONSUMER STAPLES,3
1&1 Mobilfunk,COMMUNICATIONS,3
1&1 Towers,INDUSTRIALS,3
2G ENERGETECHNIK GMBH,ENERGY,3
3C HOLDING,CONSUMER DISCRETIONARY,3
3C Holding,CONSUMER DISCRETIONARY,3
50Hertz Offshore,UTILITIES,3
50Hertz Transmission,UTILITIES,3
A R PROFILSTAHL ALLGEIER ROSCH,MATERIALS,3
A RAYMOND JABLONEC S R,CONSUMER DISCRETIONARY,3
A W SCHUMACHER,MATERIALS,3
A-ROSA Flussschiff,CONSUMER DISCRETIONARY,3
ABACON CAPITAL,INDUSTRIALS,3
ABACON PP Anlage,INDUSTRIALS,3
ABF Agrar Betailigungs und,FINANCIALS,3
ABF-Pool: Hansa Group wg,CONSUMER STAPLES,3
ABG,CONSUMER STAPLES,3
ABG Holding,CONSUMER STAPLES,3
ABM Greiffenberger Antriebs-,NOT RELEVANT,3
ABO WIND Aktiengeselischaft,UTILITIES,3
ABOUT YOU,CONSUMER DISCRETIONARY,3
ABRD-Möbelhandels- und Beteiligungs,CONSUMER DISCRETIONARY,3
ABUS KRANSYSTEME,NOT RELEVANT,3
ACO Severin Ahlmann,INDUSTRIALS,3
ACTAQUA,INDUSTRIALS,3
ADCO INTERNATIONAL,INDUSTRIALS,3
ADCURAM Fertighaus Gruppe,INDUSTRIALS,3
ADCURAM SensorTech,INDUSTRIALS,3
ADEG Dienstleistungsges. mbH,CONSUMER STAPLES,3
ADESTRA S R,INDUSTRIALS,3
ADIENT INTERIORS LTD CO,CONSUMER DISCRETIONARY,3
ADIENT LTD CO,CONSUMER DISCRETIONARY,3
ADIENT ZWICKAU,CONSUMER DISCRETIONARY,3
ADK MODULRAUM,INDUSTRIALS,3
ADM Germany,CONSUMER STAPLES,3
ADM-Toepfer,CONSUMER STAPLES,3
AEP,HEALTH CARE,3
AERO INVEST,CONSUMER DISCRETIONARY,3
AFB HANDELS-,NOT RELEVANT,3
AFT ALTMANN CZ S R O V LIKVIDACI,CONSUMER DISCRETIONARY,3
AFT Autovermietung,CONSUMER DISCRETIONARY,3
AG,CONSUMER DISCRETIONARY,3
AG,MATERIALS,9
AGRAR MARKT DEPPE,INDUSTRIALS,3
AGRO HAIDER GMBH,FINANCIALS,3
"AGROSTROJ International,",INDUSTRIALS,3
AGROSTROJ PELHRIMOV A,INDUSTRIALS,3
AGROSTROJ PELHRIMOV CONSOL,INDUSTRIALS,3
AGROVATION KNEZMOST K S,CONSUMER STAPLES,3
AHLERS,NOT RELEVANT,3
AHO 2 GmbH & Co.,CONSUMER DISCRETIONARY,3
AHO 3 GmbH & Co.,CONSUMER DISCRETIONARY,3
AHO 4 GmbH & Co. KG in Gründung,FINANCIALS,3
AIB KUNSTMANN,INDUSTRIALS,3
AIB KUNSTMANN HOLDING,INDUSTRIALS,3
AIB KUNSTMANN METAL S R,INDUSTRIALS,3
AIB KUNSTMANN RESERVE,INDUSTRIALS,3
AICHELIN SERVICE,INDUSTRIALS,3
AIR HAMBURG Flugzeugvermietungs-Gmb,CONSUMER DISCRETIONARY,3
AIR2 Lufttransport GmbH & Co.,CONSUMER DISCRETIONARY,3
AIR5 Lufttransport,CONSUMER DISCRETIONARY,3
AIRBUS HELICOPTERS SAS,INDUSTRIALS,3
AIS AUTOMOTIVE,CONSUMER DISCRETIONARY,3
AIS AUTOMOTIVE INTERIOR SYSTEMS GMB,CONSUMER DISCRETIONARY,3
AIS AUTOMOTIVE INTERIOR SYSTEMS S R,CONSUMER DISCRETIONARY,3
"AKEPS,",INDUSTRIALS,3
AL Taunussteiner Grundstücks-GmbH &,FINANCIALS,3
ALBA,INDUSTRIALS,3
ALBA plc & Co.,INDUSTRIALS,3
ALD Vacuum Technologies,MATERIALS,3
ALDI E-COMMERCE GMBH & CO. KG,COMMUNICATIONS,3
ALGON GABIONEN,MATERIALS,3
ALPHA US I LTD,MATERIALS,3
ALPLA Lehner GmbH & Co.,MATERIALS,3
ALSO,INFORMATION TECHNOLOGY,3
AMAG components Karlsruhe,MATERIALS,3
AMAG components Übersee,MATERIALS,3
AMF BRUNS,INDUSTRIALS,3
AMF-BRUNS GMBH & CO.,INDUSTRIALS,3
AMF-BRUNS ROMANIA SRL,INDUSTRIALS,3
AMG Invest,MATERIALS,3
AMG Lithium,MATERIALS,3
ANCOFER STAHLHANDEL,NOT RELEVANT,3
