industry,separate_ending,frequency
COMMUNICATIONS,<NONE>,96
COMMUNICATIONS,AG,12
COMMUNICATIONS,GmbH,48
CONSUMER DISCRETIONARY,<NONE>,957
CONSUMER DISCRETIONARY,AG,114
CONSUMER DISCRETIONARY,CONSOLIDATED,15
CONSUMER DISCRETIONARY,Co.,12
CONSUMER DISCRETIONARY,GMBH,150
CONSUMER DISCRETIONARY,GmbH,480
CONSUMER DISCRETIONARY,Holding,18
CONSUMER DISCRETIONARY,KG,102
CONSUMER DISCRETIONARY,KGaA,12
CONSUMER DISCRETIONARY,Kft.,18
CONSUMER DISCRETIONARY,O,72
CONSUMER DISCRETIONARY,S,18
CONSUMER DISCRETIONARY,SE,36
CONSUMER DISCRETIONARY,SRL,15
CONSUMER STAPLES,<NONE>,384
CONSUMER STAPLES,AG,24
CONSUMER STAPLES,Co.,12
CONSUMER STAPLES,GMBH,45
CONSUMER STAPLES,GmbH,192
CONSUMER STAPLES,KG,102
CONSUMER STAPLES,SE,15
ENERGY,<NONE>,69
ENERGY,GmbH,36
FINANCIALS,<NONE>,81
FINANCIALS,Co.,12
FINANCIALS,GmbH,72
HEALTH CARE,<NONE>,351
HEALTH CARE,AG,18
HEALTH CARE,GMBH,15
HEALTH CARE,GmbH,105
HEALTH CARE,KG,18
HEALTH CARE,KGaA,15
HEALTH CARE,SE,12
HEALTH CARE,r.l.,12
INDUSTRIALS,<NONE>,1233
INDUSTRIALS,&,18
INDUSTRIALS,AG,105
INDUSTRIALS,Aktiengesellschaft,30
INDUSTRIALS,B.V.,12
INDUSTRIALS,GMBH,276
INDUSTRIALS,GmbH,708
INDUSTRIALS,KG,162
INDUSTRIALS,KGaA,15
INDUSTRIALS,Kft.,24
INDUSTRIALS,O,72
INDUSTRIALS,S,18
INDUSTRIALS,S.R.O.,12
INDUSTRIALS,SE,45
INDUSTRIALS,s.r.o.,30
INFORMATION TECHNOLOGY,<NONE>,204
INFORMATION TECHNOLOGY,AG,42
INFORMATION TECHNOLOGY,GMBH,15
INFORMATION TECHNOLOGY,GmbH,138
INFORMATION TECHNOLOGY,SE,27
MATERIALS,<NONE>,591
MATERIALS,AG,48
MATERIALS,G,12
MATERIALS,GMBH,111
MATERIALS,GmbH,345
MATERIALS,KG,60
MATERIALS,O,12
MATERIALS,SE,21
NOT RELEVANT,<NONE>,348
NOT RELEVANT,AG,36
NOT RELEVANT,GMBH,102
NOT RELEVANT,GmbH,204
NOT RELEVANT,KG,39
REAL ESTATE,<NONE>,153
REAL ESTATE,AG,21
REAL ESTATE,GmbH,69
REAL ESTATE,KG,15
REAL ESTATE,SE,18
UTILITIES,<NONE>,114
UTILITIES,AG,45
UTILITIES,GMBH,24
UTILITIES,GmbH,45
industry,<NONE>,2
