name,industry,frequency
"""ORSAN"" JEDRILICARSKO DRUSTVO DUBRO",NOT RELEVANT,5
"""SEGET-VRANJICA""",INDUSTRIALS,5
& CO,INDUSTRIALS,5
& CO.,NOT RELEVANT,5
& CO. SHIPPING DRUSTVO S OGRA,INDUSTRIALS,5
",VL.TOMISLAV CECIC",INDUSTRIALS,5
- 4U,INDUSTRIALS,5
- APARATI I POSTROJENJA,INDUSTRIALS,5
- AUTOMATIKA,INDUSTRIALS,5
- DI,INDUSTRIALS,5
- DIGITAL,INFORMATION TECHNOLOGY,5
- DISTRIBUTIVNI I SPECIJALNI,INDUSTRIALS,5
- EKOS D. O.,INDUSTRIALS,5
- ELEKTRICNA VOZILA,INDUSTRIALS,5
- ELEKTRONIKA I INFORMATIKA,INDUSTRIALS,5
- ENERGETIKA I USLUGE,INDUSTRIALS,5
- GIM,INDUSTRIALS,5
- GRUPACIJA D. O.,CONSUMER DISCRETIONARY,5
- HRVATSKA DUBICA,INDUSTRIALS,5
- IMPEX D. O.,INDUSTRIALS,5
- ING D. O.,NOT RELEVANT,5
- INSTITUT ZA ELEKTROTEHNIKU,INDUSTRIALS,5
- KET,INDUSTRIALS,5
- KUCA KOVACIC,CONSUMER DISCRETIONARY,5
- METALNE KONSTRUKCIJE,INDUSTRIALS,5
- MILK - DURDEVAC,CONSUMER STAPLES,5
- MIX,NOT RELEVANT,5
- MJERNI TRANSFORMATORI,INDUSTRIALS,5
"- MONTAZNI INZENJERING,",INDUSTRIALS,5
- NOVA,INDUSTRIALS,5
- PANELI D. O.,INDUSTRIALS,5
- PNO,INDUSTRIALS,5
- PRIVATNI SMJESTAJ,CONSUMER DISCRETIONARY,5
- PRODAJNI CENTRI,CONSUMER DISCRETIONARY,5
- PUTNICKA AGENCIJA,INDUSTRIALS,5
- REVIZIJA,INDUSTRIALS,5
- SISTEMSKE INTEGRACIJE,INFORMATION TECHNOLOGY,5
"- STARKELJ,",CONSUMER DISCRETIONARY,5
- TEHNOBETON,INDUSTRIALS,5
- TVA -,INDUSTRIALS,5
- UPRAVLJANJE IMOVINOM,UTILITIES,5
- USLUGE D. O.,CONSUMER DISCRETIONARY,5
- ZABOK,INDUSTRIALS,5
- ZAGREB,INDUSTRIALS,5
- ZAVOD,NOT RELEVANT,5
1862,CONSUMER STAPLES,5
1992,CONSUMER STAPLES,5
24SATA,COMMUNICATIONS,5
2E,MATERIALS,5
2E SYSTEMS,INFORMATION TECHNOLOGY,5
3 K.F.,INDUSTRIALS,5
3M (EAST) AG - PODRUZNICA REPUBLIKA,CONSUMER DISCRETIONARY,5
6.MAJ D.O.O. ZA KOMUNALNE,NOT RELEVANT,5
7 PLUS,CONSUMER DISCRETIONARY,5
A,INDUSTRIALS,5
A&A BIOENERGY VIRO,UTILITIES,5
A&Y CONSTRUCTION,INDUSTRIALS,5
A+U ATELIER ZA ARHITEKTURU I URBANI,NOT RELEVANT,5
A-ANTICUS,INDUSTRIALS,10
A-G DINAS,CONSUMER DISCRETIONARY,5
A-PELET,MATERIALS,5
A.B.P.BENCEKOVIC OBRT VL.ROBERT BEN,NOT RELEVANT,5
A.B.S.,INDUSTRIALS,5
A.C. REDAN d.o.o. za trgovinu i,CONSUMER DISCRETIONARY,5
A.D.GAJ,MATERIALS,5
A.M. MRKONJIC,INDUSTRIALS,5
A.M.S. - BIOMASA,MATERIALS,5
A.M.S.-AGRO,MATERIALS,5
A.S.C. PETRISIC,CONSUMER DISCRETIONARY,5
A.T.L. D.O.O. ZA POLJOPRIVREDNU,CONSUMER STAPLES,5
A1 DIREKT,CONSUMER STAPLES,5
A1 HRVATSKA,COMMUNICATIONS,5
A2O,INDUSTRIALS,5
A3,INDUSTRIALS,5
AB METAL PROMET,INDUSTRIALS,5
ABACUS,NOT RELEVANT,5
ABAROA,CONSUMER DISCRETIONARY,5
ABB D.O.O. PODRUZNICA,INDUSTRIALS,5
ABBOTT LABORATORIES,NOT RELEVANT,5
ABC INTERIJER,NOT RELEVANT,5
ABC MAZIVA,INDUSTRIALS,5
"ABC MAZIVA, D.O.O. - PODRUZNICA",CONSUMER DISCRETIONARY,5
ABC TECH ZAGREB,INFORMATION TECHNOLOGY,5
ABS SISAK,MATERIALS,5
ABYSALTO,INFORMATION TECHNOLOGY,5
ACATUS,CONSUMER DISCRETIONARY,5
ACCL AUTO,CONSUMER DISCRETIONARY,5
ACCURO SISTEMI,INDUSTRIALS,5
ACG EUROPE,NOT RELEVANT,5
ACI D.,CONSUMER DISCRETIONARY,5
ACI GRUPA,NOT RELEVANT,5
ACS KNEZ,CONSUMER DISCRETIONARY,5
AD ASTRA PROMET,NOT RELEVANT,5
AD CAPITAL,REAL ESTATE,5
AD PLASTIK,CONSUMER DISCRETIONARY,5
ADECCO,INDUSTRIALS,5
ADECCO HRVATSKA,INDUSTRIALS,5
ADEX NAUTIKA,CONSUMER DISCRETIONARY,5
ADIMO,CONSUMER DISCRETIONARY,5
"ADLER EXPORT-IMPORT,",REAL ESTATE,5
"ADLER, VL. ANTO KULIS",CONSUMER DISCRETIONARY,5
ADMINISTRATOR D.O.O. U,INDUSTRIALS,5
ADMIRAL .HR,CONSUMER DISCRETIONARY,5
ADRIA,CONSUMER STAPLES,5
ADRIA,MATERIALS,5
ADRIA - FILETI,CONSUMER STAPLES,5
ADRIA CELIK,MATERIALS,5
ADRIA GRUPA,INDUSTRIALS,5
ADRIA MEDIA ZAGREB D.O.O. U STECAJU,COMMUNICATIONS,5
ADRIADIESEL,INDUSTRIALS,5
ADRIALAB,HEALTH CARE,5
ADRIANA,NOT RELEVANT,5
ADRIATEH,INDUSTRIALS,5
ADRIATIC,CONSUMER DISCRETIONARY,5
ADRIATIC D. O.,CONSUMER STAPLES,5
ADRIATIC SOL,CONSUMER DISCRETIONARY,5
ADRIATIC.HR,CONSUMER DISCRETIONARY,5
ADRIATICA DUNAV,MATERIALS,5
ADRIATICA.NET,CONSUMER DISCRETIONARY,5
"ADRIATICA.NET,",CONSUMER DISCRETIONARY,5
"ADRIATICON,",CONSUMER STAPLES,5
ADRIATIKA DRVO,MATERIALS,5
ADRIS,FINANCIALS,5
ADRIS GRUPA,FINANCIALS,5
ADROVIC ZDENKO,NOT RELEVANT,5
ADVANS,CONSUMER DISCRETIONARY,5
AELA-USLUGE,NOT RELEVANT,5
AEQUITAS,NOT RELEVANT,5
AEROFLOT RUSSIAN AIRLINES PREDST.U,NOT RELEVANT,5
AEROMOBILE,NOT RELEVANT,5
AFIRMACIJA,FINANCIALS,5
AFRO D. O.,CONSUMER DISCRETIONARY,5
AGC FLAT GLASS ADRIATIC,INDUSTRIALS,5
AGENCIJA ZA KOMERCIJALNU DJELATNOST,INDUSTRIALS,5
AGENT-INFO,NOT RELEVANT,5
AGIT,INDUSTRIALS,5
AGK,NOT RELEVANT,5
AGRAGOLD d.o.o. ZA PROMET PREHRAMBE,CONSUMER STAPLES,5
AGRAM 89,HEALTH CARE,5
AGRAMTEKSTIL,NOT RELEVANT,5
AGRARIA,MATERIALS,5
AGRIA,INDUSTRIALS,5
AGRIMEX,CONSUMER STAPLES,10
AGRITECH D. O.,CONSUMER STAPLES,5
AGRITEHNIKA,CONSUMER STAPLES,5
AGRO,MATERIALS,10
AGRO INVEST,CONSUMER STAPLES,5
AGRO PMD D.O.O. ZA TRGOVINU,INDUSTRIALS,5
AGRO TREBOR,MATERIALS,5
AGRO-CEPIN,CONSUMER STAPLES,5
AGRO-GARASIC,NOT RELEVANT,5
AGRO-HORTI,CONSUMER STAPLES,5
AGRO-JAKSIC,CONSUMER STAPLES,5
AGRO-PROMES,CONSUMER STAPLES,5
AGRO-RIJEKA,CONSUMER STAPLES,5
AGRO-TOVARNIK,CONSUMER STAPLES,10
AGRO-TRADE,NOT RELEVANT,5
AGROBEKETINCI,CONSUMER STAPLES,5
AGROCHEM-MAKS,MATERIALS,5
AGROCROATIA,NOT RELEVANT,5
AGRODUHAN,CONSUMER STAPLES,5
AGROEKONOMIJA,CONSUMER STAPLES,5
AGROKEM-MAKS CONS.,MATERIALS,5
AGROKOR - TRGOVINA,CONSUMER STAPLES,5
AGROKOR-ENERGIJA,CONSUMER STAPLES,5
AGROLAGUNA,CONSUMER STAPLES,5
AGROLAND,CONSUMER STAPLES,5
AGROMAIS,CONSUMER STAPLES,5
AGROMIX D.O.O. U,CONSUMER STAPLES,5
AGRONOM D. O.,CONSUMER STAPLES,5
AGROPA,CONSUMER STAPLES,5
AGROPAK,MATERIALS,5
AGROPLAST SISAK,NOT RELEVANT,5
AGROPLUS,CONSUMER STAPLES,5
AGROPROMET,CONSUMER STAPLES,5
AGROPROTEINKA,INDUSTRIALS,5
AGRORAJ,CONSUMER STAPLES,5
AGROSLAVONIJA,CONSUMER STAPLES,5
AGROTEX,NOT RELEVANT,5
AGROTRG,NOT RELEVANT,5
AGS HR,ENERGY,5
AGS HRVATSKA,ENERGY,5
AIR ZAGREB,NOT RELEVANT,5
AIRLINE,INDUSTRIALS,5
AIRLINES,INDUSTRIALS,5
AIRLINES DD ZAGREB PREDSTAV,INDUSTRIALS,5
AK,NOT RELEVANT,5
AKD-ZASTITA,INDUSTRIALS,5
AKM DRVO,MATERIALS,5
AKOS,NOT RELEVANT,5
AKRO OBJEKT,INDUSTRIALS,5
AKT,NOT RELEVANT,5
AKTER PUBLIC GRUPA,CONSUMER DISCRETIONARY,5
"AKTER-PUBLIC,",CONSUMER DISCRETIONARY,5
AKTIVAL,CONSUMER STAPLES,5
ALANCOMMERCE,INDUSTRIALS,5
"ALAT DUBROVNIK,",NOT RELEVANT,5
ALATI,CONSUMER DISCRETIONARY,5
ALATI STUHNE,INDUSTRIALS,5
ALBA PROFIL,MATERIALS,5
ALBANEZ,NOT RELEVANT,5
ALBATROSS YACHTS,CONSUMER DISCRETIONARY,5
ALCA,CONSUMER STAPLES,5
ALCA ZAGREB,CONSUMER STAPLES,5
ALCYONE,NOT RELEVANT,5
ALD,NOT RELEVANT,5
ALE-NAFTA,NOT RELEVANT,5
ALEGRIA,NOT RELEVANT,5
ALEKS STUDIO D.O.O. U,CONSUMER DISCRETIONARY,5
ALERT,COMMUNICATIONS,5
ALFA,COMMUNICATIONS,5
ALFA,NOT RELEVANT,5
ALFA LEASING,FINANCIALS,5
ALFA UTILITIES,INDUSTRIALS,5
ALFA VL.ANTE KOIC,NOT RELEVANT,5
ALFAPLAN GRADENJE,INDUSTRIALS,5
ALFATEC GROUP,INFORMATION TECHNOLOGY,5
ALGOJA,MATERIALS,5
ALGORITAM,NOT RELEVANT,5
ALGORITAM MK,CONSUMER DISCRETIONARY,5
ALIQUA,NOT RELEVANT,5
ALKALOID,HEALTH CARE,5
ALL 4 KIDS,CONSUMER DISCRETIONARY,5
ALLEGHENY FINANCIAL,REAL ESTATE,5
ALLIED GREGUREK,CONSUMER DISCRETIONARY,5
ALMA CAREER CROATIA,INFORMATION TECHNOLOGY,5
ALMASIDER,MATERIALS,5
ALMOS,NOT RELEVANT,5
ALPE GEF 1,INFORMATION TECHNOLOGY,5
ALPHA ADRIATIC,INDUSTRIALS,5
ALPHA-MEDICAL,HEALTH CARE,5
ALPLA,MATERIALS,5
ALPOD-EUROPOD,INDUSTRIALS,5
ALTIMA,INFORMATION TECHNOLOGY,5
ALTIUS,INDUSTRIALS,5
ALTRAD LIMEX,INDUSTRIALS,5
ALUK TIM,INDUSTRIALS,10
ALUMINIJ D. O.,INDUSTRIALS,5
ALUMINIUM GLASS STEEL,INDUSTRIALS,5
"ALVITEKS, JASNA ZVOSEC",NOT RELEVANT,5
AM YACHTING TOURS D. O.,NOT RELEVANT,5
AM-ADRIA,CONSUMER DISCRETIONARY,5
AMA,NOT RELEVANT,5
AMADEUS,CONSUMER DISCRETIONARY,5
AMADEUS,CONSUMER STAPLES,5
AMARIN D. O.,CONSUMER DISCRETIONARY,5
AMARIS TECHNOLOGIES GMBH-PODRUZNICA,INFORMATION TECHNOLOGY,5
AMARTRADE D. O.,NOT RELEVANT,5
AMBALAZA,MATERIALS,5
AMELICOR,INDUSTRIALS,5
AMI TRADE,NOT RELEVANT,5
AMIBLU ALPE ADRIA,INDUSTRIALS,5
AMICA STUDIO,NOT RELEVANT,5
AMK,INDUSTRIALS,5
AMM,INDUSTRIALS,5
AMNIS ENERGIJA,UTILITIES,5
AMO DIZAJN JJ,CONSUMER DISCRETIONARY,5
AMP VL. ILINKA MARACA,NOT RELEVANT,5
AMREST ADRIA,CONSUMER DISCRETIONARY,5
AMS BIOMASA,MATERIALS,5
AMS NAKLADNISTVO,NOT RELEVANT,5
AMS-PRODUCT,MATERIALS,5
