industry,separate_beginning,frequency
COMMUNICATIONS,<NONE>,330
COMMUNICATIONS,AMBASADA,10
COMMUNICATIONS,GROUP,10
COMMUNICATIONS,SUBGROUP,10
CONSUMER DISCRETIONARY,<NONE>,3355
CONSUMER DISCRETIONARY,AC,15
CONSUMER DISCRETIONARY,AD,10
CONSUMER DISCRETIONARY,ADRIA,20
CONSUMER DISCRETIONARY,ADRIATIC.HR,10
CONSUMER DISCRETIONARY,AK,10
CONSUMER DISCRETIONARY,AMADEUS,15
CONSUMER DISCRETIONARY,AUTO,200
CONSUMER DISCRETIONARY,AUTOCENTAR,30
CONSUMER DISCRETIONARY,AUTOKUCA,20
CONSUMER DISCRETIONARY,BAOTIC,10
CONSUMER DISCRETIONARY,BENUSSI,10
CONSUMER DISCRETIONARY,BOR,10
CONSUMER DISCRETIONARY,C.I.A.K.,15
CONSUMER DISCRETIONARY,CENTAR,15
CONSUMER DISCRETIONARY,CIAK,15
CONSUMER DISCRETIONARY,CONCORDIA,10
CONSUMER DISCRETIONARY,CONTINENTAL,10
CONSUMER DISCRETIONARY,CONTORTE,10
CONSUMER DISCRETIONARY,CORVUS,10
CONSUMER DISCRETIONARY,DELTA,10
CONSUMER DISCRETIONARY,DIGITEL,25
CONSUMER DISCRETIONARY,DJECJI,20
CONSUMER DISCRETIONARY,EMIL,10
CONSUMER DISCRETIONARY,EURO,10
CONSUMER DISCRETIONARY,EUROADRIA,10
CONSUMER DISCRETIONARY,EUROM,10
CONSUMER DISCRETIONARY,FRANZ,10
CONSUMER DISCRETIONARY,GRADA,10
CONSUMER DISCRETIONARY,GRAND,15
CONSUMER DISCRETIONARY,GROUP,335
CONSUMER DISCRETIONARY,GRUPA,10
CONSUMER DISCRETIONARY,Group,10
CONSUMER DISCRETIONARY,HILDING,10
CONSUMER DISCRETIONARY,HIPOKRAT,10
CONSUMER DISCRETIONARY,HOTEL,25
CONSUMER DISCRETIONARY,HOTELI,25
CONSUMER DISCRETIONARY,HYUNDAI,10
