industry,separate_ending,frequency
COMMUNICATIONS,<NONE>,85
COMMUNICATIONS,D.D.,35
COMMUNICATIONS,D.O.O.,240
CONSUMER DISCRETIONARY,<NONE>,855
CONSUMER DISCRETIONARY,CROATIA,10
CONSUMER DISCRETIONARY,D.,25
CONSUMER DISCRETIONARY,D.D.,220
CONSUMER DISCRETIONARY,D.O,25
CONSUMER DISCRETIONARY,D.O.O,50
CONSUMER DISCRETIONARY,D.O.O.,3485
CONSUMER DISCRETIONARY,DIDI,10
CONSUMER DISCRETIONARY,GORICA,10
CONSUMER DISCRETIONARY,J.D.O.O.,20
CONSUMER DISCRETIONARY,LIKVIDACIJI,25
CONSUMER DISCRETIONARY,O.,215
CONSUMER DISCRETIONARY,STECAJ,10
CONSUMER DISCRETIONARY,STECAJU,25
CONSUMER DISCRETIONARY,V,10
CONSUMER DISCRETIONARY,ZA,10
CONSUMER DISCRETIONARY,ZAG,10
CONSUMER DISCRETIONARY,d.o.o.,10
CONSUMER DISCRETIONARY,s,15
CONSUMER STAPLES,<NONE>,835
CONSUMER STAPLES,D.,25
CONSUMER STAPLES,D.D.,240
CONSUMER STAPLES,D.O.O,40
CONSUMER STAPLES,D.O.O.,2075
CONSUMER STAPLES,DOO,10
CONSUMER STAPLES,GAVRILOVIC,10
CONSUMER STAPLES,J,10
CONSUMER STAPLES,K.D.,10
CONSUMER STAPLES,LIKVIDACIJI,15
CONSUMER STAPLES,MLINAR,10
CONSUMER STAPLES,O.,110
CONSUMER STAPLES,PZ,10
CONSUMER STAPLES,SARAJEVO,10
CONSUMER STAPLES,STECAJU,25
CONSUMER STAPLES,USTANO,10
CONSUMER STAPLES,ZAGREB,15
CONSUMER STAPLES,d.o.o.,25
ENERGY,<NONE>,55
ENERGY,D.D.,10
ENERGY,D.O.O.,115
FINANCIALS,<NONE>,70
FINANCIALS,D.D.,10
FINANCIALS,D.O.O,10
FINANCIALS,D.O.O.,220
FINANCIALS,O.,10
FINANCIALS,d.o.o.,10
HEALTH CARE,<NONE>,245
HEALTH CARE,D.D.,35
HEALTH CARE,D.O,10
HEALTH CARE,D.O.O.,505
HEALTH CARE,LEKIC,10
HEALTH CARE,LIGAMENT,10
HEALTH CARE,LIKVIDACIJI,20
HEALTH CARE,MEDIKOL,10
INDUSTRIALS,<NONE>,1435
INDUSTRIALS,BJELOVAR,10
INDUSTRIALS,BRAKIC,10
INDUSTRIALS,D,15
INDUSTRIALS,D.,55
INDUSTRIALS,D.D.,315
INDUSTRIALS,D.O,20
INDUSTRIALS,D.O.,35
INDUSTRIALS,D.O.O,70
INDUSTRIALS,D.O.O.,4810
INDUSTRIALS,DOO,20
INDUSTRIALS,DRUSTVO,10
INDUSTRIALS,FRACASSO,10
INDUSTRIALS,G,10
INDUSTRIALS,I,15
INDUSTRIALS,J.D.O.O.,10
INDUSTRIALS,KOS,10
INDUSTRIALS,LIKVID,10
INDUSTRIALS,LIKVIDACIJI,10
INDUSTRIALS,O,15
INDUSTRIALS,O.,270
INDUSTRIALS,OGRAN,10
INDUSTRIALS,OGRANICENOM,30
INDUSTRIALS,OSIJEK,15
INDUSTRIALS,P,15
INDUSTRIALS,PLOCE,10
INDUSTRIALS,PLOVIDBA,10
INDUSTRIALS,POD,10
INDUSTRIALS,PODRUZN,10
INDUSTRIALS,RIJEKA,10
INDUSTRIALS,S,15
INDUSTRIALS,SARAJEVO,10
INDUSTRIALS,SPLIT,10
INDUSTRIALS,STECAJU,90
INDUSTRIALS,USLUGE,10
INDUSTRIALS,ZA,10
INDUSTRIALS,ZAGREB,15
INDUSTRIALS,d.o.o.,25
INDUSTRIALS,i,10
INDUSTRIALS,ogranicenom,15
INDUSTRIALS,za,15
