name,industry
SCHARMANN-GYÓRÓ MG. KER. KFT,NOT RELEVANT
"Bogád, Petõfi u. 19. Társasház",FINANCIALS
Újpalota 7. sz. Lakásfenntartó Szöv,FINANCIALS
"""Realon 2000"" Befektetési és Keresk",NOT RELEVANT
PFM Biztonsági Szolgáltató Korlátol,CONSUMER DISCRETIONARY
BITEC - Budapest Nemzetközi Kereske,REAL ESTATE
ABO MILL Malomipari Zrt. F.A.,NOT RELEVANT
BAROMFITARTÓ ÉS SZERVEZÕ KFT.,NOT RELEVANT
IKIM PHARE ENERGY PIU,NOT RELEVANT
Társasház Zambelli u. 12.,FINANCIALS
"Komárom, Mártírok u. 17. Társasház",FINANCIALS
DANIELLA Kft.,INDUSTRIALS
Tótkomlósi Gazdák Beszerzési és Ért,NOT RELEVANT
RÁCZ JÓZSEFNÉ,NOT RELEVANT
LCP Systems Informatikai és Kereske,INFORMATION TECHNOLOGY
EXAKT.HU Kereskedelmi és Szolgáltat,CONSUMER DISCRETIONARY
Miklósmajori Mezõgazda Kft.,CONSUMER STAPLES
SUBGROUP WI NYRT al,INDUSTRIALS
Varda Projekt Kft.,CONSUMER STAPLES
TRANSCOM TRS Kereskedelmi és Szolgá,FINANCIALS
Bódis Lajos,NOT RELEVANT
STS Technology Kft.,NOT RELEVANT
HÍRÖS-BRÓKER Biztosítási Alkusz és,NOT RELEVANT
Pretium XXI Ingatlanforgalmazó Kft.,NOT RELEVANT
ELMÛ-ÉMÁSZ Energiaszolgáltató Zártk,UTILITIES
Kiss B. Ker Kereskedelmi és Szolgál,CONSUMER STAPLES
PURECO Környezetvédelmi és Gazdaság,INDUSTRIALS
CERTUS MERCATUS KORLATOLT FELELOSSE,CONSUMER DISCRETIONARY
Somlai Motors Kereskedelmi és Szolg,NOT RELEVANT
GAMEX Kereskedelmi és Szolgáltató B,NOT RELEVANT
C.S.R. Immo Ingatlanforgalmazó Kft.,REAL ESTATE
TOP DESIGN Ingatlanhasznosító és Ta,REAL ESTATE
DunaPro Business Korlátolt Felelõss,MATERIALS
DunaSweet Wellness Kereskedelmi Kor,CONSUMER DISCRETIONARY
Geotermikus Szolgáltató Kft.,UTILITIES
Hungaro-Orient Gold Zrt.,CONSUMER STAPLES
Zalaerdõ Erdészeti Zrt.,MATERIALS
Bohn-Gép Korlátolt Felelõsségû Társ,INDUSTRIALS
GAME STUDIO KFT,CONSUMER DISCRETIONARY
"Székesfehérvár, Ligetsor 7-8-9. Tár",REAL ESTATE
Székesfehérvár Prohászka Ottokár út,REAL ESTATE
KORIR PROGRESS Építõipari és Szolgá,INDUSTRIALS
RK-ÉP Korlátolt Felelõsségû Társasá,INDUSTRIALS
JUNGHEINRICH Hungária Fejlesztési é,INDUSTRIALS
Somfai Róbert,NOT RELEVANT
ZALAKERÁMIA ZRT.,INDUSTRIALS
FAVOR-TRANS Nemzetközi Szállítmányo,INDUSTRIALS
INHOLD VAGYONKEZELÕ ÉS BEFEKTETÕ RT,NOT RELEVANT
MEGA-SPED SZOLGÁLTATÓ ÉS KERESKEDEL,NOT RELEVANT
UNISYS MAGYARORSZÁG KFT.,NOT RELEVANT
Bravosolar Korlátolt Felelõsségû Tá,UTILITIES
FIORÁCS Mezõgazdasági Termékelõállí,CONSUMER STAPLES
Szolnok Várkonyi István tér 11-12-1,REAL ESTATE
Koroza Korlátolt Felelõsségû Társas,REAL ESTATE
GROUP POLSOL,UTILITIES
Dolavon Holding Zrt.,INDUSTRIALS
CRYSTAL NAILS Kereskedelmi és szolg,CONSUMER STAPLES
CLA Milk Korlátolt Felelõsségû Társ,CONSUMER STAPLES
Recymet Industries Kereskedelmi és,INDUSTRIALS
Csányi Pincészet Zrt.,CONSUMER STAPLES
VEBA-CAR Autóalkatrész Kereskedelmi,NOT RELEVANT
Nyári László,NOT RELEVANT
Béta Real Estate Ingatlanhasznosító,NOT RELEVANT
Sárberki ltp. 215,FINANCIALS
KISDUNA LAKÁSFENNTARTÓ SZÖVETKEZET,FINANCIALS
Kuhn Kft.,NOT RELEVANT
TÁRSASHÁZ BALASSAGYARMAT MADÁCH LIG,FINANCIALS
CSEMEGE INGATLANBEFEKTETÉSI III. KF,REAL ESTATE
Baróti Tibor,NOT RELEVANT
Pasta-Fresca-Italiana Tészta és Éde,NOT RELEVANT
Teleki Tamás Tibor,NOT RELEVANT
AUTOAGENT KERESKEDELMI ÉS SZOLGÁLTA,INDUSTRIALS
UNIO-MÉDIA Kereskedelmi és Szolgált,NOT RELEVANT
H-BOWLING Vagyonkezelõ Kft.,FINANCIALS
PrimoInvest Korlátolt Felelõsségû T,INDUSTRIALS
S.E.F.T. TRAFIK Kereskedelmi és Szo,NOT RELEVANT
Társasház Attila út 47,FINANCIALS
Gödöllõ Egyetem tér 11. Társasház,FINANCIALS
Sfera Saniter Kereskedelmi és Szolg,NOT RELEVANT
Gérce Jobbikszer Kft.,NOT RELEVANT
Metsä Wood Hungary Faipari és Keres,MATERIALS
GROUP WEGER,INDUSTRIALS
Sió Top-Ker Kft.,CONSUMER STAPLES
Szabadság út 7-9. Társasház,FINANCIALS
Harasztosi Gabona Kereskedelmi és B,NOT RELEVANT
Oroszlányi Többcélú Kistérségi Társ,NOT RELEVANT
"VALEK-KER  Vendéglátóipari, Kereske",NOT RELEVANT
sem-a-for NET Kereskedelmi BT,INDUSTRIALS
GRIFF INVEST INGATLANFORG. KFT.,NOT RELEVANT
"AW IMMO INGATLANKÖZVETÍTÕ, KERESKED",NOT RELEVANT
Budapest III. ker. Margit liget u.,REAL ESTATE
"P&P Építõipari, Kereskedelmi és Szo",NOT RELEVANT
ALLKER-2 Kft.,NOT RELEVANT
Pálffy György,NOT RELEVANT
INDOTEK BEFEKTETÉSI ZRT.,REAL ESTATE
Duna House Franchise Szolgáltató Kf,REAL ESTATE
Tóvárosi Ln 14-16 Társasház,REAL ESTATE
GROUP Pikopack,MATERIALS
Fenestella International Kft.,INDUSTRIALS
