name,industry,frequency
""" DÉL-KAVICS"" Bányászati Termelõ",MATERIALS,6
"""3P Solutions"" Ipari, Fejlesztõ",MATERIALS,6
"""A fény útján""",NOT RELEVANT,6
"""ADY"" Lakásfenntartó",REAL ESTATE,6
"""AGRIMOTOR"" KISMOTORÖSSZESZERELÖ",INDUSTRIALS,6
"""AGRO-FARMER 2001"" Mezõgazdasági Te",NOT RELEVANT,6
"""AGRODOB-ELEKTRO"" KFT",NOT RELEVANT,6
"""AGROKVALIT"" Termelõ, Szolgáltató",CONSUMER STAPLES,6
"""AGRÁR-HÁZ"" Külkereskedelmi",NOT RELEVANT,6
"""AGÁRD"" HOLDING BEFEKTETÉSI",NOT RELEVANT,6
"""AKVIZITOR"" Kereskedelmi, Vállalkoz",CONSUMER STAPLES,6
"""ANGELIKA FARM"" Gyógynövénytermelõ-",CONSUMER STAPLES,6
"""ASZTIK-FOOD"" Kereskedelmi",NOT RELEVANT,6
"""AVÉP"" Ajkai Építõipari Korlátolt",INDUSTRIALS,6
"""AXIÁL"" Javító, Kereskedelmi és",INDUSTRIALS,6
"""Adonyhús"" Sertéstenyésztõ, Hús",CONSUMER STAPLES,6
"""Alba-Séd"" Patyolat Szolgáltató",NOT RELEVANT,6
"""Amerikai út 96""",NOT RELEVANT,6
"""Ametiszt 25"" Kereskedelmi",NOT RELEVANT,6
"""Angus"" Húsmarhatenyésztõ és Forgal",CONSUMER STAPLES,6
"""BARCOMP"" Baromfinevelõ,",CONSUMER STAPLES,6
"""BARTÓK BÉLA"" LAKÁSFENNTARTÓ",REAL ESTATE,6
"""BENZOL"" Ipari, Kereskedelmi és",CONSUMER DISCRETIONARY,6
"""BERGADLER-PLUSZ"" Kereskedelmi és",NOT RELEVANT,6
"""BINGO - 2001 "" Pénznyerõ Automatát",CONSUMER DISCRETIONARY,6
"""BIO-SÜTI"" Sütõipari",NOT RELEVANT,6
"""BORÁROS TÉRI GARAGE""",REAL ESTATE,6
"""BOTÉSZ"" Bodzatermelõk Értékesítõ",CONSUMER STAPLES,6
"""Bajorház 2000"" Építõipari,",NOT RELEVANT,6
"""Balusztrád-Építõmester""",NOT RELEVANT,6
"""Batsányi János"" Galamb- és Kisálla",NOT RELEVANT,6
"""Belvárosi Kígyó Gyógyszertár""",CONSUMER STAPLES,6
"""BÁCSKA"" AGRÁR-IPARI",CONSUMER STAPLES,6
"""COOPTECH"" Vállalkozás",MATERIALS,6
"""CORCOVADO 2006""",NOT RELEVANT,6
"""CabTec"" Kábelkonfekcionáló és",INDUSTRIALS,6
"""CoreComm SI"" Szolgáltató és",INDUSTRIALS,6
"""Csombárdi Gazda"" Felvásárlási, Bes",NOT RELEVANT,6
"""DARÓC-INVEST"" Ingatlanforgalmazó,",NOT RELEVANT,6
"""DELIKÁT"" Kereskedelmi és",NOT RELEVANT,6
"""DI-FER RENT"" Gépjármûkölcsönzõ",INDUSTRIALS,6
"""DKI Center"" Ipari Kereskedelmi",NOT RELEVANT,6
"""DOB-TAK"" Takarmánygyártó,",CONSUMER STAPLES,6
"""DOLCETTA"" Ipari, Kereskedelmi és",CONSUMER STAPLES,6
"""DÉSZOLG"" Dunamenti Építõ és",INDUSTRIALS,6
"""EURO-FARMER"" Mezõgazdasági",NOT RELEVANT,6
"""EURORABBIT"" Nyúltenyésztõ",CONSUMER STAPLES,6
"""EVERGLADES"" KERESKEDELMI",NOT RELEVANT,6
"""Ecser Közmû"" Szolgáltató",FINANCIALS,6
"""Enger"" Kereskedelmi és",CONSUMER DISCRETIONARY,6
"""Euro-Faker"" Ipari, Kereskedelmi,",NOT RELEVANT,6
"""FARM-KER"" Kereskedelmi és",NOT RELEVANT,6
"""FEHÉRVÁR F. C."" Sportszolgáltató",NOT RELEVANT,6
"""FEKETESÁR"" Mezõgazdasági",CONSUMER STAPLES,6
"""FIRE 97"" Pénznyerõ Automatát Üzeme",CONSUMER DISCRETIONARY,6
"""FÁY ANDRÁS"" Lakásépítõ és Fenntart",REAL ESTATE,6
"""FÉMSZER"" Építõ és Fémipari",NOT RELEVANT,6
"""FÉNY NET"" Kereskedelmi és",NOT RELEVANT,6
"""FÉNY-BER"" Beruházó Szolgáltató",NOT RELEVANT,6
"""FÉNYPORT"" Szolgáltató",INDUSTRIALS,6
"""FÜRED HOLDING"" Szolgáltató és",CONSUMER STAPLES,6
"""Fény"" Szolgáltató",CONSUMER DISCRETIONARY,6
"""GABONAKOM"" Mezõgazdasági,",CONSUMER STAPLES,6
"""GALAMBOS ÉS TÁRSA"" SZOLGÁLTATO",NOT RELEVANT,6
"""GARAIHÁZ"" Ingatlanforgalmazó és Be",FINANCIALS,6
"""GENERAL ELECTRONIC"" Építõipari",NOT RELEVANT,6
"""GLASS"" Kereskedelmi és",CONSUMER DISCRETIONARY,6
"""GLOBÁL"" Plasztik Kereskedelmi és",NOT RELEVANT,6
"""GOF HUNGARY"" Gabona-, Olajos és",NOT RELEVANT,6
"""GRAMINAE"" Mezõgazdasági",CONSUMER STAPLES,6
"""GRAND-ÁCS"" Ipari, Szolgáltató és",NOT RELEVANT,6
"""GREDI"" Egészségügyi Szolgáltató",NOT RELEVANT,6
"""GSV"" Kereskedelmi Korlátolt",INDUSTRIALS,6
"""GYÕR, ROYAL PARKVÁROS I.""",REAL ESTATE,6
"""Gazda'99."" Beszerzõ, Raktározó, Ér",NOT RELEVANT,6
"""Gyógyszertér"" Gyógyszertár-üzemelt",NOT RELEVANT,6
"""Gyõrszemerei"" - Olajos Növények",CONSUMER STAPLES,6
"""GÉGÉNY"" Építõipari",NOT RELEVANT,6
"""GÓLICZA"" Termelõ, Kereskedelmi",NOT RELEVANT,6
"""Góól"" Szórakoztató és Ingatlan",FINANCIALS,6
"""HAHÓTI VÁRDOMB"" Mezõgazdasági",CONSUMER STAPLES,6
"""HAPP"" Fuvarozó és Szállítmányozó",INDUSTRIALS,6
"""HELIX 90."" Kereskedelmi és",CONSUMER STAPLES,6
"""HORIZONT"" LAKÁSFENNTARTÓ SZÖVETKEZ",FINANCIALS,6
"""HOVÁNY"" Kereskedelmi és",CONSUMER DISCRETIONARY,6
"""HUMAN SYSTEM"" SZOLGÁLTATÓ",NOT RELEVANT,6
"""HUNGARO-ARMS"" Kereskedelmi és",NOT RELEVANT,6
"""HUNGARO-CHAMPIGNON"" Termeltetõ-",CONSUMER STAPLES,6
"""HUSZÁR 99"" Szolgáltató és Keresked",REAL ESTATE,6
"""Halasi Magtár"" Agrárlogisztikai",NOT RELEVANT,6
"""Heten"" Ingatlanforgalmazó,",CONSUMER STAPLES,6
"""Hevesi-Hús"" Húsipari Termékeket Te",MATERIALS,6
"""HÖPE"" Vasipari Korlátolt",CONSUMER DISCRETIONARY,6
"""ILLKER-FOOD"" Kereskedelmi",CONSUMER STAPLES,6
"""IMMO Industry"" Ingatlanforgalmazó,",FINANCIALS,6
"""INTEGRANET"" Kereskedelmi és",NOT RELEVANT,6
"""Ifjuság""",REAL ESTATE,6
"""Ingatlan Portál"" Ingatlanforgalmaz",FINANCIALS,6
"""Intertrió"" Kereskedelmi",NOT RELEVANT,6
"""Ipari Terület Bezenye"" Ipari és Ke",REAL ESTATE,6
"""JANELLA""",NOT RELEVANT,6
"""JTT PRO"" BIZTONSÁGTECHNIKAI, KERES",INDUSTRIALS,6
"""JTT-Gastro-Service"" Szolgáltató",CONSUMER DISCRETIONARY,6
"""Jet Travel"" Idegenforgalmi",CONSUMER DISCRETIONARY,6
"""Jobb-Kenyer"" Kft.",CONSUMER STAPLES,6
"""JÓB"" Gyógyszeripari Termékeket",CONSUMER STAPLES,6
"""JÓZSEF ATTILA"" 3.számú LAKÁSFENNTA",REAL ESTATE,6
"""Jókai úti"" Lakásfenntartó",REAL ESTATE,6
"""KA-TÉSZ"" Sertéstermelõ,",CONSUMER STAPLES,6
"""KARTON"" SZOLGÁLTATÓ",NOT RELEVANT,6
"""KE-VÍZ 21"" Építõipari",INDUSTRIALS,6
"""KELET-TRANS 2000"" Fuvarozó és",INDUSTRIALS,6
"""KELET-VÁLL-BER"" KFT",NOT RELEVANT,6
"""KEVAIMPEX"" Kereskedelmi és",CONSUMER DISCRETIONARY,6
"""KEVIN-GAME 2000"" Pénznyerõ Autómat",NOT RELEVANT,6
"""KING CHAMPIGNONS"" Gombatermesztõ",CONSUMER STAPLES,6
"""KINIZSI PÁL""MGTSZ",NOT RELEVANT,6
"""KISRÉTI GAZDÁK"" MG.",NOT RELEVANT,6
"""KOLLÁR EURO TRANS"" Szolgáltató",NOT RELEVANT,6
"""KOR-AN 98"" Mezõgazdasági,",CONSUMER STAPLES,6
"""KORONA"" Lakásfenntartó",FINANCIALS,6
"""KREKK-INFO"" Reklám, Terjesztési",CONSUMER DISCRETIONARY,6
"""KROMAT"" Mûszerforgalmazó",HEALTH CARE,6
"""KUNSÁG"" Élelmiszerkereskedelmi",CONSUMER STAPLES,6
"""Kapoly Gabona"" Gabonakereskedelmi",NOT RELEVANT,6
"""Kaposplast Vagyonkezelõ""",REAL ESTATE,6
"""Kata Patika"" Gyógyszeripari",CONSUMER STAPLES,6
"""Kelet-Food 2000"" Élelmiszeripari",CONSUMER STAPLES,6
"""Kittenberger Kálmán"" Növény és Vad",NOT RELEVANT,6
"""Klima Ép-Gép-Szer"" Hûtési és Hõtec",NOT RELEVANT,6
"""Kocka""",FINANCIALS,6
"""Kossuth tér 6-8.""",FINANCIALS,6
"""Kulinárium Magazin"" Lapkiadó",NOT RELEVANT,6
"""Kõtenger-Gabona"" Kereskedelmi és",CONSUMER STAPLES,6
"""LAKSZÖV"" NYÍREGYHÁZI LAKÁSSZÖVETKE",REAL ESTATE,6
"""LÁNG"" Kereskedelmi Korlátolt",NOT RELEVANT,6
"""LÉVAI HOTEL"" VENDÉGLÁTÓ ÉS KER",NOT RELEVANT,6
"""M-ART"" KERESKEDELMI",CONSUMER DISCRETIONARY,6
"""MAGYAR INDOKÍNA TÁRSASÁG"" Befekte",CONSUMER DISCRETIONARY,6
"""MAGYARTELEKI AGRO"" Mezõgazdasági",CONSUMER STAPLES,6
"""MAJOROS"" Öntödei Korlátolt",INDUSTRIALS,6
"""MANAX"" Mezõgazdasági Szolgáltató,",CONSUMER STAPLES,6
"""MARGITTA-SZIGET 92""",CONSUMER STAPLES,6
"""MCS"" Vágóhíd Zártkörûen Mûködõ",CONSUMER STAPLES,6
"""MEDIC-ING"" Ingatlanfejlesztõ és -h",FINANCIALS,6
"""MEGA-LOGISTIC"" BERUHÁZÁSI ÉS ÜZEME",NOT RELEVANT,6
"""MEGAWATT VILLAMOSIPARI""",INDUSTRIALS,6
"""MERKATIMPEX"" Kereskedelmi és Vendé",CONSUMER STAPLES,6
"""MEZÕMAG"" VETÕM.TERM.TISZT.FORG.KFT",NOT RELEVANT,6
"""MIDIO HUNGARY Kereskedelmi Kft.""",CONSUMER DISCRETIONARY,6
"""MIGAN"" Ker. és Szolg.",INDUSTRIALS,6
"""MILKY WAY"" Kereskedelmi és",FINANCIALS,6
"""MOBILTRANS"" TEHERFUVAROZÓ ÉS",NOT RELEVANT,6
"""MOUNTEX"" ALPIN DESIGN",CONSUMER DISCRETIONARY,6
"""Maroni 3"" Vendéglátóipari és",NOT RELEVANT,6
"""Meridián-2000"" kereskedelmi és",CONSUMER STAPLES,6
"""Munkalehetõség a Jövõért"" Szolnok",NOT RELEVANT,6
"""MÉTA"" Kereskedelmi Korlátolt",NOT RELEVANT,6
"""MÓDIUS"" Sütõipari",FINANCIALS,6
"""NAGY PR."" Kereskedelmi és Szolgált",COMMUNICATIONS,6
"""NAGY ÉS FIAI"" Szolgáltató és",HEALTH CARE,6
"""NEFÁR-MEDIÁTOR"" Biztosítási Alkusz",NOT RELEVANT,6
"""NOVEMBER 7""",FINANCIALS,6
"""NYIR-CHEM"" Kereskedelmi és",NOT RELEVANT,6
"""NYÍRSÉG-TRANSZ""KFT",NOT RELEVANT,6
"""Nasi Plusz"" Ingatlanhasznosító",CONSUMER STAPLES,6
"""Nyelviskola"" Oktatásszervezõ és",NOT RELEVANT,6
"""OPTIMUS"" Építõipari Kivitelezõ",NOT RELEVANT,6
"""Otthon"" Lakásfenntartó",FINANCIALS,6
"""PACK-ING"" TERMELÕ, TERMELTETÕ GYÁR",CONSUMER STAPLES,6
"""PARÉTI"" Kereskedelmi és",CONSUMER STAPLES,6
"""PINKERTON-V""",NOT RELEVANT,6
"""PIRO-FINN""",NOT RELEVANT,6
"""PLAST-TEXT 2002"" Mûanyag- és Texti",NOT RELEVANT,6
"""Palazzo Csajkovszkij Társasház""",REAL ESTATE,6
"""Palota"" Lakásfenntartó",REAL ESTATE,6
"""Panelház"" Lakásfenntartó",REAL ESTATE,6
"""Pannon-Milk-Transzport""",INDUSTRIALS,6
"""Patika Kínokra"" Gyógyszerészeti",CONSUMER STAPLES,6
"""Pintér Károly"" Lakásfenntartó",REAL ESTATE,6
"""Pro-Team"" Rehabilitációs",CONSUMER DISCRETIONARY,6
"""Pro-Team"" Rehabilitációs",NOT RELEVANT,6
"""PÉTKOMM"" Pétfürõdi Kommunális és",UTILITIES,6
"""PÓ-KER '73"" Szolgáltató",NOT RELEVANT,6
"""R 04"" Ingatlanforgalmazó és Haszno",NOT RELEVANT,6
"""R-Biller utca 16""",FINANCIALS,6
"""REBAKO-HÚS"" KERESKEDELMI ÉS",NOT RELEVANT,6
"""RUBÓK"" Kereskedelmi és",CONSUMER STAPLES,6
"""Realon 2000"" Befektetési és",NOT RELEVANT,6
"""Rudolph Autóipari Logisztikai""",CONSUMER DISCRETIONARY,6
"""Rákóczi"" Lakás-, Garázs-, Mûhely É",REAL ESTATE,6
"""Rétsági Kõhárs"" Gyógyszerészeti",CONSUMER STAPLES,6
"""S & N"" Erdészeti Termelõ,",NOT RELEVANT,6
"""S"" MODELL Kereskedelmi",CONSUMER DISCRETIONARY,6
"""SCHALBERT"" Kisapostag Település",NOT RELEVANT,6
"""SIKÉR"" Malomipari",CONSUMER STAPLES,6
"""SIMBA Hungary"" Szolgáltató, Ipari",NOT RELEVANT,6
"""SOLTÚT"" Útépítõ, Fenntartó és",INDUSTRIALS,6
"""SOMOSFER""",NOT RELEVANT,6
"""SPUR"" VAGYONKEZELÕ ZRT.",NOT RELEVANT,6
"""STÚDIÓ-V"" Ingatlanhasznosító",REAL ESTATE,6
"""SZ-L"" BAU Építõipari és",NOT RELEVANT,6
"""SZABÓ FOGASKERÉKGYÁRTÓ"" Ipari,",INDUSTRIALS,6
"""SZAL-TÓ"" Kereskedelmi",CONSUMER STAPLES,6
"""SZARVASCSÁRDA"" Ingatlankezelõ, -fe",INDUSTRIALS,6
"""SZERVÍZ""",NOT RELEVANT,6
"""SZEVIÉP"" Szerkezet - és Vízépítõ",INDUSTRIALS,6
"""Sano-Modern Takarmányozás"" Gyártó,",CONSUMER STAPLES,6
"""Silvestris & Szilas"" Gyógynövényfe",MATERIALS,6
"""Stadion"" Lakás és",FINANCIALS,6
"""Szárító"" Mezõgazdasági",NOT RELEVANT,6
"""SÖKE-HUNGÁRIA"" Mûanyagfeldolgozó",INDUSTRIALS,6
"""Sárbogárdi"" Olajos Növények Termék",CONSUMER STAPLES,6
"""Sárgaház""",FINANCIALS,6
"""TE-DI TRADE"" KERESKEDELMI",CONSUMER STAPLES,6
"""THERMÁL-BAU-2000""KFT",NOT RELEVANT,6
"""THG""",NOT RELEVANT,6
"""THOMAS"" Vendéglátó, Kereskedõ és I",NOT RELEVANT,6
"""TIMÁR-GUMI"" Ipari és",CONSUMER DISCRETIONARY,6
"""TORNAI PINCÉSZET"" Borászati,",CONSUMER STAPLES,6
"""TRIPAN"" Kereskedelmi és",NOT RELEVANT,6
"""Tarcsai Transport"" Kereskedelmi",INDUSTRIALS,6
"""Tavasz"" Lakás- és",FINANCIALS,6
"""Termelés-Logistic-Centrum""",MATERIALS,6
"""Thor Patika""",CONSUMER STAPLES,6
"""Trans-Max Hungaria"" Logisztikai",NOT RELEVANT,6
"""Tulipán-ház""",REAL ESTATE,6
"""TÓTH AUTÓ KAPOSVÁR"" Autókereskedel",CONSUMER DISCRETIONARY,6
"""Uhrin Transzport"" Szállítási és",INDUSTRIALS,6
"""Ujvári -98"" Kereskedelmi és",NOT RELEVANT,6
"""VENTWEST"" Kereskedelmi Korlátolt",CONSUMER STAPLES,6
"""VERITAS DUNAKILITI"" Csatlakozástec",CONSUMER DISCRETIONARY,6
"""VERTEX BÚTOR"" Bútoripari és",CONSUMER DISCRETIONARY,6
"""VHG"" Velencei-tavi",INDUSTRIALS,6
"""VILL - MASTER 95"" IPARI",NOT RELEVANT,6
