industry,separate_ending,frequency
COMMUNICATIONS,<NONE>,228
COMMUNICATIONS,Felelõ,12
COMMUNICATIONS,Felelõss,18
COMMUNICATIONS,Keresked,12
COMMUNICATIONS,Kft.,90
COMMUNICATIONS,Szolgál,12
COMMUNICATIONS,Társasá,12
COMMUNICATIONS,Zrt.,24
CONSUMER DISCRETIONARY,<NONE>,1410
CONSUMER DISCRETIONARY,"""f.a.""",30
CONSUMER DISCRETIONARY,Alapítvány,12
CONSUMER DISCRETIONARY,Autókereskedelmi,12
CONSUMER DISCRETIONARY,B,18
CONSUMER DISCRETIONARY,F,36
CONSUMER DISCRETIONARY,F.A,12
CONSUMER DISCRETIONARY,Fe,30
CONSUMER DISCRETIONARY,Fel,42
CONSUMER DISCRETIONARY,Fele,30
CONSUMER DISCRETIONARY,Felel,42
CONSUMER DISCRETIONARY,Felelõ,36
CONSUMER DISCRETIONARY,Felelõs,24
CONSUMER DISCRETIONARY,Felelõss,12
CONSUMER DISCRETIONARY,Felelõssé,36
CONSUMER DISCRETIONARY,Felelõsség,60
CONSUMER DISCRETIONARY,Felelõsségû,54
CONSUMER DISCRETIONARY,Ferenc,12
CONSUMER DISCRETIONARY,Forga,12
CONSUMER DISCRETIONARY,GROUP,12
CONSUMER DISCRETIONARY,Gy,12
CONSUMER DISCRETIONARY,Gyártó,12
CONSUMER DISCRETIONARY,János,12
CONSUMER DISCRETIONARY,K,120
CONSUMER DISCRETIONARY,KERESKED,12
CONSUMER DISCRETIONARY,KERESKEDELMI,12
CONSUMER DISCRETIONARY,KFT,162
CONSUMER DISCRETIONARY,KFT.,156
CONSUMER DISCRETIONARY,Ke,36
CONSUMER DISCRETIONARY,Kere,12
CONSUMER DISCRETIONARY,Keres,18
CONSUMER DISCRETIONARY,Keresk,18
CONSUMER DISCRETIONARY,Kereske,24
CONSUMER DISCRETIONARY,Keresked,12
CONSUMER DISCRETIONARY,Kereskede,66
CONSUMER DISCRETIONARY,Kereskedel,42
CONSUMER DISCRETIONARY,Kereskedelm,36
CONSUMER DISCRETIONARY,Kereskedelmi,60
CONSUMER DISCRETIONARY,Kf,30
CONSUMER DISCRETIONARY,Kft,138
CONSUMER DISCRETIONARY,Kft.,1170
CONSUMER DISCRETIONARY,Kft.-F.A.,18
CONSUMER DISCRETIONARY,Ko,18
CONSUMER DISCRETIONARY,Kor,36
CONSUMER DISCRETIONARY,Korlá,36
CONSUMER DISCRETIONARY,Korlát,30
CONSUMER DISCRETIONARY,Korláto,36
CONSUMER DISCRETIONARY,Korlátol,42
CONSUMER DISCRETIONARY,Korlátolt,42
CONSUMER DISCRETIONARY,Közhasznú,12
CONSUMER DISCRETIONARY,N,12
CONSUMER DISCRETIONARY,Nonprofit,12
CONSUMER DISCRETIONARY,RT.,18
CONSUMER DISCRETIONARY,Rendez,12
CONSUMER DISCRETIONARY,Rés,12
CONSUMER DISCRETIONARY,Rész,12
CONSUMER DISCRETIONARY,S,54
CONSUMER DISCRETIONARY,SZOLGÁLT,12
CONSUMER DISCRETIONARY,Scheer,12
CONSUMER DISCRETIONARY,Sz,42
CONSUMER DISCRETIONARY,Szerve,30
CONSUMER DISCRETIONARY,Szo,78
CONSUMER DISCRETIONARY,Szol,60
CONSUMER DISCRETIONARY,Szolg,54
CONSUMER DISCRETIONARY,Szolgaltato,12
CONSUMER DISCRETIONARY,Szolgá,78
CONSUMER DISCRETIONARY,Szolgál,42
CONSUMER DISCRETIONARY,Szolgált,102
CONSUMER DISCRETIONARY,Szolgálta,60
CONSUMER DISCRETIONARY,Szolgáltat,90
CONSUMER DISCRETIONARY,Szolgáltató,120
CONSUMER DISCRETIONARY,T,30
CONSUMER DISCRETIONARY,Tamás,12
CONSUMER DISCRETIONARY,Tanácsad,12
CONSUMER DISCRETIONARY,Tá,18
CONSUMER DISCRETIONARY,Tár,18
CONSUMER DISCRETIONARY,Társa,24
CONSUMER DISCRETIONARY,Utazásszerv,12
CONSUMER DISCRETIONARY,Vendéglát,18
CONSUMER DISCRETIONARY,Vendéglátó,12
CONSUMER DISCRETIONARY,Vendéglátóipari,12
CONSUMER DISCRETIONARY,ZRT.,30
CONSUMER DISCRETIONARY,Zoltán,18
CONSUMER DISCRETIONARY,Zrt,18
CONSUMER DISCRETIONARY,Zrt.,120
CONSUMER DISCRETIONARY,Zrt.-F.A.,12
CONSUMER DISCRETIONARY,es,12
CONSUMER DISCRETIONARY,é,24
CONSUMER DISCRETIONARY,és,174
CONSUMER STAPLES,<NONE>,1806
CONSUMER STAPLES,"""f.a",12
CONSUMER STAPLES,"""f.a.""",30
CONSUMER STAPLES,-F.A,18
CONSUMER STAPLES,-F.A.,12
CONSUMER STAPLES,B,12
CONSUMER STAPLES,BT,18
CONSUMER STAPLES,BT.,78
CONSUMER STAPLES,Beszerzõ,12
CONSUMER STAPLES,Bet,12
CONSUMER STAPLES,Beté,18
CONSUMER STAPLES,Bt,12
CONSUMER STAPLES,Bt.,318
CONSUMER STAPLES,F,48
CONSUMER STAPLES,F.A.,24
CONSUMER STAPLES,Fe,18
CONSUMER STAPLES,Fel,36
CONSUMER STAPLES,Feldol,12
CONSUMER STAPLES,Feldolgozó,12
CONSUMER STAPLES,Felel,24
CONSUMER STAPLES,Felelõ,48
CONSUMER STAPLES,Felelõs,24
CONSUMER STAPLES,Felelõss,42
CONSUMER STAPLES,Felelõssé,36
CONSUMER STAPLES,Felelõsség,18
CONSUMER STAPLES,Felelõsségû,48
CONSUMER STAPLES,Fo,12
CONSUMER STAPLES,Forgalm,18
CONSUMER STAPLES,Forgalmazó,24
CONSUMER STAPLES,Gyógyszerkeresk,12
CONSUMER STAPLES,Gyógyszerkereske,12
CONSUMER STAPLES,Gyógyszerkereskedelmi,36
CONSUMER STAPLES,K,138
CONSUMER STAPLES,KER,12
CONSUMER STAPLES,KERE,12
CONSUMER STAPLES,KERESKEDE,18
CONSUMER STAPLES,KF,12
CONSUMER STAPLES,KFT,126
CONSUMER STAPLES,KFT.,168
CONSUMER STAPLES,Ke,36
CONSUMER STAPLES,Ker,42
CONSUMER STAPLES,Kere,72
CONSUMER STAPLES,Keres,42
CONSUMER STAPLES,Keresk,60
CONSUMER STAPLES,Kereske,54
CONSUMER STAPLES,Keresked,60
CONSUMER STAPLES,Kereskede,30
CONSUMER STAPLES,Kereskedel,72
CONSUMER STAPLES,Kereskedelm,54
CONSUMER STAPLES,Kereskedelmi,132
CONSUMER STAPLES,Kf,84
CONSUMER STAPLES,Kft,126
CONSUMER STAPLES,Kft.,1554
CONSUMER STAPLES,Ko,18
CONSUMER STAPLES,Kor,12
CONSUMER STAPLES,Korl,12
CONSUMER STAPLES,Korlá,12
CONSUMER STAPLES,Korlát,24
CONSUMER STAPLES,Korláto,30
CONSUMER STAPLES,Korlátol,24
CONSUMER STAPLES,Korlátolt,42
CONSUMER STAPLES,László,12
CONSUMER STAPLES,M,18
CONSUMER STAPLES,Mezõga,12
CONSUMER STAPLES,Mezõgazdasági,24
CONSUMER STAPLES,Mû,12
CONSUMER STAPLES,Mûkö,12
CONSUMER STAPLES,Mûköd,12
CONSUMER STAPLES,Nagykereskede,12
CONSUMER STAPLES,Nagykereskedel,12
CONSUMER STAPLES,Növényterm,12
CONSUMER STAPLES,Ré,12
CONSUMER STAPLES,Rés,18
CONSUMER STAPLES,Részvényt,18
CONSUMER STAPLES,S,102
CONSUMER STAPLES,SZO,12
CONSUMER STAPLES,SZOLGÁ,12
CONSUMER STAPLES,SZOLGÁL,12
CONSUMER STAPLES,SZOLGÁLTAT,12
CONSUMER STAPLES,SZOLGÁLTATO,12
