name,industry,frequency
"""AJUTATI-NE SA INTELEGEM LUMEA",NOT RELEVANT,5
& CO RECYCLING,MATERIALS,5
& CO V'93,NOT RELEVANT,5
& COMP,NOT RELEVANT,5
& D TEXTIL,CONSUMER STAPLES,5
& FLUID CO,INDUSTRIALS,5
& GAMA,CONSUMER STAPLES,5
& M OIL,NOT RELEVANT,5
& MEALS MNMI DISTRIBUTION SR,CONSUMER STAPLES,5
& MORE,CONSUMER STAPLES,5
& SONS INTERNATION,NOT RELEVANT,5
& TRUST,INDUSTRIALS,10
+ C,CONSUMER STAPLES,5
+ FINANCE IFN S,NOT RELEVANT,5
1 MARKETING & SALES,HEALTH CARE,5
2000,CONSUMER DISCRETIONARY,5
2001,INDUSTRIALS,5
2002,NOT RELEVANT,5
24 EVONESS,INFORMATION TECHNOLOGY,5
2B INTELLIGENT SOFT,INFORMATION TECHNOLOGY,5
2D BARCODE SOLUTIONS,MATERIALS,5
2NET COMPUTER,CONSUMER DISCRETIONARY,5
3 BRAZI,CONSUMER STAPLES,5
45 TURISM,CONSUMER DISCRETIONARY,5
45 TURISM SIBIU,CONSUMER DISCRETIONARY,5
8 TIM,INDUSTRIALS,5
92 DISTRIBUTION,CONSUMER DISCRETIONARY,5
96 SA,CONSUMER STAPLES,5
98 B.B.B.,CONSUMER STAPLES,5
A & M GROUND,REAL ESTATE,5
A A MARKETING AND MANAGEMENT,CONSUMER DISCRETIONARY,5
A D PHARMA HOLDINGS,CONSUMER STAPLES,5
A E P S U P,UTILITIES,5
A G RADIO HOLDING,COMMUNICATIONS,5
A I R COMEXIM 2000,CONSUMER DISCRETIONARY,5
A I R COMEXIM S R,CONSUMER DISCRETIONARY,5
A M E RO S R,INDUSTRIALS,5
A M U S,INDUSTRIALS,5
A PENESCU,NOT RELEVANT,5
A SANDU,NOT RELEVANT,5
A TANASOIU,NOT RELEVANT,5
A V P COCOSARUL,NOT RELEVANT,5
A&D PHARMA HOLDINGS,NOT RELEVANT,5
A&D SIBCOM,INDUSTRIALS,5
A&S INTERNATIONAL 2000,NOT RELEVANT,5
A&S TURISM,INDUSTRIALS,5
A&V AREAS&VOLUMES,INDUSTRIALS,5
A.B.C.VAL,INDUSTRIALS,5
A.GROUP COMPANY,NOT RELEVANT,5
A.HARTRODT ROMANIA,INDUSTRIALS,5
A.T.F.TULCEA,NOT RELEVANT,5
A.V.P.S ASTRA BARAGANULUI,NOT RELEVANT,5
A.V.P.S. BERIVOI - MUNTII FAGARASUL,CONSUMER DISCRETIONARY,5
A.V.P.S. KORA,NOT RELEVANT,5
A.V.P.S. PADUREA VERDE SANTELEC,NOT RELEVANT,5
A.V.P.S. RUPEA,INDUSTRIALS,5
A.V.P.S. SOIMUL GIURGIU,CONSUMER STAPLES,5
A.V.P.S.CORVINIANA,NOT RELEVANT,5
AAYLEX PROD,CONSUMER STAPLES,5
AB,NOT RELEVANT,5
ABA-RO,CONSUMER STAPLES,5
ABATORRO BEEF TRADING,CONSUMER STAPLES,5
ABB,NOT RELEVANT,5
ABBC BRO,INDUSTRIALS,5
ABC,NOT RELEVANT,5
ABC+PSC,REAL ESTATE,5
ABCDD CEREAL TRADING,CONSUMER STAPLES,5
ABI AUTOMOTION,CONSUMER DISCRETIONARY,5
ABITARE,INDUSTRIALS,5
ABITARE C.G.,INDUSTRIALS,5
ABITARE SPORTS,CONSUMER DISCRETIONARY,5
ABN SYSTEMS INTERNATIONAL,INFORMATION TECHNOLOGY,5
ABO FARM,CONSUMER DISCRETIONARY,5
ABS,CONSUMER DISCRETIONARY,5
ABS CENTER-IMPEX,CONSUMER DISCRETIONARY,5
ABUND BERRY,CONSUMER STAPLES,5
ABZAC ROMANIA,MATERIALS,5
ACADEMICA ECOLOGICA DIMITR,NOT RELEVANT,5
ACAJU,CONSUMER DISCRETIONARY,5
ACCACE,INDUSTRIALS,5
ACCENT,NOT RELEVANT,5
ACCENT BUSINESS CONSULTING STL,INDUSTRIALS,5
ACCENTURE INDUSTRIAL SOFTWARE SOLUT,INFORMATION TECHNOLOGY,5
ACCESORIA GROUP,CONSUMER DISCRETIONARY,5
ACCESS,INDUSTRIALS,5
ACCIPIENS,HEALTH CARE,5
ACCORDING GROUP,INDUSTRIALS,5
ACCOUNTING,INDUSTRIALS,5
ACCURO,INDUSTRIALS,5
ACG RAYAN MOTORS,CONSUMER DISCRETIONARY,5
ACHIZITCOM GROUP,NOT RELEVANT,5
ACHIZITIE SI DEZVOLTARE,NOT RELEVANT,5
ACI,INDUSTRIALS,5
ACI CLUJ,INDUSTRIALS,5
ACIMODA,CONSUMER DISCRETIONARY,5
ACMS,INDUSTRIALS,5
ACMS-PIH,INDUSTRIALS,5
ACMVOL DESIGN,REAL ESTATE,5
ACN,INDUSTRIALS,5
ACOM MATERIALE DE CONSTRUCTII,NOT RELEVANT,5
ACOMIN,NOT RELEVANT,5
ACORUS SERV,HEALTH CARE,5
ACT ZAGRA,NOT RELEVANT,5
ACTIV,INDUSTRIALS,5
ACTIV COMPACT,MATERIALS,5
ACTIV DISTRIBUTION 2000,CONSUMER STAPLES,5
ACTIV GROUP MANAGEMENT,INDUSTRIALS,5
