industry,separate_beginning,frequency
COMMUNICATIONS,<NONE>,215
COMMUNICATIONS,AMBER,10
COMMUNICATIONS,ASOCIATIA,10
COMMUNICATIONS,DIGI,15
COMMUNICATIONS,GROUP,15
COMMUNICATIONS,MEDIA,10
COMMUNICATIONS,ORANGE,10
COMMUNICATIONS,RADIO,15
CONSUMER DISCRETIONARY,<NONE>,3680
CONSUMER DISCRETIONARY,ALIAT,15
CONSUMER DISCRETIONARY,AMERICAN,10
CONSUMER DISCRETIONARY,APAN,30
CONSUMER DISCRETIONARY,ASOC,15
CONSUMER DISCRETIONARY,ASOCIATIA,25
CONSUMER DISCRETIONARY,AUGSBURG,10
CONSUMER DISCRETIONARY,AUTO,70
CONSUMER DISCRETIONARY,AUTODEL,10
CONSUMER DISCRETIONARY,AUTOMOBILE,10
CONSUMER DISCRETIONARY,AUTOMOTIVE,15
CONSUMER DISCRETIONARY,AVIA,15
CONSUMER DISCRETIONARY,B,10
CONSUMER DISCRETIONARY,BEST,10
CONSUMER DISCRETIONARY,BET,10
CONSUMER DISCRETIONARY,BLUE,10
CONSUMER DISCRETIONARY,BMW,10
CONSUMER DISCRETIONARY,CAR,10
CONSUMER DISCRETIONARY,CASA,35
CONSUMER DISCRETIONARY,CERTO,10
CONSUMER DISCRETIONARY,CESAVIL,10
CONSUMER DISCRETIONARY,CITY,15
CONSUMER DISCRETIONARY,COATS,10
CONSUMER DISCRETIONARY,CONTEMPO,10
CONSUMER DISCRETIONARY,CORA,10
CONSUMER DISCRETIONARY,CREATIVE,10
CONSUMER DISCRETIONARY,CTE,10
CONSUMER DISCRETIONARY,D,10
CONSUMER DISCRETIONARY,DELTAMED,10
CONSUMER DISCRETIONARY,DINAMIC,10
CONSUMER DISCRETIONARY,DOMO,10
CONSUMER DISCRETIONARY,ELIT,10
CONSUMER DISCRETIONARY,EMAG,10
CONSUMER DISCRETIONARY,EURO,25
CONSUMER DISCRETIONARY,EXCLUSIV,15
CONSUMER DISCRETIONARY,FITNESS,10
CONSUMER DISCRETIONARY,FLASH,10
CONSUMER DISCRETIONARY,FLY,10
CONSUMER DISCRETIONARY,FORTUNA,10
CONSUMER DISCRETIONARY,FUNDATIA,25
CONSUMER DISCRETIONARY,GAME,10
CONSUMER DISCRETIONARY,GROUP,255
CONSUMER DISCRETIONARY,GRUP,10
CONSUMER DISCRETIONARY,Group,25
CONSUMER DISCRETIONARY,HAPPY,10
CONSUMER DISCRETIONARY,HIGH,10
CONSUMER DISCRETIONARY,IATSA,10
CONSUMER DISCRETIONARY,INTERNATIONAL,15
CONSUMER DISCRETIONARY,IRMEX,10
CONSUMER DISCRETIONARY,ISTYLE,10
CONSUMER DISCRETIONARY,KARPATEN,20
CONSUMER DISCRETIONARY,LEONARDO,10
CONSUMER DISCRETIONARY,LEONI,15
CONSUMER DISCRETIONARY,LOCKET,10
CONSUMER DISCRETIONARY,MAREEA,10
CONSUMER DISCRETIONARY,MATEROM,10
CONSUMER DISCRETIONARY,MAX,15
CONSUMER DISCRETIONARY,MEDIA,15
CONSUMER DISCRETIONARY,MEGA,10
CONSUMER DISCRETIONARY,MENDOLA,10
CONSUMER DISCRETIONARY,MERIDIAN,15
CONSUMER DISCRETIONARY,MERKUR,10
CONSUMER DISCRETIONARY,MOBILA,15
CONSUMER DISCRETIONARY,MY,10
CONSUMER DISCRETIONARY,NEW,10
CONSUMER DISCRETIONARY,OPTICAL,10
CONSUMER DISCRETIONARY,OTI,10
CONSUMER DISCRETIONARY,PARALELA,10
CONSUMER DISCRETIONARY,PESTOS,10
CONSUMER DISCRETIONARY,PORSCHE,15
CONSUMER DISCRETIONARY,PREMIER,10
CONSUMER DISCRETIONARY,PREMIUM,10
CONSUMER DISCRETIONARY,PRO,15
CONSUMER DISCRETIONARY,PROINVEST,10
CONSUMER DISCRETIONARY,RADACINI,40
CONSUMER DISCRETIONARY,RADBURG,10
CONSUMER DISCRETIONARY,RENAULT,10
CONSUMER DISCRETIONARY,RINGHIOPOL,10
CONSUMER DISCRETIONARY,ROTARY,10
CONSUMER DISCRETIONARY,S,10
CONSUMER DISCRETIONARY,SC,50
CONSUMER DISCRETIONARY,SCOALA,15
CONSUMER DISCRETIONARY,SENIA,10
CONSUMER DISCRETIONARY,SERVICE,20
CONSUMER DISCRETIONARY,SMART,10
CONSUMER DISCRETIONARY,SPORT,20
CONSUMER DISCRETIONARY,SSAB,10
CONSUMER DISCRETIONARY,STAR,10
CONSUMER DISCRETIONARY,SUBGROUP,45
CONSUMER DISCRETIONARY,SUPERBET,10
CONSUMER DISCRETIONARY,SubGroup,10
CONSUMER DISCRETIONARY,Subgroup,10
CONSUMER DISCRETIONARY,THE,10
CONSUMER DISCRETIONARY,TROTTER,15
CONSUMER DISCRETIONARY,TRW,10
CONSUMER DISCRETIONARY,UNIVERSITATEA,15
CONSUMER DISCRETIONARY,VISUAL,10
CONSUMER DISCRETIONARY,WESTGATE,10
CONSUMER DISCRETIONARY,WORLD,10
CONSUMER STAPLES,<NONE>,4015
CONSUMER STAPLES,ABO,10
CONSUMER STAPLES,ADS,10
CONSUMER STAPLES,AGRANA,15
CONSUMER STAPLES,AGRICOLA,10
CONSUMER STAPLES,AGRIKILTI,10
CONSUMER STAPLES,AGRO,90
CONSUMER STAPLES,AGROFAM,10
CONSUMER STAPLES,AGROLAND,40
CONSUMER STAPLES,AGROMEC,15
CONSUMER STAPLES,AGROSERV,10
CONSUMER STAPLES,AL,10
CONSUMER STAPLES,ALKA,15
CONSUMER STAPLES,AMEROPA,10
CONSUMER STAPLES,ANGST,10
CONSUMER STAPLES,ANNABELLA,10
CONSUMER STAPLES,AQUILA,10
CONSUMER STAPLES,ARIMEX,10
CONSUMER STAPLES,ASOC,10
CONSUMER STAPLES,AVICARVIL,35
CONSUMER STAPLES,AVICOLA,35
CONSUMER STAPLES,AVIROM,45
CONSUMER STAPLES,AVIS,10
CONSUMER STAPLES,BEBE,10
CONSUMER STAPLES,BLUE,10
CONSUMER STAPLES,BUSU,10
CONSUMER STAPLES,C,10
CONSUMER STAPLES,CARMISTIN,25
CONSUMER STAPLES,CEREAL,25
CONSUMER STAPLES,CEREALCOM,15
CONSUMER STAPLES,CIRIL,10
CONSUMER STAPLES,COMET,10
CONSUMER STAPLES,CUB,10
CONSUMER STAPLES,DANBRED,15
CONSUMER STAPLES,DIADIS,10
CONSUMER STAPLES,DIANA,10
CONSUMER STAPLES,DISTRIB,10
CONSUMER STAPLES,DN,15
CONSUMER STAPLES,DOMENIILE,10
CONSUMER STAPLES,DORIPESCO,10
CONSUMER STAPLES,DUO,10
CONSUMER STAPLES,EAST,25
CONSUMER STAPLES,ECO,15
CONSUMER STAPLES,ELDOMIR,10
CONSUMER STAPLES,ETERNAL,10
CONSUMER STAPLES,EURO,20
CONSUMER STAPLES,EXFLOR,10
CONSUMER STAPLES,FABRICA,10
CONSUMER STAPLES,FARMACIA,45
CONSUMER STAPLES,FERMA,20
CONSUMER STAPLES,FERMELE,10
CONSUMER STAPLES,FIVE,10
