industry,separate_ending,frequency
COMMUNICATIONS,<NONE>,85
COMMUNICATIONS,S.R.L,10
COMMUNICATIONS,SA,60
COMMUNICATIONS,SRL,145
CONSUMER DISCRETIONARY,<NONE>,780
CONSUMER DISCRETIONARY,A,15
CONSUMER DISCRETIONARY,BUC,10
CONSUMER DISCRETIONARY,CENTER,15
CONSUMER DISCRETIONARY,DISTRIBUTION,10
CONSUMER DISCRETIONARY,FASHION,10
CONSUMER DISCRETIONARY,HOLDING,10
CONSUMER DISCRETIONARY,INTERNATIONAL,10
CONSUMER DISCRETIONARY,L,55
CONSUMER DISCRETIONARY,LITERA,10
CONSUMER DISCRETIONARY,MEDIAS,10
CONSUMER DISCRETIONARY,ROMANIA,35
CONSUMER DISCRETIONARY,S,25
CONSUMER DISCRETIONARY,S.A,20
CONSUMER DISCRETIONARY,S.R.L,105
CONSUMER DISCRETIONARY,S.R.L.,65
CONSUMER DISCRETIONARY,SA,365
CONSUMER DISCRETIONARY,SERVICE,10
CONSUMER DISCRETIONARY,SIBIU,10
CONSUMER DISCRETIONARY,SR,10
CONSUMER DISCRETIONARY,SRL,3775
CONSUMER DISCRETIONARY,SYSTEMS,10
CONSUMER STAPLES,<NONE>,1270
CONSUMER STAPLES,A,15
CONSUMER STAPLES,AGRICOLA,15
CONSUMER STAPLES,AGRO,30
CONSUMER STAPLES,COM,25
CONSUMER STAPLES,COMPANY,10
CONSUMER STAPLES,DISTRIBUTION,10
CONSUMER STAPLES,FALIMENT,10
CONSUMER STAPLES,FARM,30
CONSUMER STAPLES,GRUP,10
CONSUMER STAPLES,IMPEX,25
CONSUMER STAPLES,IND,30
CONSUMER STAPLES,INF,10
CONSUMER STAPLES,INTERNATIONAL,20
CONSUMER STAPLES,L,75
CONSUMER STAPLES,LAND,10
CONSUMER STAPLES,PFA,10
CONSUMER STAPLES,PROD,15
CONSUMER STAPLES,ROMANIA,30
CONSUMER STAPLES,S,10
CONSUMER STAPLES,S.A,20
CONSUMER STAPLES,S.A.,20
CONSUMER STAPLES,S.R.L,95
CONSUMER STAPLES,S.R.L.,35
CONSUMER STAPLES,SA,495
CONSUMER STAPLES,SLOBOZIA,10
CONSUMER STAPLES,SRL,4260
CONSUMER STAPLES,TIGANASI,10
