name,industry
PUTEVI AD UZICE,INDUSTRIALS
PILOT TOY DOO BEOGRAD - U STECAJU,CONSUMER DISCRETIONARY
SINTRONIC - U PRINUDNOJ LIKVIDACIJ,CONSUMER DISCRETIONARY
DOO TEHNOGRAD SISTEM KRALJEVO,MATERIALS
COLL-PLUS NEKRETNINE DOO BEOGRAD -,FINANCIALS
TTTECH AUTO DOO,INDUSTRIALS
FAKULTET ZA USLUZNI BIZNIS SREMSKA,CONSUMER DISCRETIONARY
TEKNOXGROUP SRBIJA DOO BEOGRAD,INDUSTRIALS
SUBGROUP IM MATIJEVIC,CONSUMER STAPLES
AGROFINA SISTEM DOO CACAK,CONSUMER STAPLES
BEOGUMA DOO BEOGRAD,CONSUMER DISCRETIONARY
GD TAMNAVA TRANS DOO BEOGRAD,INDUSTRIALS
SMART BUSINESS TECHNOLOGIES,INFORMATION TECHNOLOGY
K WAY BEAUTY,CONSUMER DISCRETIONARY
DZERVIN,CONSUMER STAPLES
SUBGROUP STAR IMPORT,CONSUMER DISCRETIONARY
PROTEM PROJEKT D.O.O.,INDUSTRIALS
CASA DI MODA STKR JAGODINA,CONSUMER STAPLES
DOO MILENIJUM ZAJECAR,CONSUMER DISCRETIONARY
SPIN COMPANY DOO KRAGUJEVAC,INDUSTRIALS
CORTEVA AGRISCIENCE SRB D.O.O.,CONSUMER STAPLES
ENGY SOLUTIONS DOO,COMMUNICATIONS
HALDER D.O.O.,INDUSTRIALS
PAKOM INTERNET DOO NIS,NOT RELEVANT
EURO GARNI HOTEL,REAL ESTATE
SEMENARNACOOP DOO PETROVARADIN,CONSUMER STAPLES
PELETI DOO KUPINOVO,CONSUMER STAPLES
GRUPA UNIVEREXPORT BACKA AD BACKA,CONSUMER STAPLES
UNIVERZUM EXPORT IMPORT DOO ARANDJE,CONSUMER DISCRETIONARY
UNIPLAST SERBIA DOO,INDUSTRIALS
EKO FACILITIES D.O.O. BEOGRAD - U,INDUSTRIALS
DOO HERC- MS BUDISAVA,CONSUMER STAPLES
"DOO ZA PROIZVODNJU, TRGOVINU I USL",HEALTH CARE
GROUP EGZAKTA,INDUSTRIALS
GREEN CONSTRUCTION DOO,REAL ESTATE
MENSHEN,MATERIALS
RADKA DOO BEOGRAD,MATERIALS
PUBLIK DOO VALJEVO,CONSUMER DISCRETIONARY
DUFRY,CONSUMER DISCRETIONARY
CIG D.O.O.,CONSUMER DISCRETIONARY
PACOM DOO CACAK,MATERIALS
PREDUZECE DIVI DOO,MATERIALS
LARIX DOO,MATERIALS
SAFIC-ALCAN ADRIATIC D.O.O.,MATERIALS
TOPOLA D.O.O.,CONSUMER STAPLES
KIOSK GRUPA DOO,CONSUMER STAPLES
GROUP PRO GALVANO MIKROMETAL,NOT RELEVANT
KICA SAM. TRG. A. RAD. SIMIC DARKO,CONSUMER STAPLES
LINDAB D.O.O. BEOGRAD,INDUSTRIALS
MAGICA DOO BEOGRAD,CONSUMER STAPLES
GLOBEX GROUP - U PRINUDNOJ LIKVIDA,INDUSTRIALS
HDS RETAIL GP DOO,CONSUMER DISCRETIONARY
PRINT & LOGISTIC DOO,NOT RELEVANT
VITANA DOO KURSUMLIJA,CONSUMER STAPLES
TDV FLEET D.O.O.,FINANCIALS
DANUBIUS D.O.O. NOVI SAD,CONSUMER STAPLES
PIC CO,CONSUMER STAPLES
KROKODIL & COMPANY DOO SIMANOVCI,CONSUMER DISCRETIONARY
SNJEZANA PNJ,CONSUMER STAPLES
MEDINO DOO KRNJEVO,CONSUMER STAPLES
CG FOODS EUROPE,CONSUMER STAPLES
BANBUS DOO,INDUSTRIALS
LUKOWA DOO - U STECAJU,CONSUMER STAPLES
"RESOR DOO GADZIN HAN,",CONSUMER DISCRETIONARY
LETINA DOO  NOVI BECEJ,CONSUMER STAPLES
LUKOWA FOOD DOO,CONSUMER STAPLES
TRACE PZP NIS AD NIS,INDUSTRIALS
DOT SMART SOLUTIONS DOO BEOGRAD,INDUSTRIALS
GROUP LETAC,INDUSTRIALS
TRIVAX VV DOO BEOGRAD,HEALTH CARE
ADIMES DOO BEOGRAD (ZVEZDARA) - U,CONSUMER STAPLES
INTERLEMIND AD LESKOVAC,MATERIALS
KATAGO CONSTRUCTION DOO VOGANJ,INDUSTRIALS
ISHRANA DOO CACAK,CONSUMER STAPLES
SIROVINABANAT DOO ZRENJANIN,INDUSTRIALS
"MEDIA POOL DOO, BEOGRAD",CONSUMER DISCRETIONARY
"DIM-TRADE DOO, BEOGRAD",INDUSTRIALS
GOLD DISTRIBUTION DOO,CONSUMER STAPLES
RAD GM DOO KRUSEVAC  - U STECAJU,INDUSTRIALS
GROUP Browel,INDUSTRIALS
ROMA COMPANY DOO BEOGRAD (NOVI BEO,INDUSTRIALS
HERCEGOVINA AD RAVNI TOPOLOVAC,CONSUMER STAPLES
A P SIDRO DOO NOVI BEOGRAD,INDUSTRIALS
OBNOVA DOO,CONSUMER DISCRETIONARY
GROUP NS UNION NOVI SAD,INDUSTRIALS
"DRUSTVO ZA PROIZVODNJU,PROMET",CONSUMER DISCRETIONARY
GENERAL PUBLIC TENDERS GPT DOO,UTILITIES
POLYDOR,CONSUMER DISCRETIONARY
"DOM ZDRAVLJA ""MEDIGROUP DR RISTIC""",HEALTH CARE
SMART BIOSERVICES GMBH - OGRANAK B,INDUSTRIALS
VODOVOD I KANALIZACIJA JKP SUBOTICA,UTILITIES
AEVUM PET CARE DOO BEOGRAD-NOVI BE,CONSUMER STAPLES
BEOGAS DOO BEOGRAD,NOT RELEVANT
ELOPAK DOO,INDUSTRIALS
MATIS-STIL TRADE DOO,NOT RELEVANT
PLANETA GASTRO DOO NOVI SAD,CONSUMER DISCRETIONARY
PREDSTAVNISTVO VIRO,CONSUMER STAPLES
METALAC-METALURGIJA AD,NOT RELEVANT
PREDUZECE SINTEH DOO BEOGRAD,INFORMATION TECHNOLOGY
WEST TRUCK DOO BEOGRAD,NOT RELEVANT
AQUA CASA DOO,CONSUMER DISCRETIONARY
VML ENERGY,ENERGY
CORNER SHOP DOO BEOGRAD,CONSUMER STAPLES
AVRIDE,INDUSTRIALS
AKSA D.O.O. BEOGRAD,CONSUMER DISCRETIONARY
GALEB ELECTRONICS DOO SABAC,INDUSTRIALS
GRAND METALS DOO,INDUSTRIALS
DURDEVIC ENERGO 2016 DOO SUBOTISTE,CONSUMER STAPLES
EXTRA AGRAR DOO VRBAS,CONSUMER STAPLES
PREDRAG (VELEMIR) VESKOV,CONSUMER STAPLES
INDUSTRIJA MESA NEDELJKOVIC,CONSUMER STAPLES
LDS DOO POZAREVAC,INDUSTRIALS
SILLA - ING D.O.O.,NOT RELEVANT
FAMILIJA MARKET DOO BEOGRAD,NOT RELEVANT
AGROEXPORT AD BEOGRAD,CONSUMER DISCRETIONARY
ENERGIJA TEHNIKA TEHNOLOGIJA DOO,INDUSTRIALS
NACIONALNA DISTRIBUCIJA D.O.O.,CONSUMER STAPLES
BIG-BULL KOMPANIJA DOO BACINCI - U,CONSUMER STAPLES
GRAFO NIN TRADE DOO,NOT RELEVANT
MD 02 DOO BEOGRAD,CONSUMER STAPLES
EUROAUTO DOO BEOGRAD - U PRINUDNOJ,CONSUMER DISCRETIONARY
METER & CONTROL DOO BEOGRAD,INFORMATION TECHNOLOGY
PROMIST DOO VETERNIK,MATERIALS
ASEE SOLUTIONS D.O.O. BEOGRAD,INFORMATION TECHNOLOGY
EKO FUTURA DOO,INDUSTRIALS
VZK DOO BEOGRAD,CONSUMER STAPLES
VILA LIBRI DOO,COMMUNICATIONS
MONBAT PLC DOO INDIJA,INDUSTRIALS
K-HOTELS DOO BEOGRAD,CONSUMER DISCRETIONARY
7.JULI TRGOVINA DOO VRANJE,CONSUMER STAPLES
POTISJE-BECEJ DOO BECEJ,INDUSTRIALS
JUROSEVIC MD DOO VRBAS,INDUSTRIALS
SRNA DOO,CONSUMER DISCRETIONARY
EC HARRIS D.O.O.,NOT RELEVANT
ST KOMERC PRINT,CONSUMER STAPLES
BAZIS RENT DOO BEOGRAD,NOT RELEVANT
MLINTEST - U STECAJU,NOT RELEVANT
AROMA AD,CONSUMER DISCRETIONARY
BSP DOO FEKETIC,CONSUMER STAPLES
SUBGROUP BENU,CONSUMER STAPLES
DOO DELTA KLADOVO - U STECAJU,ENERGY
TUV RHEINLAND INTERCERT DOO,INDUSTRIALS
ANGROPROMET DOO KIKINDA,CONSUMER STAPLES
ANDJELKOVIC AL I PVC DOO BEOGRAD-V,INDUSTRIALS
DORMAKABA DOO BEOGRAD,CONSUMER DISCRETIONARY
BEOHEMIJA-INHEM DOO,CONSUMER STAPLES
SLAVISA MITIC PR RADNJA ZA PREVOZ I,CONSUMER STAPLES
GROUP COMEL,INDUSTRIALS
STEFANOVIC AUTO DOO MLADENOVAC,CONSUMER DISCRETIONARY
BRAINZ DOO BEOGRAD,COMMUNICATIONS
SAN MARCO,CONSUMER STAPLES
FORTUNA MARKET DOO ARANDELOVAC,CONSUMER STAPLES
S RAIL DOO,INDUSTRIALS
KOMUNALAC U RUMI JP RUMA,INDUSTRIALS
HCP DOO BEOGRAD,INDUSTRIALS
PREDSTAVNISTVO TIM ZIP BEOGRAD,INDUSTRIALS
AZOHEM DOO SUBOTICA,MATERIALS
ADECCO HUMAN RESOURCES DOO BEOGRAD,NOT RELEVANT
KOMNENOVIC DOO BEOGRAD,CONSUMER DISCRETIONARY
ENERGOINVEST-INTERENERGO DOO,INDUSTRIALS
GENERALI TRANSPORT COMPANY DOO U S,INDUSTRIALS
INFIX 2024 DOO BEOGRAD ,CONSUMER DISCRETIONARY
VULOVIC TRANSPORT  DOO,INDUSTRIALS
"Elgas energy trading, LTD",ENERGY
BALKAN CAR SALES D.O.O.,CONSUMER DISCRETIONARY
PETKUS ENGINEERING DOO,INDUSTRIALS
SELECT COMPANY DOO SMEDEREVO,CONSUMER STAPLES
ARTINVEST DOO STARA PAZOVA,CONSUMER DISCRETIONARY
BEIERSDORF D.O.O.,CONSUMER STAPLES
AUTO FLEET MANAGEMENT DOO,INDUSTRIALS
SPECIJALNA BOLNICA ZA BOLESTI ZAVI,HEALTH CARE
GROUP SPAIZ,CONSUMER STAPLES
EPIROC SRBIJA A.D.,INDUSTRIALS
GREEN TECHNOLOGY FIRST DOO,UTILITIES
TEHNIX BEO DOO BEOGRAD,INDUSTRIALS
E.S.-KOMERC DOO PRIJEPOLJE,CONSUMER STAPLES
LOKOMOTIVA DOO BEOGRAD,INDUSTRIALS
METALAC INKO,INDUSTRIALS
EJOT TEHNIKA SPAJANJA DOO BEOGRAD,INDUSTRIALS
SIKA SRBIJA DOO,MATERIALS
TD SYNNEX D.O.O. BEOGRAD,INFORMATION TECHNOLOGY
AGROMEHANIKA AC DOO NOVI SAD,INDUSTRIALS
O&M INZENJERING GROUP DOO,INDUSTRIALS
MERCATUS DOO BEOGRAD,MATERIALS
JEZERO DOO TTUP ZUNJE KNIC KRAGUJEV,CONSUMER STAPLES
CHINA ENERGY ENGINEERING GROUP TIA,INDUSTRIALS
ALFA PROMET AD ODZACI,NOT RELEVANT
VITEZ&KOM DOO VRANJE,CONSUMER DISCRETIONARY
D.V.G. COMPANY DOO SUBOTICA,CONSUMER STAPLES
FRUVITA DOO BEOGRAD,CONSUMER STAPLES
M I P DOO KRALJEVO,CONSUMER STAPLES
ENTECO DOO UZICE,INDUSTRIALS
KOMPRESOR DORCOL DOO BEOGRAD,CONSUMER DISCRETIONARY
VOSSLOH-SCHWABE SERBIA D.O.O.,CONSUMER DISCRETIONARY
DELTA EPC DOO,INDUSTRIALS
TRGOPROMET NEKRETNINE DOO SUBOTICA,CONSUMER STAPLES
NOVELIC D.O.O.,INFORMATION TECHNOLOGY
DIGITAL FIRST DOO,INDUSTRIALS
RISMEN DOO,CONSUMER STAPLES
mtt infiz doo beograd,INDUSTRIALS
ONDREJ (ONDREJ) HEDJI,CONSUMER STAPLES
KTP JUP DOO,NOT RELEVANT
SZP ZAVARIVAC AD VRANJE - U STECAJ,INDUSTRIALS
GRADITELJ D.O.O. NOVI SAD,INDUSTRIALS
ELTRAS IN DOO BEOGRAD - U PRINUDNO,INDUSTRIALS
JEFIMIJA M DOO RASKA,INDUSTRIALS
KONTAKTOR DOO BEOGRAD,REAL ESTATE
OBALA TRADE DOO BEOGRAD,CONSUMER STAPLES
MILORD DOO NOVI PAZAR,INDUSTRIALS
LABUDOVIC NS DOO NOVI SAD,CONSUMER STAPLES
GROUP AGROMARKET KG,MATERIALS
DELTA TERM DOO BEOGRAD,INDUSTRIALS
BDS PROPERTIES DOO,REAL ESTATE
ELEKTROVAT DOO BEOGRAD,INDUSTRIALS
GOOD MOOD DOO BEOGRAD,CONSUMER DISCRETIONARY
ELEKTROMONTAZA D.O.O. KRALJEVO,INDUSTRIALS
INSAJDER PRODUKCIJA DOO,COMMUNICATIONS
SRBIJAPUT AD BEOGRAD,INDUSTRIALS
AD PODUNAVLJE BACKA PALANKA,CONSUMER STAPLES
PTM DOO SABAC,HEALTH CARE
RAKIC-LTD DOO RADINAC SMEDEREVO,CONSUMER STAPLES
"METLAKOMERC DOO VINARCE, LESKOVAC",CONSUMER STAPLES
YOUGOV CP D.O.O.,CONSUMER DISCRETIONARY
ZZ ZADRUGAR BAC,CONSUMER STAPLES
ZZ TABANOVIC LOZNICA,NOT RELEVANT
SIRMIUM STEEL D.O.O. SR.MITROVICA,MATERIALS
PREDSTAVNISTVO CARL ZEISS,HEALTH CARE
EUROFIBER,CONSUMER DISCRETIONARY
BREZA DOO PARACIN,INDUSTRIALS
NETIKS DOO BEOGRAD,INFORMATION TECHNOLOGY
MODITAL TRADE DOO,NOT RELEVANT
JKP MEDIANA NIS,INDUSTRIALS
GROUP NEVENACOLOR,NOT RELEVANT
ABC FOOD A.D.,CONSUMER STAPLES
BB MEAT DOO BACINCI,CONSUMER STAPLES
STEEL-IMPEX DOO SREMSKA KAMENICA,MATERIALS
SMARTPHONE CONCEPT DOO BEOGRAD,CONSUMER DISCRETIONARY
"PREDUZECE ZA TRGOVINU, TRANSPORT I",INDUSTRIALS
D COMPANY DOO BABUSNICA,INDUSTRIALS
DRAGIS-PHARM DOO BEOGRAD,HEALTH CARE
DVADESETPRVI MAJ AUTO KUCA D.O.O.,REAL ESTATE
VORWERK AUTOTEC SERBIA D.O.O.,CONSUMER DISCRETIONARY
OFFICE RENTALS DOO,REAL ESTATE
ABC MAZIVA DOO,MATERIALS
SVETOZAR (NEDELJKO) VESKOV,CONSUMER STAPLES
HOLCIM SRBIJA DOO,MATERIALS
TARKETT DOO BACKA PALANKA,INDUSTRIALS
JKP DIREKCIJA ZA JAVNI PREVOZ GRAD,INDUSTRIALS
STANKOM AD - U STECAJU,CONSUMER DISCRETIONARY
PHARMACIA ZAD DOO U STECAJU,HEALTH CARE
VEROPOULOS,CONSUMER STAPLES
SERBIA CABLE COMMERCE,INDUSTRIALS
REAL ESTATE RENT 2 DOO,REAL ESTATE
MAGNA PHARMACIA D.O.O.,HEALTH CARE
SUBGROUP AUTORITAS,CONSUMER STAPLES
SRBIJAAUTOPUT DOO BEOGRAD,INDUSTRIALS
TIS-MITROVIC DOO ZAJECAR,CONSUMER STAPLES
IKEA SRBIJA,CONSUMER DISCRETIONARY
"SANI OPTIK D.O.O., BEOGRAD",CONSUMER DISCRETIONARY
TELEKOMUNIKACIJA DOO,INDUSTRIALS
BEOECOTEL,INFORMATION TECHNOLOGY
ZVONKO MILOSAVLJEVIC PR FILI ZM,CONSUMER STAPLES
RABALUX DOO,NOT RELEVANT
VISNJICA DOO,CONSUMER DISCRETIONARY
PANONGRAD DOO,INDUSTRIALS
GROUP METAL-HEMICO,CONSUMER STAPLES
NESTLE ADRIATIC S DOO BEOGRAD-SURC,CONSUMER STAPLES
STEMAR SPED D.O.O.,INDUSTRIALS
GLETER-MAX DOO BEOGRAD - U PRINUDN,NOT RELEVANT
RISTIC DOO IVANJICA,CONSUMER DISCRETIONARY
KUHNE + NAGEL DOO,INDUSTRIALS
POSLOVNO UDRUZENJE DAVAOCA LIZINGA,INDUSTRIALS
VENAC AD PECINCI,REAL ESTATE
CARGO-PARTNER DOO BEOGRAD,INDUSTRIALS
EUROPAPRESS DOO BEOGRAD - U STECAJ,NOT RELEVANT
BUDUCNOST DOO VALJEVO,INDUSTRIALS
DOKA SERB DOO SIMANOVCI,INDUSTRIALS
WEST BEOCAR DOO,CONSUMER DISCRETIONARY
B&S IMMOBILIEN DOO,INDUSTRIALS
RESTART SHOP D.O.O.,CONSUMER DISCRETIONARY
OLEON DOO NOVI SAD,CONSUMER STAPLES
FINO VINO DOO BEOGRAD,CONSUMER STAPLES
ARTINVEST NAMESTAJ,CONSUMER DISCRETIONARY
BIOMEDICA MP DOO BEOGRAD,HEALTH CARE
SYMBOL DOO SUBOTICA,INDUSTRIALS
DOO HOLLO COMPANY DOROSLOVO,CONSUMER STAPLES
SOLCHEM S D.O.O.,MATERIALS
GROUP BAHUS,CONSUMER STAPLES
SMITRAN AUTO DOO,CONSUMER DISCRETIONARY
VIATOR & VEKTOR-TRANSPED-VRSAC DOO,NOT RELEVANT
NEVENA SPB DOO BEOGRAD (SAVSKI VEN,NOT RELEVANT
LTS D.O.O.,CONSUMER STAPLES
SCHMITZ CARGOBULL D.O.O.,NOT RELEVANT
BAJA D.O.O.,NOT RELEVANT
HUMANITARNA FONDACIJA BUDIMIR BOSK,INDUSTRIALS
"DRENIK ND D.O.O., BEOGRAD",MATERIALS
PREDSTAVNISTVO OSRAM EOOD,INDUSTRIALS
KROMBERG & SCHUBERT SRBIJA D.O.O.,CONSUMER DISCRETIONARY
COMPASS FOOD DOO BEOGRAD,CONSUMER STAPLES
TELEFONKABL DOO BEOGRAD,INDUSTRIALS
VS EVROCORN DOO,CONSUMER STAPLES
BANAT TRANS DOO ZRENJANIN,INDUSTRIALS
INDUSTRIJSKA OPREMA D.O.O.,INDUSTRIALS
IBIS-INSTRUMENTS DOO,INFORMATION TECHNOLOGY
DIV-TRADES DOO,MATERIALS
NOMIS DOO BEOGRAD,CONSUMER DISCRETIONARY
GROUP WEG,NOT RELEVANT
TROPICANA D.O.O.,CONSUMER STAPLES
UNIBROS D.O.O.,NOT RELEVANT
KREATIVA NEW FORMULA D.O.O.,NOT RELEVANT
ENERGOPROJEKT HOLDING A.D. BEOGRAD,INDUSTRIALS
AIR SERBIA A.D. BEOGRAD,INDUSTRIALS
