industry,separate_beginning,frequency
COMMUNICATIONS,<NONE>,270
COMMUNICATIONS,CINE,10
COMMUNICATIONS,DIGITAL,10
COMMUNICATIONS,MAXIM,10
COMMUNICATIONS,MCF,10
COMMUNICATIONS,NEW,10
COMMUNICATIONS,SUBGROUP,10
COMMUNICATIONS,UNITED,15
CONSUMER DISCRETIONARY,<NONE>,2635
CONSUMER DISCRETIONARY,AD,10
CONSUMER DISCRETIONARY,AKS,10
CONSUMER DISCRETIONARY,ALPROS,20
CONSUMER DISCRETIONARY,ARTINVEST,10
CONSUMER DISCRETIONARY,ATLAS,10
CONSUMER DISCRETIONARY,AUTO,105
CONSUMER DISCRETIONARY,AUTOCENTAR,10
CONSUMER DISCRETIONARY,BALKAN,10
CONSUMER DISCRETIONARY,BEL,10
CONSUMER DISCRETIONARY,C.I.A.K.,10
CONSUMER DISCRETIONARY,CIAK,10
CONSUMER DISCRETIONARY,COLOR,10
CONSUMER DISCRETIONARY,DELTA,15
CONSUMER DISCRETIONARY,DEXY,10
CONSUMER DISCRETIONARY,DOO,110
CONSUMER DISCRETIONARY,DRUSTVO,20
CONSUMER DISCRETIONARY,DTM,10
CONSUMER DISCRETIONARY,EHOM,10
CONSUMER DISCRETIONARY,EMINENT,10
CONSUMER DISCRETIONARY,EURO,10
CONSUMER DISCRETIONARY,EUROIMPEX,10
CONSUMER DISCRETIONARY,EUROSALON,10
CONSUMER DISCRETIONARY,FAKULTET,10
CONSUMER DISCRETIONARY,GLOBAL,10
CONSUMER DISCRETIONARY,GORENJE,10
CONSUMER DISCRETIONARY,GP,20
CONSUMER DISCRETIONARY,GRAND,15
CONSUMER DISCRETIONARY,GROUP,215
CONSUMER DISCRETIONARY,HOTEL,10
CONSUMER DISCRETIONARY,INTERAUTO,10
CONSUMER DISCRETIONARY,KIT,10
CONSUMER DISCRETIONARY,KOMNENOVIC,10
CONSUMER DISCRETIONARY,KOMPRESOR,10
CONSUMER DISCRETIONARY,MAGNA,10
CONSUMER DISCRETIONARY,MB,10
CONSUMER DISCRETIONARY,MEDILINK,10
CONSUMER DISCRETIONARY,METALAC,25
CONSUMER DISCRETIONARY,MONA,10
