industry,separate_ending,frequency
COMMUNICATIONS,<NONE>,105
COMMUNICATIONS,B.V.,10
COMMUNICATIONS,BEOGRA,10
COMMUNICATIONS,BEOGRAD,125
COMMUNICATIONS,D.O.O.,30
COMMUNICATIONS,DOO,55
COMMUNICATIONS,SRBIJA,10
CONSUMER DISCRETIONARY,<NONE>,960
CONSUMER DISCRETIONARY,-,10
CONSUMER DISCRETIONARY,AD,30
CONSUMER DISCRETIONARY,ARILJE,10
CONSUMER DISCRETIONARY,BANJA,10
CONSUMER DISCRETIONARY,BECEJ,10
CONSUMER DISCRETIONARY,BEOGRA,15
CONSUMER DISCRETIONARY,BEOGRAD,855
CONSUMER DISCRETIONARY,CACAK,60
CONSUMER DISCRETIONARY,COMPANY,10
CONSUMER DISCRETIONARY,D.O.O.,310
CONSUMER DISCRETIONARY,DOO,555
CONSUMER DISCRETIONARY,DRUSTVO,10
CONSUMER DISCRETIONARY,GROUP,20
CONSUMER DISCRETIONARY,IVANJICA,15
CONSUMER DISCRETIONARY,JAGODINA,10
CONSUMER DISCRETIONARY,KOMPRESOR,10
CONSUMER DISCRETIONARY,KRAGUJEVAC,40
CONSUMER DISCRETIONARY,LESKOVAC,30
CONSUMER DISCRETIONARY,LI,10
CONSUMER DISCRETIONARY,LIKV,10
CONSUMER DISCRETIONARY,LIKVIDACIJI,15
CONSUMER DISCRETIONARY,NIS,45
CONSUMER DISCRETIONARY,P,15
CONSUMER DISCRETIONARY,PAZAR,20
CONSUMER DISCRETIONARY,PAZOVA,40
CONSUMER DISCRETIONARY,PIROT,10
CONSUMER DISCRETIONARY,POZAREVAC,20
CONSUMER DISCRETIONARY,PRINUDNOJ,10
CONSUMER DISCRETIONARY,RS,10
CONSUMER DISCRETIONARY,RUMA,25
CONSUMER DISCRETIONARY,SABAC,40
CONSUMER DISCRETIONARY,SAD,160
CONSUMER DISCRETIONARY,SEVOJNO,10
CONSUMER DISCRETIONARY,SHOES,10
CONSUMER DISCRETIONARY,SHOP,10
CONSUMER DISCRETIONARY,SIMANOVCI,20
CONSUMER DISCRETIONARY,SMEDEREVO,10
CONSUMER DISCRETIONARY,SRBIJA,10
