name,industry
PERFETTA.RU OOO,CONSUMER DISCRETIONARY
VISA INTERNATIONAL SERVICE REP OF,NOT RELEVANT
TTS YUVELIRY URALA OOO,CONSUMER DISCRETIONARY
OOO KORDSTAR,CONSUMER DISCRETIONARY
AGRO-KLEVER OOO,CONSUMER STAPLES
DIAMED-FARMA,HEALTH CARE
GROUP TRUD,INDUSTRIALS
VOLGOPRODMONTAZH OOO,INDUSTRIALS
MEGATEP ZAO,MATERIALS
YUKA OOO,CONSUMER DISCRETIONARY
OOO PODVESKA,INDUSTRIALS
GROUP UM-3,INDUSTRIALS
MECHEL CARBON SINGAPORE PTE LTD,MATERIALS
IEN 620842 IBATULLINA M.I.,NOT RELEVANT
OOO KORALL-M,HEALTH CARE
SUBGROUP SVEZA,MATERIALS
ORENBURG-AVTO OOO,NOT RELEVANT
GROUP KAMIT,INDUSTRIALS
Forbo Eurocol Rus,MATERIALS
GROUP KM- TSENTR,INDUSTRIALS
TD KA OOO,INDUSTRIALS
LLC VOLMA - Voskresensk,MATERIALS
PAVLOVO BUS PLANT LIMITED,CONSUMER DISCRETIONARY
VOLGANEFTEPRODUKT,CONSUMER DISCRETIONARY
OOO ALMAZ UDOBRENIYA,MATERIALS
GROUP VEGA NURETDINOV,CONSUMER DISCRETIONARY
KERBER OOO,NOT RELEVANT
SET MAGAZINOV KREPOST OOO,NOT RELEVANT
AO ZOK,MATERIALS
HI-TECH MEDIA LLC,INFORMATION TECHNOLOGY
ALKO-PLYUS OOO,CONSUMER STAPLES
LLC ASWERY,CONSUMER DISCRETIONARY
OOO DILER-U,CONSUMER DISCRETIONARY
ZAVOD SPETSAGREGAT OOO,INDUSTRIALS
TD NM OOO,CONSUMER DISCRETIONARY
SNEZHINKA OOO,CONSUMER STAPLES
LIZING-TREID,FINANCIALS
OLBITEYK OOO,INDUSTRIALS
YUZHNAYA RISOVAYA KOMPANIYA,CONSUMER STAPLES
KUBANAVTOMOST OOO,INDUSTRIALS
JSC SMC VSEVOLOZHSK,MATERIALS
JOIN-STOCK COMPANY RUDOAVTOMATIKA,INDUSTRIALS
POBEDA LLC,CONSUMER STAPLES
OOO PRIANGARSKIY LPK,MATERIALS
GROUP PO LENSTROYMATERIALY,MATERIALS
NOBEL CO OOO,ENERGY
KUBANGRUZSERVIS OOO,INDUSTRIALS
PJSC QUADRA - POWER GENERATION,UTILITIES
KOMANDOR TN LTD,CONSUMER STAPLES
GROUP Bitumiks,MATERIALS
EVN-EKOTECHPROM MSZ 3 OOO,NOT RELEVANT
ROSENBERG RUS LLC,INDUSTRIALS
GROUP FASKO,CONSUMER DISCRETIONARY
PLANETA AVTO OOO,CONSUMER DISCRETIONARY
MRT-EYKSPERT SURGUT OOO,HEALTH CARE
JSC REMMA international,INDUSTRIALS
ITTS IUS OOO,INFORMATION TECHNOLOGY
EYKSPOTREID OOO,INDUSTRIALS
RUBEZH LLC,INFORMATION TECHNOLOGY
Kontinental LTD,INDUSTRIALS
DCM LLC,INDUSTRIALS
JSC Ilim Group,MATERIALS
NPF Adhesiv Ltd,INDUSTRIALS
TK ISTOK PLYUS OOO,CONSUMER STAPLES
GROUP GBTS,MATERIALS
GROUP Slavcoffee,CONSUMER STAPLES
MINERAL AND CHEMICAL COMPANY EUROCH,MATERIALS
BRUSNIKA. STROITEL'STVO I DEVELOP,REAL ESTATE
UNK project LLC,INDUSTRIALS
LLC ANsystems,INFORMATION TECHNOLOGY
URALPROMSTROI OOO,INDUSTRIALS
JOINT-STOCK COMPANY VOSTOKTEKHTOR,INDUSTRIALS
808796,NOT RELEVANT
ART SOVREMENNYE NAUCHNYE TEKHNOLO,CONSUMER STAPLES
GROUP PHARMECO,HEALTH CARE
PKF METPROM-URAL OOO,INDUSTRIALS
LLC URIEL AGRO,CONSUMER STAPLES
OPTIKSERVIS OOO,HEALTH CARE
UNIVERSAL MED SERVIS OOO,HEALTH CARE
Inter-S Group,HEALTH CARE
L.L.C. TD Iceberry,CONSUMER STAPLES
