industry,separate_beginning,frequency
COMMUNICATIONS,<NONE>,1206
COMMUNICATIONS,GROUP,216
COMMUNICATIONS,HAVAS,18
COMMUNICATIONS,JSC,72
COMMUNICATIONS,LLC,99
COMMUNICATIONS,Limited,18
COMMUNICATIONS,OKKAM,27
COMMUNICATIONS,OOO,45
COMMUNICATIONS,ORION,18
COMMUNICATIONS,SISTEMA,18
COMMUNICATIONS,SUBGROUP,63
CONSUMER DISCRETIONARY,<NONE>,13302
CONSUMER DISCRETIONARY,A,18
CONSUMER DISCRETIONARY,AKSIOMA,18
CONSUMER DISCRETIONARY,ALEX,18
CONSUMER DISCRETIONARY,ANTARES,18
CONSUMER DISCRETIONARY,AO,108
CONSUMER DISCRETIONARY,ARSENAL,18
CONSUMER DISCRETIONARY,AUTOCENTER,18
CONSUMER DISCRETIONARY,AUTOMOBILE,18
CONSUMER DISCRETIONARY,AVANGARD,18
CONSUMER DISCRETIONARY,AVTO,27
CONSUMER DISCRETIONARY,AVTOMASTER,18
CONSUMER DISCRETIONARY,AVTOMOTIV,36
CONSUMER DISCRETIONARY,AVTOPARK,18
CONSUMER DISCRETIONARY,AVTOTSENTR,27
CONSUMER DISCRETIONARY,AZ,18
CONSUMER DISCRETIONARY,BLOK,18
CONSUMER DISCRETIONARY,BORAVTO,18
CONSUMER DISCRETIONARY,CARMEL,18
CONSUMER DISCRETIONARY,CJSC,18
CONSUMER DISCRETIONARY,CTC,18
CONSUMER DISCRETIONARY,DEMY,18
CONSUMER DISCRETIONARY,DOM,18
CONSUMER DISCRETIONARY,DON-MOTORS,18
CONSUMER DISCRETIONARY,DTS,18
CONSUMER DISCRETIONARY,EI,18
CONSUMER DISCRETIONARY,EUROSIB,18
CONSUMER DISCRETIONARY,EYKSPERT,27
CONSUMER DISCRETIONARY,FABRIKA,18
CONSUMER DISCRETIONARY,FASHION,18
CONSUMER DISCRETIONARY,FILIMONOVA,18
CONSUMER DISCRETIONARY,FIRMA,27
CONSUMER DISCRETIONARY,FORTE,18
CONSUMER DISCRETIONARY,GARDEN,27
CONSUMER DISCRETIONARY,GK,27
CONSUMER DISCRETIONARY,GLOBAL,36
CONSUMER DISCRETIONARY,GOLDEN,18
CONSUMER DISCRETIONARY,GROUP,2610
CONSUMER DISCRETIONARY,GRUPPA,18
CONSUMER DISCRETIONARY,Group,135
CONSUMER DISCRETIONARY,HOEGL,18
CONSUMER DISCRETIONARY,IC,18
CONSUMER DISCRETIONARY,IEN,162
CONSUMER DISCRETIONARY,IP,18
CONSUMER DISCRETIONARY,International,18
CONSUMER DISCRETIONARY,Iridato,27
CONSUMER DISCRETIONARY,JOINT,27
CONSUMER DISCRETIONARY,JSC,306
CONSUMER DISCRETIONARY,KIA,27
CONSUMER DISCRETIONARY,KOMMERCHESKII,18
CONSUMER DISCRETIONARY,KOMPANIYA,108
CONSUMER DISCRETIONARY,KOSMETIK,18
CONSUMER DISCRETIONARY,KOVENT,18
CONSUMER DISCRETIONARY,KSIL,18
CONSUMER DISCRETIONARY,LIMITED,54
CONSUMER DISCRETIONARY,LLC,1269
CONSUMER DISCRETIONARY,LTD,45
CONSUMER DISCRETIONARY,LUIDOR-SERVICE,18
CONSUMER DISCRETIONARY,Limited,36
CONSUMER DISCRETIONARY,Ltd,27
CONSUMER DISCRETIONARY,MAKSIMUM,18
CONSUMER DISCRETIONARY,MB,18
CONSUMER DISCRETIONARY,MEBELNAYA,18
CONSUMER DISCRETIONARY,MEGA,18
CONSUMER DISCRETIONARY,MIR,27
CONSUMER DISCRETIONARY,MKHT,18
CONSUMER DISCRETIONARY,MONITOR,27
CONSUMER DISCRETIONARY,MTK,18
CONSUMER DISCRETIONARY,NEW,27
CONSUMER DISCRETIONARY,NOVOCAR,18
