industry,separate_ending,frequency
COMMUNICATIONS,<NONE>,828
COMMUNICATIONS,ACTION,18
COMMUNICATIONS,AO,45
COMMUNICATIONS,EKSMO,18
COMMUNICATIONS,JSC,54
COMMUNICATIONS,LIMITED,27
COMMUNICATIONS,LLC,351
COMMUNICATIONS,LTD,36
COMMUNICATIONS,Ltd,36
COMMUNICATIONS,MEDIA,18
COMMUNICATIONS,MTT,18
COMMUNICATIONS,Media,18
COMMUNICATIONS,OAO,18
COMMUNICATIONS,OOO,270
COMMUNICATIONS,PJSC,18
COMMUNICATIONS,SETI,18
COMMUNICATIONS,TELEKOM,27
COMMUNICATIONS,ZAO,18
COMMUNICATIONS,ZNAK,18
CONSUMER DISCRETIONARY,<NONE>,8388
CONSUMER DISCRETIONARY,(,18
CONSUMER DISCRETIONARY,(I,27
CONSUMER DISCRETIONARY,(IP,54
CONSUMER DISCRETIONARY,(IP),243
CONSUMER DISCRETIONARY,1,18
CONSUMER DISCRETIONARY,12storeez,18
CONSUMER DISCRETIONARY,2000,18
CONSUMER DISCRETIONARY,A,18
CONSUMER DISCRETIONARY,ALEKSANDROVICH,18
CONSUMER DISCRETIONARY,ANGSTREM,18
CONSUMER DISCRETIONARY,AO,162
CONSUMER DISCRETIONARY,AVTO,54
CONSUMER DISCRETIONARY,AZS,18
CONSUMER DISCRETIONARY,BIRYUSA,18
CONSUMER DISCRETIONARY,C,27
CONSUMER DISCRETIONARY,CENTER,18
CONSUMER DISCRETIONARY,CITY,18
CONSUMER DISCRETIONARY,CJSC,18
CONSUMER DISCRETIONARY,CO,18
CONSUMER DISCRETIONARY,CO.LTD,18
CONSUMER DISCRETIONARY,COMPANY,54
CONSUMER DISCRETIONARY,CONCEPT,27
CONSUMER DISCRETIONARY,Capital,18
CONSUMER DISCRETIONARY,Co,18
CONSUMER DISCRETIONARY,Co.Ltd,18
CONSUMER DISCRETIONARY,Company,36
CONSUMER DISCRETIONARY,DIGOR,18
CONSUMER DISCRETIONARY,DILER,18
CONSUMER DISCRETIONARY,DM,18
CONSUMER DISCRETIONARY,DOM,27
CONSUMER DISCRETIONARY,Express,18
CONSUMER DISCRETIONARY,FARM,18
CONSUMER DISCRETIONARY,FASHION,18
CONSUMER DISCRETIONARY,FUD,18
CONSUMER DISCRETIONARY,Family,18
CONSUMER DISCRETIONARY,Fashion,18
CONSUMER DISCRETIONARY,GMBH,18
CONSUMER DISCRETIONARY,GROUP,117
CONSUMER DISCRETIONARY,GmbH,36
CONSUMER DISCRETIONARY,Group,27
CONSUMER DISCRETIONARY,HOLDING,18
CONSUMER DISCRETIONARY,Holding,18
CONSUMER DISCRETIONARY,IEN,27
CONSUMER DISCRETIONARY,IMPERIAL,18
CONSUMER DISCRETIONARY,IP,27
CONSUMER DISCRETIONARY,JEANS,18
CONSUMER DISCRETIONARY,JSC,234
CONSUMER DISCRETIONARY,KO,18
CONSUMER DISCRETIONARY,KOMPANI,18
CONSUMER DISCRETIONARY,LAVR,18
CONSUMER DISCRETIONARY,LIGA,18
CONSUMER DISCRETIONARY,LIMITED,81
CONSUMER DISCRETIONARY,LLC,2691
CONSUMER DISCRETIONARY,LTD,675
CONSUMER DISCRETIONARY,LTD.,36
CONSUMER DISCRETIONARY,Ltd,360
CONSUMER DISCRETIONARY,Ltd.,45
CONSUMER DISCRETIONARY,MAKSIMUM,18
CONSUMER DISCRETIONARY,MANAGEMENT,18
CONSUMER DISCRETIONARY,MEDIA,18
CONSUMER DISCRETIONARY,MOTORS,27
CONSUMER DISCRETIONARY,NIKOLAEVICH,18
CONSUMER DISCRETIONARY,NORTH-WEST,18
CONSUMER DISCRETIONARY,NOVOCAR,18
CONSUMER DISCRETIONARY,O,36
CONSUMER DISCRETIONARY,OAO,135
CONSUMER DISCRETIONARY,OBSHCHESTVO,18
CONSUMER DISCRETIONARY,OGR,18
CONSUMER DISCRETIONARY,OGRANIC,27
CONSUMER DISCRETIONARY,OGRANICHE,18
CONSUMER DISCRETIONARY,OMEGA,18
CONSUMER DISCRETIONARY,OO,27
CONSUMER DISCRETIONARY,OOO,7830
CONSUMER DISCRETIONARY,ORMATEK,18
CONSUMER DISCRETIONARY,PETROVICH,18
CONSUMER DISCRETIONARY,PJSC,18
CONSUMER DISCRETIONARY,PRESIDENT,18
CONSUMER DISCRETIONARY,RESHENIYA,18
CONSUMER DISCRETIONARY,ROSKO,18
CONSUMER DISCRETIONARY,RUS,117
CONSUMER DISCRETIONARY,RUSSIA,27
CONSUMER DISCRETIONARY,Rus,18
CONSUMER DISCRETIONARY,Russia,18
CONSUMER DISCRETIONARY,S,36
CONSUMER DISCRETIONARY,SAMARA,27
CONSUMER DISCRETIONARY,SERVIS,18
CONSUMER DISCRETIONARY,SLOTEX,18
CONSUMER DISCRETIONARY,SMOLENSK,18
CONSUMER DISCRETIONARY,SOLLERS,18
CONSUMER DISCRETIONARY,SPARZ,18
CONSUMER DISCRETIONARY,SPB,36
CONSUMER DISCRETIONARY,STAR,18
CONSUMER DISCRETIONARY,START,18
CONSUMER DISCRETIONARY,STOLITSA,18
CONSUMER DISCRETIONARY,Solutions,18
CONSUMER DISCRETIONARY,TAEN,18
CONSUMER DISCRETIONARY,TEKHNOLOGII,18
CONSUMER DISCRETIONARY,TERRA,18
CONSUMER DISCRETIONARY,TRADING,36
CONSUMER DISCRETIONARY,TRAVEL,18
CONSUMER DISCRETIONARY,TSENTR,18
CONSUMER DISCRETIONARY,Technologies,18
CONSUMER DISCRETIONARY,Trade,18
CONSUMER DISCRETIONARY,VOSTOK,18
CONSUMER DISCRETIONARY,YUR'EVICH,18
CONSUMER DISCRETIONARY,ZAO,252
CONSUMER DISCRETIONARY,auto,18
CONSUMER DISCRETIONARY,group,18
CONSUMER DISCRETIONARY,systems,18
CONSUMER STAPLES,<NONE>,12492
CONSUMER STAPLES,(,18
CONSUMER STAPLES,(IP),126
CONSUMER STAPLES,1,27
CONSUMER STAPLES,2,18
CONSUMER STAPLES,21,27
CONSUMER STAPLES,A,18
CONSUMER STAPLES,AGRO,54
CONSUMER STAPLES,AGROPRODUKT,18
CONSUMER STAPLES,AKTS,18
CONSUMER STAPLES,AKULCHEV,18
CONSUMER STAPLES,ALEKSANDROVICH,36
CONSUMER STAPLES,ALTAN,18
CONSUMER STAPLES,ANTEI,18
CONSUMER STAPLES,AO,711
CONSUMER STAPLES,APTEKA,18
CONSUMER STAPLES,Avanta,18
CONSUMER STAPLES,BARS,27
CONSUMER STAPLES,BARS-RITEIL,18
CONSUMER STAPLES,BROILER,18
CONSUMER STAPLES,BV,18
CONSUMER STAPLES,CO.LTD,18
CONSUMER STAPLES,COMPAN,18
CONSUMER STAPLES,COMPANY,99
CONSUMER STAPLES,Co.Ltd,36
CONSUMER STAPLES,Co.Ltd.,36
CONSUMER STAPLES,Co.ltd,18
CONSUMER STAPLES,Company,72
CONSUMER STAPLES,DOM,45
CONSUMER STAPLES,DORONICHI,27
CONSUMER STAPLES,Distillery,18
CONSUMER STAPLES,ELEVATOR,27
CONSUMER STAPLES,EXPRESS,18
CONSUMER STAPLES,EYLEVATOR,18
CONSUMER STAPLES,Factory,27
CONSUMER STAPLES,Fish,27
CONSUMER STAPLES,GROUP,72
CONSUMER STAPLES,GRUPP,45
CONSUMER STAPLES,Group,36
CONSUMER STAPLES,Holding,27
CONSUMER STAPLES,IEN,36
CONSUMER STAPLES,INC,18
CONSUMER STAPLES,INFAPRIM,18
CONSUMER STAPLES,INVEST,18
CONSUMER STAPLES,Iceberry,18
CONSUMER STAPLES,Import,27
CONSUMER STAPLES,Inc.,18
CONSUMER STAPLES,International,18
CONSUMER STAPLES,JSC,378
CONSUMER STAPLES,K,18
CONSUMER STAPLES,KFKH,18
CONSUMER STAPLES,KHAMMER,18
CONSUMER STAPLES,KHLEBOKOMBINAT,18
CONSUMER STAPLES,KHLEBOPRODUKT,18
CONSUMER STAPLES,KHOLOD,18
CONSUMER STAPLES,KHPP,27
CONSUMER STAPLES,KIT,18
CONSUMER STAPLES,KOM,18
CONSUMER STAPLES,KOMBINAT,63
CONSUMER STAPLES,KOMPANIY,27
CONSUMER STAPLES,KOMPANIYA,63
CONSUMER STAPLES,KUBANI,18
CONSUMER STAPLES,L,36
CONSUMER STAPLES,LENINA,18
CONSUMER STAPLES,LIMITED,81
CONSUMER STAPLES,LL,18
CONSUMER STAPLES,LLC,2907
CONSUMER STAPLES,LOGISTIC,18
CONSUMER STAPLES,LOGISTIK,18
CONSUMER STAPLES,LTD,630
CONSUMER STAPLES,LTD.,27
CONSUMER STAPLES,LYUKS,18
CONSUMER STAPLES,Liability,18
CONSUMER STAPLES,Limited,36
CONSUMER STAPLES,Llc,18
CONSUMER STAPLES,Ltd,441
CONSUMER STAPLES,Ltd.,90
CONSUMER STAPLES,M,36
CONSUMER STAPLES,MARKET,18
CONSUMER STAPLES,MEGAPOLIS,18
CONSUMER STAPLES,MELNITSY,18
CONSUMER STAPLES,MILK,18
CONSUMER STAPLES,MILL,18
CONSUMER STAPLES,MISMA,18
CONSUMER STAPLES,MOLOCHKO,18
CONSUMER STAPLES,MOLOKO,27
CONSUMER STAPLES,MSK,18
CONSUMER STAPLES,MYASO,18
CONSUMER STAPLES,MYASOKOMBINAT,27
CONSUMER STAPLES,MYASOPRODUKT,18
CONSUMER STAPLES,Market,18
CONSUMER STAPLES,NAO,18
CONSUMER STAPLES,NEDVIZHIMOST,18
CONSUMER STAPLES,NIVA,18
CONSUMER STAPLES,NVT,18
CONSUMER STAPLES,Novomoskovsk,18
CONSUMER STAPLES,O,72
CONSUMER STAPLES,OAO,342
CONSUMER STAPLES,OBSHC,18
CONSUMER STAPLES,OBSHCHE,27
CONSUMER STAPLES,OBSHCHESTV,18
CONSUMER STAPLES,OGRA,18
CONSUMER STAPLES,OGRAN,27
CONSUMER STAPLES,OGRANIC,27
CONSUMER STAPLES,OGRANICH,36
CONSUMER STAPLES,OGRANICHEN,18
CONSUMER STAPLES,OGRANICHENNO,27
CONSUMER STAPLES,OGRANICHENNOI,45
CONSUMER STAPLES,OJSC,45
CONSUMER STAPLES,OO,63
CONSUMER STAPLES,OOO,10557
CONSUMER STAPLES,OPTIMA,18
CONSUMER STAPLES,ORIKS,18
CONSUMER STAPLES,OT,18
CONSUMER STAPLES,PJSC,18
CONSUMER STAPLES,PLANT,36
CONSUMER STAPLES,PLOSHCHAD,18
CONSUMER STAPLES,PLYUS,27
CONSUMER STAPLES,POBEDA,27
CONSUMER STAPLES,PRO,27
CONSUMER STAPLES,PRODTORG,18
CONSUMER STAPLES,PRODUKT,18
CONSUMER STAPLES,PRODUKTY,18
CONSUMER STAPLES,PROGRESS,27
CONSUMER STAPLES,PROKSIMA,18
CONSUMER STAPLES,PTITSEFABRIKA,45
CONSUMER STAPLES,Plant,18
CONSUMER STAPLES,RESOURCE,18
CONSUMER STAPLES,RESURS,18
CONSUMER STAPLES,RIF,18
CONSUMER STAPLES,RU,18
CONSUMER STAPLES,RUS,18
CONSUMER STAPLES,RUS',27
CONSUMER STAPLES,RUSSIA,18
CONSUMER STAPLES,Retail,18
CONSUMER STAPLES,Rus,18
CONSUMER STAPLES,Russia,36
CONSUMER STAPLES,S,18
CONSUMER STAPLES,S.A.,18
CONSUMER STAPLES,SANDER-LOGISTIK,18
CONSUMER STAPLES,SAVA,27
CONSUMER STAPLES,SERGEEVICH,27
CONSUMER STAPLES,SEVERO-ZAPAD,18
CONSUMER STAPLES,SLADONEZH,18
CONSUMER STAPLES,SLAVYANKA,18
CONSUMER STAPLES,SMART,18
CONSUMER STAPLES,SPB,18
CONSUMER STAPLES,SPK,27
CONSUMER STAPLES,STANDART,27
CONSUMER STAPLES,Sibagro,18
CONSUMER STAPLES,TD,18
CONSUMER STAPLES,TH,18
CONSUMER STAPLES,TRADE,27
CONSUMER STAPLES,TRADING,18
CONSUMER STAPLES,TREID,36
CONSUMER STAPLES,TREYD,18
CONSUMER STAPLES,Trading,18
CONSUMER STAPLES,UCHASTIE,18
CONSUMER STAPLES,V,18
CONSUMER STAPLES,VELD-21,18
CONSUMER STAPLES,VIKTOROVICH,27
CONSUMER STAPLES,VIN,18
CONSUMER STAPLES,VKUSA,18
CONSUMER STAPLES,VLADIMIROVICH,18
CONSUMER STAPLES,VOSKHOD,18
CONSUMER STAPLES,VOSTOK,18
CONSUMER STAPLES,YUG,18
CONSUMER STAPLES,ZAO,333
CONSUMER STAPLES,ZARYA,18
CONSUMER STAPLES,ZAVOD,36
CONSUMER STAPLES,ZEMLYA,18
CONSUMER STAPLES,Zavolzhya,18
CONSUMER STAPLES,Zdorovya,18
ENERGY,<NONE>,3843
ENERGY,AO,198
ENERGY,AZPT,18
ENERGY,B.V.,18
ENERGY,BASHBETON,18
ENERGY,BVT,18
ENERGY,CJSC,36
ENERGY,COMPANY,36
ENERGY,Company,27
ENERGY,ENGINEERING,18
ENERGY,EXPEDIT,18
ENERGY,FIRMA,18
ENERGY,FZE,18
ENERGY,GROUP,18
ENERGY,Group,18
ENERGY,HOLDING,18
ENERGY,JSC,171
ENERGY,KVOIT,18
ENERGY,L,18
ENERGY,LIABILITY,18
ENERGY,LIMITED,81
ENERGY,LLC,846
ENERGY,LTD,171
ENERGY,LTD.,27
ENERGY,LUKOIL,18
ENERGY,Limited,36
ENERGY,Ltd,126
ENERGY,NOVATEK,18
ENERGY,NUBK,18
ENERGY,OAO,261
ENERGY,OJSC,36
ENERGY,OO,27
ENERGY,OOO,2403
ENERGY,Oil,27
