name,industry,frequency
"""Centrum - V""",FINANCIALS,7
"""Cesta mieru"" Necpaly-Zabokreky",CONSUMER STAPLES,7
"""HZ Metal s.r.o.""",MATERIALS,7
"""NASE DOMY""",CONSUMER DISCRETIONARY,7
"""Project Tatra""",CONSUMER DISCRETIONARY,7
"""SNP"" so sidlom v Sklabini",CONSUMER STAPLES,7
"""STOR""",NOT RELEVANT,7
"""Stefunkova 1""",FINANCIALS,7
"""UH""",CONSUMER STAPLES,7
"& A Group,",CONSUMER STAPLES,7
"& Company,",INDUSTRIALS,7
"& G - EISEN - STAHL, s. r.",INDUSTRIALS,7
"& K EXPORT - IMPORT,",CONSUMER STAPLES,7
& P spol. s,NOT RELEVANT,7
"& P,",REAL ESTATE,7
& Partners Broker,INDUSTRIALS,7
+ Z AGRO,CONSUMER STAPLES,7
"+ Z Risnovsky, Halasz,",CONSUMER STAPLES,7
- 03 akciova spolocnost,MATERIALS,7
- AEL,INDUSTRIALS,7
- AMP,INDUSTRIALS,7
"- AUTOSERVIS Bardejov,",CONSUMER DISCRETIONARY,7
"- AUTOSERVIS Vranov,",CONSUMER DISCRETIONARY,7
- AZ,INDUSTRIALS,7
- Agro s. r.,CONSUMER STAPLES,7
- BIO,CONSUMER STAPLES,7
"- BIO HUBICE specialna vyroba,",CONSUMER STAPLES,7
"- BIO HUBICE,",CONSUMER STAPLES,7
- CAR,INDUSTRIALS,7
"- CAR,",CONSUMER DISCRETIONARY,7
"- CARS, s. r.",INDUSTRIALS,7
"- CD Bratislava, spol. s r.",CONSUMER DISCRETIONARY,7
- CD spol. s r.,CONSUMER DISCRETIONARY,7
- Car,CONSUMER DISCRETIONARY,7
- DRUZSTVO Trebatice,CONSUMER STAPLES,7
"- Defence,",INDUSTRIALS,7
"- Development,",REAL ESTATE,7
"- Energie,",INDUSTRIALS,7
"- HAJ Mosovce,",CONSUMER STAPLES,7
"- HAJ,",CONSUMER STAPLES,7
- HDO,INDUSTRIALS,7
- IMPEX spol. s,CONSUMER DISCRETIONARY,7
"- INVEST,",NOT RELEVANT,7
- Industry,INDUSTRIALS,7
- JAVOR,FINANCIALS,7
"- KUSTRA, spol. s",INDUSTRIALS,7
"- LP, spol. s",CONSUMER STAPLES,7
- Land SK,CONSUMER STAPLES,7
"- Liptovsky Mikulas,",INDUSTRIALS,7
"- MAT,",CONSUMER STAPLES,7
"- METAL, spol. s",MATERIALS,7
- MINERALS,INDUSTRIALS,7
- MOLD GROUP,CONSUMER STAPLES,7
- MOLD akciova,CONSUMER STAPLES,7
- MR,CONSUMER STAPLES,7
- Manufacturing,CONSUMER DISCRETIONARY,7
- Media,CONSUMER DISCRETIONARY,7
"- NOVA,",REAL ESTATE,7
"- P,",CONSUMER DISCRETIONARY,7
- PA spol. s,INDUSTRIALS,7
"- PODHORIE,",CONSUMER STAPLES,7
"- PSS,",MATERIALS,7
"- Pivonkova,",CONSUMER STAPLES,7
"- Polnohospodarska,",CONSUMER STAPLES,7
"- RAN Property, s. r.",INDUSTRIALS,7
"- RAN TZB, s. r.",INDUSTRIALS,7
"- REAL, spol. s r.",MATERIALS,7
"- RECYCLING,",INDUSTRIALS,7
"- RV, spol. s r.",CONSUMER STAPLES,7
"- Reality,",REAL ESTATE,7
- S,INDUSTRIALS,7
- SEMEG S 3,CONSUMER STAPLES,7
- SERVICE,INDUSTRIALS,7
- SERVIS,INDUSTRIALS,7
"- SERVIS,",CONSUMER DISCRETIONARY,7
"- SK,",INDUSTRIALS,7
"- SPECIAL,",INDUSTRIALS,7
"- STAV,",CONSUMER DISCRETIONARY,7
- STRKOPIESKY,MATERIALS,7
"- T,",CONSUMER STAPLES,7
- T.P.D. Control,INDUSTRIALS,7
"- TOURS, s.r.o. v",CONSUMER DISCRETIONARY,7
- TRADE,NOT RELEVANT,7
- Trans,CONSUMER DISCRETIONARY,7
"- Transport & Logistics,",INDUSTRIALS,7
"- VAH,",CONSUMER STAPLES,7
- VALALIKY GROUP,CONSUMER STAPLES,7
- VASE ZDRAVIE,CONSUMER STAPLES,7
