industry,separate_beginning,frequency
COMMUNICATIONS,<NONE>,1323
COMMUNICATIONS,DELTA,28
COMMUNICATIONS,GROUP,21
COMMUNICATIONS,Media,14
COMMUNICATIONS,O2,14
COMMUNICATIONS,Ondris,14
COMMUNICATIONS,SWAN,21
COMMUNICATIONS,Slovenska,28
COMMUNICATIONS,Subgroup,14
COMMUNICATIONS,TAKTIK,21
COMMUNICATIONS,Telovychovna,14
CONSUMER DISCRETIONARY,<NONE>,7875
CONSUMER DISCRETIONARY,"""SVB",14
CONSUMER DISCRETIONARY,AC,14
CONSUMER DISCRETIONARY,AGA,14
CONSUMER DISCRETIONARY,ALEXANDRA,14
CONSUMER DISCRETIONARY,AR,14
CONSUMER DISCRETIONARY,AUTO,49
CONSUMER DISCRETIONARY,"AUTOSTYL,",14
CONSUMER DISCRETIONARY,Alpha,14
CONSUMER DISCRETIONARY,Andiamo,14
CONSUMER DISCRETIONARY,Auto,70
CONSUMER DISCRETIONARY,BESPOKE,14
CONSUMER DISCRETIONARY,Bavaria,14
CONSUMER DISCRETIONARY,Booster,14
CONSUMER DISCRETIONARY,Bytove,14
CONSUMER DISCRETIONARY,Bytovy,14
CONSUMER DISCRETIONARY,CK,14
CONSUMER DISCRETIONARY,COURBIS,14
CONSUMER DISCRETIONARY,DH,14
CONSUMER DISCRETIONARY,DREVONA,21
CONSUMER DISCRETIONARY,DS,28
CONSUMER DISCRETIONARY,Daejung,14
CONSUMER DISCRETIONARY,Dr.Max,42
CONSUMER DISCRETIONARY,ECCO,14
CONSUMER DISCRETIONARY,EPF,14
CONSUMER DISCRETIONARY,ETOP,14
CONSUMER DISCRETIONARY,ETP,21
CONSUMER DISCRETIONARY,Eissmann,14
CONSUMER DISCRETIONARY,Eson,14
CONSUMER DISCRETIONARY,FINAL,21
CONSUMER DISCRETIONARY,Faurecia,14
CONSUMER DISCRETIONARY,FaxCopy,14
CONSUMER DISCRETIONARY,GROUP,35
CONSUMER DISCRETIONARY,GS,14
CONSUMER DISCRETIONARY,Gabor,14
CONSUMER DISCRETIONARY,Glamour,14
CONSUMER DISCRETIONARY,Group,84
CONSUMER DISCRETIONARY,HDB,14
CONSUMER DISCRETIONARY,HOFERA,14
CONSUMER DISCRETIONARY,HOTEL,14
CONSUMER DISCRETIONARY,Hedin,70
CONSUMER DISCRETIONARY,Hyundai,28
CONSUMER DISCRETIONARY,ICE,14
CONSUMER DISCRETIONARY,IKEA,14
CONSUMER DISCRETIONARY,Ing.,56
CONSUMER DISCRETIONARY,JOPI,28
CONSUMER DISCRETIONARY,JP-AUTO,14
CONSUMER DISCRETIONARY,Jozef,14
CONSUMER DISCRETIONARY,KELLYS,14
CONSUMER DISCRETIONARY,KM,14
