name,industry
PP 'KSV',NOT RELEVANT
DP YeMILChYNSKYI LISHOSP APK,MATERIALS
PRIVATE JOINT STOCK COMPANY ABINBEV,CONSUMER STAPLES
GROUP Arti,CONSUMER DISCRETIONARY
CHP FIRMA VIKTORIYA-VITA,CONSUMER DISCRETIONARY
AF 'YuNIVERSAL MOTORZ HRUP',CONSUMER DISCRETIONARY
"TOV ""Ap Import""",MATERIALS
TOV Ahro-Vidrodzhennya,CONSUMER STAPLES
TOV 'KERChENSKYI STRILOChNYI ZAVOD',NOT RELEVANT
JV Vitmark-Ukraine LLC,CONSUMER STAPLES
GROUP Alians Krasy,CONSUMER STAPLES
"TOV ""TERMINAL NAFTA""",ENERGY
"TOV ""Barrik""",CONSUMER STAPLES
"TOV ""ShlLaKhovyk-97""",NOT RELEVANT
"TOV ""Fort-Servis""",CONSUMER DISCRETIONARY
DP KAKhOVSKE LISOVE HOSPODARSTVO,NOT RELEVANT
"TOV ""Varmbud""",INDUSTRIALS
ZAT Banh i Bonsomer,MATERIALS
"TOV ""Frans Avtomotiv""",CONSUMER DISCRETIONARY
"PP ""O.L.KAR-AhroZooVet-Servis""",HEALTH CARE
"TOV ""Solonytske""",CONSUMER STAPLES
PP KARTAL PRO,MATERIALS
"TOV ""Novi Produkty Ukrainy""",CONSUMER STAPLES
YASHANOV DMYTRO GENNADIYOVYCH,NOT RELEVANT
GROUP Barskyi Mashynobudivnyi,INDUSTRIALS
"TOV "" AGROFIRMA ""PISCHANS'KA""",CONSUMER STAPLES
Kronospan Rivne Limited liability c,MATERIALS
Subgroup Financial & Investment ,CONSUMER DISCRETIONARY
LLC BIOCHEM-PROM,MATERIALS
GROUP Impuls,CONSUMER STAPLES
GROUP Aerosvit,NOT RELEVANT
Tarabrin Vitalii Yevhenovych,CONSUMER STAPLES
SMNVO IM M.V.FRUNZE,INDUSTRIALS
BERTA PLIUS,CONSUMER STAPLES
TOV INTERNATSIONALIST,INDUSTRIALS
GROUP Ksm,INDUSTRIALS
TOV OSAVIAKHIM OOO,CONSUMER STAPLES
ZAPORIZKE DP KREMNIIPOLIMER,NOT RELEVANT
"TOV ""Vodaland Ukraine""",INDUSTRIALS
GROUP Bielava L.I.,CONSUMER STAPLES
"PP ""Mkl Avin Ukraina""",HEALTH CARE
"TOV ""Kholdynh-Invest""",CONSUMER DISCRETIONARY
GROUP Trida,CONSUMER DISCRETIONARY
KHARTSYZSKYI TRUBNYI ZAVOD,NOT RELEVANT
HARANTIIA-TREID,NOT RELEVANT
AFALINA,NOT RELEVANT
DP 'Doslidne hospodarstvo Nyva',CONSUMER STAPLES
DP 'AHROFIRMA YaN',NOT RELEVANT
SAVSERVIS-KARPATY DP,CONSUMER STAPLES
VELYKOBURLUTS'KYI SYROROBNYI ZAVOD,CONSUMER STAPLES
"TOV ""Motordetal-konotop""",CONSUMER DISCRETIONARY
"TOV ""Istern Beveridzh Treiding""",CONSUMER STAPLES
PP 'Khortyflora',NOT RELEVANT
GROUP Tmi,INDUSTRIALS
FOP Naumenko Liudmyla Viktorivna,CONSUMER DISCRETIONARY
PP FIRMA BERSHAD AHROPLIUS,MATERIALS
"TOV ""Profit Plius Dystrybutsiia""",CONSUMER STAPLES
"TOV ""Firma Diamant LTD""",CONSUMER STAPLES
"TOV ""Selena-femeli Rezort""",CONSUMER DISCRETIONARY
"TOV ""Roshen-Bukovyna""",CONSUMER STAPLES
"TOV ""Aisi Konsulenten""",INDUSTRIALS
TzOV Radekhivskyi tsukor,CONSUMER STAPLES
TOV Polikom. ,MATERIALS
"TOV ""Oknianskyi Kolos""",CONSUMER STAPLES
GROUP Ekon Trade,INDUSTRIALS
TOV DIAVITA,HEALTH CARE
LLC CRAYON UKRAINE,INFORMATION TECHNOLOGY
GROUP AVTOSERVIS-ALYANS,CONSUMER DISCRETIONARY
SUBGROUP Vodafone Ukraine,COMMUNICATIONS
"TOV Vyrobn.pidpryiems.""Ardor-Treid""",MATERIALS
MPP firma 'Promservis',NOT RELEVANT
ZAT NVO ORBITA,NOT RELEVANT
"TOV""Chernihivska Heneruiucha Kompan",UTILITIES
FOP Mishchenko Anatolii Volodymyr.,INDUSTRIALS
"TOV AF ""KOZELNE""",CONSUMER STAPLES
BOLERO-SERVIS,CONSUMER STAPLES
GROUP Blok Agrosvit,CONSUMER STAPLES
"TOV ""Enerhofinans""",ENERGY
"TOV ""Kua Profit-Active""",NOT RELEVANT
LPS,CONSUMER DISCRETIONARY
MEHATREID,MATERIALS
FOP TARASOV HENNADII MYKHAILOV,INDUSTRIALS
"TOV ""A.V.T. Hrupp""",MATERIALS
TOV TRY Y,NOT RELEVANT
KHYZHNIAK IRYNA IVANIVNA,CONSUMER DISCRETIONARY
VLMZ IM.1-HO TRAVNIA,NOT RELEVANT
DP KIVERTsIVSKYI LISHOSP,NOT RELEVANT
TOV Ahropartner,MATERIALS
TRENALOFF-TRAST,NOT RELEVANT
"TOV ""Volochysk-Ahro""",CONSUMER STAPLES
"TOV ""Vv Investgrup""",CONSUMER STAPLES
TOV II NZ-INVEST,NOT RELEVANT
"TOV ""Favor""",MATERIALS
"TOVF ""Optymist""",CONSUMER STAPLES
GROUP Tak,CONSUMER STAPLES
"DP ""Darnyts'kyi VRZ""",INDUSTRIALS
"TOV ""Soiuz-Svitlo""",CONSUMER DISCRETIONARY
"TOV ""Hrandbud Lider""",INDUSTRIALS
GROUP Agro Tandem,CONSUMER STAPLES
"TOV ""Valentyna""",ENERGY
GROUP Kness,UTILITIES
"FH ""Kalyna Loshnivska""",CONSUMER STAPLES
Burlukskoe,CONSUMER STAPLES
STOV  KOLOS,CONSUMER STAPLES
"TOV ""Admikser Yua""",COMMUNICATIONS
GROUP Bizon,MATERIALS
"TOV ""KHOLDYNG EMOTSII ""FEST""",CONSUMER DISCRETIONARY
GROUP DC LINK,INFORMATION TECHNOLOGY
GROUP Krasnianske-Fedorivske,CONSUMER STAPLES
FOP Tsvyk Andriy Romanovych,CONSUMER DISCRETIONARY
PP PARUS,NOT RELEVANT
OLIMP (DOP.),CONSUMER STAPLES
"TOV ""Ahrokhimichna Kompan.""Vitahro""",MATERIALS
PSP UkrRosKhym,CONSUMER DISCRETIONARY
DON.KOMBYNAT ZAMOR-NYKH PRODUK,CONSUMER STAPLES
"TOV ""Lantanium""",MATERIALS
BERSHADSKYI SPYRTZAVOD,CONSUMER STAPLES
"TOV ""Bilotserkivske SHEU""",INDUSTRIALS
DP Solotvynske lisove hospodarstvo,MATERIALS
TOV Biznes-tsentr Navihator,FINANCIALS
"TOV ""Feniks Hrin Farmz Ukraina""",CONSUMER STAPLES
TOV 'Industriya-2000',ENERGY
"PP ""ZOLOTONISKA PTAKHOFARYKA""",NOT RELEVANT
TOB KINOTON,NOT RELEVANT
"TOV ""Ogul'chans'ke - Plyus""",CONSUMER STAPLES
FOP ZALETSKYI OLEH VASYLOVYCH,CONSUMER STAPLES
"TOV ""Ist Agro Servis""",INDUSTRIALS
"TOV ""OL'GA-TORG""",NOT RELEVANT
"TOV ""Taira Hrup Donbas""",CONSUMER STAPLES
"PP ""Likom""",CONSUMER STAPLES
GROUP Paradigm Konsalt.Grupa,CONSUMER DISCRETIONARY
"TOV ""BAIYeR""",MATERIALS
GROUP UKRTEK,MATERIALS
TzOV Betonika,MATERIALS
"PP""Zhytlovo-budivelna Kompan.""Riel""",INDUSTRIALS
"TOV ""TORHOVYI DIM""DNIPRO-TORH""",CONSUMER STAPLES
"TOV ""Kompaniia M.P.V.""",INDUSTRIALS
GROUP Avtokomplekt,INDUSTRIALS
TOV 'AVITO SVIT',CONSUMER STAPLES
"TOV ""Hetman""",CONSUMER STAPLES
FOP KARMAZIN YURIY OLEHOVYCH,CONSUMER DISCRETIONARY
"TOV ""Hidrokhaus""",INDUSTRIALS
"TOV ""Kofiton""",CONSUMER STAPLES
GROUP Agrotreid,CONSUMER STAPLES
GROUP Roveks,CONSUMER STAPLES
"TOV ""Leko Nekst""",INDUSTRIALS
"TOV ""Hrein-Transshypment""",CONSUMER STAPLES
"TOV ""Nyva Bila""",CONSUMER STAPLES
TzOV KarpatSmoly,MATERIALS
TOV FORSAZh,CONSUMER STAPLES
"TOV ""DNIPRODZERZHYNS""KA FARMATSEVTY",CONSUMER STAPLES
GROUP Everest,INFORMATION TECHNOLOGY
AR CHUDNIV LLC,CONSUMER STAPLES
TOV 'Ekoproduktplius',CONSUMER DISCRETIONARY
VAT ZERNO,CONSUMER STAPLES
"TOV ""Elektra""",CONSUMER DISCRETIONARY
BALAKLAVSKE RUDOUPRAVLINNIA,NOT RELEVANT
"TOV ""Kaefer Antal""",INDUSTRIALS
TOV Lyudmylivskyi elevator,CONSUMER STAPLES
DP Chaika,CONSUMER STAPLES
"FH ""Pivdenni Lany""",CONSUMER STAPLES
TOV 'INDUSTRIYa-2000 OPT',ENERGY
Smahin Serhii Volodymyrovych,ENERGY
TOV 'TD'Platan',CONSUMER DISCRETIONARY
GROUP Okvain,CONSUMER STAPLES
"TOV ""Borysfen-Treid""",CONSUMER STAPLES
"TOV ""Modern-Riteil""",CONSUMER STAPLES
SPD MENDRYK A.A,CONSUMER STAPLES
"TOV ""Hazoil""",INDUSTRIALS
"DP ""Hospodarnyk Pluis""",REAL ESTATE
Ajax Systems Trading DMCC,INFORMATION TECHNOLOGY
LVIVHAZ,INDUSTRIALS
GROUP Comfy,CONSUMER DISCRETIONARY
"TOV ""Geolan-agro""",CONSUMER STAPLES
TOV 'Kombinat hromadskoho kharchuva,CONSUMER DISCRETIONARY
"TOV ""Kiu.Ef.Em.Klin""",INDUSTRIALS
