name,industry,frequency
""" AGROFIRMA ""PISCHANS'KA""",CONSUMER STAPLES,5
""" VISSMANN """,INDUSTRIALS,5
""" Valrom",MATERIALS,5
"""!Fest Kofi Mishn""",CONSUMER STAPLES,5
"""!Festrepablik""",REAL ESTATE,5
"""""""""OSTER-TSENTR""",MATERIALS,5
"""""AGROSOLUTIONS""",NOT RELEVANT,5
"""""Agro Tandem""",CONSUMER STAPLES,5
"""""Agrolend-plius""",CONSUMER STAPLES,5
"""""Agrotreid",CONSUMER STAPLES,5
"""""Ahrostandart Naturalnuy Produ",CONSUMER STAPLES,5
"""""Avis Ukrahro""",CONSUMER STAPLES,5
"""""Dobropil's'kyi",CONSUMER STAPLES,5
"""""ELEFANT-M""",INDUSTRIALS,5
"""""Efymenko O.A.""",CONSUMER STAPLES,5
"""""Evt Grain""",INDUSTRIALS,5
"""""FARM.F-KA """"NAUKOVO-VIROBNICHE",CONSUMER STAPLES,5
"""""Fidlens Farming""",CONSUMER STAPLES,5
"""""Fidlens-ukraina""",CONSUMER STAPLES,5
"""""Grand Maryn""",CONSUMER DISCRETIONARY,5
"""""KAMINSKE""",CONSUMER STAPLES,5
"""""Kompaniia """"Smail-Servis""",CONSUMER DISCRETIONARY,5
"""""Kompaniia """"Yevrovnieshtorh""",INDUSTRIALS,5
"""""SAN I SAN MARIUPOL",CONSUMER STAPLES,5
"""""Saiuz""",CONSUMER DISCRETIONARY,5
"""""Servis",CONSUMER STAPLES,5
"""""Servis-ahrozakhid""",MATERIALS,5
"""""Si Ei Avtomotiv""",NOT RELEVANT,5
"""""Sinerdzhi Interneshenl""",CONSUMER STAPLES,5
"""""Sokar Petroleum""",ENERGY,5
"""""Sprynter Vinnytsya""",CONSUMER STAPLES,5
"""""Trubaitsivs'kyi""",CONSUMER STAPLES,5
"""""Vinnyts'ka Ptakhofabryka""",CONSUMER STAPLES,5
"""""ZORIA""",CONSUMER STAPLES,5
"""""Zernoprodukt Mkhp""",CONSUMER STAPLES,5
"""""Zorya""",CONSUMER STAPLES,5
"""-AVTOTEKHSERVIS-""",INDUSTRIALS,5
"""21 vik""",CONSUMER STAPLES,5
"""3 betony""",MATERIALS,5
"""3S",CONSUMER DISCRETIONARY,5
"""40 ROKIV-AHRO""",CONSUMER STAPLES,5
"""777 Gold""",ENERGY,5
"""777+""",ENERGY,5
"""A'sta""",HEALTH CARE,5
"""A-sigma""",CONSUMER DISCRETIONARY,5
"""A-tera""",INDUSTRIALS,5
"""A.V.T. Hrupp""",MATERIALS,5
"""A.s.p.o""",FINANCIALS,5
"""ABM",CONSUMER STAPLES,5
"""ABRAZIVNII KOMBINAT""",MATERIALS,5
"""ABU Menedzhment""",MATERIALS,5
"""ADER",MATERIALS,5
"""AF ""Ahroinvest""",CONSUMER STAPLES,5
"""AF ""Khlib",CONSUMER STAPLES,5
"""AF ""Slobids'ka""",NOT RELEVANT,5
"""AF ""VIDRODZHENNIA""",CONSUMER STAPLES,5
"""AF ""Zarosianska""",CONSUMER STAPLES,5
"""AF Liha""",NOT RELEVANT,5
"""AGAMA -",CONSUMER STAPLES,5
"""AGRO IT""",INDUSTRIALS,5
"""AGRO-SAN""",CONSUMER STAPLES,5
"""AGROKIM""",CONSUMER STAPLES,5
"""AGROLINK SOLUTIONS""",CONSUMER DISCRETIONARY,5
"""AGROMLYN""",CONSUMER STAPLES,5
"""AGROPOINT SOLUTIONS""",MATERIALS,5
"""AGROPRODINVEST GROUP""",FINANCIALS,5
"""AGROPROGRES""",CONSUMER STAPLES,5
"""AGROSERVIS",CONSUMER STAPLES,5
"""AGROSVIT",CONSUMER STAPLES,5
"""AGROSVIT-VOLYN""",CONSUMER STAPLES,5
"""AGROTEKH""",CONSUMER STAPLES,5
"""AGROTOK",MATERIALS,5
"""AGROZAKHYST PIVDEN'""",CONSUMER STAPLES,5
"""AHRARNA KOMPANIIA",CONSUMER STAPLES,5
"""AHRARNI INVESTITSII""",CONSUMER STAPLES,5
"""AHRO TREID",CONSUMER STAPLES,5
"""AHRO-KOBLEVO""",NOT RELEVANT,5
"""AHROEKS""",CONSUMER STAPLES,5
"""AHROFIRMA ""SEMERENKI""",CONSUMER STAPLES,5
"""AHROFIRMA BORYSFEN""",CONSUMER STAPLES,5
"""AHROFORT""",CONSUMER STAPLES,5
"""AHROINVEST-LOHISTIK""",CONSUMER STAPLES,5
"""AHROMASH""",CONSUMER STAPLES,5
"""AHROMOLTRANS""",CONSUMER STAPLES,5
"""AHROSERVIS""",CONSUMER STAPLES,5
"""AHROSFERA-A""",NOT RELEVANT,5
"""AHROSINDIKAT""",CONSUMER STAPLES,5
"""AHROSVIT""",CONSUMER STAPLES,5
"""AHROTANDEM-2012""",CONSUMER STAPLES,5
"""AHROTEKH OVK""",CONSUMER STAPLES,5
"""AHROTEKH""",CONSUMER STAPLES,5
"""AHROTEKHPOSTACH PLIUS""",CONSUMER DISCRETIONARY,5
"""AHROTEM""",CONSUMER STAPLES,5
"""AK Grup""",REAL ESTATE,5
"""AK-TRANS""",NOT RELEVANT,5
"""AL-PLASTYK""",MATERIALS,5
"""ALBACOR""",CONSUMER STAPLES,5
"""ALFA FARM"" kompanii ""AH",CONSUMER STAPLES,5
"""ALFA TREID IMPORT""",CONSUMER DISCRETIONARY,5
"""ALFRED C.TOEPFER INT.UKR.""",CONSUMER STAPLES,5
"""ALLO""",CONSUMER DISCRETIONARY,5
"""ALPINA-PIVDEN""",CONSUMER STAPLES,5
"""ALTKOM INVEST-STROI""",INDUSTRIALS,5
"""ALYUMINIYEVYY ZAVOD 13Y",INDUSTRIALS,5
"""AMBER AGRO""",NOT RELEVANT,5
"""AMPIR""",INDUSTRIALS,5
"""ANKOR PERSONAL",INDUSTRIALS,5
"""ANVA""",CONSUMER DISCRETIONARY,5
"""AOIL""",CONSUMER STAPLES,5
"""APELSYN NETVORK""",COMMUNICATIONS,5
"""APK",CONSUMER STAPLES,5
"""APTEKA NYZKYKH TSIN",CONSUMER STAPLES,5
"""ARIUS",CONSUMER DISCRETIONARY,5
"""ARKTYKA+""",CONSUMER STAPLES,5
"""ARMET",MATERIALS,5
"""ARNI 2010""",INDUSTRIALS,5
"""ARNIKA OYL""",CONSUMER STAPLES,5
"""AROMALEND""",CONSUMER STAPLES,5
"""ARS""",CONSUMER STAPLES,5
"""ARS-TREID""",CONSUMER STAPLES,5
"""ASGARD P""",NOT RELEVANT,5
"""ASKANIYA-PROD""",CONSUMER STAPLES,5
