industry,separate_beginning,frequency
COMMUNICATIONS,<NONE>,65
COMMUNICATIONS,GROUP,15
COMMUNICATIONS,PAT,10
COMMUNICATIONS,SUBGROUP,30
COMMUNICATIONS,TOV,100
CONSUMER DISCRETIONARY,<NONE>,745
CONSUMER DISCRETIONARY,DP,30
CONSUMER DISCRETIONARY,FLP,10
CONSUMER DISCRETIONARY,FOP,320
CONSUMER DISCRETIONARY,Financial,10
CONSUMER DISCRETIONARY,GROUP,710
CONSUMER DISCRETIONARY,HEAD,10
CONSUMER DISCRETIONARY,LIMITED,25
CONSUMER DISCRETIONARY,LLC,100
CONSUMER DISCRETIONARY,OOO,10
CONSUMER DISCRETIONARY,PAT,20
CONSUMER DISCRETIONARY,PE,10
CONSUMER DISCRETIONARY,PF,10
CONSUMER DISCRETIONARY,PP,205
CONSUMER DISCRETIONARY,PRAT,10
CONSUMER DISCRETIONARY,Pryvatne,10
CONSUMER DISCRETIONARY,SP,15
CONSUMER DISCRETIONARY,SUBGROUP,95
CONSUMER DISCRETIONARY,TDV,15
CONSUMER DISCRETIONARY,TOB,10
CONSUMER DISCRETIONARY,TOV,2065
CONSUMER DISCRETIONARY,TOVARYSTVO,10
CONSUMER DISCRETIONARY,TZOV,30
CONSUMER DISCRETIONARY,TzOV,50
CONSUMER DISCRETIONARY,VAT,25
CONSUMER DISCRETIONARY,ZAT,20
CONSUMER STAPLES,<NONE>,2245
CONSUMER STAPLES,AF,15
CONSUMER STAPLES,AGROFIRMA,15
CONSUMER STAPLES,AR,35
CONSUMER STAPLES,AT,10
CONSUMER STAPLES,BERTA,10
CONSUMER STAPLES,CHASTNOE,15
CONSUMER STAPLES,CHP,20
CONSUMER STAPLES,DP,230
CONSUMER STAPLES,FG,95
CONSUMER STAPLES,FH,285
CONSUMER STAPLES,FO,10
CONSUMER STAPLES,FOP,405
CONSUMER STAPLES,Fermerske,20
CONSUMER STAPLES,GARNA,15
CONSUMER STAPLES,GOS.,20
CONSUMER STAPLES,GROUP,2390
CONSUMER STAPLES,Group,40
CONSUMER STAPLES,HD,10
CONSUMER STAPLES,KOLKER,10
CONSUMER STAPLES,KP,15
CONSUMER STAPLES,LIMITED,75
CONSUMER STAPLES,LLC,155
CONSUMER STAPLES,MPP,15
CONSUMER STAPLES,Male,10
CONSUMER STAPLES,OAO,15
CONSUMER STAPLES,OOO,80
CONSUMER STAPLES,PAF,10
CONSUMER STAPLES,PAP,30
CONSUMER STAPLES,PAT,155
CONSUMER STAPLES,PF,10
CONSUMER STAPLES,PJSC,15
CONSUMER STAPLES,POP,10
CONSUMER STAPLES,POSP,20
CONSUMER STAPLES,PP,835
CONSUMER STAPLES,PRAT,45
CONSUMER STAPLES,PRIVATE,20
CONSUMER STAPLES,PRYVATNE,20
CONSUMER STAPLES,PSHP,10
CONSUMER STAPLES,PSP,115
CONSUMER STAPLES,PVP,15
CONSUMER STAPLES,PrAT,55
CONSUMER STAPLES,ProTec,15
CONSUMER STAPLES,Pryvatna,25
CONSUMER STAPLES,Pryvatne,15
CONSUMER STAPLES,Pryvatno-orendne,10
CONSUMER STAPLES,S(F)H,10
CONSUMER STAPLES,SFG,25
CONSUMER STAPLES,SFH,55
CONSUMER STAPLES,SG,20
CONSUMER STAPLES,SH,40
CONSUMER STAPLES,SHP,10
CONSUMER STAPLES,SHTOV,10
CONSUMER STAPLES,SHV,10
CONSUMER STAPLES,SP,35
CONSUMER STAPLES,SPD,10
CONSUMER STAPLES,STOV,450
CONSUMER STAPLES,SUBGROUP,435
CONSUMER STAPLES,SVK,30
CONSUMER STAPLES,Spilne,10
CONSUMER STAPLES,Subgroup,25
CONSUMER STAPLES,TD,20
CONSUMER STAPLES,TDV,40
CONSUMER STAPLES,TOB,15
CONSUMER STAPLES,TORHOVYI,20
CONSUMER STAPLES,TOV,6420
CONSUMER STAPLES,TOVA,15
CONSUMER STAPLES,TOVARYSTVO,15
CONSUMER STAPLES,TOVF,15
CONSUMER STAPLES,TZOV,50
CONSUMER STAPLES,ToV,10
CONSUMER STAPLES,Tovarystvo,10
CONSUMER STAPLES,TzOV,130
CONSUMER STAPLES,UA,10
CONSUMER STAPLES,VAT,100
CONSUMER STAPLES,Vidkryte,10
CONSUMER STAPLES,ZAT,110
ENERGY,<NONE>,265
ENERGY,GROUP,185
ENERGY,PETROL,10
ENERGY,PP,35
ENERGY,PRAT,10
ENERGY,SUBGROUP,20
ENERGY,TOV,395
ENERGY,TzOV,20
ENERGY,VAT,10
FINANCIALS,<NONE>,200
FINANCIALS,CHP,15
FINANCIALS,FOP,30
FINANCIALS,GROUP,40
FINANCIALS,PAT,10
FINANCIALS,PP,15
FINANCIALS,PrAT,15
FINANCIALS,TOV,150
HEALTH CARE,<NONE>,105
HEALTH CARE,DP,20
HEALTH CARE,GROUP,90
HEALTH CARE,PP,30
HEALTH CARE,SUBGROUP,20
HEALTH CARE,TOV,300
HEALTH CARE,VAT,10
HEALTH CARE,ZAT,15
INDUSTRIALS,<NONE>,1030
INDUSTRIALS,AT,25
INDUSTRIALS,DP,85
INDUSTRIALS,FIRMA,10
INDUSTRIALS,FOP,130
INDUSTRIALS,Filiya,15
INDUSTRIALS,GROUP,700
INDUSTRIALS,Interpipe,10
INDUSTRIALS,JSC,15
INDUSTRIALS,KP,15
INDUSTRIALS,LIMITED,75
INDUSTRIALS,LLC,70
INDUSTRIALS,Limited,10
INDUSTRIALS,MPP,15
INDUSTRIALS,OJSC,20
INDUSTRIALS,OOO,45
INDUSTRIALS,PAT,90
INDUSTRIALS,PJSC,20
INDUSTRIALS,PP,175
INDUSTRIALS,PRAT,25
INDUSTRIALS,PRYVATNE,10
INDUSTRIALS,PrAT,25
INDUSTRIALS,SUBGROUP,85
INDUSTRIALS,Subgroup,10
INDUSTRIALS,TDV,10
INDUSTRIALS,TOB,10
INDUSTRIALS,TOV,2255
INDUSTRIALS,TOVARYSTVO,15
INDUSTRIALS,TZOV,20
INDUSTRIALS,TZoV,10
INDUSTRIALS,TzOV,20
INDUSTRIALS,USP,15
INDUSTRIALS,VAT,40
INDUSTRIALS,ZAT,30
INFORMATION TECHNOLOGY,<NONE>,170
INFORMATION TECHNOLOGY,DP,15
INFORMATION TECHNOLOGY,FOP,30
INFORMATION TECHNOLOGY,GROUP,50
INFORMATION TECHNOLOGY,LLC,10
INFORMATION TECHNOLOGY,OOO,10
INFORMATION TECHNOLOGY,PII,10
INFORMATION TECHNOLOGY,SUBGROUP,10
INFORMATION TECHNOLOGY,TOV,210
MATERIALS,<NONE>,575
MATERIALS,DERZHAVNE,10
MATERIALS,DP,185
MATERIALS,FOP,20
MATERIALS,Ferrexpo,15
MATERIALS,GROUP,580
MATERIALS,Group,15
MATERIALS,Kronospan,10
MATERIALS,LIMITED,10
MATERIALS,LLC,30
MATERIALS,Metinvest,10
MATERIALS,PAT,105
MATERIALS,PJSC,20
MATERIALS,PP,150
MATERIALS,PRAT,10
MATERIALS,PrAT,10
MATERIALS,SUBGROUP,65
MATERIALS,TDV,15
MATERIALS,TOB,15
MATERIALS,TOV,1485
MATERIALS,TZOV,10
MATERIALS,TzOV,45
MATERIALS,VAT,55
MATERIALS,ZAT,20
NOT RELEVANT,<NONE>,1765
NOT RELEVANT,AHROFIRMA,15
NOT RELEVANT,AT,10
NOT RELEVANT,DP,345
NOT RELEVANT,FOP,35
NOT RELEVANT,Filiya,15
NOT RELEVANT,GROUP,450
NOT RELEVANT,Group,35
NOT RELEVANT,JSC,10
NOT RELEVANT,KP,75
NOT RELEVANT,LLC,25
NOT RELEVANT,MPP,15
NOT RELEVANT,OOO,80
NOT RELEVANT,PAT,150
NOT RELEVANT,PF,10
NOT RELEVANT,PJSC,10
NOT RELEVANT,PP,240
NOT RELEVANT,PRAT,10
NOT RELEVANT,PrAT,30
NOT RELEVANT,STOV,45
NOT RELEVANT,SUBGROUP,25
NOT RELEVANT,SVAT,10
NOT RELEVANT,TD,10
NOT RELEVANT,TDV,10
NOT RELEVANT,TETRA,10
NOT RELEVANT,TOB,15
NOT RELEVANT,TOV,1250
NOT RELEVANT,TOVARYSTVO,10
NOT RELEVANT,TZOV,25
NOT RELEVANT,TzOV,50
NOT RELEVANT,VAT,210
NOT RELEVANT,ZAT,80
NOT RELEVANT,Zavod,10
REAL ESTATE,<NONE>,185
REAL ESTATE,DP,20
REAL ESTATE,FOP,50
REAL ESTATE,GROUP,20
