industry,separate_ending,frequency
COMMUNICATIONS,<NONE>,195
COMMUNICATIONS,"Hrup""",10
COMMUNICATIONS,"Ukraina""",15
CONSUMER DISCRETIONARY,<NONE>,3745
CONSUMER DISCRETIONARY,A.O.,10
CONSUMER DISCRETIONARY,AVTO,10
CONSUMER DISCRETIONARY,"Admikser""",10
CONSUMER DISCRETIONARY,Anatoliiovych,10
CONSUMER DISCRETIONARY,Avantekhtrans,10
CONSUMER DISCRETIONARY,Avtek,10
CONSUMER DISCRETIONARY,"Avto""",10
CONSUMER DISCRETIONARY,COMP,10
CONSUMER DISCRETIONARY,Ch.A.S.,10
CONSUMER DISCRETIONARY,D,10
CONSUMER DISCRETIONARY,Diamant,10
CONSUMER DISCRETIONARY,Dim,10
CONSUMER DISCRETIONARY,Diuna-Vesta,10
CONSUMER DISCRETIONARY,"Dystrybiushn""",10
CONSUMER DISCRETIONARY,GROUP,10
CONSUMER DISCRETIONARY,Grup,15
CONSUMER DISCRETIONARY,"Grup""",10
CONSUMER DISCRETIONARY,"Hrup""",20
CONSUMER DISCRETIONARY,I.,10
CONSUMER DISCRETIONARY,IHORIVNA,10
CONSUMER DISCRETIONARY,INVEST,10
CONSUMER DISCRETIONARY,"Kherson""",10
CONSUMER DISCRETIONARY,"LAIN""",10
CONSUMER DISCRETIONARY,LLC,50
CONSUMER DISCRETIONARY,LTD,30
CONSUMER DISCRETIONARY,"LTD""",15
CONSUMER DISCRETIONARY,Lanateks,10
CONSUMER DISCRETIONARY,Limited,15
CONSUMER DISCRETIONARY,Ltd,10
CONSUMER DISCRETIONARY,"Ltd""",10
CONSUMER DISCRETIONARY,M,10
CONSUMER DISCRETIONARY,"Market""",10
CONSUMER DISCRETIONARY,"Motors""",15
CONSUMER DISCRETIONARY,Mykolaiovych,10
CONSUMER DISCRETIONARY,OKEAN,10
CONSUMER DISCRETIONARY,OOO,10
CONSUMER DISCRETIONARY,PRO,10
CONSUMER DISCRETIONARY,Petrivna,10
CONSUMER DISCRETIONARY,"Plius""",20
CONSUMER DISCRETIONARY,"Premium""",10
CONSUMER DISCRETIONARY,"RETAIL""",10
CONSUMER DISCRETIONARY,"Riteil""",10
CONSUMER DISCRETIONARY,SK,10
CONSUMER DISCRETIONARY,TOV,15
CONSUMER DISCRETIONARY,"TREID""",15
CONSUMER DISCRETIONARY,"Treid""",15
CONSUMER DISCRETIONARY,UKRAINA,35
CONSUMER DISCRETIONARY,"UKRAINA""",10
CONSUMER DISCRETIONARY,UKRAINE,20
CONSUMER DISCRETIONARY,UKRAYINA,10
CONSUMER DISCRETIONARY,UkrRosKhym,10
CONSUMER DISCRETIONARY,Ukraina,25
CONSUMER DISCRETIONARY,"Ukraina""",80
