CUSTOMER NAME,COUNTRY OF RISK,GICS_NAME_P
STARÝ TIMBER S.R.O.,CZ,MATERIALS
Parfümerie AKZENTE GmbH,DE,CONSUMER DISCRETIONARY
KOMUNALAC D.O.O. ZUPANJA,HR,NOT RELEVANT
LOVERS ROMANIA SA,RO,NOT RELEVANT
VITO BILIC D.O.O.,HR,NOT RELEVANT
PERFETTA.RU OOO,RU,CONSUMER DISCRETIONARY
OS PETROL DOO SREBRENIK,BA,NOT RELEVANT
VISA INTERNATIONAL SERVICE REP OF,RU,NOT RELEVANT
Kühnsdorfer Einkaufsland Gesellscha,AT,NOT RELEVANT
SUBGROUP WORMELEN CONSOLIDATED,CZ,CONSUMER DISCRETIONARY
SCHARMANN-GYÓRÓ MG. KER. KFT,HU,NOT RELEVANT
"A B KERAMIKA, VL. ANTE BAUTOVIC",HR,NOT RELEVANT
CENTRAL D. O. O.,HR,NOT RELEVANT
MARLY COMMERCE D.O.O.,HR,NOT RELEVANT
"COOP Jednota GA, spotr. druzstvo",SK,NOT RELEVANT
TTS YUVELIRY URALA OOO,RU,CONSUMER DISCRETIONARY
JOVIÈIÆ MIRKO S.P.,SI,NOT RELEVANT
PP 'KSV',UA,NOT RELEVANT
"ALPETOUR - BANDAG, D.D.",SI,NOT RELEVANT
Du zwingst B.V.,NL,INFORMATION TECHNOLOGY
GROUP ELLAKTOR,GR,INDUSTRIALS
"Bogád, Petõfi u. 19. Társasház",HU,FINANCIALS
"NORBERT SCHALLER, spol. s r.o.",CZ,NOT RELEVANT
Újpalota 7. sz. Lakásfenntartó Szöv,HU,FINANCIALS
OOO KORDSTAR,RU,CONSUMER DISCRETIONARY
"""Realon 2000"" Befektetési és Keresk",HU,NOT RELEVANT
TERMIK DOO BANJA LUKA,BA,INDUSTRIALS
PFM Biztonsági Szolgáltató Korlátol,HU,CONSUMER DISCRETIONARY
UCM TURNATE SRL,RO,NOT RELEVANT
CORRIDOR TRADE AG.,CH,INDUSTRIALS
VILCEANA,RO,NOT RELEVANT
G & D FOREST 2008,RO,NOT RELEVANT
NOVACHEM S.R.O. V LIKVIDACI,CZ,CONSUMER DISCRETIONARY
AGRO-KLEVER OOO,RU,CONSUMER STAPLES
BITEC - Budapest Nemzetközi Kereske,HU,REAL ESTATE
GROUP MS KLJUÈAROVCI,SI,NOT RELEVANT
DP YeMILChYNSKYI LISHOSP APK,UA,MATERIALS
ABO MILL Malomipari Zrt. F.A.,HU,NOT RELEVANT
BAROMFITARTÓ ÉS SZERVEZÕ KFT.,HU,NOT RELEVANT
IKIM PHARE ENERGY PIU,HU,NOT RELEVANT
LIT CYPRUS CO,CY,INDUSTRIALS
Társasház Zambelli u. 12.,HU,FINANCIALS
"Komárom, Mártírok u. 17. Társasház",HU,FINANCIALS
DIAMED-FARMA,RU,HEALTH CARE
LAUPAR CONSULTING s.r.o. ,CZ,REAL ESTATE
DANIELLA Kft.,HU,INDUSTRIALS
Group SES,LU,CONSUMER DISCRETIONARY
GROUP TRUD,RU,INDUSTRIALS
BETEX PROIZVODNJA D.O.O.,HR,NOT RELEVANT
PRIVATE JOINT STOCK COMPANY ABINBEV,UA,CONSUMER STAPLES
RCI USLUGE D.O.O.,HR,CONSUMER DISCRETIONARY
TELEDIGITAL DD SARAJEVO,BA,COMMUNICATIONS
PRINCE ENTERPRISE DOOEL (LTDOP),MK,CONSUMER STAPLES
"Gomolova Marcela, Mgr.",SK,NOT RELEVANT
VOLGOPRODMONTAZH OOO,RU,INDUSTRIALS
MEGATEP ZAO,RU,MATERIALS
YUKA OOO,RU,CONSUMER DISCRETIONARY
MODA ITALIA SH.P.K.,XK,CONSUMER DISCRETIONARY
Group Dom Development,PL,REAL ESTATE
OOO PODVESKA,RU,INDUSTRIALS
PUTEVI AD UZICE,RS,INDUSTRIALS
GROUP UM-3,RU,INDUSTRIALS
Unis Fabrika Cijevi a.d. Derventa,BA,MATERIALS
AWT-INTERNATIONAL D.O.O. SKOPJE,MK,CONSUMER STAPLES
