name,frequency
Abbas,7
Abdalla,9
Abdallah,11
Abdella,6
Abdellah,9
Abdol,25
Abdol-Hadi,8
Abdol-Hakim,14
Abdol-Jabar,9
Abdol-Karim,16
Abdol-Latif,7
Abdol-Qader,8
Abdol-Qadir,6
Abdol-Qayyum,12
Abdol-Rahman,8
Abdol-Satar,6
Abdollah,18
Abdorrahim,8
Abdorrahman,9
Abdul,154
Abdul-Ahad,11
Abdul-Ali,7
Abdul-Aziz,14
Abdul-Baqi,12
Abdul-Basir,6
Abdul-Ghafar,13
Abdul-Ghafoor,9
Abdul-Ghani,8
Abdul-Habib,14
Abdul-Hadi,18
Abdul-Hai,17
Abdul-Hakeem,6
Abdul-Hakim,33
Abdul-Hamid,6
Abdul-Hanan,8
Abdul-Haq,13
Abdul-Hay,6
Abdul-Jabar,20
Abdul-Jabbar,13
Abdul-Jalil,6
Abdul-Jamil,7
Abdul-Karim,26
Abdul-Khalil,6
Abdul-Khaliq,12
Abdul-Latif,12
Abdul-Majid,11
Abdul-Malik,12
Abdul-Manan,10
Abdul-Qader,8
Abdul-Qadir,14
Abdul-Qayoum,16
Abdul-Qayum,16
Abdul-Rahim,27
Abdul-Rahman,40
Abdul-Raoof,6
Abdul-Raouf,6
Abdul-Rashid,13
Abdul-Rauf,16
Abdul-Raufovich,12
Abdul-Razaq,26
Abdul-Razzaq,8
Abdul-Saboor,6
Abdul-Salam,21
Abdul-Samad,13
Abdul-Satar,21
Abdul-Sattar,14
Abdul-Wahab,8
Abdul-Wahid,7
Abdul-Wakil,6
Abdul-Wali,14
Abdulla,9
Abdullah,57
Abu,15
Agha,20
Agha-Noor,9
Ahmad,127
Ahmad-Jan,7
Ahmad-Jawid,6
Ahmad-Shah,17
Ahmad-Zia,11
Ahmadullah,7
Ahmed,59
Ahmed-Shah,6
Aimal,7
Ajmal,17
Akbar,6
Akhtar,32
Akhund,15
Akram,13
Alam,13
Ali,69
Allah,7
Allah-Dad,11
Aman,6
Amanollah,7
Amanullah,27
Amin,35
Aminollah,7
Aminullah,18
Amir,19
Amir-Khan,6
Amir-Mohammad,9
Anwar,19
Aqa,8
Aryan,7
Asadollah,11
Asadullah,25
Asef,7
Asif,9
Assadullah,14
Atiqullah,13
Ayub,7
Aziz,9
Azizollah,8
Azizullah,16
Bahauddin,6
Baktash,7
Bari,6
Baryalai,6
Bashir,18
Bashir-Ahmad,6
Basir,7
Baz-Mohammad,7
Bismillah,10
Daoud,25
Daud,22
Dawood,18
Dawoud,7
Dawud,34
Enayatullah,18
Esmatullah,7
Ezatullah,7
Faiz-Mohammad,6
Faizullah,7
Farhad,9
Farid,19
Farooq,7
Fazal,16
Fazel,11
Fazl,10
Fnu,14
Ghazi,8
Gholam,36
Ghulam,86
Ghulam-Sakhi,6
Ghullam,7
Gol,16
Gul,64
Gul-Ahmad,10
Gul-Mohammad,10
Habib,14
Habib-Rahman,7
Habib-ur-Rahman,6
Habibollah,8
Habibul-Rahman,10
Habibullah,31
Hafez,6
Hafiz,64
Haji,40
Hajji,14
Hamdullah,10
Hamed,8
Hameed,8
Hamid,24
Hamidullah,21
Hasan,7
Hashem,6
Hashim,13
Hassan,19
Hayat,8
Hayatullah,8
Hazrat,15
Hidayatullah,6
Homayun,6
Hosayn,6
Humayoun,13
Humayun,6
Hussain,12
Ibrahim,21
Ihsan,6
Ishaq,7
Ismail,9
Jafar,6
Jan,43
Janan,9
Jawad,10
Jawid,6
Juma,21
Kamal,12
Karim,14
Khair,7
Khairullah,8
Khalid,34
Khalil,11
Khalil-Ahmad,8
Khalilollah,6
Khalilullah,9
Khan,114
Khwaja,10
Lal,10
Latif,7
Mahmood,13
Mahmoud,11
Mahmud,9
Malik,8
Mansour,6
Mansur,8
Masood,8
Masoud,11
Masud,7
Mawlavi,8
Mawlawi,15
Mehdi,7
Mir,29
Mir-Mohammad,7
Mirwais,32
Mirza,14
Mohamad,39
Mohamad-Gul,8
Mohamed,71
Mohamed-Gul,8
Mohammad,758
Mohammad-Akbar,11
Mohammad-Akram,8
Mohammad-Alam,8
Mohammad-Ali,9
Mohammad-Amin,12
Mohammad-Arif,9
Mohammad-Asif,12
Mohammad-Aslam,8
Mohammad-Azim,6
Mohammad-Daud,13
Mohammad-Dawood,6
Mohammad-Gul,8
Mohammad-Halim,6
Mohammad-Hashem,7
Mohammad-Hashim,14
Mohammad-Hassan,6
Mohammad-Hussain,7
Mohammad-Ibrahim,12
Mohammad-Ismail,9
Mohammad-Jan,6
Mohammad-Nader,7
Mohammad-Naeem,6
Mohammad-Naim,8
Mohammad-Omar,15
Mohammad-Qasim,7
Mohammad-Rahim,8
Mohammad-Rasul,6
Mohammad-Sarwar,8
Mohammad-Sharif,7
Mohammad-Younus,6
Mohammad-Zaher,9
Mohammad-Zahir,7
Mohammed,219
Mohammed-Gul,8
Mohmmad,7
Mousa,6
Mowlawi,7
Muhamad,36
Muhamed,10
Muhammad,259
Muhammad-Amin,7
Muhammad-Gul,8
Muhammad-Hassan,7
Muhammad-Omar,7
Muhammadali,6
Muhammed,41
Muhammed-Gul,8
Mujeeb-Ur-Rahman,7
Mujtaba,6
Mullah,30
Musa,10
Mustafa,8
Nabi,18
Nader,7
Nadir,11
Naim,9
Najeebullah,9
Najibollah,9
Najibullah,40
Naqibullah,7
Naseer,6
Nasim,9
Nasir,20
Nasir-Ahmad,6
Nasrullah,6
Nazar,6
Nazir,7
Nematullah,7
Nesar-Ahmad-Faizi,7
Niaz,10
Nisar,6
Noor,38
Noor-Ahmad,7
Noorullah,8
Nur,12
Obaidullah,11
Ogli,27
Omar,27
Osman,8
Othman,6
Pahlawan,6
Qais,9
Qari,42
Qasem,7
Qasim,9
Qazi,10
Qurban-Ali,9
Rafi,7
Rafiq,6
Rafiullah,6
Rahim,10
Rahman,8
Rahmatollah,8
Rahmatullah,18
Ramazan,11
Raz,12
Rohullah,10
Roohullah,7
Saeed,9
Sahib,6
Said,43
Saif,6
Sakhi,14
Saleh,15
Salem,9
Salim,7
Samad,50
Samiullah,9
Saranwal,6
Sardar,15
Sarwar,19
Sayd,20
Sayed,116
Sayed-Ahmad,15
Sayed-Mohammad,24
Sayyed,11
Shafiq-Asadullah,6
Shah,44
Shahpoor,8
Shahzada,10
Shams,13
Sharif,8
Sher,24
Sher-Mohammad,9
Shir,9
Sulaiman,8
Sultan,17
Syed,23
Syed-Mohammad,13
Taher,7
Tahir,8
Taj,6
Taj-Mohammad,8
Tamim,8
Ubaidullah,10
Ulfat,6
Umar,10
Ur-Rahman,6
Usama,10
Valadi,14
Waheed,8
Waheedullah,6
Wahidullah,15
Wakil,10
Wali,49
Waqef,8
Yahya,7
Yasin,6
Younis,12
Yusuf,6
Zabihullah,8
Zaher,8
Zahir,12
Zalmai,19
Zalmay,16
Zia,16
Zia-Ul-Haq,8
