name,frequency
'Abd-Al-Salam,6
Abbas,6
Abdali,7
Abdul-Rahim,9
Abdul-Satar,7
Abdullah,23
Abed,8
Achakzai,19
Achikzad,6
Adel,6
Adib,9
Afghan,15
Afghani,6
Afzal,9
Afzali,15
Agha,55
Ahadi,24
Ahmad,47
Ahmadi,65
Ahmadzai,62
Ahmed,21
Ahmedi,8
Ahmedzai,13
Aimaq,11
Akbar,21
Akbari,18
Akhlaqi,11
Akhond,10
Akhund,47
Akhundzada,19
Al-Peshawari,6
Al-Zarqawi,6
Al-Zawahiri,6
Alam,12
Ali,38
Alizai,18
Aloko,8
Alokozai,7
Aman,13
Amin,33
Amin-Arsala,12
Amini,13
Amir,6
Amiri,12
Andarabi,11
Andrabi,6
Ansari,7
Ansary,7
Anwar,12
Anwari,27
Anwarzai,12
Aqa,10
Aref,7
Arefi,6
Ariyaee,6
Arsala,8
Asakzai,8
Ashna,7
Ashraf,8
Aslam,7
Atal,6
Atmar,11
Ayar,6
Aymaq,15
Ayubi,7
Azad,10
Azimi,46
Aziz,16
Azizi,70
Baha,6
Baig,7
Bakhtawar,6
Balkhi,27
Baloch,14
Baluch,9
Baqer,6
Baqizoi,6
Barakzai,25
Barekzai,8
Barikzai,6
Begum,20
Behsudi,6
Bek,7
Bin-Laden,8
Bin-Ladin,6
Brahui,6
Chamkani,6
Dad,8
Dalili,9
Danesh,6
Danish,7
Daoud,7
Daryab,6
Daud,10
Daudzai,10
Dehqanpur,6
Delawari,16
Din,6
Dostum,23
Ebrahimi,15
Elmi,8
Erfani,6
Eshaqzai,8
Esmati,9
Estalefi,8
Fahim,13
Fahimi,12
Faiz,8
Faizi,15
Faqir,7
Farahi,33
Farid,18
Farooq,7
Faroqui,6
Farouk,6
Farouq,9
Faruk,6
Faruq,6
Faryabi,9
Fazel,8
Fazli,7
Gailanee,9
Gailani,27
Ghafari,10
Ghairat,8
Ghani,15
Ghazanfar,70
Ghazi,12
Ghiasi,9
Gilani,7
Gol,8
Gul,59
Habib,9
Habibi,15
Habibullah,9
Hadi,8
Haidar,7
Haidari,25
Hakimi,48
Halim,11
Halimi,7
Hamdard,12
Hamed,6
Hamid,11
Hamidi,21
Hanif,7
Haq,12
Haqani,14
Haqbin,8
Haqmal,8
Haqqani,38
Haqyar,6
Haress,8
Harirod,7
Hasan,6
Hashemi,18
Hashimi,14
Hassan,9
Hayatullah,6
Hekmatyar,15
Helal,6
Himmat,7
Hosayni,6
Hotak,16
Hotaki,9
Husaini,8
Hussain,7
Hussaini,13
Husseini,9
Ibrahim,14
Ibrahimi,23
Ikram,6
Inami,12
Ishaqzai,14
Jaan,11
Jalal,16
Jalala,22
Jalali,11
Jalili,12
Jamal,15
Jamshidi,8
Jan,55
Jawad,11
Jawid,9
Jawzjani,6
Jilani,8
Kabir,9
Kakar,25
Kalimzai,6
Kargar,15
Karim,21
Karimi,20
Karzai,52
Katawazai,8
Katawazi,11
Kazemi,6
Khaddam,11
Khadem,8
Khairkhwa,6
Khairkhwah,12
Khaksar,9
Khalid,10
Khalili,30
Khalis,8
Khan,408
Khanum,7
Khanzada,7
Khpalwak,7
Khulmi,9
Kochai,8
Kochi,6
Kofi,10
Kohistani,6
Koshani,8
Kuchi,9
Liwal,6
Lodin,16
Ludin,10
Madani,8
Mahmood,6
Maiwandi,6
Majidi,7
Malik,6
Malikzai,9
Mamozai,9
Manan,36
Mangal,28
Mannan,22
Mansoor,11
Mansur,6
Marzban,8
Mashal,15
Masherqi,10
Masood,12
Masud,7
Mati,6
Matin,11
Mirzakwal,17
Mohamad,8
Mohamadi,6
Mohamed,12
Mohammad,129
Mohammadi,48
Mohammed,58
Mohaqeq,6
Mohaqiq,10
Mohmand,7
Mohseni,20
Mohsini,6
Mojaddedi,9
Mojahed,7
Momand,18
Monib,8
Mozamel,6
Mubariz,8
Mudabir,6
Muhamad,6
Muhamed,6
Muhammad,50
Muhammadi,19
Muhammadyosin,6
Muhammed,9
Mujadidi,7
Mujahid,9
Munib,9
Munsif,7
Murad,9
Muradi,10
Musa,7
Muslim,9
Muslimyar,12
Muzamel,6
Muzamil,7
Muzammel,6
Muzzamil,7
Nabi,12
Nader-Yama,6
Naderi,12
Nadiri,10
Naeem,9
Najibullah,13
Naser,7
Naseri,22
Nasim,7
Nasir,6
Nasiri,12
Nasser-Zia,8
Nasseri,8
Nazar,9
Nazari,15
Nejrabi,7
Nezam,6
Niazai,8
Niazi,23
Nili,7
Noor,10
Noori,19
Nooristani,20
Noorzai,28
Nosher,6
Nurestani,9
Nuri,11
Nuristani,20
Nurzai,10
Obaidullah,6
Olumi,7
Omar,40
Omari,10
Omarkhel,8
Omer,9
Osman,6
Osmani,19
Paikan,14
Paikar,7
Paiman,6
Parwani,6
Pashtun,7
Patan,7
Patman,9
Pedram,11
Popal,17
Qaderi,17
Qanooni,6
Qanuni,10
Qarar,7
Qasemi,6
Qasim,9
Qasimi,7
Qatali,7
Qazi-Zada,6
Qazizada,9
Qul,10
Rabbani,12
Rahim,25
Rahimi,44
Rahin,6
Rahman,28
Rahmani,25
Rahmatullah,9
Ramin,12
Raof,18
Rasekh,6
Rashid,12
Rasikh,6
Rasool,8
Rasouli,8
Rasul,10
Rasuli,6
Rauf,25
Rehman,10
Rohani,7
Roshan,8
Rozi,6
Saadat,9
Saber,10
Sabir,17
Sabit,6
Sadaat,8
Sadat,38
Sadeq,6
Sadiq,13
Saeed,7
Safai,10
Safar,7
Safari,11
Safi,57
Sajadi,7
Sakhi,7
Salangi,19
Saleh,16
Salih,6
Salim,11
Saljoqi,7
Samad,10
Samadi,7
Samim,18
Samkanai,9
Samkani,6
Saqib,6
Sarjang,6
Sarwari,9
Satar,6
Sayed,19
Sayyaf,12
Seddiqi,13
Sediq,11
Sediqi,20
Shadab,6
Shafaq,6
Shafiq,10
Shah,55
Shah-Jahan,6
Shahrani,15
Shams,19
Sharif,12
Sharifi,24
Sherzad,16
Sherzada,6
Sherzai,18
Sherzoy,6
Shinwari,46
Shirzad,20
Shpon,8
Siamak,7
Siddiqi,9
Siddiqui,12
Sidiqi,7
Sitigh,6
Spelenai,6
Stanekzai,7
Stanikzai,8
Sultan,6
Sultani,10
Sultanzoi,7
Takhari,6
Tandar,9
Tarakhel,11
Tarakhil,7
Tokhi,9
Ul-Haq,7
Ullah,44
Usmani,10
Wafa,15
Wafayezada,8
Wahdat,21
Wahedi,7
Wahidi,15
Wali,40
Wali-Mohammad,6
Wardag,14
Wardak,58
Wasefi,6
Wasifi,8
Watandost,6
Wazir,6
Waziri,8
Wesa,7
Yalkhani,6
Yaqobi,7
Yar,7
Yar-Mohammed-Akhund,6
Yardari,12
Yari,12
Yawar,6
Zabuli,7
Zada,9
Zadran,32
Zahed,10
Zaher,11
Zahid,11
Zahir,20
Zaki,21
Zaman,12
Zarif,8
Zazai,13
Zia,22
