name,frequency
Abaz,4
Abd-Al-Latif,5
Abdul,5
Abedin,4
Adem,12
Adhurim,4
Adi,8
Admir,13
Adrian,25
Adriatik,10
Afrim,17
Agim,41
Agron,38
Agustin,6
Ahmet,12
Ajet,4
Alban,28
Albano,7
Albert,34
Albi,7
Aldo,12
Aleks,14
Aleksander,29
Aleksandër,11
Alexander,5
Alfons,7
Alfred,48
Ali,24
Alket,9
Almir,5
Alqi,4
Altin,46
Alush,4
Amarildo,9
Anastas,4
Anastasios,4
Andi,22
Andon,8
Andrea,13
Anesti,4
Anton,11
Aqif,7
Arben,86
Arber,17
Arbi,4
Ardi,5
Ardian,25
Ardit,15
Ardjan,7
Arian,15
Arjan,26
Arjon,4
Arlind,7
Armand,25
Armando,22
Arqile,4
Arsen,6
Arsim,6
Artan,55
Artur,41
Asllan,7
Astrit,34
Aurel,8
Avdulla,6
Avni,19
Azem,8
Bahri,10
Bajram,26
Banush,4
Bardhyl,12
Bashkim,30
Bedri,5
Behar,5
Bekim,5
Bektash,4
Beqir,7
Besar,5
Besian,4
Besim,9
Besmir,9
Besnik,43
Bilbil,4
Bledar,53
Bledi,4
Blendi,6
Blerim,10
Bruno,8
Bujar,33
Bukurosh,4
Cajup,4
Clirim,9
Cuman,4
Daniel,9
Dashamir,15
Dashnor,6
Daut,12
David,7
Dede,5
Denis,17
Dhimiter,11
Dhimitër,5
Dhori,5
Dilaver,7
Dorian,17
Dorjan,8
Drilon,5
Dritan,61
Durim,11
Edi,5
Edison,12
Edmir,6
Edmond,40
Eduard,28
Eduart,39
Edvin,5
Elez,5
Elidon,10
Elis,12
Elson,5
Elton,40
Elvis,23
Emilian,5
Emiliano,9
Emiljan,5
Emiljano,6
Endri,14
Endrit,12
Enea,15
Engjell,16
Engjëll,6
Enver,15
Erald,15
Ergest,4
Ergys,5
Erion,21
Erjon,31
Ermal,28
Ermir,11
Ernest,5
Ervin,33
Ervis,27
Esat,4
Estref,6
Et'hem,5
Ethem,5
Fabio,4
Fabjan,5
Fadil,9
Fahri,4
Faik,5
Faslli,4
Fatbardh,6
Fation,9
Fatjon,22
Fatmir,44
Fatos,32
Fehmi,6
Ferdinand,15
Ferdinant,6
Ferhat,4
Ferit,5
Festim,7
Filip,7
Fisnik,5
Fitim,4
Flamur,27
Florenc,8
Florian,19
Florjan,4
Foto,5
Fran,7
Frederik,5
Fredi,5
Frrok,4
Fuat,4
Gabriel,4
Gani,11
Gasper,6
Gazmend,17
Gazment,7
Gazmir,16
Genc,16
Genci,18
Gent,5
Genti,9
Gentian,37
Gentjan,17
Gerald,6
Gerti,7
Gezim,42
Gjergj,20
Gjergji,12
Gjin,4
Gjoke,4
Gjokë,4
Gjon,17
Gjovalin,11
Gledis,7
Gramoz,6
Guri,4
Gëzim,12
Hajri,4
Haki,10
Halil,10
Halim,4
Halit,14
Hamdi,4
Hamid,10
Hamit,7
Hamza,4
Hasan,21
Hazir,4
Hektor,4
Hekuran,6
Helidon,4
Henri,5
Hysen,16
Hysni,15
Ibrahim,7
Idriz,7
Igli,7
Ilia,15
Ilir,81
Ilirian,7
Ilirjan,23
Indrit,19
Islam,13
Ismail,27
Ismet,8
Isuf,9
Izet,5
Jani,7
Jetmir,10
Joni,8
Jonuz,10
Jorgji,7
Jorgo,4
Julian,14
Jurgen,5
Kadri,8
Kasem,6
Kaso,4
Kastriot,40
Klajdi,7
Klaudio,5
Klement,6
Klevis,12
Klodian,18
Klodjan,6
Koco,6
Kol,5
Kole,4
Kostandin,9
Kozma,6
Koço,5
Krenar,7
Kreshnik,20
Kristaq,17
Kristjan,9
Kristo,4
Kudret,4
Kujtim,25
Latif,5
Lavdosh,4
Ledio,4
Lefter,17
Lek,4
Leka,4
Leke,7
Leonard,31
Leonidha,8
Llambi,4
Lorenc,19
Lorenz,4
Luan,44
Lulezim,7
Lulzim,25
Lush,5
Lutfi,7
Maksim,11
Mariglen,10
Mario,10
Marjan,6
Marjo,4
Marjus,6
Mark,21
Marko,4
Marsel,8
Martin,13
Mehdi,9
Mehmet,9
Mentor,6
Mersin,7
Mikel,8
Mirdash,4
Miri,4
Mirjan,7
Muhamed,6
Muhamet,9
Muharrem,12
Murat,5
Musa,5
Mustafa,8
Myftar,4
Mynyr,7
Myrteza,5
Myslym,4
Naim,6
Namik,7
Nard,4
Nazmi,13
Ndoc,4
Ndricim,8
Ndue,19
Nebi,4
Neritan,6
Nezir,6
Niko,9
Nikolin,10
Nikoll,9
Nikollaq,7
Nikolle,7
Nimet,6
Novruz,5
Nuredin,7
Nuri,9
Olsi,8
Oltion,5
Oltjon,4
Orgest,5
Osman,12
Pajtim,7
Pal,11
Pandeli,5
Pandi,5
Pano,4
Parid,4
Paulin,6
Pellumb,23
Perparim,21
Petraq,9
Petrit,36
Petro,7
Piro,6
Pirro,4
Pjerin,4
Pjeter,16
Pjetër,8
Pllumb,5
Preng,6
Prokop,4
Pëllumb,12
Përparim,11
Qamil,20
Qani,5
Qazim,7
Qemal,15
Qerim,6
Rahim,4
Ramadan,11
Ramazan,15
Ramiz,9
Renato,14
Rexhep,17
Ridvan,4
Ritvan,5
Riza,11
Robert,18
Roland,25
Romeo,7
Ruzhdi,6
Sabah,5
Sabri,14
Sadik,4
Safet,5
Saimir,30
Sajmir,11
Sali,6
Samet,4
Sami,10
Sander,6
Sefedin,4
Seit,5
Sejdi,4
Selami,5
Selim,7
Selman,10
Servet,4
Shaban,12
Shaqir,7
Shefqet,9
Sherif,6
Shkelqim,22
Shkelzen,17
Shkëlqim,9
Shkëlzen,6
Shpend,7
Shpetim,25
Shpëtim,10
Shyqyri,10
Simon,5
Skender,30
Skënder,12
Sokol,46
Sotir,4
Spartak,13
Spiro,16
Stavri,6
Stefan,10
Sulejman,14
Sulo,5
Tahir,6
Taulant,16
Thanas,6
Theodhori,5
Thoma,12
Tom,9
Tomor,7
Tomorr,7
Tonin,9
Triumf,7
Valentin,6
Valter,5
Vangjel,9
Vasil,25
Vexhi,4
Viktor,18
Vilson,11
Vladimir,25
Vullnet,6
Xhafer,17
Xhelal,9
Xhemail,4
Xhemal,11
Xhevahir,4
Xhevat,4
Xhevdet,6
Ylber,4
Ylli,25
Ymer,4
Zamir,10
Zef,21
Zenel,7
Çlirim,4
