name,frequency
Abazi,11
Abdi,4
Adilaj,4
Agalliu,4
Agasi,6
Ago,6
Agolli,12
Ahmetaj,18
Ahmeti,6
Ajazi,12
Alhysa,5
Alia,7
Aliaj,12
Alibeaj,5
Aliko,4
Alimadhi,6
Aliu,7
Alushi,5
Angjeli,6
Arapi,17
Arbnori,5
Arra,6
Asllani,6
Avdiaj,6
Baci,9
Bajraktari,6
Bajrami,5
Bala,12
Balili,5
Balla,16
Balliu,6
Balluku,5
Banushi,4
Baraj,5
Bardhi,7
Barka,4
Basha,15
Baçi,6
Beci,7
Begaj,5
Bejko,17
Bejtaj,7
Belba,7
Bele,6
Bello,6
Beqiraj,15
Beqiri,11
Beqja,5
Berberi,4
Berisha,22
Berzani,4
Beshiri,5
Biba,4
Bibaj,5
Bici,12
Bilali,4
Bimo,6
Binaj,4
Bitri,8
Blushi,11
Boci,7
Bocka,4
Bode,15
Bogdani,4
Bojaxhiu,4
Bonati,6
Boçi,5
Boçka,4
Brace,5
Brahimi,5
Braho,12
Braka,4
Braçe,5
Bregu,12
Broci,5
Bruci,5
Buci,5
Bufi,7
Bulku,4
Bushaj,13
Bushati,23
Bushi,14
Buzi,4
Bylykbashi,8
Cacani,4
Cahani,4
Caka,8
Cako,5
Cala,4
Calliku,4
Canaj,12
Cani,13
Cara,17
Carcani,4
Caushi,8
Ceka,8
Cekrezi,4
Ceku,4
Cela,44
Celaj,16
Celibashi,5
Celiku,6
Cenaj,4
Cepele,4
Cici,5
Coku,4
Collaku,7
Como,8
Cuci,14
Cukaj,4
Cuko,4
Cullen-Ward,10
Cuni,5
Cupi,5
Daci,9
Dade,4
Dako,7
Dalipi,6
Danaj,5
Dashi,5
Dauti,12
Deda,22
Dedaj,4
Dedja,10
Deliu,4
Dema,8
Demarku,8
Demi,4
Demiraj,8
Derveni,7
Dervishaj,10
Dervishi,34
Dhima,9
Dhimitri,6
Dibra,5
Dizdari,7
Doda,19
Dodaj,4
Dodbiba,4
Dogjani,4
Dokle,10
Domi,10
Doshi,9
Dralo,4
Driza,4
Duka,19
Dule,6
Duraku,5
Dushaj,4
Dushku,4
Duzha,4
Elezaj,5
Elezi,26
Faber,4
Fejzollari,4
Felaj,6
Filo,6
Fino,6
Frrokaj,10
Frroku,10
Fufi,10
Fuga,7
Fullani,6
Furxhi,8
Fusha,6
Galanxhi,5
Gashi,14
Gazioni,5
Gega,10
Gellci,4
Geshtenja,5
Gjata,10
Gjebrea-Hoxha,4
Gjergji,8
Gjermeni,6
Gjetani,5
Gjika,7
Gjiknuri,10
Gjinaj,7
Gjini,20
Gjinushi,5
Gjoka,11
Gjonaj,10
Gjoncaj,4
Gjoni,21
Gjonçaj,4
Gjunkshi,5
Gjuzi,15
Goci,4
Gogu,6
Golemi,6
Greca,4
Guga,6
Gurakuqi,5
Guri,4
Gëllçi,4
Hafizi,5
Hajdaraga,4
Hajdari,7
Hajdarmataj,8
Haklaj,6
Halilaj,17
Halimi,10
Halka,5
Harusha,5
Hasa,15
Hasaj,4
Hasalla,6
Hasanaj,11
Hasani,15
Haxhi,5
Haxhia,4
Haxhialushi,7
Haxhinasto,5
Hida,5
Hila,12
Hobdari,4
Hodaj,7
Hodo,5
Hoti,10
Hoxa,5
Hoxha,105
Hoxhaj,10
Hoxhalli,4
Hysa,12
Hysaj,6
Hyseni,15
Hysi,6
Ibrahimi,14
Idrizi,8
Ikonomi,4
Imeraj,11
Isaku,5
Isaraj,7
Islamaj,5
Islami,8
Isufaj,5
Isufi,7
Jaku,13
Kaci,4
Kadare,6
Kadaré,5
Kadeli,5
Kadi,6
Kaja,6
Kalaj,4
Kalemaj,6
Kalemi,8
Kamami,4
Kamberaj,6
Kamberi,8
Kapllani,5
Kapurani,5
Karabina,5
Karamelo,5
Karapici,4
Kasa,5
Kasmi,4
Kastrati,9
Keci,6
Kercuku,4
Keri,5
Kertusha,6
Keta,7
Klosi,11
Koci,25
Kodra,5
Koka,14
Kokaj,4
Kola,38
Kolaj,6
Koliqi,4
Kollcaku,4
Kollozi,5
Kollçaku,4
Konci,4
Kondi,5
Konomi,5
Konçi,4
Kopliku,7
Korra,4
Kosova,5
Kospiri,4
Kosta,6
Kovaci,5
Koçi,14
Kraja,10
Krasniqi,8
Kruja,4
Kryemadhi,5
Kuci,7
Kuka,7
Kule,7
Kulla,5
Kumbaro,6
Kume,4
Kuqi,6
Kureta,9
Kurti,10
Kushi,4
Këri,4
Lala,15
Lamaj,12
Lame,4
Lami,5
Lani,4
Laska,4
Leka,19
Leli,6
Lesi,4
Leskaj,14
Lici,5
Lika,13
Likaj,7
Lita,4
Llalla,4
Llani,5
Lleshaj,7
Lleshi,21
Luka,8
Luli,6
Lulo,8
Lusha,4
Lushi,6
Luzi,5
Madani,4
Mahmutaj,8
Mahmuti,4
Majko,6
Malaj,17
Maliqi,5
Malltezi,5
Malo,6
Malocaj,4
Maltezi,5
Mamo,5
Manja,11
Mara,5
Marku,30
Marto,6
Mecaj,6
Meco,6
Mediu,6
Mehilli,4
Mehmetaj,8
Mehmeti,9
Mejdani,4
Meksi,6
Melo,5
Mema,12
Memaj,5
Merkaj,8
Meshi,4
Mesi,7
Meta,11
Metaj,7
Metaliaj,4
Metani,5
Metushi,4
Mima,6
Minxhozi,5
Miraka,4
Miri,6
Moisiu,7
Mojsiu,6
Molla,6
Morina,4
Muca,19
Mucaj,11
Mucmataj,8
Muho,6
Muja,4
Muka,6
Murati,10
Murrizi,6
Musabelliu,5
Musaj,4
Mustafaj,5
Muça,7
Muçaj,4
Muçmataj,6
Myrta,4
Myrtaj,4
Mziu,6
Naco,6
Nallbati,4
Nano,8
Nasufi,7
Nazarko,4
Naço,5
Ndoci,5
Ndoj,6
Ndoja,5
Ndoka,17
Ndou,4
Ndraxhi,5
Ndreca,9
Ndreu,12
Nika,10
Nikolla,9
Nikolli,9
Nishani,4
Noka,7
Nurce,4
Nuredini,4
Oketa,4
Osmani,10
Paloka,4
Pampuri,4
Panariti,6
Papa,12
Pashaj,5
Pashja,4
Pashko,5
Patozi,7
Peleshi,7
Pellumbi,5
Pendavinji,5
Pepa,9
Peqini,4
Permeti,4
Peza,8
Pjetri,12
Plaka,6
Plaku,7
Poda,5
Podgorica,4
Poti,4
Prendi,7
Prenga,17
Prifti,15
Prodani,6
Përmeti,4
Qafa,6
Qazimi,5
Qefalia,5
Qesja,4
Qibini,4
Qirici,4
Qirko,4
Rakipi,11
Rama,22
Ramaj,7
Rapaj,4
Reci,6
Rehovica,5
Reka,4
Resulaj,4
Resuli,4
Rista,4
Ristani,4
Rjepaj,5
Roshi,8
Rraja,12
Rrapaj,4
Rrumbullaku,4
Rryci,7
Rryçi,6
Ruci,12
Ruli,6
Rushiti,4
Rusmali,4
Rustemi,5
Ruçi,8
Sako,5
Sala,4
Saleh,7
Salianji,4
Saliu,4
Sallaku,18
Saraci,4
Sefa,7
Seferi,8
Sejdini,9
Sejko,4
Selami,9
Selimaj,4
Selimi,8
Shahini,6
Shalsi,4
Shametaj,11
Shameti,4
Shaqiri,4
Shehaj,16
Shehi,12
Shehu,56
Shera,4
Sherri,4
Shkreli,6
Shkurti,13
Shota,5
Shtjefni,8
Shuli,4
