name,frequency
Aguila,4
Ahlam,8
Aicha,30
Aisha,4
Aissia,32
Akila,8
Amal,26
Amel,36
Amina,28
Amina-Aicha,8
Amira,4
Amèle,4
Aniza,16
Aqila,4
Asma,12
Asmaa,6
Aycha,4
Aziza,24
Aïcha,28
Bahia,8
Basma,4
Baya,16
Beldia,4
Bensouda,4
Bouthaina,4
Chadia,6
Chafika,16
Chafiqa,6
Chahinez,4
Chahrazad,4
Chahrazed,4
Dahbia,4
Dalila,32
Djamila,30
Djaouida,10
Djazira,6
Djemaia,6
Djemila,4
Djohra,4
El-Houria,4
El-Zohra,4
Fadhila,6
Fadia,20
Fadila,8
Faeza,4
Faiza,8
Faouzia,14
Faouziya,4
Farida,98
Fateeha,6
Fateha,6
Fatiha,98
Fatima,78
Fatima-Zahra,12
Fatima-Zohra,52
Fatma,54
Fayza,4
Fazia,4
Fella,16
Fetiha,8
Fetta,8
Fouzia,10
Ftiha,4
Ghania,22
Ghazlene,4
Ghizlane,4
Haciba,24
Hadjar,4
Hadjer,16
Hadjira,6
Hafida,18
Hafidha,4
Hafsa,6
Haizia,10
Hajer,4
Halima,28
Hanifa,8
Hassiba,12
Hassina,8
Hayam,4
Hayat,18
Hayatte,4
Hayet,6
Hayette,6
Hedia,6
Houda,16
Houria,62
Houriya,4
Houyam,6
Hoyam,4
Huria,4
Ilham,6
Iman,6
Imane,12
Imen,20
Imene,12
Imène,4
Ismahane,4
Jalila,8
Jamila,10
Kahina,4
Kaoutar,8
Karima,26
Kehina,4
Kenza,16
Khadidja,28
Khadija,30
Khaira,4
Khalida,10
Khaoula,6
Khedidja,48
Khedija,14
Kheira,38
Khira,8
Labiba,10
Laila,16
Lakhdar,6
Lakreche,6
Lamia,24
Lamya,6
Latifa,10
Layla,12
Leila,82
Leyla,6
Leïla,6
Lila,16
Lilia,4
Malika,42
Mansouria,6
Mariam,12
Maryem,6
Massiva,8
Maya,16
Meriam,6
Meriem,28
Meryam,6
Meryem,10
Messaouda,6
Mokhtaria,4
Mouna,6
Mounia,14
Nabila,52
Nacera,26
Nachinach,4
Nachinachi,6
Nacima,10
Nacira,22
Nacéra,18
Nadia,60
Nadira,6
Nadjeh,4
Nadjet,4
Nadjia,4
Nadjima,4
Nadya,6
Naima,30
Najat,4
Nakhla,4
Naoua,6
Naoual,10
Nasera,10
Nasima,12
Nasira,14
Nassera,10
Nassima,24
Nassira,32
Nasséra,6
Naséra,4
Nawal,4
Nawel,34
Naïma,10
Nedjma,4
Nekhla,4
Nessima,4
Noura,20
Nouria,20
Nourriya,4
Ouahiba,12
Ouanassa,4
Ouardia,4
Ouassila,6
Ourida,12
Radia,10
Rafika,20
Rahima,16
Ratiba,28
Saadia,14
Sabah,4
Sabiha,4
Sabria,10
Sadia,4
Saida,32
Sakina,10
Saliha,28
Salima,86
Salma,12
Samia,16
Samira,40
Samya,8
Selima,12
Selma,16
Seloua,4
Slima,10
Somaia,4
Somaya,4
Soraya,12
Souad,44
Soumaya,8
Soumeya,14
Soumia,76
Soumya,6
Sumaia,4
Sumaya,4
Tahar,10
Taous,22
Wafa,4
Wafaa,4
Wahiba,14
Wasila,4
Wassila,18
Yamina,26
Yasmin,4
Yasmina,14
Yasmine,12
Yassia,4
Yassina,8
Zahia,36
Zahiya,6
Zahra,10
Zahya,10
Zakia,4
Zaphira,8
Zarfa,10
Zehaira,6
Zehira,4
Zehra,4
Zineb,6
Zohor,34
Zohra,70
Zolekha,4
Zolikha,4
Zoubida,8
Zoulikha,4
