name,frequency
'Abd-Al-Malik,6
Aamar,6
Abbas,20
Abbes,32
Abbès,8
Abd-Al-Ali,6
Abd-Al-Aziz,10
Abd-Al-Hameed,12
Abd-Al-Hamid,16
Abd-Al-Kader,18
Abd-Al-Kareem,8
Abd-Al-Karim,8
Abd-Al-Krim,8
Abd-Al-Majid,8
Abd-Al-Qader,6
Abd-Al-Rahman,20
Abd-Al-Wahab,8
Abd-Alrahman,10
Abd-El-Aziz,38
Abd-El-Hafiz,8
Abd-El-Hameed,14
Abd-El-Hamid,48
Abd-El-Kader,48
Abd-El-Kareem,8
Abd-El-Karim,8
Abd-El-Madjid,16
Abd-El-Majid,16
Abd-El-Malak,8
Abd-El-Malek,24
Abd-El-Malik,10
Abd-El-Nacer,12
Abd-El-Naceur,10
Abd-El-Nour,8
Abd-El-Ouahab,16
Abd-El-Qader,50
Abd-El-Rahim,8
Abd-El-Rahman,8
Abd-El-Wahab,12
Abd-Ennour,8
Abdalah,14
Abdalaziz,12
Abdalla,18
Abdallah,154
Abdarahman,12
Abdarahmane,6
Abdarrahman,24
Abdarrahmane,12
Abdel-Ali,8
Abdel-Aziz,110
Abdel-Baki,8
Abdel-Ghani,34
Abdel-Hafedh,6
Abdel-Hafid,14
Abdel-Hafidh,14
Abdel-Hafiz,12
Abdel-Hak,20
Abdel-Hakim,24
Abdel-Hamed,12
Abdel-Hameed,8
Abdel-Hamid,132
Abdel-Haq,8
Abdel-Kader,230
Abdel-kader,10
Abdel-Kadir,6
Abdel-Kareem,10
Abdel-Karim,92
Abdel-Kerim,8
Abdel-Khalek,6
Abdel-Krim,66
Abdel-Latif,8
Abdel-Madjid,46
Abdel-Majid,56
Abdel-Malak,6
Abdel-Malek,42
Abdel-Malik,10
Abdel-Nour,20
Abdel-Ouahab,34
Abdel-Qader,158
Abdel-Qadir,6
Abdel-Rachid,8
Abdel-Rahim,8
Abdel-Rahman,72
Abdel-Rahmane,44
Abdel-Razak,8
Abdel-Rezak,12
Abdel-Wahab,28
Abdel-Yamine,8
Abdelah,12
Abdelali,14
Abdelatif,32
Abdelaziz,344
Abdelbaki,18
Abdelbasset,6
Abdelfatah,6
Abdelfetah,6
Abdelghani,102
Abdelhadi,10
Abdelhafid,110
Abdelhafidh,8
Abdelhak,76
Abdelhakim,64
Abdelhalim,32
Abdelhamid,332
Abdelhammid,6
Abdelhaq,10
Abdelkader,770
Abdelkareem,6
Abdelkarim,94
Abdelkerim,16
Abdelkhalek,14
Abdelkrim,236
Abdella,16
Abdellah,108
Abdellah-Nabil,6
Abdellali,72
Abdellaoui,12
Abdellatif,24
Abdelmadjid,134
Abdelmajid,58
Abdelmalak,6
Abdelmalek,116
Abdelmalik,18
Abdelmoumen,6
Abdelmoumene,8
Abdelmoumène,6
Abdelnacer,8
Abdelnasser,8
Abdelnour,10
Abdelouahab,98
Abdelouaheb,14
Abdelouahhab,6
Abdelouahid,6
Abdelqader,90
Abdelrahman,30
Abdelrahmane,22
Abdelwahab,50
Abdelwaheb,8
Abdelyamine,14
Abdenacer,12
Abdennacer,8
Abdennour,38
Abdenour,50
Abderahim,6
Abderahman,32
Abderahmane,56
Abderazak,12
Abderezak,12
Abderrachid,20
Abderrahim,18
Abderrahman,76
Abderrahmane,272
Abderrazak,38
Abderrazek,8
Abderrazzak,10
Abderrezak,46
Abdesamad,8
Abdeslam,36
Abdeslem,10
Abdessalam,10
Abdessamad,12
Abdessamie,10
Abdesselam,16
Abdesslam,14
Abdul-Aziz,42
Abdul-Karim,14
Abdul-Majid,8
Abdul-Qader,10
Abdul-Qadir,10
Abdul-Rahman,30
Abdul-Rahmane,6
Abdul-Wahab,6
Abdulah,6
Abdulaziz,36
Abdulhamid,8
Abdulkader,8
Abdulkareem,18
Abdulkarim,32
Abdulkreem,20
Abdulkrim,24
Abdulla,12
Abdullah,28
Abdulmadjid,6
Abdulmalek,6
Abdulqader,14
Abdulqadir,10
Abdulrahman,14
Abdur-Rahman,8
Abdurahman,14
Abdurrahman,14
Abed,16
Abes,6
Abou,34
Abou-Bakr,32
Abu-'Ubaydah,8
Abu-Bakr,6
Abu-Ubaydah,8
Achour,50
Achraf,20
Adam,6
Adda,62
Addelkarim,6
Adel,36
Adil,8
Adlene,8
Ahcen,6
Ahcene,48
Ahcène,40
Ahmad,180
Ahmed,1074
Ahmed-Ali,6
Ahmed-Taleb,8
Ahsan,10
Ahsen,10
Aïd,6
Aïmene,40
Aisa,8
Aissa,90
Aïssa,42
Ait-Ali,12
Akli,6
Al-Arabi,10
Al-Sid,12
Ali,628
Ali-Fawzi,10
Allal,6
Aly,18
Amar,200
Amara,18
Amer,8
Ameur,12
Amhamed,16
Amhammed,16
Amin,38
Amine,128
Ammar,190
Amran,8
Amrane,26
Anis,12
Anouar,62
Aomar,14
Arab,10
Arezki,8
Athmane,12
Atmane,10
Ayache,10
Ayat,18
Ayoub,16
Azeddine,42
Azedine,26
Aziz,26
Azz-Eddine,10
Azzeddine,44
Azzedin,6
Azzedine,106
Azzouz,6
Bachir,140
Badr-Eddine,10
Badreddine,24
Baizid,8
Bashir,10
Batouche,8
Bechir,16
Belaid,16
Belaïd,18
Bélaïd,28
Belgacem,58
Belgassem,26
Belhadj,10
Belkacem,196
Belkasem,8
Belkassem,32
Belkheir,24
Belkhir,8
Belqacem,20
Belqassem,20
Ben-Abdellah,12
Ben-Ali,14
Ben-Omar,10
Ben-Salem,8
Benabdallah,8
Benaissa,20
Benali,32
Benamar,30
Benaouda,8
Benayad,28
Beneddine,12
Benhalima,10
Benomar,10
Benyamina,12
Benyoucef,14
Bin-Ahmed,14
Birouk,24
Bouabdellah,14
Boualam,32
Boualem,150
Bouallam,24
Bouallem,24
Boubaker,10
Boubakeur,10
