name,frequency
Abada,14
Abadlia,8
Abaziz,12
Abbad,12
Abbada,10
Abbas,24
Abbes,18
Abbès,10
Abbou,10
Abdallah,14
Abdaoui,22
Abdelaziz,16
Abdelhafid,18
Abdelhak,12
Abdelhamid,16
Abdelkader,62
Abdellah,24
Abdellaoui,16
Abdelli,10
Abdelmoumene,26
Abdelmoumène,28
Abdelsadok,26
Abderrahmane,16
Abdeslam,12
Abdi,10
Abdoune,20
Abeiri,18
Abi-Nowar,12
Abid,12
Abinouar,12
Abou-Amir,10
Aboud,22
Abouda,26
Aby-Nouwar,12
Aby-Nowar,10
Aby-Nuwar,12
Achache,10
Achour,24
Adami,12
Adda,18
Addou,12
Adjabi,10
Adjailia,12
Adjissa,10
Aggoun,20
Aghamir,16
Ahcene,26
Ahmed,26
Ahmouda,24
Ahriz,24
Ahsan,12
Aissani,10
Aissaoui,12
Aït-Abderrahmane,14
Aït-Ahmed,10
Aït-Hamouda,20
Aït-Menguellet,22
Akli,16
Aktouche,24
Al-Brahimi,22
Alaïmia,10
Ali,28
Ali-Belhadj,10
Allag,10
Allahoum,16
Allaoua,10
Alouane,14
Amar,24
Amara,14
Amari,10
Ambès,20
Ameur,10
Amieur,10
Amir,10
Amira,28
Ammar-Boudjelal,12
Ammari,22
Amrane,12
Amrani,24
Amrouche,10
Annane,24
Aouali,16
Aouam,26
Aouissi,24
Arabi,14
Arar,36
Arbaoui,20
Arbi-Bey,10
Arezgui,10
Arezki,70
Arezqi,10
Arfoutni,20
Aribi,16
Arwa,16
Athamnia,10
Athmani,14
Atmania,18
Attia,30
Ayachi,10
Ayadi,26
Aziez,20
Aziria,10
Azzi,18
Baadji,14
Baali,16
Baaziz,10
Babeker,14
Bachir,18
Bachir-Bouaidjra,14
Bachiri,10
Badaoui,22
Badawi,12
Badi,10
Bafdal,18
Baghdad-Daidj,16
Baghdadli,12
Baghli,18
Baghous,12
Bahbouh,20
Bahloul,24
Bakhouche,22
Balhemer,16
Balhemir,16
Balhimer,18
Balhimir,18
Ballalou,10
Baloul,12
Barkat,18
Barket,14
Barki,12
Bashlawi,34
Bashlawy,34
Bechlaoui,34
Bedda,26
Bedjaoui,28
Bejaoui,10
Bekhouche,10
Bekkouche,40
Belabbas,18
Belabed,12
Belachi,10
Belahcene,10
Belaid,52
Belaïd,34
Bélaïd,40
Belarbi,26
Belayat,18
Belgacem,16
Belghaouti,16
Belgot,10
Belhadj,32
Belhaj,10
Belhezadji,26
Belhimer,48
Belkacem,50
Belkaid,18
Belkassem,10
Belkessir,10
Belkhodja,28
Bellatreche,14
Belmeddah,12
Belmihoub,36
Belmiloud,10
Belmokhtar,10
Belouafi,24
Belouassaa,42
Beltas,12
Ben-Abderrahmane,16
Ben-Ahmad,16
Ben-Ahmed,32
Ben-Aissa,12
Ben-Ali,16
Ben-Amara,12
Ben-Araar,22
Ben-Belkacem,14
Ben-Bella,10
Ben-Boulaïd,16
Ben-Bouzid,10
Ben-Cheikh,12
Ben-Moulai,14
Ben-Yamina,26
Benabderrahmane,34
Benabid,32
Benabida,10
Benahmed,36
Benaïcha,14
Benaissa,18
Benalakma,10
Benali,18
Benali-Cherif,10
Benallegue,12
Benamar,20
Benamara,14
Benamirouche,12
Benammar,14
Benamor,12
Benaouda,74
Benayad,14
