name,frequency
Abd-Al-Ali,11
Abd-Al-Baset,13
Abd-Al-Basit,20
Abd-Al-Bassit,11
Abd-Al-Fatah,12
Abd-Al-Hamid,20
Abd-Al-Majid,17
Abd-Al-Qadir,13
Abd-Al-Rahman,28
Abd-Al-Salam,45
Abdalla,30
Abdallah,65
Abdel-Baset,23
Abdel-Fattah,13
Abdel-Hamid,35
Abdel-Hamid-Al-Mahdi,11
Abdel-Latif,14
Abdel-Latif-Awad,16
Abdel-Meneim,16
Abdel-Qader,15
Abdel-Rahman,27
Abdel-Salam,31
Abdelaziz,12
Abdelhamid,15
Abdellah,17
Abdelrahman,14
Abdelsalam,16
Abdessalam,11
Abdul-Basit,14
Abdul-Fatah,33
Abdul-Hameed,20
Abdul-Hamid,31
Abdul-Jalil,13
Abdul-Majeed,12
Abdul-Monem,20
Abdul-Nabi,19
Abdul-Qader,11
Abdul-Qadir,17
Abdul-Rahman,39
Abdul-Salam,78
Abdulali-Misbah,36
Abdulbasit,15
Abdulfatah,22
Abdulhameed,17
Abdulhamid,39
Abduljaleel,16
Abduljalil,18
Abdulla,28
Abdullah,198
Abdullah-Al-Lahi,45
Abdullah-Ibrahim,48
Abdullah-Mansour,15
Abdullah-Mohammed,20
Abdullatif-Awad,12
Abdulminim,13
Abdulqader,13
Abdulrahman,62
Abdulrhman-Ali,20
Abdulsalam,49
Abdulshafie,35
Abdulwahab,13
Abdurrahman,11
Abdussalam,24
Abu,11
Abu-Al-Qasim,17
Abu-Bakar,14
Abu-Bakr,51
Abubaker,21
Adam,11
Adel,67
Adil,50
Adnan,15
Ahmad,298
Ahmad-Mohammad,43
Ahmed,444
Akram,16
Al-Abed-Al-Rida,12
Al-Abid-Al-Rida,37
Al-Andalusi,25
Al-Andalussi,17
Al-Arabee,16
Al-Arabi,33
Al-Araby,16
Al-Bashir,11
Al-Hadi,65
Al-Hashemi,15
Al-Hussein,16
Al-Islam,28
Al-Lafi,14
Al-Mabrouk,49
Al-Mabruk,26
Al-Mahdi,110
Al-Mahdy,15
Al-Muntasir,38
Al-Muntassir,13
Al-Saadi,30
Al-Sadik,21
Al-Sadiq,78
Al-Saidi,11
Al-Saidy,11
Al-Sanusi,13
Al-Saweei-Al-Saih,17
Al-Sawiei-Al-Saih,16
Al-Sebti,47
Al-Taher,18
Al-Tahir,23
Al-Tahir-Ali,11
Al-Ujaili,12
Alauddin,11
Alee,30
Alhadi,12
Ali,786
Ali-Abdullah,41
Ali-Mohamed,19
Ali-Mohammed,34
Ali-Muhammed,17
Almahdi,17
Aly,45
Amer,15
Ammar,35
Ammar-Ali,12
Anwar,36
Ashour,15
Attieh-Abdul-Hamid,34
Atya-Abdulhafid,35
Awad,47
Awadh,16
Badar-Al-Deen,21
Badar-Al-Din,38
Basheer,53
Bashir,128
Ben-Isa,16
Bin-Abdul-Rahman-Ali,28
Bin-Isa,19
Ebraheem,32
Ebrahim,42
Emad,53
Esa,15
Essa,11
Ezzedine,14
Fadhlullah,34
Fadl-Allah,12
Faez,21
Faiz,13
Fakher,27
Fakhir,24
Faraj,69
Farj,27
Fathallah,14
Fathi,95
Fathy,20
Fawzi,31
Fayez,13
Firhat,37
Habib,19
Hadi,14
Hadya-Abdullah,15
Hadyah-Abdullah,12
Hadyya-Abdullah,12
Hafed,27
Hafedh,11
Hafiz,14
Haitham,31
Hamad,69
Hamed,19
Hamed-Ragab,44
Hamid,17
Hamza,12
Hannibal,37
Hasan,133
Hasan-Isa,26
Hassan,77
Hassan-Isa,20
Heitham,24
Hilmi,16
Hisham,18
Hosam,12
Hossam,12
Husain,17
Husam,16
Husayn,16
Husin,19
Hussain,30
Hussain-Abdullah,18
Hussam,12
Hussein,97
Hussein-Abdullah,21
Hussein-Mohammad,40
Ibraheem,53
Ibrahem,12
Ibrahim,307
Ibrahim-Ali,12
Idrees,16
Idris,16
Ijdid,20
Imad,25
Isa,81
Ismael,14
Ismail,28
Issa,28
Jadallah,16
Jalal,27
Jamal,41
Jibril,11
Joma,12
Jomaa,12
Jomaah,12
Jomah,11
Juma,28
Jumaa,20
Jumaah,13
Jumah,39
Kamal,21
Kamel,11
Khaled,151
Khaleefa,26
Khaleefah,24
Khalid,160
Khalifa,127
Khalifa-Hussein-Tahir,14
Khalifa-Hussien-Taher,16
Khalifah,65
Khalil,56
Khamis,33
Mabrouk,17
Mabruk,19
Mahdi,23
Mahmood,11
Mahmoud,200
Mahmud,57
Makhi,12
Mansour,20
Masoud,34
Massoud,13
Miftah,100
Milad,27
Misbah,51
Mohamad,121
Mohamad-Khalifa,12
Mohamed,571
Mohamed-Ali,14
Mohamed-Mustafi,18
Mohammad,354
Mohammad-Abdulnabi,11
Mohammad-Khalifa,12
Mohammad-Mostafa,18
Mohammad-Muftah,14
Mohammed,690
Mohammed-Ali,13
Mohammed-Khalifa,15
Mohammed-Mohammed,17
Mohammed-Muftah,12
Mohammed-Younis-Yahya,12
Mohi,11
Mokhtar,17
Morad,24
Mostafa,28
Moussa,24
Muammar,46
Muammer,13
Mubarak,12
Muftah,66
Muhamad,72
Muhamad-Al-Khatib,16
Muhamad-Muhammad,11
Muhamed,35
Muhammad,411
Muhammad-Abd-Al-Jalil,32
Muhammad-Al-Khatib,17
Muhammad-Ali,16
Muhammad-Muhammad,87
Muhammed,121
Mukhtar,26
Muntasir,33
Muntassir,13
Murad,27
Musa,50
Musa-Sulayman,32
Musbah,13
Mussa,12
Mustafa,199
Mustapha,15
Mutassim,16
Najee,13
Naji,30
Najy,12
Naser,21
Nasr,20
Nasser,24
Nouri,21
Nur-Al-Din,13
Nuri,37
Omar,235
Omer,30
Omran,58
Osama,40
Osman,36
Othman,34
Rajab,22
Ramadan,59
Ramadhan,13
Sa'ad,18
Sa'id,17
Saad,70
Saadi,24
Sadiq,34
Saeed,70
Safouan,20
Safwan,25
Sagar,19
Said,78
Said-Miftah,52
Saif,45
Saif-Al-Arab,23
Sakr,13
Salah,67
Salama,25
Salamah,22
Saleh,111
Salem,148
Salih,32
Salih-Mohammad,46
Salim,141
Saqr,23
Seraj,11
Shaaban,30
Shaban,24
Solah,11
Sulaiman,103
Sulayman,19
Suleiman,40
Suleyman,18
Taher,28
Tahir,14
Talal,11
Tarek,18
Tareq,14
Tarik,13
Tariq,24
Tawfiq,12
Umar,117
Umer,12
Umran,12
Usama,23
Uthman,58
Waleed,26
Walid,44
Wanis,14
Yekhlaf,12
Yikhlaf,12
Yonis,11
Yoones,12
Yoonis,12
Younes,14
Younis,23
Yousef,48
Youssef,13
Yunes,12
Yunis,34
Yunis-Bashir-Buhuwaysh,27
Yusif,22
Yussef,12
Yussif,17
Yusuf,37
Zuhair,11
