name,frequency
Abbar,6
Abd-Al-Hafiz,8
Abd-Al-Karim,12
Abd-Al-Rahman,8
Abdallah,8
Abdalnabee,13
Abdalnabi,25
Abdalnaby,13
Abdel-Kader,11
Abdel-Karim,6
Abdul-Hamid,6
Abdul-Kareem,6
Abdul-Karim,8
Abdul-Qader,6
Abdul-Qadir,6
Abdul-Rahman,9
Abdul-Salam,7
Abdulkarim,9
Abdullah,19
Abdulqader,6
Abdulrahman,12
Abedi,7
Abo-Al-Hul,8
Abo-Daya,24
Abo-Khuzam,7
Abo-Sheala,16
Abobakar,13
Abou-Al-Hul,8
Abou-Bakar,22
Abou-Khuzam,7
Aboubakar,14
Abu-Al-Hol,8
Abu-Al-Hool,8
Abu-Al-Houl,8
Abu-Al-Hul,9
Abu-Al-Qasim,10
Abu-Bakar,23
Abu-Khozam,6
Abu-Khuzam,7
Abu-Rizira,6
Abuazum,12
Abubakar,28
Abufarna,8
Adam,18
Ahmed,11
Ajbudah,7
Al-A'war,6
Al-Abar,30
Al-Abbar,56
Al-Ahad,8
Al-Ajhar,7
Al-Alouani,6
Al-Ameen,25
Al-Amin,45
Al-Amrouni,8
Al-Arabi,15
Al-Araby,6
Al-Arusi,7
Al-Ashhab,8
Al-Atrash,6
Al-Awami,9
Al-Ayib,6
Al-Azabi,7
Al-Badri,25
Al-Baghdadi,16
Al-Bar'asi,6
Al-Barasi,40
Al-Barassi,6
Al-Barghathi,10
Al-Barghati,6
Al-Benany,27
Al-Binanee,6
Al-Binani,6
Al-Binany,6
Al-Buaeshi,8
Al-Burayni,6
Al-Dabaiba,13
Al-Dabayba,27
Al-Darat,8
Al-Darsee,14
Al-Darsi,40
Al-Darsy,15
Al-Darwish,6
Al-Dayiri,6
Al-Derrat,6
Al-Dhawadi,9
Al-Dirat,6
Al-Dirrat,14
Al-Dirsi,6
Al-Dubaiba,13
Al-Dursi,7
Al-Essawi,6
Al-Fakhari,7
Al-Fakhri,7
Al-Faqi,11
Al-Faqih,15
Al-Farjani,10
Al-Fituri,12
Al-Gaddafi,50
Al-Gathafi,9
Al-Ghaithi,30
Al-Ghaneemi,8
Al-Ghaneemy,8
Al-Ghanimee,7
Al-Ghanimi,17
Al-Ghanimy,9
Al-Gharari,10
Al-Ghariani,9
Al-Ghariany,6
Al-Gharyani,11
Al-Ghawil,8
Al-Ghiryani,43
Al-Ghwaeel,22
Al-Ghwail,23
Al-Gziwi,8
Al-Hadad,12
Al-Haddad,7
Al-Hafi,6
Al-Hami,6
Al-Hanish,6
Al-Harari,13
Al-Harati,12
Al-Hasee,13
Al-Hasi,21
Al-Hasnawi,9
Al-Hassadi,9
Al-Hassee,13
Al-Hassi,36
Al-Hassy,33
Al-Hasy,13
Al-Hawej,7
Al-Hudairi,12
Al-Hweej,9
Al-Hwij,8
Al-Isawee,9
Al-Isawi,6
Al-Jamal,10
Al-Jazi,9
Al-Jehani,7
Al-Jihani,8
Al-Juwayfi,31
Al-Kabir,14
Al-Kahili,6
Al-Kani,13
Al-Kawafi,7
Al-Keeb,9
Al-Keelanee,7
Al-Keelani,7
Al-Keelany,7
Al-Khalifi,7
Al-Khanjari,6
Al-Khoja,8
Al-Khuja,20
Al-Kib,9
Al-Kilanee,8
Al-Kilani,20
Al-Kilany,8
Al-Koni,6
Al-Kuni,6
Al-Lafee,23
Al-Lafi,76
Al-Lafy,23
Al-Lateef,18
Al-Latif,36
Al-Libi,16
Al-Maadani,7
Al-Mabrouk,19
Al-Madni,7
Al-Magareef,9
Al-Magaref,8
Al-Magareyf,8
Al-Magarif,16
Al-Maghirbi,13
Al-Maghribi,9
Al-Mahjob,8
Al-Mahjoob,8
Al-Mahjoub,9
Al-Mahjub,18
Al-Mahmoudi,10
Al-Majbaree,14
Al-Majbari,17
Al-Majbary,23
Al-Majrabi,6
Al-Manaa,10
Al-Manfee,11
Al-Manfi,30
Al-Manfy,11
Al-Mansouri,6
Al-Mansuri,7
Al-Mareemee,6
Al-Mareemi,6
Al-Mareemy,6
Al-Marghani,9
Al-Marimee,6
Al-Marimi,28
Al-Marimy,7
Al-Masli,11
Al-Mawla,6
Al-Mayhub,14
Al-Mazughi,10
Al-Megrahi,14
Al-Mehdawi,6
Al-Miri,22
Al-Mismari,10
Al-Morabet,18
Al-Morabit,11
Al-Muntasir,6
Al-Murabet,11
Al-Murabit,12
Al-Musrati,6
Al-Naimy,7
Al-Namrush,6
Al-Nasar,7
Al-Nasser,9
Al-Nu'as,6
Al-Nuwairi,7
Al-Obaidi,12
Al-Obaydee,28
Al-Obeidi,31
Al-Oraibi,11
Al-Orfi,14
Al-Qaddafi,10
Al-Qadhafi,27
Al-Qadhahafi,9
Al-Qadi,9
Al-Qaidi,8
Al-Qaoud,6
Al-Qashat,6
Al-Qatrani,36
Al-Qeeb,7
Al-Qib,23
Al-Raeed,9
Al-Raeedh,8
Al-Raghie,7
Al-Raid,11
Al-Raidh,8
Al-Saadi,10
Al-Safi,6
Al-Saghir,15
Al-Sahuli,6
Al-Saieh,10
Al-Saih,13
Al-Salabee,14
Al-Salabei,15
Al-Salabey,14
Al-Salabi,33
Al-Salabiee,15
Al-Salabiy,15
Al-Sanoussi,12
Al-Sanusi,6
