name,frequency
Aeda,8
Aedah,7
Aida,13
Aidah,8
Amira,19
Amirah,9
Armanazi,32
Armanazy,18
Arouba,8
Aroubah,8
Aruba,10
Arubah,8
Ashwak,17
Ashwaq,18
Asma,7
Ayda,8
Aydah,8
Azizah,7
Basma,9
Boshra,32
Bushra,43
Dala,6
Dalal,7
Dalia,8
Dania,7
Deema,10
Deemah,8
Dima,18
Dimah,16
Einas,20
Fadia,7
Faieza,12
Faiezah,6
Faiha,9
Faihaa,6
Faiza,6
Faizah,6
Falak,8
Farah,12
Faten,35
Fatin,30
Fauzi,8
Fawzee,8
Fawzi,11
Fawzy,8
Fayeza,6
Fayezah,6
Fayha,6
Fayhaa,6
Fayza,6
Fayzah,6
Feiha,6
Feihaa,6
Feyha,6
Feyhaa,6
Ghada,13
Ghaida,10
Haifa,26
Haifaa,20
Hala,26
Hanaa,12
Hanan,19
Hasan,52
Hashem,16
Hashim,16
Hazar,6
Heifa,11
Hoda,10
Huda,22
Iman,7
Inas,45
Jomana,12
Jomanah,8
Jumana,23
Jumanah,24
Kinda,14
Laila,7
Lama,31
Lamia,20
Lamya,8
Lara,8
Lina,15
Lubana,9
Lubanah,7
Maha,20
Mai,7
Maisa,6
Maisaa,6
Maissa,6
Maissaa,6
Masharee,6
Mashari,6
Mashary,6
Maya,6
Mayada,10
Mayadah,6
Maysa,6
Maysaa,7
Meekhail,7
Meyada,6
Meyadah,6
Mira,6
Mona,10
Nada,17
Nadia,13
Naissa,7
Najah,12
Najat,11
Nayef,17
Niaama,18
Nima,34
Noor,6
Nour,11
Nuralhuda,6
Rafah,8
Raghdaa,6
Rana,7
Randa,15
Rasha,8
Raya,10
Reba,7
Rima,18
Saliha,8
Salma,17
Saloua,6
Samira,11
Sana,24
Sanaa,39
Saria,9
Sariah,8
Sarya,13
Saryah,8
Saryya,8
Shahada,11
Shaza,16
Tala,9
Tamadhin,7
Tumadir,7
Wafaa,11
Yara,18
