name,frequency
Ab-Bakr,16
Abas,94
Abbas,144
Abdalla,13
Abdallah,21
Abdulkarim,17
Abdulla,14
Abdullah,34
Abou-Bakr,16
Aboud,13
Abu-Bakr,16
Agha,29
Ahmad,45
Ahmed,21
Al-Abbas,11
Al-Abdalla,17
Al-Abdallah,47
Al-Abdella,13
Al-Abdellah,14
Al-Abdulla,16
Al-Abdullah,65
Al-Abdulwahab,21
Al-Aboud,12
Al-Abrash,61
Al-Adhba,12
Al-Ahmad,71
Al-Ahmar,14
Al-Ahmed,44
Al-Ajlani,12
Al-Akad,17
Al-Akhras,16
Al-Alee,44
Al-Ali,126
Al-Aliwee,38
Al-Alou,17
Al-Alu,16
Al-Aly,44
Al-Aqad,17
Al-Aqqad,35
Al-Asaad,13
Al-Asad,64
Al-Assad,154
Al-Atrash,25
Al-Awad,25
Al-Ayoubi,56
Al-Azab,39
Al-Bakar,52
Al-Bakir,13
Al-Barsha,20
Al-Barshah,16
Al-Bustani,14
Al-Cha'ar,16
Al-Chaar,20
Al-Daiah,14
Al-Daier,11
Al-Dair,11
Al-Dandal,28
Al-Darweesh,20
Al-Darwish,30
Al-Dayer,11
Al-Dayr,11
Al-Dhaher,22
Al-Dhahir,26
Al-Dhyab,32
Al-Diab,12
Al-Dibs,17
Al-Esmaeel,13
Al-Esmail,11
Al-Falaj,17
Al-Freij,35
Al-Furayj,30
Al-Haj,15
Al-Haj-Alee,16
Al-Haj-Ali,20
Al-Haj-Aly,17
Al-Hajou,14
Al-Haju,14
Al-Halabi,13
Al-Hallak,18
Al-Hamad,20
Al-Hamada,35
Al-Hamadah,21
Al-Hamadee,15
Al-Hamadi,22
Al-Hamady,15
Al-Hamra,55
Al-Hariri,63
Al-Hasan,63
Al-Hassan,54
Al-Hassani,11
Al-Hazuri,11
Al-Homsi,20
Al-Husayn,18
Al-Hussain,54
Al-Hussein,40
Al-Ibrahim,14
Al-Isa,11
Al-Ismaeel,11
Al-Ismail,28
Al-Issa,12
Al-Jaafari,35
Al-Jadaan,30
Al-Jadhaan,22
Al-Jafari,11
Al-Jamal,15
Al-Jasem,11
Al-Jundee,13
Al-Jundi,13
Al-Kaade,20
Al-Katan,16
Al-Katerji,13
Al-Kattan,16
Al-Khalaf,23
Al-Khalil,21
Al-Khateeb,49
Al-Khatib,65
Al-Khattab,12
Al-Kizbari,19
Al-Lahham,11
Al-Madliji,19
Al-Mahayni,16
Al-Mashee,15
Al-Mashi,37
Al-Mashy,14
Al-Masree,41
Al-Masri,82
Al-Masry,30
Al-Melhem,11
Al-Melhim,11
Al-Milhem,50
Al-Milhim,18
Al-Moallem,15
Al-Mohammad,12
Al-Moslet,24
Al-Moslit,25
Al-Mostafa,13
Al-Mousa,11
Al-Moustafa,11
Al-Muallem,12
Al-Muhammad,12
Al-Mulhim,18
Al-Munajed,16
Al-Muslet,26
Al-Muslit,30
Al-Mustafa,22
Al-Mustapha,12
Al-Naal,11
Al-Nadaf,15
Al-Naddaf,27
Al-Naem,12
Al-Nahili,22
Al-Najar,16
Al-Najjar,19
Al-Nama,32
Al-Namah,20
Al-Naqri,22
Al-Naser,15
Al-Nasir,29
Al-Nasser,25
Al-Nassir,12
Al-Nouri,12
Al-Qadri,13
Al-Qatan,16
Al-Qattan,16
