name,frequency
Aitsemnik,4
Alkhas,3
Alvard,9
Anahit,43
Anait,105
Ani,67
Anush,48
Anushavan,4
Araks,10
Aregnaz,4
Arev,8
Arevik,12
Armine,38
Arpenik,7
Arpine,5
Arusiak,4
Arusyak,3
Ashkhen,6
Asmik,38
Astghik,11
Astgik,4
Astkhik,28
Azniv,8
Dzhavair,3
Dziunik,4
Egine,9
Elinar,4
Ermine,5
Farandzem,4
Gaiane,43
Gayane,56
Geganush,3
Geghanush,5
Gekhanush,5
Ghoar,3
Goar,36
Goarik,10
Gohar,20
Granush,3
Hasmik,25
Heghine,9
Hekhine,8
Hermine,5
Hripsim,4
Hripsime,6
Karine,58
Khamest,7
Knar,3
Knarik,20
Lala,4
Lousine,4
Lucine,3
Luse,3
Lusia,6
Lusine,66
Mairanush,6
Mane,34
Manush,3
Mariam,46
Marine,45
Meline,3
Miriam,5
Naira,42
Nane,15
Nara,4
Nare,31
Narine,51
Nayra,3
Nune,38
Paitsar,3
Parandzem,5
Ripsime,10
Ruzan,4
Satenik,6
Seda,13
Shamam,4
Shaqe,3
Shushan,10
Shushanik,6
Shushi,4
Siranush,14
Sirvard,3
Sona,64
Sose,5
Tatev,5
Tatevik,51
Tsovinar,11
Vardevan,4
Varditer,5
Vardui,7
Yerdzhanik,3
Zarine,7
Zarmine,8
