name,frequency
Abgar,3
Agaron,5
Agasi,7
Agvan,5
Aik,150
Aikaz,7
Akob,3
Akop,31
Almast,4
Amaiak,8
Amayak,5
Amazasp,11
Ambartsum,10
Anastas,4
Andranik,100
Andrushi,4
Anoshavan,4
Anushavan,6
Ara,105
Aragats,5
Araik,30
Arakel,10
Aram,153
Aramais,4
Ararat,31
Areg,44
Aren,19
Argam,6
Argishti,10
Aristakes,3
Armais,16
Arman,108
Armen,370
Armenak,9
Arnak,4
Arpiar,4
Arsen,108
Arshak,24
Arshaluis,6
Arshavir,16
Artak,107
Artashed,3
Artashes,38
Artavazd,12
Artsrun,5
Artush,14
Arutyun,36
Arzuman,4
Asatur,8
Ashot,190
Atom,9
Avag,15
Avak,5
Avanes,4
Avet,10
Avetik,11
Avetis,5
Ayk,115
Aykaz,4
Ayser,3
Babken,6
Bagrat,22
Barkev,3
David,139
Davit,125
Derenik,4
Dzhivan,8
Eghishe,10
Egishe,17
Erem,4
Ervand,16
Gagik,160
Gaik,24
Galust,6
Garegin,26
Garik,34
Garnik,35
Garush,4
Gegam,13
Gekham,8
Gevorg,100
Gevork,32
Gharnik,6
Ghukas,3
Gor,35
Grach,17
Grachia,32
Grachik,4
Grair,17
Grayr,13
Grigor,94
Grigvor,3
Gurgen,57
Hachik,11
Haik,20
Hakob,25
Hambartsum,5
Harnik,8
Harutiun,9
Hovanes,13
Hovik,13
Hovsep,12
Hrach,5
Hrair,3
Ishkhan,11
Kadzhayr,3
Kadzhik,6
Karapet,12
Karen,169
Karo,15
Khachatur,18
Khachik,30
Khazhak,4
Khoren,14
Khosrov,4
Khosteg,7
Koriun,12
Koryun,12
Ktrich,5
Lernik,4
Levon,163
Limindr,4
Liparit,4
Mambrei,3
Mamikon,16
Manuk,14
Manvel,19
Margar,3
Martik,6
Martiros,3
Martun,9
Matevos,4
Mekhak,19
Melik,4
Meruzhan,17
Mesrop,19
Mezhlum,4
Mger,24
Migran,3
Mihran,10
Minas,4
Misak,7
Mkhitar,25
Mkrtich,5
Mnatsakan,13
Movses,10
Musheg,15
Nahapet,5
Narek,62
Nerses,17
Norair,18
Norayr,22
Norik,8
Nver,16
Nvorayr,3
Oganes,20
Ovakim,3
Ovanes,38
Ovik,11
Ovsep,11
Papik,6
Pargev,4
Paron,5
Paruir,10
Paruyr,9
Perch,8
Petros,14
Pogos,4
Razmik,39
Romik,14
Ruben,97
Rubik,23
Rudik,9
Sahak,3
Samson,3
Samvel,174
Sanasar,3
Sargis,38
Sarkis,33
Sarmen,3
Saro,5
Sasun,20
Sedrak,12
Seiran,16
Sevak,10
Seyran,17
Shagen,4
Shahen,3
Shant,6
Shavarsh,6
Sisak,9
Smbat,29
Sogomon,3
Sos,7
Sovren,4
Suren,61
Tadevos,7
Taron,17
Tatul,12
Tevan,5
Tigran,188
Tital,5
Tovmas,4
Tsolak,3
Vaagn,40
Vaan,18
Vachagan,9
Vache,18
Vachik,4
Vagan,38
Vagarshak,6
Vage,59
Vaginak,4
Vagram,18
Vahagn,31
Vahan,38
Vahram,25
Vakharshak,5
Van,8
Vanik,10
Varazdat,19
Vardan,135
Vardges,7
Vardkes,11
Varnaz,3
Vartan,8
Varuzhan,13
Vazgen,40
Vegam,3
Vigen,19
Vostanik,4
Vram,10
Vrezh,17
Yegish,4
Yegishe,19
Yekhishe,4
Yerdzhanik,3
Yerem,5
Yervand,16
Yeznak,3
Zareh,5
Zarekh,4
Zarmik,7
Zaven,15
Zhirair,5
Zinavor,5
Zograb,10
Zohrab,5
