name,frequency
Abadzhian,6
Abadzhyan,6
Abazyan,3
Abelian,3
Abelyan,4
Abgarian,8
Abgaryan,9
Abovian,4
Abovyan,4
Abraamian,32
Abraamyan,18
Abrahamian,15
Abrahamyan,42
Abramian,46
Abramyan,26
Abroian,3
Abroyan,3
Achemian,3
Adamian,6
Adamyan,8
Afian,5
Afyan,3
Agababian,6
Agadzhanian,10
Agadzhanyan,5
Aghababyan,6
Aghadzhanyan,6
Aghgashyan,4
Agumian,4
Agumyan,3
Airapetian,36
Airapetyan,36
Aivazian,20
Aivazyan,21
Akhababyan,6
Akhadzhanyan,6
Akhgashian,4
Akhgashyan,5
Akhumian,6
Akhumyan,6
Akobdzhanian,6
Akobdzhanyan,7
Akobian,16
Akobyan,8
Akopian,85
Akopyan,33
Alaverdian,6
Alaverdyan,4
Albertyan,3
Aleksanian,38
Aleksanyan,39
Alexanian,38
Alexanyan,38
Alikhanian,3
Alikhanyan,3
Altunyan,6
Ambardzumian,8
Ambardzumyan,4
Ambartcumian,23
Ambartcumyan,23
Ambartsumian,23
Ambartsumyan,11
Amirian,4
Amirkhanian,12
Amirkhanyan,14
Amiryan,3
Ananian,5
Ananyan,7
Andreasian,5
Andreasyan,4
Antonian,4
Antonyan,4
Apitonian,6
Apitonyan,6
Arabian,6
Arabyan,5
Arakelian,38
Arakelyan,40
Aramian,11
Aramyan,11
Arkamanian,5
Arkamanyan,3
Arsenian,10
Arsenyan,11
Arshakian,11
Arshakyan,18
Arutiunian,134
Arutiunyan,122
Arutyunian,130
Arutyunyan,66
Arzumanian,17
Arzumanyan,17
Asatrian,22
Asatryan,24
Asaturian,3
Asaturyan,3
Aslanian,15
Aslanyan,16
Asrian,10
Asryan,10
Astanyan,5
Atabekian,5
Atabekyan,5
Atanesian,4
Atanesyan,4
Atayan,9
Atomian,4
Atomyan,4
Avagian,13
Avagyan,18
Avakian,11
Avakyan,8
Avalyan,3
Avanesian,20
Avanessian,4
Avanessyan,4
Avanesyan,18
Avetian,3
Avetisian,55
Avetissian,5
Avetissyan,5
Avetisyan,57
Avinian,7
Avinyan,8
Ayrapetian,36
Ayrapetyan,17
Ayvazian,20
Ayvazyan,19
Azarian,12
Azaryan,11
Azatian,5
Azatyan,4
Azizyan,3
Babaian,36
Babakhanian,8
Babakhanyan,8
Babayan,41
Babloian,3
Babloyan,3
Babukhanian,5
Babukhanyan,5
Badalian,19
Badalyan,23
Bagasyan,5
Bagdasarian,54
Bagdasaryan,37
Baghdasarian,7
Baghdasaryan,22
Baghramyan,3
Bagramian,3
Bagratian,7
Bagratyan,7
Baiburtian,4
Baiburtyan,4
Bakhchagulian,3
Bakhchagulyan,3
Bakhdasaryan,15
Bakhramyan,3
Bakhshian,3
Balaian,17
Balasanian,5
Balasanyan,4
Balayan,17
Balian,4
Balyan,4
Barseghian,6
Barseghyan,16
Barsegian,15
Barsegyan,7
Barsekhyan,7
Bayburdyan,3
Bayburtian,4
Bazikian,5
Bazikyan,5
Beglarian,18
Beglaryan,19
Bezhanyan,3
Bisharyan,3
Brutian,5
Brutyan,5
Buniatyan,3
Chakmishian,3
Chakmishyan,3
Charchian,3
Charchoghlyan,3
Charchoglian,6
Charchoglyan,3
Charchokhlyan,3
Charchyan,4
Chibukhchian,6
Chibukhchyan,8
Chichoian,4
Chichoyan,4
Chilingarian,9
Chilingaryan,6
Chobanian,13
Chobanyan,13
Chshmaritian,4
Dadasian,4
Dadasyan,4
Daian,6
Dalibaltaian,3
Dalibaltayan,3
Dallakian,5
Dallakyan,7
Danielian,19
Danielyan,21
Daniyelian,14
Daniyelyan,14
Darbinian,21
Darbinyan,22
Davtian,40
Davtyan,46
Dayan,10
Degtrikian,3
Dekhtrikian,3
Dekhtrikyan,3
Demirchian,5
Demirdjyan,5
Dilanian,8
Dilanyan,8
Djagharyan,4
Djakharyan,4
Dumanian,5
Dumanyan,4
Dzhagarian,4
Dzhandzhugazian,6
Dzhandzhughazyan,4
Dzhandzhukhazyan,4
Dzhavadian,15
Dzhavadyan,15
Dzhilavian,10
Dzhilavyan,10
Dzhulfalakian,5
Dzhulfalakyan,5
Edigarian,4
Edigaryan,4
Eganian,17
Eganyan,17
Eghiazaryan,9
Eghoyan,3
Egiazarian,10
Egiazaryan,3
Egoian,4
Ekhiazaryan,9
Ekhoyan,3
Elizbarian,4
Elizbaryan,4
Eloian,6
Eloyan,5
Emishian,4
Emishyan,5
Enfiadzhian,9
Enfiadzhyan,8
Engibarian,3
Engibaryan,4
Epremian,3
Epremyan,3
Eritcian,3
Eritcyan,3
Eritsian,7
Eritsyan,5
Esaian,10
Esayan,11
Farmanian,7
Farmanyan,6
Fidanian,5
Fidanyan,5
Gabrielian,22
Gabrielyan,23
Gabriyelian,16
Gabriyelyan,16
Galachian,3
Galoian,3
Galoyan,3
Galstian,30
Galstyan,32
Galumian,21
Galumyan,11
Gambarian,6
Garibdzhanian,5
Garibian,9
Garibyan,3
Gasparian,49
Gasparyan,50
Gazarian,18
Gazaryan,9
Gazinian,3
Gazinyan,4
Gegamian,8
Gegamyan,3
Geghamyan,7
Gekhamyan,6
Gevorgian,40
Gevorgyan,50
Gevorkian,31
Gevorkyan,19
Gezalian,5
Gezalyan,4
Ghahramanyan,4
Ghalachyan,4
Ghalumyan,10
Ghambaryan,6
Gharibdzhanyan,5
Gharibyan,6
Ghazarian,8
Ghazaryan,43
Ghazinian,4
Ghazinyan,5
Ghukasian,4
Ghukassian,4
Ghukassyan,4
Ghukasyan,17
Giloian,4
Giloyan,4
Giurdzhian,3
Gorgisian,6
Gorgisyan,5
Grigorian,181
Grigoryan,187
Grigvoryan,8
Gugaratc,3
Gugarats,3
Gukasian,48
Gukassian,6
Gukassyan,6
Gukasyan,32
Gulian,10
Guloian,7
Guloyan,7
Gulyan,9
Gushchian,4
Gushchyan,3
Gyozalian,4
Gyozalyan,5
Gyulumyan,3
Hachatryan,3
Hadzhi-Grigoryan,4
Hakobian,17
Hakobyan,81
Hakopian,4
Hakopyan,6
Hakvobyan,6
Halstian,3
Hambardzoumian,3
Hambardzoumyan,3
Hambardzumyan,17
Hambartsumian,3
Hambartsumyan,3
Harutiunian,18
Harutiunyan,17
Harutyunian,16
Harutyunyan,103
Hayrapetyan,27
Hovakimyan,11
Hovanessian,3
Hovannisian,5
Hovannissian,3
Hovannisyan,4
Hovhanisian,4
Hovhanissyan,5
Hovhanisyan,3
Hovhannesyan,3
Hovhannisian,20
Hovhannissian,4
Hovhannissyan,3
Hovhannisyan,90
Hovsepian,3
Hovsepyan,22
Hunanyan,7
Hvovhannisyan,3
Igitkhanian,6
Igitkhanyan,6
Isakhanian,5
Isakhanyan,5
Isayan,3
Ispirian,4
Ispiryan,3
Kagramanian,4
Kalamian,3
Kalantaryan,3
Kaltakhchian,3
Kananyan,3
Karagezian,3
Karaian,6
Karakhanian,9
Karakhanyan,10
Karamian,10
Karamyan,11
Karapetian,74
Karapetyan,77
Karayan,6
Kazarian,56
Kazaryan,31
Kazinian,4
Kazinyan,3
Khachatrian,115
Khachatryan,122
Khachaturian,11
Khachaturyan,7
Khachikian,17
Khachikyan,18
Khadzhi-Grigorian,4
Khadzhi-Grigoryan,3
Khahramanyan,4
Khalachyan,3
Khaltakhchyan,3
Khalumyan,9
Khambaryan,6
Khandanian,3
Khandanyan,3
Khanoyan,3
Khanzadian,6
Khanzadyan,7
Kharatian,4
Kharatyan,5
Kharibdzhanyan,5
Kharibyan,7
Khazarian,3
Khazaryan,37
Khukasyan,13
Khumarian,3
Khumaryan,3
Khundkarian,6
Khundkaryan,9
Khurshudian,4
Khurshudyan,4
Kirakosian,17
Kirakossian,3
Kirakossyan,3
Kirakosyan,24
Kocharian,34
Kocharyan,31
Kochinian,17
Kochinyan,16
Kodjoyan,3
Kodzhoyan,7
Kostanian,4
Kostanyan,4
Kotanian,6
Krkiasharian,5
Krkyasharyan,5
Krmoyan,3
Kushkian,6
Kushkyan,4
Kutoian,18
Kutoyan,18
Kyaramyan,3
Lalaian,4
Lalayan,8
Lokian,4
Lokyan,4
Madatian,4
Madatyan,3
Madoyan,3
Makarian,17
Makaryan,18
Makian,6
Makyan,7
Malkhasian,9
Malkhasyan,10
Maloyan,3
Mamikonian,9
Mamikonyan,10
Manasarian,3
Manasaryan,3
Manaserian,4
Manaseryan,3
Manasyan,3
Mangasaryan,4
Manoukian,3
Manoukyan,3
Mansurian,4
Mansuryan,7
Manukian,83
Manukyan,91
Marashlian,3
Margarian,56
Margaryan,57
Margharian,3
Margharyan,3
Marharian,3
Marharyan,3
Markarian,5
Markosian,11
Markosyan,10
Martikian,3
Martikyan,3
Martirosian,75
Martirossian,6
Martirossyan,5
Martirosyan,75
Martyrosian,3
Martyrosyan,5
Marukian,5
Marukyan,5
Marutian,10
Marutyan,16
Mashadian,3
Mashadyan,3
Matevosian,14
Matevossian,4
Matevossyan,4
Matevosyan,20
Matosian,6
Matosyan,5
Mazmanian,6
Mazmanyan,6
Meghryan,4
Megrian,11
Megryan,8
Mekhakian,5
Mekhakyan,5
Mekhryan,4
Melik-Sarkisian,4
Melik-Sarkisyan,4
Melikdzhanian,7
Melikdzhanyan,7
Melikian,26
Meliksetian,7
Meliksetyan,7
Melikyan,30
Melixetian,6
Melixetyan,6
Melkom-Melkomian,3
Melkonian,25
Melkonyan,29
Melkumian,10
Melkumyan,10
Mesropian,5
Mesropyan,6
Mgrian,4
Mikaelian,16
Mikaelyan,7
Mikayelian,15
Mikayelyan,24
Militonian,5
Militonyan,5
Minasian,42
Minassian,4
Minassyan,4
Minasyan,49
Minosyan,3
Miridzhanyan,3
Mirzoian,15
Mirzoyan,19
Mkhitarian,30
Mkhitaryan,27
Mkhoian,3
Mkhoyan,3
Mkrtchian,65
Mkrtchyan,68
Mkrtumian,19
Mkrtumyan,18
Mnatcakanian,12
Mnatcakanyan,12
Mnatsakanian,24
Mnatsakanyan,22
Mokatcian,3
Mokatcyan,3
Mokatsian,3
Mokatsyan,3
Movsesian,11
Movsessian,3
Movsessyan,3
Movsesyan,10
Movsisian,21
Movsisyan,19
Muradian,63
Muradyan,63
Nagapetian,12
Nagapetyan,3
Nagdalian,3
Nahapetyan,13
Nakhdalyan,3
Nalbandian,5
Nalbandyan,8
