name,frequency
Adila,6
Adile,6
Afaq,8
Afet,7
Aida,21
Aide,8
Almas,6
Almaz,17
Amina,6
Amine,6
Arzu,6
Aydan,10
Aygun,12
Aynur,46
Aysel,10
Aysu,7
Aysun,7
Aytan,13
Ayten,12
Aytən,7
Azada,6
Azade,6
Aziza,10
Bahar,10
Camila,10
Camile,9
Cemile,9
Cesmi,8
Ceyran,6
Chesmi,8
Cəmilə,7
Dilara,13
Dilare,12
Dilarə,8
Elmira,33
Elvira,7
Emina,6
Emine,6
Esmira,14
Fatima,6
Fatma,16
Fidan,14
Fiduma,8
Fidume,8
Firuza,11
Firuze,11
Govhar,14
Govher,14
Gulnara,14
Gulnare,14
Gulzar,6
Gunay,19
Gunel,15
Hanim,6
Humay,6
Inara,10
Inare,10
Irada,11
Irade,8
Izulat,9
Izzat,7
Kamala,6
Kamale,6
Kemala,6
Kemale,6
Lala,22
Lale,23
Lalə,12
Laman,8
Leman,8
Leyla,39
Malahat,7
Malahet,6
Mehpara,7
Mehpare,6
Mehriban,33
Melahat,6
Melahet,6
Nabinna,9
Naila,15
Naile,14
Nargiz,20
Narine,8
Narmina,7
Natavan,14
Natevan,6
Nergiz,15
Nermine,6
Nigar,54
Nusabe,6
Nushabe,6
Nərgiz,10
Raya,10
Rena,6
Sabina,8
Sadagat,8
Sadaget,7
Sadaqat,7
Sadaqet,6
Safige,7
Safiqa,10
Saida,8
Saide,8
Salala,12
Salale,12
Sara,7
Sedagat,6
Sedaget,8
Sedaqat,6
Sedaqet,6
Seida,8
Seide,8
Selala,12
Selale,12
Selcan,6
Sevda,30
Sevil,24
Sevinc,24
Sevinj,21
Shafige,7
Shalala,13
Shalale,12
Shelala,12
Shelale,12
Solmaz,6
Sona,37
Tahira,13
Tahire,12
Tamam,20
Tamara,11
Tamilla,16
Tanzila,7
Tanzile,6
Telli,9
Tenzila,6
Tenzile,6
Turan,8
Ulker,6
Ulviyya,19
Ulviyye,18
Vafa,8
Vefa,12
Zarifa,6
Zarife,6
Zemfira,16
Zerifa,6
Zerife,6
Zeynab,6
Zeyneb,6
Ziyafat,7
Ziyafet,7
Zumrud,25
Əminə,7
