name,frequency
Abasov,7
Abbasov,158
Abdulaliyev,7
Abdullaev,14
Abdullayev,154
Abdurahmanov,7
Abdurrahmanov,7
Abiyev,8
Abutalibov,6
Adigozalov,12
Afandiyev,27
Afendiyev,27
Agaev,19
Agalarov,13
Agayev,93
Aghayev,12
Ahadov,8
Ahmadov,60
Ahmedov,46
Ahundov,27
Akbarov,12
Akberov,7
Akhmadov,6
Akhmedov,6
Akhundov,37
Alakbarov,37
Alakberov,23
Alasgarov,13
Alasgerov,10
Alekbarov,20
Alekberov,27
Alesgarov,10
Alesgerov,12
Aliev,75
Aliyev,343
Allahverdiyev,45
Alxasov,6
Amanov,11
Amiraslanov,11
Amirov,14
Asadov,23
Asadullayev,7
Asedov,19
Asgarov,47
Asgerov,41
Askerov,8
Aslanov,98
Atayev,9
Axundov,57
Azizov,23
Ağayev,30
Babaev,25
Babayev,103
Badalov,13
Badelov,12
Baghirov,8
Bagirov,40
Bahisov,6
Bakhisov,6
Bakhshiyev,10
Bakhsiyev,7
Bakirov,8
Balakishiyev,8
Balakisiyev,8
Bashirov,14
Basirov,13
Baxsiyev,6
Baybalayev,12
Bayramov,69
Bağırov,12
Bedalov,12
Bedelov,12
Beshirov,8
Besirov,8
Beybalayev,12
Beydullayev,6
Bilalov,9
Budaqov,6
Bədəlov,11
Bəkirov,6
Bəşirov,6
Cabbarov,24
Cabiyev,8
Cabrayilov,7
Cafarov,29
Caferov,16
Cahangirov,12
Camalov,20
Cavadov,25
Cebiyev,7
Cefarov,17
Ceferov,23
Cəfərov,29
Dadashov,18
Dadasov,15
Dadaşov,6
Dzhabbarov,10
Efandiyev,22
Efendiyev,27
Ehedov,6
Ehmadov,27
Ehmedov,32
Elakbarov,12
Elakberov,12
Elasgarov,10
Elasgerov,10
Elekbarov,12
Elekberov,12
Elesgarov,8
Elesgerov,10
Eliev,15
Eliyev,183
Emiraslanov,8
Emirov,11
Esadov,13
Esedov,16
Esgarov,27
Esgerov,27
Eyubov,12
Eyvazov,10
Eyyubov,42
Ezizov,13
Faracov,11
Farajov,9
Farecov,6
Fattayev,12
Fatullayev,9
Feracov,7
Ferajov,6
Ferecov,9
Ferejov,7
Fettayev,10
Fetullayev,7
Feyziyev,25
Feyzullayev,11
Fərəcov,8
Gadimov,9
Gadirov,19
Gadzhiev,6
Gafarov,7
Gahramanov,13
Gahremanov,6
Gambarov,7
Garayev,20
Gasanov,9
Gasimov,66
Gedirov,14
Gehramanov,6
Gehremanov,6
Gocayev,9
Guliev,13
Guliyev,173
Gulmammadov,6
Gulmammedov,6
Gulmemmadov,6
Gulmemmedov,6
Gunashov,6
Gunasov,6
Gurbanov,80
Guseinov,8
Guseynov,16
Haciyev,100
Hacıyev,42
Hajiyev,86
Halafov,15
Halefov,15
Halilov,31
Hamidov,10
Hamzayev,6
Hasanov,144
Hasenov,113
Helafov,15
Helefov,15
Helilov,29
Hesanov,96
Hesenov,104
Heybatov,9
Heybetov,9
Heydarov,22
Heyderov,20
Heydərov,15
Hidirov,6
Humbatov,12
Humbetov,10
Huseynov,204
Hüseynov,54
Həsənov,87
Ibadov,8
Ibayev,6
Ibishov,7
Ibrahimbayov,10
Ibrahimbeyov,10
Ibrahimov,49
Imamaliev,6
Imamaliyev,6
Imamverdiyev,12
Imanov,11
Insanov,33
Isayev,13
Isgandarov,15
Isganderov,13
Isgendarov,11
Isgenderov,13
Isgəndərov,6
Iskandarov,10
Iskanderov,12
Iskendarov,9
Iskenderov,10
Islamov,6
Ismailov,22
Ismayilov,162
Israfilov,8
Isrefilov,6
Jabbarov,16
Jabiyev,9
Jabrayilov,7
Jafarov,32
Jaferov,15
Jahangirov,8
Jamalov,13
Javadov,18
Jebiyev,7
Jefarov,14
Jeferov,19
Karimov,80
Kazimov,38
Kazymov,6
Kazımov,8
Kerimov,86
Khalafov,12
Khalefov,15
Khalilov,38
Khelafov,15
Khelefov,15
Khelilov,31
Khidirov,7
Khudiyev,9
Kuliev,9
Kuliyev,8
Kərimov,47
Macidov,10
Madatov,9
Madetov,9
Mafusov,6
Mageramov,8
Magerramov,10
Maharramov,46
Maharremov,24
Maherramov,24
Maherremov,23
Mahmudov,55
Majidov,11
Makhmudov,8
Mamadov,39
Mamedov,68
Mamedyarov,6
Mammadaliyev,12
Mammadov,366
Mammadyarov,15
Mammedaliyev,8
Mammedov,275
Mammedyarov,15
Manafov,8
Mansurov,6
Mecidov,8
Meharramov,22
Meharremov,22
Mehbaliyev,8
Mehdiyev,59
Meherramov,22
Meherremov,25
Mejidov,7
Mekhtiev,6
Mekhtiyev,10
Melikov,7
Memadov,11
Memedov,35
Memmadaliyev,12
Memmadov,227
Memmadyarov,15
Memmedaliyev,8
Memmedeliyev,12
Memmedov,257
Memmedyarov,15
Mikayilov,23
Mikayılov,7
Miralamov,9
Miralemov,9
Mirelamov,9
Mirelemov,9
Mirzayev,57
Mirzeyev,44
Mirzəyev,30
Mirələmov,8
Mohbaliyev,12
Mukhtarov,11
Muradov,31
Musaev,7
Musayev,88
Mustafaev,7
Mustafaiev,6
Mustafayev,89
Mutallibov,14
Mutellibov,14
Muxtarov,9
Mütəllibov,6
Mədətov,6
Məhərrəmov,26
Məmmədov,203
Məmmədyarov,12
Məmmədəliyev,6
Nabiyev,24
Nacafov,6
Nagiyev,34
Najefov,6
Namazov,14
Nasibov,20
Nasirov,23
Nasrullayev,8
Nazarov,11
Nağıyev,14
Nebiyev,19
Necafov,6
Nejefov,6
Nesibov,12
Nesirov,13
Novruzov,42
Nuriyev,34
Nurullayev,10
Nəbiyev,11
Nəcəfov,10
Nəsibov,9
Nəsirov,11
Omarov,11
Orucov,55
Orudzhev,6
Orujov,34
Osmanov,34
Panahov,20
Pasayev,43
Pashayev,45
Paşayev,14
Penahov,21
Piriyev,18
Pirverdiyev,8
Pənahov,8
Qadimov,9
Qadirov,14
Qafarov,13
Qahramanov,11
Qahremanov,9
Qaracayev,6
Qarayev,28
Qasimov,66
Qasımov,24
Qedirov,14
Qehramanov,9
Qehremanov,9
Qocayev,15
Qulamov,6
Quliev,8
Quliyev,233
Qurbanov,116
Qəhrəmanov,8
Rafailov,7
Rafiyev,9
Ragimov,7
Rahimov,36
Rahmanov,6
Ramazanov,10
Rasulov,18
Rehimov,24
Rehmanov,6
Resulov,10
Rizayev,6
Rustamov,38
Rustemov,24
Rzayev,86
Rüstəmov,12
Rəhimov,21
Sadigov,50
Sadikov,19
Sadiqov,44
Sadıqov,15
Safarov,17
Saferov,10
Sahbazov,22
Sahverdiyev,6
Salahov,12
Salayev,13
Salimov,8
Salmanov,15
Samadov,14
Samedov,9
Sarifov,10
Sefarov,8
Seferov,9
Selimov,6
Semadov,8
Semedov,8
Serifov,8
Seyfullayev,8
Seyidov,48
Shahbazov,9
Sharifov,11
Sherifov,8
Shihaliyev,11
Shiheliyev,10
Shikhaliyev,12
Shikheliyev,10
Shiraliyev,6
Shirinov,15
Shixaliyev,13
Shixeliyev,12
Shukurov,16
Shyukyurov,8
Sihaliyev,12
Siheliyev,11
Sikhaliyev,13
Sikheliyev,12
Sirinov,13
Sixaliyev,13
Sixeliyev,12
Sukurov,8
Suleimanov,10
Suleymanov,69
Sultanov,49
Syukyurov,8
Süleymanov,19
Səfərov,8
Səlimov,7
Səmədov,9
Tagiyev,36
Tahirov,15
Tahmezov,6
Talibov,25
Talıbov,9
Tağıyev,12
Usubov,21
Valehov,31
Valiyev,52
Veliyev,52
Vəliyev,34
Xalafov,15
Xalefov,15
Xalilov,33
Xelafov,15
Xelefov,15
Xelilov,31
Xidirov,6
Xudadatov,6
Xudiyev,10
Xəlilov,29
Yagubov,10
Yaqubov,11
Yusifov,46
Zahirov,6
Zalov,18
Zamanov,11
Zeinalov,13
Zeynalov,124
Zulfugarov,7
Zulfuqarov,6
İbrahimov,19
İmanov,6
İnsanov,8
İsayev,6
İsgəndərov,9
İsmayılov,44
Şirinov,6
Əfəndiyev,16
Əhmədov,39
Əkbərov,6
Əliyev,193
Ələkbərov,27
Ələsgərov,10
Əmiraslanov,6
Əmirov,7
Əsgərov,27
Əsədov,15
Əzizov,12
