name,frequency
Ah,17
Akari,8
Aung,17
Aye,234
Aye-Aye,10
Chan,11
Chaw,12
Chi,10
Chit,17
Cho,63
Cho-Cho,8
Ei,77
Ei-Ei,14
Hay,6
Hla,85
Hmawe,6
Hmway,11
Hmway-Hmway,7
Hmwe,8
Hnin,81
Hnin-Hnin,7
Hsan,6
Hsu,7
Htar,8
Htay,27
Htet,22
Htoo,7
Htway,14
Htwe,26
Kalyar,7
Kay,33
Khaing,61
Kham,15
Khin,516
Khine,57
Kyar,13
Kyawt,11
Kyi,88
Kyi-Phyu,6
Kyin,39
Kyu,19
Lai,25
Lai-Lai,11
Lay,20
Le,23
Le-Le,9
Lei,32
Lei-Lei,6
Li,7
Lin,7
Lwin,11
Ma,56
Ma-Ma,6
Mar,68
Marlar,8
Mary,6
Maw,12
May,120
Me,20
Mi,57
Mi-Mi,15
Mie,14
Mie-Mie,12
Min,20
Moe,57
Moe-Moe,8
Mon,24
Mu,24
Mya,123
Mya-Mya,11
Myat,65
Myint,154
Myint-Myint,6
Myo,32
Naing,6
Nan,165
Nanda,16
Nandar,22
Nang,170
Nant,14
Naw,34
Nay,7
Ngu,9
Ngwe,19
Ni,47
Nilar,18
Nu,52
Nway,7
Nwe,59
Nyein,15
Nyo,16
Nyunt,42
Ohn,45
Ohnmar,11
Oo,11
Pa,15
Pa-Pa,14
Pan,8
Pann,6
Phoo,8
Phwar,8
Phyo,18
Phyu,84
Phyu-Phyu,11
Pwint,9
Pyae,8
Pyone,12
Sabai,10
Sabei,7
San,157
Sanda,21
Sandar,35
Sandy,9
Sao,14
Saw,59
Sein,42
Seng,7
Shoon,10
Shun,7
Shwe,91
Si,10
Sin,6
Soe,24
Su,128
Swe,57
Tha,8
Than,141
Thanda,16
Thandar,27
Thant,13
Thar,7
Thaung,7
Thazin,14
The,8
Thein,53
Theingi,11
Theint,12
Thet,51
Thi,16
Thida,38
Thidar,10
Thin,46
Thin-Thin,6
Thinn,8
Thinzar,21
Thiri,24
Thit,8
Thu,22
Thuzar,11
Thwe,14
Tin,179
Wah,21
Wah-Wah,11
Wai,33
War,22
War-War,7
Wei,7
Win,109
Wint,19
Wint-Wah,6
Wut,16
Wut-Yi,7
Wutt,7
Yadana,14
Yamin,6
Yati,8
Yee,47
Yee-Yee,7
Yi,58
Yin,70
Yin-Yin,6
Yu,33
Yuzana,6
Zar,28
Zin,29
