name,frequency
Aris,7
Aung,718
Aye,271
Ba,14
Bo,28
Chan,28
Chaw,6
Chay,8
Chit,25
Cho,52
Din,10
Dwe,15
Ei,13
Gyee,31
Gyi,67
Ha,7
Han,67
Hein,39
Hla,92
Hlaing,177
Hmon,7
Hmone,12
Hmway,7
Hmwe,8
Hnin,14
Hsan,33
Hseng,6
Hsi,7
Hsint,18
Htaik,36
Htain,7
Htan,15
Htay,112
Hteik,12
Htein,14
Htet,60
Htike,25
Htin,14
Htoo,38
Htun,556
Htut,47
Htway,49
Htwe,95
Ja,7
Kap,6
Kha,16
Khaing,222
Kham,48
Khant,17
Khaung,9
Khin,113
Khine,179
Ko,108
Kya,9
Kyaing,44
Kyar,10
Kyaw,256
Kyee,7
Kyi,207
Kyin,21
Kyine,15
Kyu,35
Kyway,6
Kywe,20
La,10
Laik,7
Lain,7
Lao,7
Lat,48
Latt,82
Law,6
Lay,54
Lei,6
Let,9
Lett,10
Li,10
Lian,8
Lin,166
Linn,138
Lon,9
Lone,12
Lu,14
Lwin,299
Lyan,7
Lynn,10
Ma,8
Mabel,7
Mai,14
Man,7
Mann,10
Mar,25
Mauk,6
Maung,280
Maw,61
May,43
Mg,321
Min,114
Minn,7
Mo,6
Moe,99
Mon,62
Mu,24
Mya,57
Myae,6
Myaing,35
Myat,36
Myint,547
Myo,34
Naing,179
Nan,7
Naung,26
Naw,10
Nge,10
Ngwe,37
Ni,14
Nu,60
Nwe,60
Nyan,10
Nyein,35
Nyi,8
Nyo,39
Nyunt,121
Oak,7
Ohn,57
Oo,589
Pa,10
Paing,19
Pan,7
Pao,9
Par,12
Paung,9
Pe,46
Pha,12
Phae,23
Phay,51
Phyo,36
Phyu,81
Po,7
Pu,20
Pwint,14
Pyone,12
Ra,10
Reh,6
Sai,11
Saing,12
San,114
Sandy,7
Sann,6
Sar,12
Saung,16
Saw,25
Say,6
Sein,168
Seng,11
Shain,23
Shan,6
Shein,69
Shin,15
Sho,12
Shwe,141
Si,19
Sin,25
Sint,19
Soe,305
Sone,10
Su,12
Swai,6
Swe,184
Taung,7
Taw,10
Tha,40
Thaik,8
Than,161
Thanda,7
Thang,14
Thant,64
Thar,48
Thaung,51
Thaw,19
The,6
Thein,253
Thet,26
Thi,9
Thida,10
Thidar,7
Thiha,16
Thin,33
Thinn,6
Thiri,9
Thit,7
Thu,104
Thura,11
Thwe,7
Thwin,29
Ti,14
Tin,174
Tint,43
Toe,17
Tun,450
U,8
Wah,11
Wai,76
Wan,24
War,8
Wei,30
Win,720
Winn,8
Wint,16
Wu,7
Wun,6
Wynn,9
Ya,16
Yadana,11
Yar,6
Yaw,6
Ye,23
Yee,169
Yei,13
Yein,7
Yi,166
Yin,71
Yone,6
Yu,23
Yun,6
Za,10
Zan,28
Zar,8
Zaw,101
Zeya,8
Zin,34
