name,frequency
Adele,4
Agathe,6
Agnes,12
Aicha,4
Aimee,4
Aissatou,8
Alice,4
Aline,6
Ama,4
Amah,4
Amina-Sapia,4
Aminatou,8
Anastasie,6
Angela,6
Angele,8
Angeline,6
Anna,4
Anne,8
Anne-Marie,4
Annette,6
Annick,6
Antoinette,10
Ariane,4
Assa'a,6
Bamela,4
Beatrice,4
Benedicta,6
Benjamina,4
Bernadette,18
Berthe,6
Bertille,6
Bie,6
Blanche-Jacqueline,4
Bleue,8
Botech,8
Brenda,4
Brigitte,10
Carine,8
Caroline,8
Catherine,40
Cecile,12
Cécile,10
Celestine,12
Célestine,4
Celine,10
Céline,4
Chantal,12
Charlotte,6
Christiane,4
Christine,14
Claire,6
Claudine-Cecile,4
Clementine,8
Clémentine,4
Clotilde,8
Colette,8
Delphine,8
Desire,4
Désiré,6
Diana,4
Diane,4
Didier,4
Dolly-Efeti,4
Dora,4
Edith,8
Efeti,4
Egbe,8
Eliane,4
Elisabeth,16
Elise,18
Elizabeth,14
Emilia,10
Emilienne,4
Enih,4
Estelle,6
Esther,20
Ethel,4
Etonde,6
Eugenie,4
Evelyne,4
Fadimatou,8
Faustine,6
Felicite,6
Félicité,4
Fiona,4
Florence,20
Florentine,4
Fortune,6
Francoise,4
Françoise,4
Genevieve,10
Geneviève,8
Georgette,4
Gisele,8
Gisèle,8
Gladys,4
Habiba,4
Hadidja,4
Hadja,4
Hamadi,4
Haman,4
Hanna,4
Hannah,4
Haouwa-Adji,4
Helene,8
Hélène,6
Henriette,10
Hermine,10
Honoree,4
Honourine,6
Igxtelle,4
Indira,4
Irene,8
Isabelle,12
Isabelle-Sylvie,8
Jacqueline,22
Jaqueline,4
Jeanne,12
Jeanne-Irene,4
Jeanne-Irène,4
Jeannette,4
Josephine,10
Joséphine,8
Josette,4
Judith,10
Julie,6
Julienne,20
Justina,4
Justine,8
Kiki,4
Koulsoumi,4
Laure,4
Leonie,12
Léonie,8
Linda,4
Louise,12
Louise-Marinette,8
Louisette,4
Lucie,4
Lucy,12
Lydie,6
Lydienne,10
Madeleine,16
Mafany,4
Magdalene,4
Marguerite,10
Marie,62
Marie-Cecile,6
Marie-Cécile,6
Marie-Claire,14
Marie-Gabrielle,4
Marie-Gisele,4
Marie-Isabelle,4
Marie-Louise,6
Marie-Madeleine,4
Marie-Rose,20
Marie-Therese,36
Marie-Thérèse,26
Marie-Yvette,6
Marlyse,6
Marthe,6
Marthe-Angeline,8
Marthe-Angéline,8
Martine,4
Mary,8
Mbah,4
Mercy,6
Mispa,4
Monique,4
Nathalie,4
Ndode,4
Ngwari,4
Nicole,12
Nyamsi,4
Odette,6
Odile,8
Paki,4
Patience,6
Patricia,6
Paule,4
Paulette,6
Paulina,6
Pauline,40
Paullette,6
Philomene,4
Philomène,4
Pierrette,6
Praxede,4
Prudencia,4
Pulcherie,4
Pulchérie,4
Rachel,16
Rebecca,8
Regine,8
Remy,4
Rémy,4
Reve-Angeline,4
Rêve-Angeline,4
Riratou,4
Rolande,4
Rosalie,4
Rose,18
Roseline,4
Rosemary,4
Rosette,10
Rosette-Marie,4
Rosine,6
Ruth,4
Salome,6
Salomé,6
Sama,4
Sandrine,8
Sarah,4
Seraphine,4
Shallote,4
Sinata,8
Solange,14
Sonta,4
Stella,8
Susan,8
Susana,4
Susanne,4
Suzanne,30
Tela,4
Theresa,4
Therese,20
Thérèse,12
Therese-Odile,4
Thérèse-Odile,4
Theresia,4
Veronique,4
Villaneau,4
Vivian,8
Wojoko,4
Yaou,4
Yvette,10
Yvonne,4
Zakiatou,4
Zelia,4
