name,frequency
Aaron,4
Aba,6
Abakar,4
Abba,8
Abdou,6
Abdoul-Kadri,4
Abdoulahi,4
Abdoulaye,18
Abdul,4
Abel,6
Abono,4
Aboubakar,12
Aboubakari,4
Aboubakary,4
Abraham,10
Abrahams,4
Abrahms,4
Abrams,4
Achille,8
Adamou,8
Adamu,8
Adolf,4
Adolphe,20
Adoum,4
Afanwi,6
Agbor-Balla,4
Ahmadou,30
Ahmed,10
Ajuoh,4
Ako,4
Al-Hajj-Seidou,4
Alain,26
Alaye,4
Albert,32
Alexandre,20
Alexis,8
Alfred,12
Ali,16
Alim,4
Alphonse,20
Amadou,32
Amos,4
Anatole,6
Anderson,4
Andre,52
André,38
Andre-Magnus,4
André-Magnus,4
Andrew,18
Anicet,12
Antoine,30
Armand,12
Arnaud,4
Arrey-Nkongho,4
Arrey-Nkongo,4
Augustin,24
Augustin-Frederick,4
Augustine,6
Ayuk,4
Azoh-Mbi,30
Azombo,4
Baba,8
Babatoura,4
Bahar,4
Bakari,4
Baptiste,8
Barnabe,4
Barnabé,4
Barthelemy,6
Basile,6
Bayen,4
Bayin,4
Belibi,4
Bembel,4
Bembell,4
Ben,4
Bengkuh,4
Benjamen,4
Benjamin,14
Benoit,18
Benoît,16
Bernard,46
Bertrand,4
Besong,6
Bibixy,6
Bienvenu,10
Bienvenu-Magloire,4
Bienvenue,6
Blaise,14
Bob,4
Bobbo,6
Bobo,6
Bolvine,4
Bonaventure,10
Boniface,6
Boris,4
Boubakari,4
Boubakary,4
Boukary,4
Brian,4
Bruno,8
Byiti-Bi,4
Cabral,8
Calistus,8
Calvin,18
Camille,4
Celestin,26
Célestin,12
Charles,66
Charles-Felix,6
Che,4
Christian,10
Christophe,20
Christopher,10
Claude,46
Claude-Richard,4
Clement,16
Clément,8
Confiance,4
Conrad,4
Constant,6
Cornelius,4
Cyprian,4
Cyrille,4
Daniel,80
David,36
De-La-Salle,4
Deffo,4
Denis,12
Desire,20
Désiré,14
Didier,10
Dieudonne,58
Dieudonné,40
Dina,4
Dinga,4
Dipita,4
Dissacke,4
Divine,4
Djankouo,6
Doh,4
Dominique,16
Donatus,8
Douala,4
Doualla,4
Ebenezer,8
Edgar,4
Edgard,6
Edmond,12
Edmond-Marie,4
Edouard,36
Édouard,4
Edward,6
Edwin,4
Egbe,8
Eleih-Elle,4
Elias,14
Elie,16
Elvis,10
Emile,18
Emmanuel,148
Emmanuel-Gerard,4
Emmanuel-Gérard,4
Enoh,10
Enow,10
Ephraim,6
Ephraïm,4
Eric,18
Ernest,14
Espoir,6
Esther,4
Etienne,40
Étienne,4
Evariste,4
Ezechiel,4
Ezéchiel,4
Fabien,6
Fadil,4
Faustin,6
Felix,36
Félix,22
Ferdinand,20
Fidele,4
Fidelis,8
Florent,12
Fombang,8
Fon,4
Fonyuy,4
Foryuy,4
Francis,24
Francois,42
François,30
Francois-Martin,4
Francois-Xavier,22
François-Xavier,16
Frank,4
Franklin,4
Fred,4
Frederic,16
Frédéric,16
Frederic-Pierre,4
Frédéric-Pierre,4
Frederick,4
Fritz,10
Fun,4
Gabriel,42
Garga,6
Gaston,14
Gauthier,4
Gentry,4
Geoffrey,4
Geoffroy,4
George,14
Georges,30
Gerald,6
Gerard,12
Gérard,4
Germain,4
Gervais,10
Gilbert,18
Gilles,4
Gilles-Roger,4
Godfrey,4
Gregoire,10
Grégoire,8
Gregroire,4
Grégroire,4
Guillaume,14
Guy,4
Halilou,8
Hamadou,22
Haman,6
Hamidou,20
Henri,30
Henry,18
Herve,10
Hervé,10
Hilarion,4
Hillman,4
Hogbe,4
Honore,4
Honoré,4
Hubert,12
Hugues,4
Ibrahim,16
Ibrahima,6
Ignatius,10
Innocent,6
Isaac,16
Ismael,20
Ismaël,14
Israel-Leonard,4
Israël-Léonard,4
Issa,14
Issac,4
Ivo,6
Iya,4
Jacob,14
Jacques,12
Jacques-Alfred,10
Jacques-Philippe,4
Jacques-Yves,6
James,14
Janvier,8
Jean,188
Jean-Badel,6
Jean-Baptiste,38
Jean-Bernard,8
Jean-Blaise,4
Jean-Bosco,4
Jean-Calvin,12
Jean-Claude,38
Jean-David,10
Jean-Emmanuel,4
Jean-Ernest,4
Jean-Francois,6
Jean-François,6
Jean-Georges,4
Jean-Herve,4
Jean-Hervé,4
Jean-Jacques,24
Jean-Jules,6
Jean-Louis,4
Jean-Marc,4
Jean-Marcel,6
Jean-Marie,76
Jean-Michel,20
Jean-Narcisse,4
Jean-Oscar,4
Jean-Pascal,4
Jean-Paul,26
Jean-Philippe,8
Jean-Pierre,64
Jean-Richard,4
Jean-William,4
Jeremiah,6
Jerome,26
Jérôme,18
Jerome-Noah,4
Joachim,8
Joel,14
Joël,12
John,34
Johnny,4
Johnson,6
Jonas,6
Jonathan,8
Jones,6
Joseph,190
Joseph-Charles,4
Joseph-Manga,4
Joseph-Marie,4
Josuah,4
Josue,6
Josué,6
Jules,20
Julius,18
Juste-Hilaire,4
Justin,20
Kabir,12
Kaou,4
Karim,4
Kibou,4
Kildadi,4
Koul,4
Koulagna,4
Kwam-beh,4
Kwambeh,4
Landry,4
Laurent,14
Lawrence,6
Lazar,4
Lazare,20
Leke,4
Lengue,4
Leon,6
Leonard,12
Léonard,6
Leonel,4
Leopold,10
Léopold,10
Leuzeu,4
Lionel,4
Litumba,4
Louis,34
Louis-Marie,10
Louis-Max,4
Louis-Tobie,4
Luc,26
Luc-Evariste,4
Lucas,12
Lucien,6
Madou,4
Magloire,8
Mahamat,28
Mahouda,4
Malla,4
Malvin,6
Malvine,4
Mama,12
Mamadou,4
Mamoudou,4
Manaouda,6
Manawouda,6
Marc-Olivier,4
Marcel,14
Marcelin,6
Marcellin-Marie,4
Margaza,4
Marie,38
Marius,6
Mark,4
Martial,6
Martin,80
Martin-Theodore,4
Martin-Théodore,4
Martino,4
Mathurin,14
Maurice,18
Max,6
Maxime,14
Maximin,6
Mbia,4
Mbine,6
Medjo,4
Mengot,6
Mesmin,4
Meva'a,4
Michael,26
Michel,28
Michel-Ange,4
Modeste,10
Mofa,4
Mohamadou,22
Mohaman,20
Moise,24
Moïse,16
Moni-Nwafi,4
Moses,6
Mounchipou,4
Moussa,18
Moustapha,6
Muh-Ziah,4
Mungwe,6
Musa,6
Na'ah,4
Naah,4
Namanga,4
Nambangi,4
Nana,24
Nasako,4
Nathanael,4
Nathanaël,8
Nathanael-Etonde,4
Nathanaël-Etondé,4
Ncha,4
Ndam,4
Ndengue,6
Ndifor,4
Ndifouane,4
Ndjonkep,4
Ndouga,4
Ndra,4
Ndzi,4
Nestor,6
Nfor,8
Nforti,4
Ngoe,4
Nguizaye,4
Nicolas,10
Njankouo,4
Noel,6
Noël,4
Norbert,8
Ntongue,4
Nyamndi,4
Nyansako,4
Obi,6
Ogie,4
Olivier,6
Onana,8
Oscar,10
Ossey-Olivier,4
Oswald,4
Otun,6
Oumar,4
Oumarou,16
Oumbe,4
Ousmane,6
Ousmanou,12
Oyono,8
Parfait,8
Pascal,18
Patrice,20
Patrick,6
Paul,128
Paul-Emmanuel,4
Paul-Eric,6
Paul-Gerard,4
Paul-Gérard,4
Paulin,8
Pengaba,6
Peter,34
Philemon,12
Philémon,12
Philip,8
Philippe,26
Phillippe,4
Pierre,146
Pierre-Emmanuel,4
Pierre-Flambeau,4
Pius,4
Placide,4
Polycarpe,6
Prosper,10
Prosper-Merime,4
Prosper-Mérimé,4
Prostin,4
Raphael,14
Raphaël,10
Raymond,32
Remy,4
Rene,28
René,20
Rene-Claude,4
René-Claude,4
Richard,14
Rigobert,4
Rober,4
Robert,30
Robert-Captain,6
Roger,56
Roland,16
Roy,6
Ruben,6
Saidou,4
Saïdou,4
Sako,4
Sali,10
Salomon,6
Saly,4
Samuel,90
Samuel-Jean,4
Sani,4
Sassouan,4
Sebastien,8
Sébastien,8
Seidou,10
Serge,38
Serges,10
Seyni,4
Shey,4
Siegfried,6
Silvestre,4
Simeon,6
Simon,52
Simon-Pierre,16
Simon-Victor,8
Sirou,4
Sisiku,6
Siyam,6
Solomon,36
Souleymanou,4
Stephane,6
Stéphane,4
Stephen,16
Suh,4
Sylvestre,12
Tabeng,4
Tama,4
Tamgwa,4
Tangang,4
Tchef,4
Temeraire,6
Téméraire,4
Theodore,16
Théodore,10
Theodore-Alexandre,4
Théodore-Alexandre,4
Theophile,8
Théophile,4
Thierry,4
Thomas,42
Thomas-Raymond,6
Tikela,4
Tse,8
Urbain,4
Valentine,4
Venceslas,4
Venseslas,4
Victor,76
Vincent,8
Voma,4
Walinjom,4
Walter,4
Wilfred,4
Wilfried,4
William,14
Wodjo,4
Xavier,8
Yannick,6
Yaouba,4
Yaya,10
Yerima,12
Yérima,6
Yeriwa,4
