name,frequency
Ai,12
Aihong,8
Aihua,30
Ailan,8
Ailian,14
Ailing,16
Aimei,10
Aiping,20
Aiqin,26
Aiwu,8
Aiying,10
Aizhen,12
Anqi,12
Baohua,8
Baolan,8
Baoling,16
Baoyi,8
Baozhen,16
Baozhu,10
Bei,18
Beibei,14
Bilian,8
Biling,10
Bin,30
Bing,36
Biying,8
Biyu,8
Biyun,10
Bizhen,12
Bo,34
Caihong,14
Caiping,12
Caixia,26
Caiyun,18
Caizhen,8
Chang,16
Chao,14
Chaohui,12
Chaoying,10
Chen,14
Chen-Ya,8
Cheng,18
Chengyu,10
Cheuk-Sze,8
Chi-Fang,12
Chi-Kay,14
Chi-Kei,24
Chi-Wah,8
Chi-Yan,10
Chi-Yi,8
Chien-Hua,8
Chin-Chin,8
Ching,8
Ching-Man,12
Ching-Yee,10
Chiu-Yee,12
Choi-Ying,8
Chu-Yee,10
Chun,24
Chunfang,10
Chung-Yan,10
Chunhua,14
Chunhui,10
Chunlan,14
Chunlian,8
Chunling,16
Chunmei,52
Chuntao,8
Chunxia,16
Chunxiang,10
Chunyan,42
Chunying,16
Cuilan,14
Cuiling,8
Cuiying,16
Cuizhen,8
Dan,72
Dandan,24
Dawna,10
Di,22
Dong,18
Donghua,8
Dongmei,44
Fan,48
Fang,134
Fangfang,16
Fei,30
Fei-Ting,8
Fen,16
Feng,44
Fenghua,16
Fenglan,14
Fenglian,8
Fengling,18
Fengmei,10
Fengping,10
Fengqin,18
Fengqing,10
Fengxia,10
Fengxian,14
Fengyi,10
Fengying,34
Fengzhen,12
Fuhua,8
Fun-Mei,8
Fung-Yan,14
Furong,14
Fuying,10
Ge,12
Guifang,16
Guifen,18
Guifeng,12
Guihua,24
Guilan,26
Guilian,10
Guiling,8
Guiping,10
Guiqin,14
Guirong,12
Guiru,12
Guixiang,12
Guiying,40
Guiyun,8
Guizhen,22
Guizhi,10
Guohua,14
Guomei,10
Guoqing,8
Guoying,22
Guozhen,10
Hai,8
Haihua,8
Hailin,10
Hailing,20
Haiping,12
Hairong,10
Haixia,28
Haiyan,76
Haiying,32
Han,8
Hao,10
He,8
Hei-Yee,8
Heping,12
Hiu-Ting,8
Hiu-Tung,12
Hoi-Ching,10
Hoi-Yan,10
Hong,312
Hongbo,12
Honghong,8
Honglian,8
Hongling,12
Hongmei,66
Hongmin,8
Hongping,12
Hongtao,8
Hongwei,14
Hongxia,46
Hongyan,50
Hongying,30
Hongyu,14
Hongyun,12
Hou-Hsiu,8
Hsiao-Hung,8
Hsiao-P'ing,12
Hsiao-Ping,12
Hsiu-Fen,8
Hsiu-Lien,8
Hsiu-Te,8
Hua,124
Huan,24
Huanhuan,8
Huarong,10
Huaying,14
Huei-Ping,8
Hui,148
Hui-Chung,12
Huifang,28
Huifen,20
Huihong,8
Huihua,8
Huijuan,22
Huijun,14
Huilan,14
Huili,22
Huilian,14
Huilin,12
Huiling,52
Huimin,42
Huiming,8
Huiping,20
Huiqi,12
Huiqin,14
Huiqing,16
Huiqiong,8
Huirong,22
Huishan,12
Huiwen,12
Huixia,8
Huixian,20
Huiyan,8
Huiyi,14
Huiying,36
Huiyu,12
Huizhen,28
Huizhi,8
Huizhu,8
Hung-Ping,10
Ji,10
Jia,58
Jia'en,8
Jiabao,8
Jiaen,8
Jiahua,12
Jiahui,28
Jiajia,14
Jiali,16
Jialin,14
Jialing,14
Jiamin,32
Jian,40
Jianfang,8
Jiang,16
Jianghong,12
Jianhua,38
Jianhui,14
Jianjun,16
Jianli,16
Jianling,8
Jianmei,22
Jianmin,16
Jianping,44
Jianrong,8
Jianying,22
Jiao,14
Jiaqi,12
Jiawen,8
Jiaxin,16
Jiayan,12
Jiayi,24
Jiaying,20
Jiayu,12
Jiayun,8
Jie,162
Jieqing,12
Jieying,8
Jiezhen,8
Jihong,12
Jin,60
Jinfeng,28
Jing,322
Jinghua,22
Jingjing,60
Jingmei,12
Jingping,16
Jingwen,18
Jingyan,10
Jingyi,26
Jingying,8
Jingzhi,10
Jinhong,10
Jinhua,22
Jinlan,16
Jinlian,8
Jinling,10
Jinmei,14
Jinping,20
Jinqiu,10
Jinrong,10
Jinxia,10
Jinyan,10
Jinying,12
Jinzhi,10
Jinzhu,10
Jiuer,8
Jiying,16
Ju,16
Juan,84
Juanjuan,8
Jufang,8
Juhua,16
Jun,104
Junfang,10
Junhong,8
Junhua,12
Junying,12
Juxiang,14
Juying,10
Ka-Lai,10
Ka-Man,18
Ka-Wai,14
Ka-Yee,30
Kam-Chui,12
Kar-Cheung,8
Kar-Man,10
Ke,24
Kemei,8
Keying,8
Kin-Nei,12
Kin-Yee,14
Kit-Kam,12
Kun,22
Lai,10
Lai-Ching,10
Lai-Ha,8
Lai-King,16
Lai-Wah,10
Lai-Wun,8
Lan,70
Lanfang,10
Lang-Yi,8
Lanlan,10
Lanying,14
Lanzhi,8
Le,10
Lei,54
Li,410
Li-Ming,10
Lian,14
Liang,14
Lianhua,10
Lianne,8
Lianying,12
Lifang,34
Lifen,22
Lihong,28
Lihua,76
Lihui,10
Lijian,8
Lijing,18
Lijuan,62
Lijun,54
Lili,110
Liling,10
Limei,16
Limin,26
Liming,28
Lin,108
Ling,166
Ling-Ling,34
Ling-Sau,8
Lingli,12
Lingling,58
Lingying,8
Liping,100
Liqin,14
Liqing,8
Liqiong,10
Liqun,16
Lirong,20
Lisha,12
Liu,10
Liwen,10
Lixia,44
Lixiang,10
Lixin,32
Liya,8
Liyan,20
Liyi,10
Liying,62
Liyu,8
Liyun,20
Lizhen,36
Lizhu,10
Lu,40
Lulu,16
Luping,8
Luxi,8
Man,24
Man-Shan,8
Man-Wai,8
Man-Ying,10
Manli,10
Manying,12
Mao,10
Mei,162
Mei-Ching,16
Mei-Ling,8
Meifang,26
Meihua,12
Meijuan,10
Meilan,20
Meili,8
Meiling,40
Meimei,24
Meiqin,14
Meiqing,16
Meirong,16
Meixia,8
Meixian,10
Meiyi,20
Meiying,18
Meiyu,12
Meiyun,8
Meizhen,8
Meizhu,10
Mi,12
Miao,12
Michele,14
Min,192
Ming,66
Ming-Chu,8
Ming-Chuen,20
Ming-Chun,28
Mingfang,8
Mingming,8
Mingxia,10
Mingyu,12
Mingzhu,24
Minhua,8
Minhui,12
Minyi,12
Mo,10
Mulan,12
Na,62
Nan,26
Ni,14
Ning,60
Ning-Yim,14
Pei,12
Pei-Shih,8
Peifang,10
Peihua,8
Peilan,10
Peilin,10
Peiling,8
Peipei,8
Peiqing,8
Peirong,8
Peishi,12
Peiwen,10
Peixian,12
Peiying,8
Peizhen,8
Peng,16
Ping,214
Pingping,8
Pu,8
Pui-Sze,18
Pui-Yee,8
Pui-Yin,8
Qi,62
Qian,66
Qiang,10
Qianqian,12
Qianwen,12
Qiaoling,10
Qiaoyun,10
Qihua,16
Qin,62
Qing,110
Qinghua,12
Qinglan,8
Qingmei,10
Qingping,8
Qingqing,10
Qingying,8
Qiong,44
Qiongying,20
Qiu,8
Qiufang,8
Qiuhong,12
Qiuling,14
Qiumei,10
Qiuping,8
Qiuxiang,8
Qiuyan,16
Qiuying,8
Qun,20
Ran,10
Rong,66
Ronghua,20
Ru,16
Rui,32
Ruifen,8
Ruihua,14
Ruijuan,8
Ruilian,8
Ruiping,10
Ruixia,12
Ruiying,10
Ruzhen,8
Sam-Yuet,12
Sau-Fong,10
Sau-Wai,8
Sau-Yung,10
See-Wai,8
Sha,24
Shan,30
Shanshan,26
Shaofang,8
Shaofen,10
Shaohua,14
Shaoling,8
Shaoping,10
Shaoying,8
Shaoyun,10
Shaozhen,8
Shen,8
Shi,12
Shiau-Ping,12
Shih-Chen,16
Shih-P'ing,8
Shih-Ping,10
Shilan,10
Shiou-Fen,8
Shiping,14
Shirley,10
Shiying,10
Shiyun,16
Shizhen,12
Shr-Jen,8
Shr-Ping,8
Shu,30
Shuang,24
Shuangshuang,8
Shufang,24
Shufen,28
Shuhua,44
Shujie,10
Shujuan,8
Shujun,14
Shuk-Ching,16
Shulan,32
Shuli,10
Shuling,20
Shumei,16
Shumin,20
Shuping,38
Shuqin,46
Shuqing,22
Shurong,12
Shuwen,8
Shuxia,16
Shuxian,24
Shuyan,12
Shuyi,26
Shuying,30
Shuyuan,10
Shuyun,22
Shuzhen,36
Siao-Ping,10
Simin,8
Sin-Man,8
Sing-Chi,8
Siou-Fen,8
Siu-Lan,10
Siu-Mei,12
Siu-Wa,8
Siu-Yee,10
Siying,8
Siyu,8
Song,8
Su,18
Suet-Yiu,8
Sufang,10
Suhua,10
Sui-Lin,8
Suk-Ling,12
Suk-Ying,12
Sulan,8
Sumei,12
Sun-Yee,8
Suping,20
Suqin,16
