name,frequency
Aiguo,36
Aijun,28
Aimin,42
Aiping,28
An,30
Bao,38
Baocheng,22
Baoguo,26
Baohua,32
Baojun,36
Baoliang,18
Baolin,24
Baoping,22
Baoshan,30
Baosheng,24
Ben,26
Biao,104
Bin,560
Bing,224
Binghui,20
Bo,404
Botao,20
Brian,20
Can,24
Chang,48
Changchun,26
Changfu,22
Changhong,24
Changhua,36
Changjiang,38
Changjun,28
Changlin,36
Changlong,20
Changming,28
Changping,26
Changqing,62
Changsheng,48
Changwei,26
Chao,186
Chaohui,26
Chaoyang,24
Chen,108
Cheng,176
Chenggang,22
Chengjun,28
Chengwei,22
Chengzhi,24
Chi,54
Chi-Chung,20
Chi-Ho,32
Chi-Hung,26
Chi-Keung,40
Chi-Kin,30
Chi-Leung,22
Chi-Ming,28
Chi-Shing,22
Chi-Wah,24
Chi-Wai,72
Chong,50
Chu,20
Chuan,54
Chun,90
Chun-Hung,20
Chun-Kit,34
Chun-Sing,18
Chun-Wah,18
Chun-Wai,18
Chunfeng,20
Chunhua,32
Chunlei,34
Chunlin,34
Chunming,34
Chunsheng,60
Chunyu,22
Cong,30
Da,34
Dacheng,24
Dajun,18
Dalong,18
Daming,34
Dapeng,20
Daping,20
Dawei,86
Dayong,36
De,36
Debin,18
Decai,18
Decheng,24
Defu,22
Dehong,22
Dehua,30
Dejun,26
Delong,20
Deming,62
Deqiang,20
Dequan,28
Derong,18
Desheng,46
Dewei,26
Dexiang,20
Deyi,18
Dezhi,36
Dezhong,18
Di,40
Ding,24
Dong,228
Dongdong,20
Donghai,30
Donghua,22
Donghui,22
Dongliang,40
Dongming,40
Dongsheng,100
Fan,82
Fang,58
Fei,184
Feng,492
Fengqi,20
Fu,36
Fucheng,20
Fuchun,34
Fuhua,20
Fulin,36
Fuping,20
Fuqiang,20
Fuquan,20
Furong,20
Fusheng,38
Fuyuan,20
Gang,424
Gao,24
Ge,34
Geng,24
Gong,34
Guang,68
Guangcheng,26
Guanghua,40
Guanghui,48
Guangjun,22
Guanglin,24
Guangming,54
Guangrong,28
Guangyu,34
Guangzhi,22
Guangzhong,20
Guilin,20
Guiping,22
Guo,52
Guo'an,26
Guoan,26
Guobin,44
Guocai,22
Guocheng,22
Guochun,20
Guodong,44
Guofeng,20
Guofu,32
Guoguang,24
Guohong,26
Guohua,120
Guohui,34
Guojiang,54
Guojun,60
Guoliang,66
Guolin,20
Guomin,22
Guoming,26
Guoping,84
Guoqiang,142
Guoqing,84
Guoquan,32
Guorong,52
Guosheng,52
Guowei,64
Guowen,36
Guoxian,20
Guoxiang,42
Guoxin,32
Guoxing,32
Guoxiong,36
Guoyi,26
Guoying,30
Guozhi,22
Guozhong,46
Hai,110
Haibin,46
Haibo,62
Haifeng,86
Haijun,56
Hailin,26
Hailong,42
Haiming,34
Haiping,32
Haiqing,20
Hairong,22
Haisheng,24
Haitao,90
Haiyan,30
Haiyang,28
Haiying,20
Han,48
Hang,52
Hanmin,22
Hanqing,18
Hanzhong,18
Hao,230
Haojun,22
Haoming,18
Haoran,32
Haowen,24
He,88
Heng,54
Heping,80
Ho-Fai,18
Ho-Yin,32
Hong,324
Hongbin,68
Hongbing,38
Hongbo,52
Hongfei,28
Hongfeng,22
Honggang,22
Hongguang,48
Honghai,24
Hongjian,22
Hongjiang,18
Hongjie,20
Hongjun,74
Hongli,18
Hongliang,36
Honglin,26
Hongming,40
Hongqiang,18
Hongsheng,40
Hongtao,44
Hongwei,132
Hongwen,18
Hongwu,36
Hongxiang,32
Hongxin,20
Hongxing,26
Hongyan,20
Hongyang,18
Hongyu,40
Hongyuan,22
Hongzhi,28
Hu,50
Hua,222
Huajun,20
Huan,34
Huang,22
Huawei,22
Hui,352
Huimin,48
Huiming,30
Hung,22
Ji,90
Jia,58
Jiacheng,38
Jiafu,20
Jiahao,48
Jiahua,26
Jiahui,46
Jiajie,36
Jiajun,72
Jialin,30
Jiaming,40
Jian,698
Jianbang,22
Jianbin,20
Jianbo,44
Jiancheng,54
Jianchun,30
Jiandong,38
Jianfei,22
Jianfeng,70
Jiang,280
Jiangang,40
Jiangtao,28
Jianguo,282
Jianhong,52
Jianhua,278
Jianhui,46
Jianjiang,20
Jianjun,200
Jiankang,24
Jianli,32
Jianliang,22
Jianlin,44
Jianlong,24
Jianmin,140
Jianming,132
Jianping,214
Jianqiang,62
Jianqing,22
Jianquan,20
Jianrong,34
Jianshe,20
Jiansheng,60
Jianwei,82
Jianwen,56
Jianwu,22
Jianxin,88
Jianxing,20
Jianxiong,30
Jianying,24
Jianyong,32
Jianzhong,144
Jiaqi,28
Jiaqiang,24
Jiasheng,26
Jiawei,58
Jiaxiang,24
Jiayu,28
Jicheng,22
Jidong,24
Jie,418
Jigang,20
Jihua,28
Jijun,22
Jilin,22
Jimin,24
Jiming,30
Jimmy,26
Jin,202
Jinbao,32
Jinbiao,26
Jinbo,20
Jincai,24
Jincheng,54
Jinfa,22
