name,frequency
Li,10384
Wang,10182
Zhang,9166
Chen,7154
Liu,6776
Yang,4174
Wu,3788
Huang,3542
Xu,3250
Zhao,2734
Zhou,2502
Ma,2200
Lin,2184
Zhu,2110
Yu,2084
He,2076
Sun,1984
Lu,1916
Guo,1722
Hu,1686
Jiang,1630
Zheng,1496
Liang,1416
Gao,1360
Luo,1360
Chan,1278
Tang,1222
Shi,1174
Yan,1174
Wong,1122
Cheng,1082
Xie,1060
Feng,1038
Cai,1026
Wei,1016
Song,976
Ye,874
Han,872
Tan,854
Xiao,826
Deng,804
Cao,780
Dong,778
Shen,778
Fan,744
Su,726
Jin,720
Fu,716
Yuan,716
Peng,710
Zeng,710
Yao,654
Fang,648
Pan,640
Tian,618
Du,616
Gu,610
Lee,610
Ding,588
Zhong,578
Lam,560
Ren,556
Lai,524
Cui,518
Liao,510
Wen,504
Dai,500
Qiu,500
Yin,492
Qin,482
Bai,474
Ho,470
Leung,470
Jia,456
Xia,450
Lyu,448
Hong,438
Cheung,422
Ji,416
Chang,398
Lau,396
Ng,394
Meng,380
Hou,378
Mao,374
Qi,364
Guan,358
Gong,350
Wan,350
Xue,344
Kong,338
Chu,330
Qian,330
Xiong,328
Lei,320
Zou,320
Hao,302
Zhuang,296
Bao,286
Shao,284
Qu,276
Tao,274
Tong,256
Mo,246
Niu,244
Duan,242
Yeung,236
Lo,232
Xiang,232
An,222
Ge,222
Huo,220
Pang,220
You,220
Chow,216
Kang,210
Tsang,210
Long,202
Ni,202
Yi,200
Qiao,198
Xing,198
Ou,192
Zhan,186
Jiao,184
Kwok,182
Ke,180
Lan,180
Hui,176
Xi,174
Ling,172
Yue,164
Ouyang,158
Fung,156
Lui,154
Pu,152
Jing,150
Miao,150
Rong,148
Weng,146
Hua,142
Shang,142
Tam,142
Gan,140
Geng,138
Chung,136
Zhai,136
Shu,134
Nie,132
Mei,128
Zuo,128
Lian,126
Mai,126
Mu,126
Choi,124
Fong,124
So,124
Tu,124
Ying,124
Yip,124
Chong,122
Bi,120
Sheng,120
Hung,118
Shan,118
Chiu,116
Xin,116
Ai,112
Ruan,110
Di,108
Yun,108
Tse,106
Chai,102
Lou,102
Teng,102
Chi,100
Law,100
Ning,100
Ceng,98
Ju,98
Kuang,98
Bian,90
Che,86
Mak,86
Quan,86
Pei,84
Dang,82
Kwan,82
Au,80
Zang,80
Bo,78
Tsui,78
Xian,78
Yuen,78
Chau,76
Poon,76
Yau,76
Chao,74
Gui,74
Si,74
Sui,74
Dan,72
Dou,70
Min,70
Sha,70
Yung,70
Jian,68
Zhuo,68
Zong,68
Fei,66
Jie,66
Mi,64
Kan,62
She,60
Zhen,60
