name,frequency
Adela,12
Adriana,8
Adéla,12
Alena,142
Alenka,4
Alexandra,18
Alice,15
Alzbeta,17
Alžběta,17
Andrea,59
Aneta,23
Anezka,15
Anežka,15
Anna,140
Anna-Carolina,6
Anna-Karolina,4
Anna-Marie,14
Antonie,10
Apolena,4
Barbara,10
Barbora,87
Berenika,4
Blanka,50
Bohumila,10
Bohuslava,4
Bozena,14
Božena,13
Bronislava,8
Carolina,5
Cecilie,4
Dagmar,80
Dana,87
Daniela,37
Darina,6
Darja,4
Dasa,4
Denisa,12
Dita,22
Dominika,12
Drahomira,5
Drahomíra,5
Edita,9
Eleonora,6
Elisabeth,5
Eliska,32
Eliška,30
Ema,8
Emilie,15
Emílie,4
Erika,4
Ester,8
Eva,238
Frantiska,4
Františka,4
Gabriela,48
Hana,232
Helena,119
Ilona,14
Irena,80
Iva,44
Ivana,132
Ivanka,5
Iveta,32
Jana,384
Jarmila,56
Jaroslava,79
Jessica,4
Jindriska,4
Jindřiška,4
Jirina,33
Jitka,108
Jiřina,30
Johana,17
Jolana,10
Judita,6
Julia,4
Julie,6
Kamila,33
Karin,4
Karla,10
Karolina,34
Karolína,26
Katarina,7
Katarína,6
Katerina,118
Kateřina,106
Klara,52
Klára,46
Kristina,26
Kristyna,16
Kristýna,15
Lada,4
Ladislava,6
Lara,4
Laura,6
Lea,7
Lenka,145
Libuse,11
Libuše,10
Lidie,6
Lidmila,10
Liliana,4
Linda,6
Lucia,4
Lucie,118
Ludmila,51
Lydie,4
Magda,15
Magdalena,36
Magdaléna,9
Marcela,61
Margita,10
Maria,8
Marie,214
Marketa,64
Markéta,62
Marta,45
Martina,128
Mia,4
Michaela,121
Milada,27
Milena,34
Miloslava,18
Miluse,4
Miluše,4
Mirka,6
Miroslava,56
Mlada,4
Monika,67
Nadezda,9
Naděžda,9
Natalie,12
Natálie,10
Nela,4
Nikola,16
Nina,13
Noemi,4
Olga,84
Patricie,6
Pavla,78
Pavlina,17
Pavlína,15
Petra,118
Radana,4
Radka,55
Radmila,10
Rebeka,4
Renata,44
Renáta,9
Romana,17
Ruth,6
Ruzena,13
Růžena,10
Sandra,13
Sarka,16
Silvie,6
Simona,28
Sofie,4
Sona,14
Soňa,14
Stanislava,20
Stepanka,5
Svetlana,6
Světlana,4
Sylva,10
Sylvie,4
Sylwia,4
Tamara,13
Tatana,4
Taťána,4
Tereza,84
Terezie,8
Vaclava,6
Vanda,4
Vendula,6
Vera,66
Veronika,79
Victoria,5
Viera,6
Viktorie,9
Viola,4
Vladimira,14
Vladimíra,11
Vlasta,33
Václava,6
Věra,65
Yvona,12
Zdena,12
Zdenka,40
Zdeňka,36
Zita,6
Zlata,5
Zora,8
Zuzana,120
Zuzka,4
Štěpánka,5
Šárka,16
