name,frequency
Adam,55
Adolf,9
Ales,52
Alexander,10
Alexandr,20
Aleš,48
Alfred,4
Alois,14
Andrej,5
Anton,5
Antonin,60
Antonín,58
Arnost,8
Arnošt,7
Bedrich,11
Bedřich,11
Bohdan,9
Bohumil,25
Bohuslav,20
Boris,10
Bretislav,6
Bronislav,4
Břetislav,6
Cenek,5
Cestmir,6
Ctirad,4
Cyril,9
Dalibor,21
Dan,8
Daniel,84
David,128
Denis,4
Dominik,17
Dusan,18
Dušan,16
Eduard,19
Edvard,6
Emanuel,4
Emil,15
Erik,8
Evzen,7
Evžen,7
Ferdinand,8
Filip,56
Frantisek,145
František,139
Gabriel,8
George,4
Hana,6
Heinz,4
Hynek,12
Igor,32
Ilja,6
Ivan,111
Ivo,83
Jachym,5
Jakub,156
Jan,709
Jaromir,49
Jaromír,46
Jaroslav,299
Jindrich,23
Jindřich,23
Jiri,434
Jiří,425
Jonas,8
Jonáš,8
Josef,327
Jozef,21
Julius,12
Juraj,14
Jáchym,5
Ján,5
Kamil,20
Karel,251
Kristian,7
Krystof,9
Kryštof,9
Kurt,4
Ladislav,126
Leopold,4
Leos,5
Leoš,4
Libor,56
Lubomir,44
Lubomír,42
Lubos,19
Luboš,16
Ludek,22
Ludvik,6
Ludvík,5
Luděk,18
Lukas,46
Lukáš,43
Lumir,6
Lumír,6
Marcel,14
Marek,104
Marian,25
Marián,5
Martin,374
Matej,26
Matous,5
Matouš,5
Matyas,8
Matyáš,8
Matěj,24
Michael,45
Michal,227
Mikulas,7
Mikuláš,7
Milan,170
Milos,44
Miloslav,71
Miloš,44
Miroslav,256
Mojmir,4
Mojmír,4
Oldrich,28
Oldřich,28
Oleksander,16
Oleksandr,16
Olexander,16
Olexandr,16
Oliver,4
Ondrej,97
Ondřej,90
Ota,5
Otakar,16
Oto,13
Otto,9
Patrik,21
Pavel,531
Pavol,8
Peter,19
Petr,627
Premysl,9
Přemysl,9
Radek,101
Radim,47
Radko,4
Radomil,6
Radomir,12
Radomír,10
Radoslav,7
Radovan,20
Rene,11
René,11
Richard,39
Robert,57
Robin,7
Roman,112
Rostislav,27
Rudolf,34
Samuel,4
Sebastian,8
Simon,9
Stanislav,107
Stefan,5
Stepan,28
Svatopluk,11
Tadeas,5
Tadeáš,5
Theodor,4
Tom,5
Tomas,243
Tomáš,232
Vaclav,147
Viktor,18
Viktorovych,64
Vilem,9
Vilém,8
Vincent,4
Vit,27
Vitezslav,18
Vladimir,142
Vladimirovich,4
Vladimír,138
Vladislav,27
Vlastimil,57
Vlastislav,7
Vojtech,59
Vojtěch,56
Vratislav,20
Václav,140
Vít,27
Vítězslav,17
Walter,4
Zbynek,13
Zbyněk,13
Zdenek,142
Zdeněk,140
Čeněk,5
Čestmír,6
Šimon,8
Štefan,4
Štěpán,27
