name,frequency
Aagaard,6
Aage,62
Abdullah,7
Adam,21
Age,13
Agner,7
Ahmad,8
Ahmed,12
Aksel,27
Albert,19
Alex,10
Alexander,36
Alf,9
Alfred,27
Ali,8
Allan,38
Ammentorp,9
Ammitzboell,6
Ammitzboll,6
Ammitzbøll,6
Anders,177
Andersen,7
Andre,8
Andreas,54
Anker,46
Anton,18
Antonio,6
Arne,52
Arnold,7
Arthur,11
Asbjoern,17
Asbjorn,17
Asbjørn,16
Asger,21
August,18
Axel,18
Bang,10
Beha,10
Benjamin,6
Benny,13
Bent,73
Berg,12
Berggren,12
Bergur,8
Birger,17
Bjarke,11
Bjarne,38
Bjoern,34
Bjorn,35
Bjørn,33
Bo,75
Boerge,29
Boje,7
Borch,6
Borge,29
Brian,15
Børge,29
Carl,55
Carl-Joachim-Alain,6
Carsten,64
Casper,19
Chresten,7
Christen,17
Christian,307
Christoffer,18
Christopher,8
Claudi,7
Claus,86
Cornelius,7
Dahl,6
Damgaard,9
Dan,23
Daniel,31
Danny,7
David,21
Dennis,20
Dons,6
Ebbe,9
Edvard,6
Egon,11
Eigil,25
Einar,19
Ejnar,19
Ejner,7
Ejvind,16
Elgaard,6
Emil,69
Enevold,6
Engell,14
Erik,258
Erling,31
Ernst,20
Esben,17
Falk,9
Felix,9
Filipo,7
Filipos,7
Filippo,7
Filippos,6
Finn,57
Flemming,96
Fogh,11
Folmer,6
Frank,27
Freddy,9
Frede,10
Frederik,72
Frederik-Minik-Alexander,6
Fredrik,8
Frej,6
Frits,13
Fritz,15
Frode,6
From,12
Gade,6
Gammelmark,6
Georg,27
Gert,18
Grosboel,6
Grosbol,6
Grosbøl,6
Gunnar,37
Gunner,14
Gustav,28
Haagensen,6
Hagbarth,6
Hans,238
Hans-Christian,12
Harald,25
Harry,7
Hebogard,6
Hebogård,6
Heinrich,8
Helge,37
Henneberg,9
Henning,69
Henrik,224
Henrik-Waldemar-Christian,6
Henry,20
Herbert,8
Herluf,7
Hjalmar,7
Holger,30
Holger-Waldemar-Christian,6
Hugo,17
Ian,7
Ib,29
Ibrahim,9
Ingemann,7
Ingemann-Moesgaard,6
Ingerslev,7
Ivan,11
Ivar,6
Jacob,83
Jakob,95
Jan,80
Jannik,7
Jarl,8
Jean,7
Jens,301
Jens-Christian,9
Jeppe,26
Jes,6
Jesper,120
Jess,8
Jimmy,9
Joachim,14
Joakim,10
Joergen,186
Joern,26
Johan,51
Johannes,80
John,83
Johnny,24
Johnsen,9
Jon,15
Jonas,31
Jonathan,16
Jorgen,188
Jorn,26
Juel,6
Juhl,8
Julius,8
Juul,19
Jørgen,179
Jørn,26
Kaare,14
Kai,19
Kaj,29
Kare,7
Karl,28
Karsten,49
Kasper,66
Kay,7
Keld,10
Kenneth,28
Kent,6
Kim,87
Kjaer,7
Kjeld,31
Klaus,32
Knud,107
Koch,6
Krarup,6
Kresten,9
Kristen,14
Kristian,109
Kristoffer,12
Kruse,8
Kurt,35
Kvist,11
Kåre,7
Lars,194
Lars-Henrik,6
Lasse,44
Lau,7
Laurids,9
Laurits,16
Lauritz,11
Laurs,6
Leif,35
Lennart,7
Leo,12
Louis,6
Lucas,7
Lund,13
Lynggaard,7
Mads,89
Mads-Emil,6
Magne,8
Magnus,24
Malte,11
Malthe,7
Marco,6
Marcus,8
Marinus,11
Mark,14
Martin,113
Mathias,18
Max,11
Meier,8
Michael,138
Mikael,14
Mikkel,69
Moeller,16
Moesgaard,6
Mogens,82
Mohammad,11
Moller,16
Morten,150
Møller,16
Nicho,6
Nicholao,9
Nicholaos,9
Nick,8
Nico,6
Nicolai,23
Nicolaj,12
Nicolao,9
Nicolaos,8
Niels,237
Niels-Heine,6
Niko,8
Nikolai,9
Nikolaj,38
Nikolao,8
Nikolaos,8
Nils,30
Nis,7
Noah,6
Nygaard,12
Oestrup,6
Olav,10
Ole,181
Oliver,11
Oluf,8
Orla,17
Oscar,11
Oskar,11
Ostrup,6
Otto,36
Ove,36
Palle,28
Pasternak,9
Patrick,7
Paul,16
Paulo,13
Paulos,13
Pavlo,13
Pavlos,12
Peder,52
Peer,8
Pelle,9
Per,135
Peter,360
Peter-Strauss,7
Philip,15
Philipo,6
Philipos,6
Philippo,6
Philippos,6
Poul,157
Poul-Erik,15
Povl,25
Preben,40
Ragnar,7
Rask,7
Rasmus,84
Rene,21
René,14
Richard,11
Risgaard,6
Robert,10
Rolf,13
Rosenkilde,6
Ruben,8
Rumohr,6
Rune,15
Sandahl,6
Saugmandsgaard,6
Schmidt,9
Sebastian,34
Severin,11
Simon,41
Sloth,10
Soeren,155
Sofus,8
Soren,156
Steen,55
Stefan,13
Steffen,28
Sten,14
Stensgaard,6
Stephan,6
Stig,34
Strauss,11
Sune,8
Sven,28
Svend,96
Søren,149
Tage,24
Terkel,6
Theis,6
Theodor,9
Thomas,164
Thor,10
Thorkild,15
Thorvald,17
Thulesen,6
Tim,6
Tobias,31
Tolstrup,6
Tom,22
Tomas,7
Tommy,6
Torben,80
Tormod,14
Torsten,18
Troels,25
Uffe,27
Ulrich,10
Ulrik,46
Vagn,29
Valdemar,32
Valdemar-Henri-John,6
Verner,15
Vestergaard,7
Victor,17
Viggo,17
Viktor,10
Vilhelm,24
Villads,8
Villiam,6
Villy,16
Vincent,9
Wiis,6
William,23
William-Alexander-Frederik,6
Willy,12
Windfeldt,9
Åge,11
Østrup,6
