name,frequency
Ada,6
Adriana,22
Adrienne,10
Agatha,16
Agnes,21
Aimee,6
Alexandra,15
Alida,13
Angela,8
Angelique,7
Anita,15
Anja,9
Anke,10
Ann,7
Anna,73
Anna-Maria,6
Anne,39
Anne-Marie,9
Anneke,26
Annemarie,8
Annemiek,7
Annemieke,12
Annie,19
Anouk,6
Anthonia,8
Antje,9
Antoinette,23
Antonia,10
Astrid,19
Auguste-Irene,6
Barbara,23
Beatrice,8
Beatrix,9
Bertha,13
Betty,11
Brigitte,12
Carla,24
Carola,9
Caroline,35
Catharina,50
Catherine,11
Chantal,10
Charlotte,16
Christa,6
Christianne,6
Christina,16
Christine,21
Claire,7
Clara,7
Claudia,6
Conny,7
Cornelia,65
Corry,8
Cristina,6
Danielle,16
Daniëlle,8
Diana,14
Dilan,6
Dineke,9
Dominique,9
Dorothe-Josephine,11
Dorothé-Josephine,10
Edith,10
Edna,6
Eleni,6
Eleonora,6
Eleonore,6
Eline,6
Elisabeth,78
Elise,12
Elizabeth,27
Ellen,19
Elly,12
Els,13
Els-Marie,10
Else,10
Else-Marie,11
Elske,6
Emma,19
Esther,11
Eva,22
Eveline,8
Fatma,7
Femke,15
Fleur,9
Francina,21
Francisca,9
Francoise,6
Frederieke,11
Frederique,6
Geertje,10
Geertruida,27
Geertruida-Maria,6
Gerda,23
Gerrie,9
Gerritje,14
Gertrude,6
Gertruida,6
Grietje,12
Hanneke,9
Hannie,7
Hedwig,7
Heide,6
Heleen,24
Helena,22
Helene,22
Heleni,7
Hendrica,6
Hendrika,30
Henny,10
Henriette,40
Henriëtte,25
Hermina,7
Hermine,13
Hilda,7
Hilde,14
Hubertine,7
Hélène,7
Ida,12
Ilona,9
Ilse,8
Ina,6
Ineke,20
Inge,11
Ingrid,50
Irene,16
Iris,6
Isa,7
Jaantje,12
Jacoba,42
Jacqueline,34
Jane,7
Janna,16
Janneke,21
Jannetje,8
Jannigje,6
Janny,6
Jantje,7
Jeanette,9
Jeanne,12
Jennie,7
Jenny,8
Jessica,6
Joan,10
Joana,7
Joanna,11
Joanne,7
Jocelyn,6
Johanna,121
Johanna-Maria,16
Johanna-Wilhelmina,7
Joke,7
Jolanda,15
Jose,8
Josefina-Theresia-Gabrielle,6
Josine,7
Joyce,15
Jozina,6
Judith,32
Julia,8
Julie,8
Juliette-Madeleine-Sophie,7
Karen,12
Karin,22
Keklik,8
Laetitia,7
Laura,20
Lena,13
Leonie,11
Leonore,7
Leontine,6
Lianne,12
Liesbeth,19
Linda,14
Lisa,9
Loes,11
Lorenza,6
Lotte,6
Louise,38
Lucia,8
Lydia,7
Maaike,12
Maartje,9
Madeleine,8
Magdalena,7
Manon,7
Mara,8
Marga,7
Margaretha,52
Margaretha-Gabrielle,9
Margo,7
Margot,21
Margreet,17
Margriet,19
Maria,220
Marian,8
Marianne,40
Marie,55
Marie-Claire,6
Marie-Jeanne,7
Marie-Jose,11
Marie-José,7
Marie-Louise,16
Marieke,20
Marielle,15
Mariet,6
Mariette,15
Marijke,36
Marina,7
Marion,19
Mariska,7
Mariëlle,10
Mariëtte,8
Marja,9
Marjan,7
Marjolein,17
Marleen,12
Marlies,7
Marrigje,7
Martha,10
Marthe,6
Martina,8
Martine,16
Mary,9
Mary-Ann,6
Mathilde,7
Melanie,7
Merel,6
Mieke,9
Milly,7
Mirjam,16
Monica,8
Monika,9
Monique,25
Nancy,8
Nannette,8
Naomi,7
Natascha,10
Nathalie,8
Neeltje,10
Nel,15
Nelly,6
Nicole,23
Nicoline,6
Nienke,8
Nynke,10
Odilia,7
Olga,9
Patricia,18
Paula,6
Paulina,12
Pauline,24
Petra,14
Petronella,20
Pieterdina,6
Pieternella,6
Quirine,7
Rebecca,11
Rebekka,8
Regina,10
Reina,8
Renate,7
Renee,18
Renée,11
Ria,17
Rita,8
Romelia-Helene,8
Roos,14
Rosa,10
Ruth,10
Sabine,11
Sandra,19
Sara,9
Sarah,8
Saskia,39
Sigrid,6
Simone,11
Sonja,9
Sophia,20
Sophie,18
Stella,8
Stephanie,6
Sultan,11
Susan,6
Susanna,7
Suzanna,6
Suzanne,15
Suze,6
Sylvia,8
Tanja,13
Thea,11
Theodora,11
Theresia,6
Tineke,16
Tjitske,7
Toos,9
Trijntje,11
Truus,10
Valerie,7
Vera,8
Wilhelmina,60
Willemijn,10
Willemina,8
Wilma,19
Wivine,6
Yvette,6
Yvonne,33
