name,frequency
Abraham,12
Adolf,8
Adriaan,20
Adrianus,33
Albert,25
Albertus,13
Alexander,46
Alfons,6
Alfred,12
Allard,7
Aloysius,8
Andre,38
Andreas,7
Andries,12
André,26
Anne,12
Anthonie,6
Anthony,9
Antoine,8
Anton,17
Antonius,30
Arend,10
Arie,28
Arjan,11
Arjen,9
Arnold,12
Arthur,22
Barend,6
Bart,29
Bas,12
Bastiaan,15
Bela,8
Ben,7
Benjamin,10
Berend,7
Bernard,12
Bernardo,9
Bernardus,19
Bert,10
Boudewijn,7
Carel,18
Carlos,14
Cees,21
Charles,18
Chris,17
Christiaan,23
Christian,9
Coen,7
Cor,6
Cornelis,106
Cornelius,6
Daan,13
Daniel,16
Daniël,7
Danny,9
David,22
Dennis,10
Derk,6
Dick,15
Diederik,15
Dirk,30
Eduard,16
Edward,8
Edwin,13
Egbert,10
Emile,6
Eric,45
Erik,33
Ernst,10
Erwin,11
Evert,10
Ferdinand,12
Floris,8
Franciscus,34
Francois,6
Frank,34
Frans,38
Fred,11
Frederik,28
Friso,6
Frits,14
Geert,16
George,12
Gerard,39
Gerardus,35
Gerardus-Maria,7
Gerrit,35
Gerrit-Jan,6
Gert,13
Gert-Jan,13
Gijsbert,7
Gijsbertus,7
Gottfried,8
Guido,9
Gus,8
Guus,14
Hanno,6
Hans,65
Harm,18
Harry,24
Hendricus,8
Hendrik,78
Hendrikus,19
Henk,44
Henk-Jan,8
Henri,19
Henricus,25
Henry,11
Herman,32
Hermanus,12
Hubert,11
Hubertus,12
Hugo,27
Ivo,6
Jaap,20
Jacco,7
Jacob,46
Jacobus,38
Jacques,16
Jaime,11
James,12
Jan,248
Jan-Hendrik,9
Jan-Willem,17
Jasper,6
Jean,7
Jelle,11
Jeroen,39
Joannes,10
Job,7
Johan,58
Johannes,200
Johannes-Maria,14
John,26
Jonathan,6
Joop,10
Joost,19
Joris,15
Jos,14
Joseph,12
Josephus,11
Jozef,19
Karel,23
Kees,23
Kevin,7
Klaas,30
Koen,8
Koos,9
Lambertus,16
Lars,6
Laurens,10
Leendert,18
Leo,14
Leon,6
Leonard,8
Leonardus,18
Lodewijk,14
Louis,18
Lucas,10
Lukas,6
Maarten,46
Marc,20
Marcel,22
Marco,14
Marcus,14
Margarethus,7
Maria,12
Marie,6
Marinus,21
Mario,6
Marius,9
Mark,17
Marnix,8
Marten,8
Martijn,20
Martin,27
Martinus,20
Mattheus,6
Matthijs,13
Maurice,6
Maurits,9
Max,15
Menno,15
Michael,28
Michel,23
Michiel,34
Nico,12
Nicolaas,30
Niels,12
Olaf,7
Olivier,9
Onno,9
Oscar,8
Patrick,26
Paul,81
Paulus,18
Pedro,7
Peter,114
Petrus,28
Petrus-Maria,7
Philip,14
Pierre,7
Piet,13
Pieter,99
Pieter-Jan,7
Pim,8
Raymond,8
Rein,6
Reinier,9
Remco,6
Rene,35
Rens,6
René,29
Richard,19
Rob,26
Robert,67
Robertus,10
Roel,7
Roeland,8
Roelof,20
Roger,6
Rogier,8
Roland,6
Ron,6
Ronald,39
Ruben,10
Rudolf,20
Rudy,6
Rutger,11
Ruud,12
Ruurd,7
Samuel,13
Sander,16
Sebastiaan,10
Simon,20
Sjoerd,16
Stefan,8
Stephan,6
Steven,13
Stijn,6
Teunis,7
Theo,20
Theodorus,20
Thijs,10
Thomas,29
Tim,10
Tjeerd,8
Tobias,6
Tom,15
Ton,15
Victor,11
Vincent,13
Wiebe,6
Wilhelm,11
Wilhelmus,27
Wilhelmus-Maria,11
Willem,124
Willem-Alexander,7
William,6
Wim,21
Wouter,21
