name,frequency
Aalbersberg,12
Adema,13
Algra,6
Angenent,29
Asscher,19
Atsma,6
Bakker,19
Balkenende,8
Barendse,10
Bentinck,9
Bentinck-van-Schoonheten,10
Berends,11
Berkouwer,13
Berlijn,6
Bisschop,7
Blokhuis,8
Boekhout,6
Boer,7
Bolt,7
Bongers,6
Bos,26
Bosma,6
Bouwman,7
Bovens,11
Brabers,10
Brenninkmeijer,9
Brinkman,25
Broekers,7
Brouwer,16
Buck,18
Burmanje,7
Celik,7
Christiaanse,15
Cohen,9
Cohen-Tervaert,7
Daalder,7
Daems,9
Dekker,9
Demmers,7
Depla,9
Dijkstra,11
Dikken,9
Donders,6
Doornbos,10
Dorland,13
Driessen,10
Dullaert,10
Eikelenboom,9
Engels,6
Evers,12
Faber,7
Fentener-van-Vlissingen,12
Ferrier,15
Fortuyn,8
Fredericq,9
Frederiks,7
Ganzevoort,7
Gerkens,8
Ginjaar,10
Goet,7
Grapperhaus,8
Gratama-van-Andel,17
Groen,8
Halberstadt,9
Hamer,6
Hammerstein,18
Haspels,6
Hazenberg,14
Heerema,6
Heerma,8
Heerts,9
Heikoop,8
Hendriks,6
Hennis,10
Hermans,10
Hessing,7
Hiensch,15
Hoekstra,8
Hoes,7
Houwers,6
Huisman,8
Hulsman,8
Jaarsma,6
Jacobs,8
Jager,6
Jankovich,6
Jansen,20
Janssen,13
Jorritsma,7
Kaynar,6
Kist,10
Klamer,7
Klein-Haneveld,6
Klijn,6
Kluivert,9
Koek,10
Kok,26
Kolnaar,14
Koole,8
Koole-Peeters,8
Koppe,7
Koppejan,6
Kortenhorst,15
Korthals-Altes,11
Koster,6
Kraaijeveld,12
Kramer,20
Kroon,6
Kuijs,8
Kuiper,10
Kuipers,8
Laman-Trip,7
Lammerts,15
Lapre,7
Leibbrandt,19
Leijten,10
Litjens,6
Llopis-Rivas,6
Lodder,12
Loeffen,6
Loudon,7
Lumowa,6
Lycklama-A-Nijeholt,13
Lycklama-À-Nijeholt,12
Marijnissen,8
Mazairac,13
Meijer,23
Meyer,7
Monod-de-Froideville,10
Morrison,6
Mudde,6
Mulder,11
Muller,6
Neef,6
Nicolai,6
Noorman,7
Oemrawsingh,6
Oppewal,14
Opstelten,6
Oranje,15
Parmessar,6
Paternotte,6
Peeters,10
Penn,6
Peters,18
Pieper,21
Plate,6
Platvoet,8
Reigersman,8
Remak,7
Remmers,7
Reuvers,9
Rietkerk,16
Rinnooy-Kan,6
Robert,9
Roeleveld,10
Roemer,6
Rombouts,7
Rosenthal,8
Rouvoet,8
Rutte,14
Rynart,8
Sanders,6
Scheffers,6
Schiff,10
Schoenherr,39
Scholten,11
Schonherr,39
Schouten,15
Schönherr,26
Segers,6
Sibum,8
Siderius,6
Slob,6
Smilde,7
Smit,17
Smits,15
Snijders,13
Snoep,13
Soetendorp,8
Spekman,9
Staal,12
Stehouwer,6
Stekelenburg,36
Stikvoort,10
Stroink,6
Stuiveling,14
Swinkels,7
Sylvester,6
Ten-Cate,8
Ten-Kroode,20
Terlouw,8
Terpstra,7
Teunissen,15
Tigelaar,44
Timmerman,10
Timmermans,6
Tjeenk-Willink,8
Van-Den-Assem,16
Van-Dijk,7
Van-Reij,7
Verboom,26
Verdonk,11
Vergunst,8
Verkerk,7
Vermeulen,10
Visser,27
Vliegenthart,8
Volker,6
Vos,20
Vrienten,6
Westerbeek,6
Westerbeke,17
Wiegel,7
Willems,11
Wind,9
Witteman,6
Witteveen,6
Zalm,7
Ziengs,24
Zwetsloot,8
de-Bat,6
de-Boer,24
de-Bourbon-Parma,17
de-Graaf,10
de-Groot,6
de-Jong,43
de-Jonge,7
de-Kwaasteniet,25
de-Lange,9
de-Leeuw,7
de-Rouwe,6
de-Vos,6
de-Vries,49
de-Waal,8
de-Wit,7
den-Uijl,13
den-Uyl,23
le-Poole,6
van-'t-Wout,14
van-Aken,7
van-Beek,7
van-Beukering-Huijbregts,7
van-Boggelen,10
van-Bourbon-Parma,9
van-Boven,9
van-Dam,9
van-Der-Ham,6
van-Der-Werff,6
van-Dijk,26
van-Drunen-Littel,31
van-Drunen-Littel-Holmden,6
van-Haaften-Harkema,9
van-Haga,6
van-Hoogstraten,23
van-Kemenade,6
van-Laar,6
van-Leeuwen,13
van-Melick,6
van-Ommen,6
van-Oosterom,22
van-Os,6
van-Rij,6
van-Schreven,8
van-Sprang,7
van-T-Wout,18
van-Veldhuizen,6
van-Voerst-van-Lynden,6
van-Vroonhoven,6
van-West,8
van-Winkoop,7
van-Zuijlen,6
van-de-Merwe,8
van-den-Berg,18
van-den-Doel,21
van-der-Burg,6
van-der-Heijden,6
van-der-Laan,16
van-der-Meer,7
van-der-Ploeg,8
van-der-Tak,11
van-der-Velden,6
van-der-Vlugt,7
van-der-Wijck,6
von-Martels,7
